
5 Mot inconnu : Dropbox => ======Utiliser Dropbox sous Ubuntu===== | dropbox
53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gnome-software ("Logithèque") démarre, et vous présente une installation de dropbox. Cliquez sur le bouton "installer". |      => suggestions : ['']
53 Guillemets typographiques ouvrants. =>     * Gnome-software ("Logithèque") démarre, et vous présente une installation de dropbox. Cliquez sur le bouton "installer". | " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. =>     * Gnome-software ("Logithèque") démarre, et vous présente une installation de dropbox. Cliquez sur le bouton "installer". | " => suggestions : ['\xa0»', '”']
53 Mot inconnu : dropbox =>     * Gnome-software ("Logithèque") démarre, et vous présente une installation de dropbox. Cliquez sur le bouton "installer". | dropbox
53 Guillemets typographiques ouvrants. =>     * Gnome-software ("Logithèque") démarre, et vous présente une installation de dropbox. Cliquez sur le bouton "installer". | " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. =>     * Gnome-software ("Logithèque") démarre, et vous présente une installation de dropbox. Cliquez sur le bouton "installer". | " => suggestions : ['\xa0»', '”']

55 Mot inconnu : flatpak => **Autre commandes flatpak** | flatpak

57 Mot inconnu : Dropbox => Mettre à jour Dropbox (la mise à jour ne se fait pas automatiquement avec le reste du système) : | dropbox

60 Mot inconnu : Dropbox => Désinstaller Dropbox : | dropbox

63 Mot inconnu : dropbox => **Lancer dropbox** | dropbox

65 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Ponctuellement via son icône dans votre menu normal des applications\\ | -  => suggestions : ['—\xa0', '–\xa0']

66 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Ponctuellement en ligne de commande : **flatpak run com.dropbox.Client**. \\ | -  => suggestions : ['—\xa0', '–\xa0']
66 Mot inconnu : flatpak => - Ponctuellement en ligne de commande : **flatpak run com.dropbox.Client**. \\ | flatpak
66 Mot inconnu : run => - Ponctuellement en ligne de commande : **flatpak run com.dropbox.Client**. \\ | run

67 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Pour un démarrage automatique avec votre PC, aller dans votre gestion des [[tutoriel:application_demarrage|applications au démarrage]], et ajouter la ligne de commande ci-dessus, ou mieux  | -  => suggestions : ['—\xa0', '–\xa0']
67 Il manque un espace. => - Pour un démarrage automatique avec votre PC, aller dans votre gestion des [[tutoriel:application_demarrage|applications au démarrage]], et ajouter la ligne de commande ci-dessus, ou mieux  | application_demarrage => suggestions : [' application_demarrage']
67 Mot inconnu : application_demarrage => - Pour un démarrage automatique avec votre PC, aller dans votre gestion des [[tutoriel:application_demarrage|applications au démarrage]], et ajouter la ligne de commande ci-dessus, ou mieux  | application_demarrage
67 Espace(s) en fin de ligne à supprimer. => - Pour un démarrage automatique avec votre PC, aller dans votre gestion des [[tutoriel:application_demarrage|applications au démarrage]], et ajouter la ligne de commande ci-dessus, ou mieux  |   => suggestions : ['']
71 Espace(s) en fin de ligne à supprimer. => Suivant la version de Ubuntu :  |   => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une nouvelle icône devrait apparaître dans votre "Zone de notification". Cliquez dessus pour configurer votre dropbox (clic droit). Lors de votre première installation, vous pourrez créer votre compte Dropbox. Si vous avez déjà un compte, indiquez seulement vos identifiants lors du premier lancement. |    => suggestions : ['']
72 Guillemets typographiques ouvrants. =>   * Une nouvelle icône devrait apparaître dans votre "Zone de notification". Cliquez dessus pour configurer votre dropbox (clic droit). Lors de votre première installation, vous pourrez créer votre compte Dropbox. Si vous avez déjà un compte, indiquez seulement vos identifiants lors du premier lancement. | " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. =>   * Une nouvelle icône devrait apparaître dans votre "Zone de notification". Cliquez dessus pour configurer votre dropbox (clic droit). Lors de votre première installation, vous pourrez créer votre compte Dropbox. Si vous avez déjà un compte, indiquez seulement vos identifiants lors du premier lancement. | " => suggestions : ['\xa0»', '”']
72 Mot inconnu : dropbox =>   * Une nouvelle icône devrait apparaître dans votre "Zone de notification". Cliquez dessus pour configurer votre dropbox (clic droit). Lors de votre première installation, vous pourrez créer votre compte Dropbox. Si vous avez déjà un compte, indiquez seulement vos identifiants lors du premier lancement. | dropbox
72 Mot inconnu : Dropbox =>   * Une nouvelle icône devrait apparaître dans votre "Zone de notification". Cliquez dessus pour configurer votre dropbox (clic droit). Lors de votre première installation, vous pourrez créer votre compte Dropbox. Si vous avez déjà un compte, indiquez seulement vos identifiants lors du premier lancement. | dropbox

74 Mot inconnu : this => <body>this is ite</h1> | this
74 Mot inconnu : is => <body>this is ite</h1> | is
74 Mot inconnu : ite => <body>this is ite</h1> | ite

76 Mot inconnu : Xubuntu => ==== Pour Xubuntu ==== | xubuntu

77 Mot inconnu : Dropbox => Pour avoir les menus //Dropbox//, dans //Thunar//, il est nécessaire d'ajouter un plugin : **[[apt>thunar-dropbox-plugin]]** . | dropbox
77 Mot inconnu : Thunar => Pour avoir les menus //Dropbox//, dans //Thunar//, il est nécessaire d'ajouter un plugin : **[[apt>thunar-dropbox-plugin]]** . | thunar
77 Mot inconnu : thunar-dropbox-plugin => Pour avoir les menus //Dropbox//, dans //Thunar//, il est nécessaire d'ajouter un plugin : **[[apt>thunar-dropbox-plugin]]** . | thunar-dropbox-plugin

88 Mot inconnu : Dropbox => Relancez ensuite Dropbox : | dropbox

91 Mot inconnu : Xubuntu => Voici une solution qui marche sur Xubuntu 18.04 LTS: | xubuntu
91 Mot inconnu : LTS => Voici une solution qui marche sur Xubuntu 18.04 LTS: | lts

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Éditer en mode texte administrateur le fichier /usr/share/applications/Dropbox |    => suggestions : ['']
92 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Éditer en mode texte administrateur le fichier /usr/share/applications/Dropbox |  -  => suggestions : [' – ', ' — ', ' − ']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" |    => suggestions : ['']
93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" |  -  => suggestions : [' – ', ' — ', ' − ']
93 Guillemets typographiques ouvrants. =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | " => suggestions : ['«\xa0', '“']
93 Mot inconnu : Exec =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | exec
93 Mot inconnu : dropbox =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | dropbox
93 Mot inconnu : stari =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | stari
93 Il manque un espace à côté du tiret. =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" |  - => suggestions : [' – ', ' — ']
93 Guillemets typographiques fermants. =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | " => suggestions : ['\xa0»', '”']
93 Guillemets typographiques ouvrants. =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | " => suggestions : ['«\xa0', '“']
93 Mot inconnu : Exec =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | exec
93 Mot inconnu : dbus-launch =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | dbus-launch
93 Mot inconnu : dropbox =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | dropbox
93 Mot inconnu : start =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | start
93 Guillemets typographiques fermants. =>   - Remplacer "Exec=dropbox stari -i" par "Exec=dbus-launch dropbox start" | " => suggestions : ['\xa0»', '”']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Enregistrer |    => suggestions : ['']
94 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Enregistrer |  -  => suggestions : [' – ', ' — ', ' − ']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Copier le fichier ainsi modifié et le coller dans le dossier /home/[your user]/.config/autostart en écrasant le précédent |    => suggestions : ['']
95 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Copier le fichier ainsi modifié et le coller dans le dossier /home/[your user]/.config/autostart en écrasant le précédent |  -  => suggestions : [' – ', ' — ', ' − ']
95 Mot inconnu : your =>   - Copier le fichier ainsi modifié et le coller dans le dossier /home/[your user]/.config/autostart en écrasant le précédent | your
95 Mot inconnu : autostart =>   - Copier le fichier ainsi modifié et le coller dans le dossier /home/[your user]/.config/autostart en écrasant le précédent | autostart

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redémarrer |    => suggestions : ['']
96 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redémarrer |  -  => suggestions : [' – ', ' — ', ' − ']

99 Mot inconnu : undefined => ==== undefined symbol: XRRGetScreenResourcesCurrent ==== | undefined
99 Mot inconnu : symbol => ==== undefined symbol: XRRGetScreenResourcesCurrent ==== | symbol
99 Mot inconnu : XRRGetScreenResourcesCurrent => ==== undefined symbol: XRRGetScreenResourcesCurrent ==== | xrrgetscreenresourcescurrent

102 Mot inconnu : dropboxd => <file>$ ./dropboxd  | dropboxd
102 Espace(s) en fin de ligne à supprimer. => <file>$ ./dropboxd  |   => suggestions : ['']

103 Mot inconnu : Traceback => Traceback (most recent call last): | traceback
103 Mot inconnu : most => Traceback (most recent call last): | most
103 Mot inconnu : recent => Traceback (most recent call last): | recent
103 Mot inconnu : call => Traceback (most recent call last): | call
103 Mot inconnu : last => Traceback (most recent call last): | last

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "<string>", line 6, in <module> |    => suggestions : ['']
104 Mot inconnu : line =>   File "<string>", line 6, in <module> | line

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "__main__.py", line 105, in <module> |    => suggestions : ['']
105 Guillemets typographiques ouvrants. =>   File "__main__.py", line 105, in <module> | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : __main__ =>   File "__main__.py", line 105, in <module> | __main__
105 Mot inconnu : py =>   File "__main__.py", line 105, in <module> | py
105 Guillemets typographiques fermants. =>   File "__main__.py", line 105, in <module> | " => suggestions : ['\xa0»', '”']
105 Mot inconnu : line =>   File "__main__.py", line 105, in <module> | line

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "__main__dropbox__.py", line 2, in <module> |    => suggestions : ['']
106 Guillemets typographiques ouvrants. =>   File "__main__dropbox__.py", line 2, in <module> | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : __main__dropbox__ =>   File "__main__dropbox__.py", line 2, in <module> | __main__dropbox__
106 Mot inconnu : py =>   File "__main__dropbox__.py", line 2, in <module> | py
106 Guillemets typographiques fermants. =>   File "__main__dropbox__.py", line 2, in <module> | " => suggestions : ['\xa0»', '”']
106 Mot inconnu : line =>   File "__main__dropbox__.py", line 2, in <module> | line

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "arch/__init__.py", line 19, in <module> |    => suggestions : ['']
107 Guillemets typographiques ouvrants. =>   File "arch/__init__.py", line 19, in <module> | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : arch =>   File "arch/__init__.py", line 19, in <module> | arch
107 Mot inconnu : __init__ =>   File "arch/__init__.py", line 19, in <module> | __init__
107 Mot inconnu : py =>   File "arch/__init__.py", line 19, in <module> | py
107 Guillemets typographiques fermants. =>   File "arch/__init__.py", line 19, in <module> | " => suggestions : ['\xa0»', '”']
107 Mot inconnu : line =>   File "arch/__init__.py", line 19, in <module> | line

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "arch/linux/startup.py", line 11, in <module> |    => suggestions : ['']
108 Guillemets typographiques ouvrants. =>   File "arch/linux/startup.py", line 11, in <module> | " => suggestions : ['«\xa0', '“']
108 Mot inconnu : arch =>   File "arch/linux/startup.py", line 11, in <module> | arch
108 Mot inconnu : linux =>   File "arch/linux/startup.py", line 11, in <module> | linux
108 Mot inconnu : py =>   File "arch/linux/startup.py", line 11, in <module> | py
108 Guillemets typographiques fermants. =>   File "arch/linux/startup.py", line 11, in <module> | " => suggestions : ['\xa0»', '”']
108 Mot inconnu : line =>   File "arch/linux/startup.py", line 11, in <module> | line

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "ui/wx_core.py", line 4, in <module> |    => suggestions : ['']
109 Guillemets typographiques ouvrants. =>   File "ui/wx_core.py", line 4, in <module> | " => suggestions : ['«\xa0', '“']
109 Mot inconnu : ui =>   File "ui/wx_core.py", line 4, in <module> | ui
109 Mot inconnu : wx_core =>   File "ui/wx_core.py", line 4, in <module> | wx_core
109 Mot inconnu : py =>   File "ui/wx_core.py", line 4, in <module> | py
109 Guillemets typographiques fermants. =>   File "ui/wx_core.py", line 4, in <module> | " => suggestions : ['\xa0»', '”']
109 Mot inconnu : line =>   File "ui/wx_core.py", line 4, in <module> | line

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "wx/__init__.py", line 45, in <module> |    => suggestions : ['']
110 Guillemets typographiques ouvrants. =>   File "wx/__init__.py", line 45, in <module> | " => suggestions : ['«\xa0', '“']
110 Mot inconnu : wx =>   File "wx/__init__.py", line 45, in <module> | wx
110 Mot inconnu : __init__ =>   File "wx/__init__.py", line 45, in <module> | __init__
110 Mot inconnu : py =>   File "wx/__init__.py", line 45, in <module> | py
110 Guillemets typographiques fermants. =>   File "wx/__init__.py", line 45, in <module> | " => suggestions : ['\xa0»', '”']
110 Mot inconnu : line =>   File "wx/__init__.py", line 45, in <module> | line

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "wx/_core.py", line 4, in <module> |    => suggestions : ['']
111 Guillemets typographiques ouvrants. =>   File "wx/_core.py", line 4, in <module> | " => suggestions : ['«\xa0', '“']
111 Mot inconnu : wx =>   File "wx/_core.py", line 4, in <module> | wx
111 Mot inconnu : _core =>   File "wx/_core.py", line 4, in <module> | _core
111 Mot inconnu : py =>   File "wx/_core.py", line 4, in <module> | py
111 Guillemets typographiques fermants. =>   File "wx/_core.py", line 4, in <module> | " => suggestions : ['\xa0»', '”']
111 Mot inconnu : line =>   File "wx/_core.py", line 4, in <module> | line

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File "wx/_core_.py", line 14, in <module> |    => suggestions : ['']
112 Guillemets typographiques ouvrants. =>   File "wx/_core_.py", line 14, in <module> | " => suggestions : ['«\xa0', '“']
112 Mot inconnu : wx =>   File "wx/_core_.py", line 14, in <module> | wx
112 Mot inconnu : _core_ =>   File "wx/_core_.py", line 14, in <module> | _core_
112 Mot inconnu : py =>   File "wx/_core_.py", line 14, in <module> | py
112 Guillemets typographiques fermants. =>   File "wx/_core_.py", line 14, in <module> | " => suggestions : ['\xa0»', '”']
112 Mot inconnu : line =>   File "wx/_core_.py", line 14, in <module> | line

113 Mot inconnu : ImportError => ImportError: /usr/lib/libgdk-x11-2.0.so.0: undefined symbol: XRRGetScreenResourcesCurrent</file> | importerror
113 Mot inconnu : undefined => ImportError: /usr/lib/libgdk-x11-2.0.so.0: undefined symbol: XRRGetScreenResourcesCurrent</file> | undefined
113 Mot inconnu : symbol => ImportError: /usr/lib/libgdk-x11-2.0.so.0: undefined symbol: XRRGetScreenResourcesCurrent</file> | symbol
113 Mot inconnu : XRRGetScreenResourcesCurrent => ImportError: /usr/lib/libgdk-x11-2.0.so.0: undefined symbol: XRRGetScreenResourcesCurrent</file> | xrrgetscreenresourcescurrent

120 Mot inconnu : connecting => ==== Trouble connecting to Dropbox servers ==== | connecting
120 Mot inconnu : to => ==== Trouble connecting to Dropbox servers ==== | to
120 Mot inconnu : Dropbox => ==== Trouble connecting to Dropbox servers ==== | dropbox
120 Mot inconnu : servers => ==== Trouble connecting to Dropbox servers ==== | servers

122 Mot inconnu : dropbox => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | dropbox
122 Mot inconnu : DropBox => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | dropbox
122 Mot inconnu : dropbox => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | dropbox
122 Mot inconnu : start => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | start
122 Il manque un espace à côté du tiret. => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> |  - => suggestions : [' – ', ' — ']
122 Mot inconnu : connecting => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | connecting
122 Mot inconnu : to => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | to
122 Mot inconnu : Dropbox => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | dropbox
122 Mot inconnu : servers => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | servers
122 Mot inconnu : Maybe => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | maybe
122 Mot inconnu : your => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | your
122 Mot inconnu : connection => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | connection
122 Mot inconnu : is => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | is
122 Mot inconnu : down => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | down
122 Mot inconnu : you => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | you
122 Mot inconnu : need => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | need
122 Mot inconnu : to => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | to
122 Mot inconnu : your => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | your
122 Mot inconnu : http_proxy => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | http_proxy
122 Mot inconnu : environment => Cette erreur est causée par dropbox qui n'arrive pas à passer le proxy en place. Si à l'installation de DropBox par la commande **//dropbox start -i//** vous avez ce message : <file>Trouble connecting to Dropbox servers. Maybe your internet connection is down, or you need to set your http_proxy environment variable.</file> | environment

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Téléchargez la version DropBox correspondant à votre architecture : |    => suggestions : ['']
