
5 Mot inconnu : libNMEAParser => ====== libNMEAParser ====== | libnmeaparser
53 Mot inconnu : NMEAParser => Le type STATUS est ses énumérations sont définis dans le fichier NMEAParser.h | nmeaparser

56 Pas d’espace après ce signe. => === STATUS parse( std::string sentence ) === | (  => suggestions : ['(']
56 Mot inconnu : std => === STATUS parse( std::string sentence ) === | std
56 Une de ces ponctuations est superflue. => === STATUS parse( std::string sentence ) === | :: => suggestions : [':', ':']
56 Pas d’espace avant ce signe. => === STATUS parse( std::string sentence ) === |  ) => suggestions : [')']

60 Mot inconnu : ma_variable => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> | ma_variable
60 Il manque un espace. => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> | parse => suggestions : [' parse']
60 Pas d’espace après ce signe. => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> | (  => suggestions : ['(']
60 Mot inconnu : GPRMC => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> | gprmc
60 Il manque un espace. => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> | 194504 => suggestions : [' 194504']
60 Erreur de numérisation ? Virgules au lieu de points ? => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> | ,,, => suggestions : ['…']
60 Guillemets typographiques fermants. => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> | " => suggestions : ['\xa0»', '”']
60 Pas d’espace avant ce signe. => ma_variable.parse( "$GPRMC,194504.000,A,4741.0590,N,00237.9215,E,0.00,0.00,200208,,,A*68" );</code> |  ) => suggestions : [')']

63 Mot inconnu : void => === void clear( void ) === | void
63 Mot inconnu : clear => === void clear( void ) === | clear
63 Pas d’espace après ce signe. => === void clear( void ) === | (  => suggestions : ['(']
63 Mot inconnu : void => === void clear( void ) === | void
63 Pas d’espace avant ce signe. => === void clear( void ) === |  ) => suggestions : [')']

72 Mot inconnu : ma_variable2 => ma_variable2 = ma_variable1;</code> | ma_variable2
72 Mot inconnu : ma_variable1 => ma_variable2 = ma_variable1;</code> | ma_variable1

77 Guillemets typographiques ouvrants. => Dans tous les cas les variables "status" (précise si l'analyse à eu lieu et son résultat) et "sentence" (trame analysée) sont toujours disponibles. | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. => Dans tous les cas les variables "status" (précise si l'analyse à eu lieu et son résultat) et "sentence" (trame analysée) sont toujours disponibles. | " => suggestions : ['\xa0»', '”']
77 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. => Dans tous les cas les variables "status" (précise si l'analyse à eu lieu et son résultat) et "sentence" (trame analysée) sont toujours disponibles. | à => suggestions : ['a']
77 Guillemets typographiques ouvrants. => Dans tous les cas les variables "status" (précise si l'analyse à eu lieu et son résultat) et "sentence" (trame analysée) sont toujours disponibles. | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. => Dans tous les cas les variables "status" (précise si l'analyse à eu lieu et son résultat) et "sentence" (trame analysée) sont toujours disponibles. | " => suggestions : ['\xa0»', '”']

82 Mot inconnu : NMEAParser => Voici les fichiers de bases à créer pour y parvenir. Ces fichiers sont documentés pour vous apporter les informations nécessaires. Vous pouvez toutefois contacter le projet NMEAParser sur le site de Launchpad et poser vos questions en cas de besoin. | nmeaparser
82 Mot inconnu : Launchpad => Voici les fichiers de bases à créer pour y parvenir. Ces fichiers sont documentés pour vous apporter les informations nécessaires. Vous pouvez toutefois contacter le projet NMEAParser sur le site de Launchpad et poser vos questions en cas de besoin. | launchpad
86 Mot inconnu : FIXME => //Contributeurs : FIXME.// | fixme
