
5 Mot inconnu : Amarok => ====== Lecteur Amarok ====== | amarok
26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * importation de l'ancienne collection d'Amarok 1.4 et gestion de collection avec MySQL (Sous Amarok 2, la collection est gérée par défaut par MySQL. Une option existe dans les paramètres pour configurer une base de données MySQL externe, par exemple afin de lire une collection musicale sur un serveur commun à partir de plusieurs ordinateurs) |    => suggestions : ['']
26 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * importation de l'ancienne collection d'Amarok 1.4 et gestion de collection avec MySQL (Sous Amarok 2, la collection est gérée par défaut par MySQL. Une option existe dans les paramètres pour configurer une base de données MySQL externe, par exemple afin de lire une collection musicale sur un serveur commun à partir de plusieurs ordinateurs) | importation => suggestions : ['Importation']
26 Mot inconnu : Amarok =>   * importation de l'ancienne collection d'Amarok 1.4 et gestion de collection avec MySQL (Sous Amarok 2, la collection est gérée par défaut par MySQL. Une option existe dans les paramètres pour configurer une base de données MySQL externe, par exemple afin de lire une collection musicale sur un serveur commun à partir de plusieurs ordinateurs) | amarok
26 Mot inconnu : MySQL =>   * importation de l'ancienne collection d'Amarok 1.4 et gestion de collection avec MySQL (Sous Amarok 2, la collection est gérée par défaut par MySQL. Une option existe dans les paramètres pour configurer une base de données MySQL externe, par exemple afin de lire une collection musicale sur un serveur commun à partir de plusieurs ordinateurs) | mysql
26 Mot inconnu : Amarok =>   * importation de l'ancienne collection d'Amarok 1.4 et gestion de collection avec MySQL (Sous Amarok 2, la collection est gérée par défaut par MySQL. Une option existe dans les paramètres pour configurer une base de données MySQL externe, par exemple afin de lire une collection musicale sur un serveur commun à partir de plusieurs ordinateurs) | amarok
26 Mot inconnu : MySQL =>   * importation de l'ancienne collection d'Amarok 1.4 et gestion de collection avec MySQL (Sous Amarok 2, la collection est gérée par défaut par MySQL. Une option existe dans les paramètres pour configurer une base de données MySQL externe, par exemple afin de lire une collection musicale sur un serveur commun à partir de plusieurs ordinateurs) | mysql
26 Mot inconnu : MySQL =>   * importation de l'ancienne collection d'Amarok 1.4 et gestion de collection avec MySQL (Sous Amarok 2, la collection est gérée par défaut par MySQL. Une option existe dans les paramètres pour configurer une base de données MySQL externe, par exemple afin de lire une collection musicale sur un serveur commun à partir de plusieurs ordinateurs) | mysql

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * et enfin, comme dans l'ancienne version, une multitude de petits scripts ajoutent des fonctionnalités supplémentaires. |    => suggestions : ['']

36 Mot inconnu : Amarok => ==== Amarok en français ==== | amarok

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sous Kubuntu : |    => suggestions : ['']

44 Mot inconnu : Amarok => Lancez l'application depuis le menu //K -> Applications -> Multimédia -> Lecteur audio Amarok//, | amarok

48 Mot inconnu : Amarok => L'interface générale d'Amarok se décompose à l'origine en trois zones, que vous pouvez redimensionner, déplacer/empiler et même supprimer : | amarok

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * À droite la **liste de lecture** |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * À gauche la partie "explorateur/navigateur" affichant votre **Collection** |    => suggestions : ['']
50 Guillemets typographiques ouvrants. =>   * À gauche la partie "explorateur/navigateur" affichant votre **Collection** | " => suggestions : ['«\xa0', '“']
50 Guillemets typographiques fermants. =>   * À gauche la partie "explorateur/navigateur" affichant votre **Collection** | " => suggestions : ['\xa0»', '”']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Au centre, une zone composée de mini-applications ("applets" en anglais) internes, gérant ce que l'on appelle le **Contexte** (informations sur les titres en cours de lecture, les paroles, affichage de photos, etc).  |    => suggestions : ['']
51 Guillemets typographiques ouvrants. =>   * Au centre, une zone composée de mini-applications ("applets" en anglais) internes, gérant ce que l'on appelle le **Contexte** (informations sur les titres en cours de lecture, les paroles, affichage de photos, etc).  | " => suggestions : ['«\xa0', '“']
51 Guillemets typographiques fermants. =>   * Au centre, une zone composée de mini-applications ("applets" en anglais) internes, gérant ce que l'on appelle le **Contexte** (informations sur les titres en cours de lecture, les paroles, affichage de photos, etc).  | " => suggestions : ['\xa0»', '”']
51 Espace(s) en fin de ligne à supprimer. =>   * Au centre, une zone composée de mini-applications ("applets" en anglais) internes, gérant ce que l'on appelle le **Contexte** (informations sur les titres en cours de lecture, les paroles, affichage de photos, etc).  |   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

56 Mot inconnu : Amarok => La fonction de recherche pour la collection (ainsi que pour la liste de lecture) est un outil extrêmement puissant et souvent mésestimé d'Amarok. Vous pouvez faire vos recherche dans la partie droite de la fenêtre d'Amarok. | amarok
56 Accord de nombre erroné : « recherche » devrait être au pluriel. => La fonction de recherche pour la collection (ainsi que pour la liste de lecture) est un outil extrêmement puissant et souvent mésestimé d'Amarok. Vous pouvez faire vos recherche dans la partie droite de la fenêtre d'Amarok. | recherche => suggestions : ['recherches']
56 Mot inconnu : Amarok => La fonction de recherche pour la collection (ainsi que pour la liste de lecture) est un outil extrêmement puissant et souvent mésestimé d'Amarok. Vous pouvez faire vos recherche dans la partie droite de la fenêtre d'Amarok. | amarok

62 Mot inconnu : Amarok => Amarok propose maintenant un **éditeur** qui vous propose plusieurs manières pré-configurées d'organiser votre liste de lecture et vous permet d'en créer à votre convenance et de les sauvegarder. On peut rapidement modifier un renseignement sur le morceau ("tag") comme le nom d'artiste ou d'album, en cliquant sur le logo de la feuille avec le crayon : **Modifier les information sur la piste**. | amarok
62 Guillemets typographiques ouvrants. => Amarok propose maintenant un **éditeur** qui vous propose plusieurs manières pré-configurées d'organiser votre liste de lecture et vous permet d'en créer à votre convenance et de les sauvegarder. On peut rapidement modifier un renseignement sur le morceau ("tag") comme le nom d'artiste ou d'album, en cliquant sur le logo de la feuille avec le crayon : **Modifier les information sur la piste**. | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. => Amarok propose maintenant un **éditeur** qui vous propose plusieurs manières pré-configurées d'organiser votre liste de lecture et vous permet d'en créer à votre convenance et de les sauvegarder. On peut rapidement modifier un renseignement sur le morceau ("tag") comme le nom d'artiste ou d'album, en cliquant sur le logo de la feuille avec le crayon : **Modifier les information sur la piste**. | " => suggestions : ['\xa0»', '”']
62 Accord de nombre erroné : « information » devrait être au pluriel. => Amarok propose maintenant un **éditeur** qui vous propose plusieurs manières pré-configurées d'organiser votre liste de lecture et vous permet d'en créer à votre convenance et de les sauvegarder. On peut rapidement modifier un renseignement sur le morceau ("tag") comme le nom d'artiste ou d'album, en cliquant sur le logo de la feuille avec le crayon : **Modifier les information sur la piste**. | information => suggestions : ['informations']

85 Espace(s) en fin de ligne à supprimer. => Dans l'applet **Paroles** s'affiche les paroles de la musique.  |   => suggestions : ['']

87 Mot inconnu : Minilyrics => === Paroles synchronisées (équivalent à Minilyrics) === | minilyrics

89 Mot inconnu : LrcShow => Il existe un programme appelé LrcShow X qui permet d'afficher les paroles en temps réel et synchronisée avec la chanson. | lrcshow
90 Mot inconnu : LrcShow => Il faut cependant lancer ce programme à chaque démarrage du lecteur. Heureusement il existe un plugin qui s'en charge : LrcShow X Starter. | lrcshow

91 Mot inconnu : FIXME => Pour tout savoir visiter ce [[http://pauldbsblog.blogspot.com/2009/09/equivalent-de-minilyrics-sous-ubuntu.html|site]] qui explique très bien comment y arriver. FIXME: La page de téléchargement du script ne propose aucun lien de téléchargement. | fixme

94 Mot inconnu : Amarok => Amarok peut télécharger automatiquement les pochettes de vos album à partir d'internet (clic droit sur une musique, puis **Album -> Télécharger la pochette** s'il ne le fait pas tout seul), mais vous pouvez également lui assigner une image personnalisée en cliquant sur **Ajouter une pochette personnalisée**. | amarok
94 Accord de nombre erroné : « album » devrait être au pluriel. => Amarok peut télécharger automatiquement les pochettes de vos album à partir d'internet (clic droit sur une musique, puis **Album -> Télécharger la pochette** s'il ne le fait pas tout seul), mais vous pouvez également lui assigner une image personnalisée en cliquant sur **Ajouter une pochette personnalisée**. | album => suggestions : ['albums']

97 Guillemets typographiques ouvrants. => Dans l'interface par défaut, la pochette est affichée dans le widget central. Si vous supprimez ou masquez le gestionnaire de widgets, vous pouvez toujours avoir un aperçu de la pochette de votre album dans la liste de lecture et dans la liste de votre collection (si vous avez activé l'option "afficher les pochettes"). Vous pouvez aussi avoir un aperçu de l'image en taille réelle en faisant "afficher la pochette" lorsque vous faites un clic-droit sur une piste. | " => suggestions : ['«\xa0', '“']
97 Guillemets typographiques fermants. => Dans l'interface par défaut, la pochette est affichée dans le widget central. Si vous supprimez ou masquez le gestionnaire de widgets, vous pouvez toujours avoir un aperçu de la pochette de votre album dans la liste de lecture et dans la liste de votre collection (si vous avez activé l'option "afficher les pochettes"). Vous pouvez aussi avoir un aperçu de l'image en taille réelle en faisant "afficher la pochette" lorsque vous faites un clic-droit sur une piste. | " => suggestions : ['\xa0»', '”']
97 Guillemets typographiques ouvrants. => Dans l'interface par défaut, la pochette est affichée dans le widget central. Si vous supprimez ou masquez le gestionnaire de widgets, vous pouvez toujours avoir un aperçu de la pochette de votre album dans la liste de lecture et dans la liste de votre collection (si vous avez activé l'option "afficher les pochettes"). Vous pouvez aussi avoir un aperçu de l'image en taille réelle en faisant "afficher la pochette" lorsque vous faites un clic-droit sur une piste. | " => suggestions : ['«\xa0', '“']
97 Guillemets typographiques fermants. => Dans l'interface par défaut, la pochette est affichée dans le widget central. Si vous supprimez ou masquez le gestionnaire de widgets, vous pouvez toujours avoir un aperçu de la pochette de votre album dans la liste de lecture et dans la liste de votre collection (si vous avez activé l'option "afficher les pochettes"). Vous pouvez aussi avoir un aperçu de l'image en taille réelle en faisant "afficher la pochette" lorsque vous faites un clic-droit sur une piste. | " => suggestions : ['\xa0»', '”']

101 Mot inconnu : Last => ==== Last.fm ==== | last
101 Il manque un espace. => ==== Last.fm ==== | fm => suggestions : [' fm']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * de la musique d'artistes similaires à un premier artiste ; |    => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * de la musique correspondant à un tag (par exemple « Rock », « Jazz », etc.) ; |    => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la musique qu'écoutent d'autres membres de Last.fm au profil musical proche du vôtre ; |    => suggestions : ['']
106 Mot inconnu : Last =>   * la musique qu'écoutent d'autres membres de Last.fm au profil musical proche du vôtre ; | last
106 Il manque un espace. =>   * la musique qu'écoutent d'autres membres de Last.fm au profil musical proche du vôtre ; | fm => suggestions : [' fm']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * tout ce que vous avez écouté ; |    => suggestions : ['']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * tous vos « coups de cœur » ; |    => suggestions : ['']

112 Mot inconnu : Last => L'écoute des coups de cœur est réservée aux abonnés de Last.fm et l'abonnement est payant. | last
112 Il manque un espace. => L'écoute des coups de cœur est réservée aux abonnés de Last.fm et l'abonnement est payant. | fm => suggestions : [' fm']

115 Espace(s) en fin de ligne à supprimer. => </note>  |   => suggestions : ['']

117 Mot inconnu : Amarok => Ensuite, allez dans **Configuration → Configurer Amarok → Modules externes → Last.fm**, et cliquez sur la clé à molette : vous pouvez maintenant rentrer vos identifiants. | amarok
117 Mot inconnu : Last => Ensuite, allez dans **Configuration → Configurer Amarok → Modules externes → Last.fm**, et cliquez sur la clé à molette : vous pouvez maintenant rentrer vos identifiants. | last
117 Il manque un espace. => Ensuite, allez dans **Configuration → Configurer Amarok → Modules externes → Last.fm**, et cliquez sur la clé à molette : vous pouvez maintenant rentrer vos identifiants. | fm => suggestions : [' fm']

122 Mot inconnu : Amarok => L'icône d'Amarok dans la zone de notification possède plusieurs fonctionnalités bien pratiques : | amarok

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * CLIC GAUCHE : ouvre l'interface, |    => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * CLIC MILIEU : met Amarok en Pause ou au contraire relance la lecture. |    => suggestions : ['']
124 Mot inconnu : Amarok =>   * CLIC MILIEU : met Amarok en Pause ou au contraire relance la lecture. | amarok

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * CLIC DROIT : ouverture d'un menu (pause, morceau suivant/précédent) |    => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ROULETTE VERS LE HAUT/BAS sans bouton : gestion du volume |    => suggestions : ['']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * SHIFT + ROULETTE VERS LE HAUT/BAS : permet d'avancer/reculer dans la chanson |    => suggestions : ['']
127 Mot inconnu : SHIFT =>   * SHIFT + ROULETTE VERS LE HAUT/BAS : permet d'avancer/reculer dans la chanson | shift

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * CTRL + ROULETTE VERS LE HAUT/BAS : permet d'avancer/reculer dans la liste de lecture |    => suggestions : ['']

130 Mot inconnu : Amarok => Vous pouvez également, à partir d'un explorateur de fichiers, sélectionner des fichiers et les placer directement sur l'icône, Amarok vous proposera alors ce que vous voulez faire : | amarok

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ajouter à la liste de lecture et jouer |    => suggestions : ['']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ajouter à la suite de la liste de lecture en cours |    => suggestions : ['']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * etc.  |    => suggestions : ['']
133 Espace(s) en fin de ligne à supprimer. =>   * etc.  |   => suggestions : ['']

137 Mot inconnu : ReplayGain => ==== ReplayGain ==== | replaygain

138 Mot inconnu : Amarok => Amarok supporte nativement ReplayGain qui est un algorithme permettant de normaliser le volume sans perte, en ajoutant un tag à vos fichiers. Amarok ajuste ensuite le volume de lecture en fonction de ce tag, ce qui vous donne une écoute… sans sursauts ! | amarok
138 Mot inconnu : ReplayGain => Amarok supporte nativement ReplayGain qui est un algorithme permettant de normaliser le volume sans perte, en ajoutant un tag à vos fichiers. Amarok ajuste ensuite le volume de lecture en fonction de ce tag, ce qui vous donne une écoute… sans sursauts ! | replaygain
138 Mot inconnu : Amarok => Amarok supporte nativement ReplayGain qui est un algorithme permettant de normaliser le volume sans perte, en ajoutant un tag à vos fichiers. Amarok ajuste ensuite le volume de lecture en fonction de ce tag, ce qui vous donne une écoute… sans sursauts ! | amarok

146 Mot inconnu : kde => Si vous voulez exporter une collection ainsi que les étiquettes (label) des pistes (qui ne sont pas incorporés dans les fichiers), et certaines pochettes et paroles, il vous suffit de copier vos musiques **dans le même emplacement relatif que sur votre ancien ordinateur**, puis de remplacer le dossier caché **.kde/share/apps/amarok/** de l'ordinateur sur lequel vous importez la bibliothèque par le même dossier que celui de l'ordinateur qui exporte.  | kde
146 Mot inconnu : share => Si vous voulez exporter une collection ainsi que les étiquettes (label) des pistes (qui ne sont pas incorporés dans les fichiers), et certaines pochettes et paroles, il vous suffit de copier vos musiques **dans le même emplacement relatif que sur votre ancien ordinateur**, puis de remplacer le dossier caché **.kde/share/apps/amarok/** de l'ordinateur sur lequel vous importez la bibliothèque par le même dossier que celui de l'ordinateur qui exporte.  | share
146 Mot inconnu : apps => Si vous voulez exporter une collection ainsi que les étiquettes (label) des pistes (qui ne sont pas incorporés dans les fichiers), et certaines pochettes et paroles, il vous suffit de copier vos musiques **dans le même emplacement relatif que sur votre ancien ordinateur**, puis de remplacer le dossier caché **.kde/share/apps/amarok/** de l'ordinateur sur lequel vous importez la bibliothèque par le même dossier que celui de l'ordinateur qui exporte.  | apps
146 Mot inconnu : amarok => Si vous voulez exporter une collection ainsi que les étiquettes (label) des pistes (qui ne sont pas incorporés dans les fichiers), et certaines pochettes et paroles, il vous suffit de copier vos musiques **dans le même emplacement relatif que sur votre ancien ordinateur**, puis de remplacer le dossier caché **.kde/share/apps/amarok/** de l'ordinateur sur lequel vous importez la bibliothèque par le même dossier que celui de l'ordinateur qui exporte.  | amarok
146 Espace(s) en fin de ligne à supprimer. => Si vous voulez exporter une collection ainsi que les étiquettes (label) des pistes (qui ne sont pas incorporés dans les fichiers), et certaines pochettes et paroles, il vous suffit de copier vos musiques **dans le même emplacement relatif que sur votre ancien ordinateur**, puis de remplacer le dossier caché **.kde/share/apps/amarok/** de l'ordinateur sur lequel vous importez la bibliothèque par le même dossier que celui de l'ordinateur qui exporte.  |   => suggestions : ['']

148 Mot inconnu : Amarok => ==== Amarok comme réveil ==== | amarok
150 Mot inconnu : KAlarm => Pour cela vous pouvez utiliser **[[apt>KAlarm]]** qui a pleins de possibilités intéressantes: | kalarm

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * il permet de régler plusieurs alarmes par jour; |    => suggestions : ['']

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * il permet de vous endormir avec de la musique douce, et de vous réveiller avec de la musique directement plus forte (pas d'augmentation progressive); |    => suggestions : ['']

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le volume est réglé via Kmix, c'est donc le volume global de l'ordinateur qui est augmenté; |    => suggestions : ['']
153 Mot inconnu : Kmix =>   * le volume est réglé via Kmix, c'est donc le volume global de l'ordinateur qui est augmenté; | kmix

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * vous pouvez faire en sorte que le volume augmente progressivement (second script); |    => suggestions : ['']

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur //Nouveau => Nouvelle alarme par une commande//, |    => suggestions : ['']

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le champ **Action** cliquez sur //Saisissez un script// |    => suggestions : ['']

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez le script suivant : <file bash> |    => suggestions : ['']

162 Mot inconnu : DCOPSERVER => DCOPSERVER=`cat ~/.DCOPserver__:0 | grep local` | dcopserver
162 Mot inconnu : cat => DCOPSERVER=`cat ~/.DCOPserver__:0 | grep local` | cat
162 Mot inconnu : DCOPserver__ => DCOPSERVER=`cat ~/.DCOPserver__:0 | grep local` | dcopserver__
162 Mot inconnu : grep => DCOPSERVER=`cat ~/.DCOPserver__:0 | grep local` | grep

163 Mot inconnu : DCOPSERVER => export DCOPSERVER | dcopserver

164 Mot inconnu : dcop => dcop kmix Mixer0 setVolume 0 //VOLUME// | dcop
164 Mot inconnu : kmix => dcop kmix Mixer0 setVolume 0 //VOLUME// | kmix
164 Mot inconnu : Mixer0 => dcop kmix Mixer0 setVolume 0 //VOLUME// | mixer0
164 Mot inconnu : setVolume => dcop kmix Mixer0 setVolume 0 //VOLUME// | setvolume

165 Mot inconnu : dcop => dcop amarok player play</file>   | dcop
165 Mot inconnu : amarok => dcop amarok player play</file>   | amarok
165 Mot inconnu : player => dcop amarok player play</file>   | player
165 Mot inconnu : play => dcop amarok player play</file>   | play
165 Espace(s) en fin de ligne à supprimer. => dcop amarok player play</file>   |    => suggestions : ['']

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changez //VOLUME// par le volume que vous voulez pour vous réveiller (Note : Mixer0 peut être Mixer1 si vous avez plusieurs cartes son). |    => suggestions : ['']
166 Mot inconnu : Mixer0 =>   * Changez //VOLUME// par le volume que vous voulez pour vous réveiller (Note : Mixer0 peut être Mixer1 si vous avez plusieurs cartes son). | mixer0
166 Mot inconnu : Mixer1 =>   * Changez //VOLUME// par le volume que vous voulez pour vous réveiller (Note : Mixer0 peut être Mixer1 si vous avez plusieurs cartes son). | mixer1

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Réglez l'heure de l'exécution du script  |    => suggestions : ['']
167 Espace(s) en fin de ligne à supprimer. =>   * Réglez l'heure de l'exécution du script  |   => suggestions : ['']

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez une liste de lecture avec au début la musique du réveil, et à la fin, la musique pour s'endormir |    => suggestions : ['']

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez la liste vers le milieu (première musique pour s'endormir) |    => suggestions : ['']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ne fermez ni KAlarm, ni amaroK |    => suggestions : ['']
170 Mot inconnu : KAlarm =>   * Ne fermez ni KAlarm, ni amaroK | kalarm
170 Mot inconnu : amaroK =>   * Ne fermez ni KAlarm, ni amaroK | amarok

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vérifiez si cela fonctionne avec le bouton //Essayer// dans Kalarm, puis cliquer sur //OK//. |    => suggestions : ['']
171 Mot inconnu : Kalarm =>   * Vérifiez si cela fonctionne avec le bouton //Essayer// dans Kalarm, puis cliquer sur //OK//. | kalarm

173 Mot inconnu : KAlarm => Script pour une montée progressive du volume en utilisant KAlarm : | kalarm

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrez KAlarm |    => suggestions : ['']
175 Mot inconnu : KAlarm =>   * Ouvrez KAlarm | kalarm

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez & réglez votre alarme comme indiqué ci-dessus |    => suggestions : ['']

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le champ **Action** cliquez sur //Saisissez un script// |    => suggestions : ['']

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez le script suivant :<file bash> |    => suggestions : ['']
179 Espace(s) en fin de ligne à supprimer. => #! /bin/bash  |   => suggestions : ['']

180 Mot inconnu : amarok => amarok -p 						#Lancez Amarok | amarok
180 Il manque un espace à côté du tiret. => amarok -p 						#Lancez Amarok |  - => suggestions : [' – ', ' — ']
180 Incohérence : espace et tabulation. => amarok -p 						#Lancez Amarok |  	 => suggestions : [' ', '\t']
180 Mot inconnu : Amarok => amarok -p 						#Lancez Amarok | amarok

181 Mot inconnu : dcop => dcop kmix Mixer0 setVolume 0 0 				#Mettre le volume à 0 | dcop
181 Mot inconnu : kmix => dcop kmix Mixer0 setVolume 0 0 				#Mettre le volume à 0 | kmix
181 Mot inconnu : Mixer0 => dcop kmix Mixer0 setVolume 0 0 				#Mettre le volume à 0 | mixer0
181 Mot inconnu : setVolume => dcop kmix Mixer0 setVolume 0 0 				#Mettre le volume à 0 | setvolume
181 Incohérence : espace et tabulation. => dcop kmix Mixer0 setVolume 0 0 				#Mettre le volume à 0 |  	 => suggestions : [' ', '\t']

183 Mot inconnu : volumemax => volumemax=100						#Volume maximum | volumemax

184 Mot inconnu : while => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | while
184 Pas d’espace après ce signe. => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | [  => suggestions : ['[']
184 Guillemets typographiques fermants. => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | " => suggestions : ['\xa0»', '”']
184 Mot inconnu : lt => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | lt
