
6 Mot inconnu : Alternate => ====== Installer Ubuntu avec l'Alternate CD ====== | alternate
62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Résolution/nombre de couleurs (« VGA ») avec la touche « F4 ». |      => suggestions : ['']
62 Mot inconnu : VGA =>     * Résolution/nombre de couleurs (« VGA ») avec la touche « F4 ». | vga
62 Mot inconnu : F4 =>     * Résolution/nombre de couleurs (« VGA ») avec la touche « F4 ». | f4

64 Mot inconnu : UNetBootIn => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | unetbootin
64 Guillemets typographiques ouvrants. => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | " => suggestions : ['«\xa0', '“']
64 Guillemets typographiques fermants. => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | " => suggestions : ['\xa0»', '”']
64 Guillemets typographiques ouvrants. => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : cdrom-detect => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | cdrom-detect
64 Mot inconnu : try-usb => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | try-usb
64 Mot inconnu : true => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | true
64 Guillemets typographiques fermants. => Si cette installation est lancée depuis une clef USB (créée par exemple au moyen de [[UNetBootIn]]), le programme d'installation peut indiquer une "erreur de détection du cédérom". Ajouter l'option de noyau "cdrom-detect/try-usb=true", depuis l'écran de démarrage, est une solution à ce problème. | " => suggestions : ['\xa0»', '”']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous installez Ubuntu sur un PC tout neuf (**sans** Windows et **sans données** sur ce disque) choisissez l'option « **Assisté - utiliser un disque entier** ») |    => suggestions : ['']
80 Accord de genre erroné entre “option” et “Assisté”. =>   * Si vous installez Ubuntu sur un PC tout neuf (**sans** Windows et **sans données** sur ce disque) choisissez l'option « **Assisté - utiliser un disque entier** ») | assisté => suggestions : ['Assistée']
80 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Si vous installez Ubuntu sur un PC tout neuf (**sans** Windows et **sans données** sur ce disque) choisissez l'option « **Assisté - utiliser un disque entier** ») |  -  => suggestions : [' – ', ' — ', ' − ']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous êtes un utilisateur avancé, choisissez « **Manuel** » |    => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous souhaitez utiliser plusieurs distributions Linux il va falloir prévoir comment elles vont être installées et aller dans « **Manuel** » |    => suggestions : ['']

100 Mot inconnu : Download => En plein milieu de l'installation, on vous demandera (en anglais) **Download Language support ?** ce qui veux dire //Télécharger les traductions ?//, répondez bien sûr **Yes** (oui), et attendez un petit moment. | download
100 Mot inconnu : Language => En plein milieu de l'installation, on vous demandera (en anglais) **Download Language support ?** ce qui veux dire //Télécharger les traductions ?//, répondez bien sûr **Yes** (oui), et attendez un petit moment. | language
100 Conjugaison erronée. Accord avec “ce qui”. Le verbe devrait être à la 3ᵉ personne du singulier. => En plein milieu de l'installation, on vous demandera (en anglais) **Download Language support ?** ce qui veux dire //Télécharger les traductions ?//, répondez bien sûr **Yes** (oui), et attendez un petit moment. | veux => suggestions : ['veut']
104 Typographie : points de suspension. Utilisez le caractère dédié. => Et voilà, après l'installation vous pouvez redémarrer ! Pensez à retirer le CD afin de ne pas redémarrer dessus... | ... => suggestions : ['…']

113 Espace(s) surnuméraire(s) à supprimer. => ===== Voir aussi  ===== |    => suggestions : [' ']
115 Mot inconnu : alternate => [[http://www.tutoriels-video.fr/installer-ubuntu-sur-un-vieux-pc-en-utilisant-la-version-alternative|Tutoriel vidéo : Installation d'ubuntu avec l'alternate CD]] | alternate
