
5 Mot inconnu : Database => ====== Oracle™ Database ====== | database
83 Mot inconnu : Edition => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | edition
83 Mot inconnu : The => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | the
83 Mot inconnu : install => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | install
83 Mot inconnu : requires => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | requires
83 Mot inconnu : at => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | at
83 Mot inconnu : lease => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | lease
83 Mot inconnu : GB => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | gb

84 Mot inconnu : free => free on this disk | free
84 Mot inconnu : this => free on this disk | this
84 Mot inconnu : disk => free on this disk | disk

86 Ni apostrophe ni trait d’union après “y”. => créer un lien symbolique dans le dossier d'installation /usr/lib dans un endroit ou il y'a de l'espace ex: /home/dossier_personnel | y'a => suggestions : ['y a']
86 Mot inconnu : y'a => créer un lien symbolique dans le dossier d'installation /usr/lib dans un endroit ou il y'a de l'espace ex: /home/dossier_personnel | y'a
96 Espace(s) en fin de ligne à supprimer. => Pour la configuration, lancer ce script :  |   => suggestions : ['']

100 Mot inconnu : SYS => Il vous demandera les mots de passes SYS et SYSTEM, les ports TCP de Oracle listener et de l'application serveur d'Oracle. Dans la plupart des cas, vous devez laisser libre les ports standards. | sys
100 Mot inconnu : SYSTEM => Il vous demandera les mots de passes SYS et SYSTEM, les ports TCP de Oracle listener et de l'application serveur d'Oracle. Dans la plupart des cas, vous devez laisser libre les ports standards. | system
100 Mot inconnu : TCP => Il vous demandera les mots de passes SYS et SYSTEM, les ports TCP de Oracle listener et de l'application serveur d'Oracle. Dans la plupart des cas, vous devez laisser libre les ports standards. | tcp
100 Mot inconnu : listener => Il vous demandera les mots de passes SYS et SYSTEM, les ports TCP de Oracle listener et de l'application serveur d'Oracle. Dans la plupart des cas, vous devez laisser libre les ports standards. | listener

102 Mot inconnu : users => Maintenant pour créer users / schema / ... Vous avez une jolie interface http pour cela : | users
102 Mot inconnu : schema => Maintenant pour créer users / schema / ... Vous avez une jolie interface http pour cela : | schema
102 Typographie : points de suspension. Utilisez le caractère dédié. => Maintenant pour créer users / schema / ... Vous avez une jolie interface http pour cela : | ... => suggestions : ['…']

107 Mot inconnu : SSH => Si vous installez la base de données Oracle sur une machine sans un serveur X, vous devez utiliser un port d'envoi SSH: | ssh

116 Mot inconnu : ORACLE_HOME => === Les variables d'environnement ORACLE_HOME et ORACLE_SID === | oracle_home
116 Mot inconnu : ORACLE_SID => === Les variables d'environnement ORACLE_HOME et ORACLE_SID === | oracle_sid

121 Mot inconnu : imp => Si vous désirez utiliser les commande **imp** et **exp** ou éviter de taper le chemin complet de la commande **sqlplus** il faudra déclarer: | imp
121 Mot inconnu : exp => Si vous désirez utiliser les commande **imp** et **exp** ou éviter de taper le chemin complet de la commande **sqlplus** il faudra déclarer: | exp
121 Mot inconnu : sqlplus => Si vous désirez utiliser les commande **imp** et **exp** ou éviter de taper le chemin complet de la commande **sqlplus** il faudra déclarer: | sqlplus

126 Mot inconnu : ORACLE_HOME => Vous pouvez renseigner les variables d'environnement ORACLE_HOME et ORACLE_SID dans le fichier ~/.bashrc de telle façon à pouvoir les valoriser à chaque fois que vous ouvrirez votre terminal. | oracle_home
126 Mot inconnu : ORACLE_SID => Vous pouvez renseigner les variables d'environnement ORACLE_HOME et ORACLE_SID dans le fichier ~/.bashrc de telle façon à pouvoir les valoriser à chaque fois que vous ouvrirez votre terminal. | oracle_sid
126 Mot inconnu : bashrc => Vous pouvez renseigner les variables d'environnement ORACLE_HOME et ORACLE_SID dans le fichier ~/.bashrc de telle façon à pouvoir les valoriser à chaque fois que vous ouvrirez votre terminal. | bashrc

127 Mot inconnu : bashrc => Placez le code suivant à la fin du fichier ~/.bashrc : | bashrc

137 Mot inconnu : ERROR => > ERROR: | error

138 Mot inconnu : ORA-01034 => > ORA-01034: ORACLE not available | ora-01034
138 Mot inconnu : not => > ORA-01034: ORACLE not available | not
138 Mot inconnu : available => > ORA-01034: ORACLE not available | available

139 Mot inconnu : ORA-27101 => > ORA-27101: shared memory realm does not exist | ora-27101
139 Mot inconnu : shared => > ORA-27101: shared memory realm does not exist | shared
139 Mot inconnu : memory => > ORA-27101: shared memory realm does not exist | memory
139 Mot inconnu : realm => > ORA-27101: shared memory realm does not exist | realm
139 Mot inconnu : does => > ORA-27101: shared memory realm does not exist | does
139 Mot inconnu : not => > ORA-27101: shared memory realm does not exist | not
139 Mot inconnu : exist => > ORA-27101: shared memory realm does not exist | exist

140 Mot inconnu : Error => > Linux Error: 2: No such file or directory | error
140 Mot inconnu : such => > Linux Error: 2: No such file or directory | such
140 Mot inconnu : directory => > Linux Error: 2: No such file or directory | directory

150 Guillemets typographiques ouvrants. => === Les variables d'environnement "local" === | " => suggestions : ['«\xa0', '“']
150 Guillemets typographiques fermants. => === Les variables d'environnement "local" === | " => suggestions : ['\xa0»', '”']
