
4 Mot inconnu : VeraCrypt => ======Chiffrement de fichiers et de partitions avec VeraCrypt====== | veracrypt
39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * télécharger la signature numérique (fichier gpg) de l'archive figurant sur le site, |    => suggestions : ['']
39 Mot inconnu : gpg =>   * télécharger la signature numérique (fichier gpg) de l'archive figurant sur le site, | gpg

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * authentifier la signature du paquet au moyen de la clé publique. |    => suggestions : ['']

46 Mot inconnu : VeraCrypt => Voici l'exemple pour une architecture 64 bits avec le mode graphique, de la version 1.24 de VeraCrypt : | veracrypt

50 Mot inconnu : NB => **NB** : Le mot de passe sudo sera demandé au cours d'une installation standard. Mais on peut aussi utiliser Veracrypt sans l'installer. Nous allons développer ce point ci-dessous dans __utilisation portable__ | nb
50 Mot inconnu : sudo => **NB** : Le mot de passe sudo sera demandé au cours d'une installation standard. Mais on peut aussi utiliser Veracrypt sans l'installer. Nous allons développer ce point ci-dessous dans __utilisation portable__ | sudo
50 Mot inconnu : Veracrypt => **NB** : Le mot de passe sudo sera demandé au cours d'une installation standard. Mais on peut aussi utiliser Veracrypt sans l'installer. Nous allons développer ce point ci-dessous dans __utilisation portable__ | veracrypt
50 Mot inconnu : __utilisation => **NB** : Le mot de passe sudo sera demandé au cours d'une installation standard. Mais on peut aussi utiliser Veracrypt sans l'installer. Nous allons développer ce point ci-dessous dans __utilisation portable__ | __utilisation
50 Mot inconnu : portable__ => **NB** : Le mot de passe sudo sera demandé au cours d'une installation standard. Mais on peut aussi utiliser Veracrypt sans l'installer. Nous allons développer ce point ci-dessous dans __utilisation portable__ | portable__

52 Espace(s) surnuméraire(s) à supprimer. => === Installation pour  la version  20.04 (Focal) === |    => suggestions : [' ']
52 Espace(s) surnuméraire(s) à supprimer. => === Installation pour  la version  20.04 (Focal) === |    => suggestions : [' ']
54 Il manque un espace à côté du tiret. => <code bash> sudo dpkg -i $HOME/Téléchargements/veracrypt-console-1.24-Update7-Ubuntu-20.04-amd64.deb </code> |  - => suggestions : [' – ', ' — ']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  sudo apt --fix-broken install</code> |   => suggestions : ['']
57 Mot inconnu : sudo =>  sudo apt --fix-broken install</code> | sudo
57 Mot inconnu : fix-broken =>  sudo apt --fix-broken install</code> | fix-broken
57 Mot inconnu : install =>  sudo apt --fix-broken install</code> | install

59 Mot inconnu : veracrypt => veracrypt  sait ouvrir au maxima  64 fichiers simultanément. | veracrypt
59 Espace(s) surnuméraire(s) à supprimer. => veracrypt  sait ouvrir au maxima  64 fichiers simultanément. |    => suggestions : [' ']
59 Espace(s) surnuméraire(s) à supprimer. => veracrypt  sait ouvrir au maxima  64 fichiers simultanément. |    => suggestions : [' ']
70 Mot inconnu : chromebook => <note tip>Le PPA peut fonctionner quand l'installation initiale en passant par le site officiel ne fonctionne pas. Notamment sur les chromebook.</note> | chromebook

77 Espace(s) en fin de ligne à supprimer. => ====Mode portable====  |   => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Reprendre les étapes d'installation 3.1 : Téléchargement sur le site officiel, vérification des paquets, décompression de l'archive |    => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Puisque c'est pour un usage portable, télécharger les version pour tous les différents types de système d'exploitation que vous pouvez rencontrer. Pour Windows, vous pouvez installer un exécutable sur une clé USB qui ne nécessitera pas une élévation (admin) des privilèges. Ici, c'est un tuto pour utiliser VeraCrypt en mode portable sous Linux. L'installation ne nécessite pas non plus de privilèges root, mais pour monter une partition ou un volume, la plupart des systèmes Linux demandent une élévation des privilèges. |    => suggestions : ['']
80 Accord de nombre erroné : « version » devrait être au pluriel. =>   * Puisque c'est pour un usage portable, télécharger les version pour tous les différents types de système d'exploitation que vous pouvez rencontrer. Pour Windows, vous pouvez installer un exécutable sur une clé USB qui ne nécessitera pas une élévation (admin) des privilèges. Ici, c'est un tuto pour utiliser VeraCrypt en mode portable sous Linux. L'installation ne nécessite pas non plus de privilèges root, mais pour monter une partition ou un volume, la plupart des systèmes Linux demandent une élévation des privilèges. | version => suggestions : ['versions']
80 Mot inconnu : VeraCrypt =>   * Puisque c'est pour un usage portable, télécharger les version pour tous les différents types de système d'exploitation que vous pouvez rencontrer. Pour Windows, vous pouvez installer un exécutable sur une clé USB qui ne nécessitera pas une élévation (admin) des privilèges. Ici, c'est un tuto pour utiliser VeraCrypt en mode portable sous Linux. L'installation ne nécessite pas non plus de privilèges root, mais pour monter une partition ou un volume, la plupart des systèmes Linux demandent une élévation des privilèges. | veracrypt
80 Mot inconnu : root =>   * Puisque c'est pour un usage portable, télécharger les version pour tous les différents types de système d'exploitation que vous pouvez rencontrer. Pour Windows, vous pouvez installer un exécutable sur une clé USB qui ne nécessitera pas une élévation (admin) des privilèges. Ici, c'est un tuto pour utiliser VeraCrypt en mode portable sous Linux. L'installation ne nécessite pas non plus de privilèges root, mais pour monter une partition ou un volume, la plupart des systèmes Linux demandent une élévation des privilèges. | root

84 Mot inconnu : VeraCrypt => VeraCrypt est placé sous forme compressée dans /tmp | veracrypt

88 Mot inconnu : NB => <note important>NB : Jusque là, être root n'est pas nécessaire, ce qui vous permet de l'utiliser sur une machine autre que la vôtre</note> | nb
88 Il manque un trait d’union. => <note important>NB : Jusque là, être root n'est pas nécessaire, ce qui vous permet de l'utiliser sur une machine autre que la vôtre</note> | jusque là => suggestions : ['Jusque-là']
88 Mot inconnu : root => <note important>NB : Jusque là, être root n'est pas nécessaire, ce qui vous permet de l'utiliser sur une machine autre que la vôtre</note> | root

92 Mot inconnu : VeraCrypt => Chercher le fichier VeraCrypt dans le dossier de l'archive décompressé dans /tmp | veracrypt

98 Mot inconnu : Enjoy => Enjoy ;)  | enjoy
98 Espace(s) en fin de ligne à supprimer. => Enjoy ;)  |   => suggestions : ['']

101 Accord de nombre erroné avec « des privilèges » : « administrateur » devrait être au pluriel. => Selon les autorisations du système, vous pouvez avoir besoin des privilèges administrateur pour monter un volume (et pas pour le déchiffrer) | administrateur => suggestions : ['administrateurs']

104 Mot inconnu : VeraCrypt => <note tip>Pour éviter d'avoir à réaliser cette procédure à chaque usage de VeraCrypt en mode portable (les fichiers ainsi placés dans /tmp sont supprimés à chaque redémarrage de la machine), copier/coller les fichier obtenu à la fin de cette opération (en somme, le dossier de l'archive décompressé dans /tmp.) Vous n'aurez qu'à le copier/coller dans les machine hôte Linux que vous visiterez dans le répertoire /tmp ;) Puis à cliquer sur l'exécutable</note> | veracrypt
104 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => <note tip>Pour éviter d'avoir à réaliser cette procédure à chaque usage de VeraCrypt en mode portable (les fichiers ainsi placés dans /tmp sont supprimés à chaque redémarrage de la machine), copier/coller les fichier obtenu à la fin de cette opération (en somme, le dossier de l'archive décompressé dans /tmp.) Vous n'aurez qu'à le copier/coller dans les machine hôte Linux que vous visiterez dans le répertoire /tmp ;) Puis à cliquer sur l'exécutable</note> | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
104 Accord de nombre erroné : « fichier » devrait être au pluriel. => <note tip>Pour éviter d'avoir à réaliser cette procédure à chaque usage de VeraCrypt en mode portable (les fichiers ainsi placés dans /tmp sont supprimés à chaque redémarrage de la machine), copier/coller les fichier obtenu à la fin de cette opération (en somme, le dossier de l'archive décompressé dans /tmp.) Vous n'aurez qu'à le copier/coller dans les machine hôte Linux que vous visiterez dans le répertoire /tmp ;) Puis à cliquer sur l'exécutable</note> | fichier => suggestions : ['fichiers']
104 Confusion. Ou vous confondez “à” (préposition) avec “a” (avoir), ou vous devez employer “au”. Exemple : _à_ midi, il _a_ pris son déjeuner _au_ restaurant. => <note tip>Pour éviter d'avoir à réaliser cette procédure à chaque usage de VeraCrypt en mode portable (les fichiers ainsi placés dans /tmp sont supprimés à chaque redémarrage de la machine), copier/coller les fichier obtenu à la fin de cette opération (en somme, le dossier de l'archive décompressé dans /tmp.) Vous n'aurez qu'à le copier/coller dans les machine hôte Linux que vous visiterez dans le répertoire /tmp ;) Puis à cliquer sur l'exécutable</note> | à le => suggestions : ['a le', 'au']
104 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => <note tip>Pour éviter d'avoir à réaliser cette procédure à chaque usage de VeraCrypt en mode portable (les fichiers ainsi placés dans /tmp sont supprimés à chaque redémarrage de la machine), copier/coller les fichier obtenu à la fin de cette opération (en somme, le dossier de l'archive décompressé dans /tmp.) Vous n'aurez qu'à le copier/coller dans les machine hôte Linux que vous visiterez dans le répertoire /tmp ;) Puis à cliquer sur l'exécutable</note> | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
104 Accord de nombre erroné : « machine » devrait être au pluriel. => <note tip>Pour éviter d'avoir à réaliser cette procédure à chaque usage de VeraCrypt en mode portable (les fichiers ainsi placés dans /tmp sont supprimés à chaque redémarrage de la machine), copier/coller les fichier obtenu à la fin de cette opération (en somme, le dossier de l'archive décompressé dans /tmp.) Vous n'aurez qu'à le copier/coller dans les machine hôte Linux que vous visiterez dans le répertoire /tmp ;) Puis à cliquer sur l'exécutable</note> | machine => suggestions : ['machines']

107 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note important>A compléter. | a => suggestions : ['À']

109 Mot inconnu : hidden => ====Création de volume caché (hidden volume)==== | hidden

114 Espace(s) surnuméraire(s) à supprimer. => <note help>Ne pas oublier que le volume caché peut être accroché à un  [[https://www.hostingpics.net/viewer.php?id=727432Vera.png|fichier]] qui sera détruit pendant l'opération et que le nombre de volumes ouverts simultanément est inférieur à 64.</note> |    => suggestions : [' ']

116 Mot inconnu : VeraCrypt => ====Utilisation de VeraCrypt sans demande de mot de passe root (sudo)==== | veracrypt
116 Mot inconnu : root => ====Utilisation de VeraCrypt sans demande de mot de passe root (sudo)==== | root
116 Mot inconnu : sudo => ====Utilisation de VeraCrypt sans demande de mot de passe root (sudo)==== | sudo

118 Mot inconnu : VeraCrypt => Nous allons montrer comment permettre à un utilisateur lambda d'utiliser VeraCrypt avec sudo sans lui donner le mot de passe root. Avec cette commande, n'importe quel user choisi pourra taper  | veracrypt
118 Mot inconnu : sudo => Nous allons montrer comment permettre à un utilisateur lambda d'utiliser VeraCrypt avec sudo sans lui donner le mot de passe root. Avec cette commande, n'importe quel user choisi pourra taper  | sudo
118 Mot inconnu : root => Nous allons montrer comment permettre à un utilisateur lambda d'utiliser VeraCrypt avec sudo sans lui donner le mot de passe root. Avec cette commande, n'importe quel user choisi pourra taper  | root
118 Incohérence avec “quel” : “user” est un verbe. => Nous allons montrer comment permettre à un utilisateur lambda d'utiliser VeraCrypt avec sudo sans lui donner le mot de passe root. Avec cette commande, n'importe quel user choisi pourra taper  | user => suggestions : ['usées', 'usée', 'usé', 'usés']
118 Espace(s) en fin de ligne à supprimer. => Nous allons montrer comment permettre à un utilisateur lambda d'utiliser VeraCrypt avec sudo sans lui donner le mot de passe root. Avec cette commande, n'importe quel user choisi pourra taper  |   => suggestions : ['']
119 Mot inconnu : sudo => « sudo veracrypt » dans son terminal et utiliser VeraCrypt comme si il était root, sans avoir eu à taper le mot de passe root.  | sudo
119 Mot inconnu : veracrypt => « sudo veracrypt » dans son terminal et utiliser VeraCrypt comme si il était root, sans avoir eu à taper le mot de passe root.  | veracrypt
119 Mot inconnu : VeraCrypt => « sudo veracrypt » dans son terminal et utiliser VeraCrypt comme si il était root, sans avoir eu à taper le mot de passe root.  | veracrypt
119 Il faut élider “si” et l’accoler au pronom. => « sudo veracrypt » dans son terminal et utiliser VeraCrypt comme si il était root, sans avoir eu à taper le mot de passe root.  | si  => suggestions : ['s’']
119 Mot inconnu : root => « sudo veracrypt » dans son terminal et utiliser VeraCrypt comme si il était root, sans avoir eu à taper le mot de passe root.  | root
119 Mot inconnu : root => « sudo veracrypt » dans son terminal et utiliser VeraCrypt comme si il était root, sans avoir eu à taper le mot de passe root.  | root
119 Espace(s) en fin de ligne à supprimer. => « sudo veracrypt » dans son terminal et utiliser VeraCrypt comme si il était root, sans avoir eu à taper le mot de passe root.  |   => suggestions : ['']

121 Mot inconnu : VeraCrypt => Donc, une fois VeraCrypt installé, vous pouvez l'utiliser. Cependant, les droits super-utilisateur sont exigés pour monter/démonter les volumes. Or vous avez peut être des utilisateurs qui partagent votre machine et qui doivent utiliser VeraCrypt, mais vous, vous n'avez aucune envie de leur donner votre mot de passe root. Il est possible de leur octroyer le privilège d'exécuter un ou des programmes précis (en l'occurrence VeraCrypt) en tant que root. Pour cela, on va éditer le fichier /etc/sudoers avec la commande :  | veracrypt
121 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. => Donc, une fois VeraCrypt installé, vous pouvez l'utiliser. Cependant, les droits super-utilisateur sont exigés pour monter/démonter les volumes. Or vous avez peut être des utilisateurs qui partagent votre machine et qui doivent utiliser VeraCrypt, mais vous, vous n'avez aucune envie de leur donner votre mot de passe root. Il est possible de leur octroyer le privilège d'exécuter un ou des programmes précis (en l'occurrence VeraCrypt) en tant que root. Pour cela, on va éditer le fichier /etc/sudoers avec la commande :  | peut être => suggestions : ['peut-être']
121 Mot inconnu : VeraCrypt => Donc, une fois VeraCrypt installé, vous pouvez l'utiliser. Cependant, les droits super-utilisateur sont exigés pour monter/démonter les volumes. Or vous avez peut être des utilisateurs qui partagent votre machine et qui doivent utiliser VeraCrypt, mais vous, vous n'avez aucune envie de leur donner votre mot de passe root. Il est possible de leur octroyer le privilège d'exécuter un ou des programmes précis (en l'occurrence VeraCrypt) en tant que root. Pour cela, on va éditer le fichier /etc/sudoers avec la commande :  | veracrypt
121 Mot inconnu : root => Donc, une fois VeraCrypt installé, vous pouvez l'utiliser. Cependant, les droits super-utilisateur sont exigés pour monter/démonter les volumes. Or vous avez peut être des utilisateurs qui partagent votre machine et qui doivent utiliser VeraCrypt, mais vous, vous n'avez aucune envie de leur donner votre mot de passe root. Il est possible de leur octroyer le privilège d'exécuter un ou des programmes précis (en l'occurrence VeraCrypt) en tant que root. Pour cela, on va éditer le fichier /etc/sudoers avec la commande :  | root
121 Mot inconnu : VeraCrypt => Donc, une fois VeraCrypt installé, vous pouvez l'utiliser. Cependant, les droits super-utilisateur sont exigés pour monter/démonter les volumes. Or vous avez peut être des utilisateurs qui partagent votre machine et qui doivent utiliser VeraCrypt, mais vous, vous n'avez aucune envie de leur donner votre mot de passe root. Il est possible de leur octroyer le privilège d'exécuter un ou des programmes précis (en l'occurrence VeraCrypt) en tant que root. Pour cela, on va éditer le fichier /etc/sudoers avec la commande :  | veracrypt
121 Mot inconnu : root => Donc, une fois VeraCrypt installé, vous pouvez l'utiliser. Cependant, les droits super-utilisateur sont exigés pour monter/démonter les volumes. Or vous avez peut être des utilisateurs qui partagent votre machine et qui doivent utiliser VeraCrypt, mais vous, vous n'avez aucune envie de leur donner votre mot de passe root. Il est possible de leur octroyer le privilège d'exécuter un ou des programmes précis (en l'occurrence VeraCrypt) en tant que root. Pour cela, on va éditer le fichier /etc/sudoers avec la commande :  | root
121 Espace(s) en fin de ligne à supprimer. => Donc, une fois VeraCrypt installé, vous pouvez l'utiliser. Cependant, les droits super-utilisateur sont exigés pour monter/démonter les volumes. Or vous avez peut être des utilisateurs qui partagent votre machine et qui doivent utiliser VeraCrypt, mais vous, vous n'avez aucune envie de leur donner votre mot de passe root. Il est possible de leur octroyer le privilège d'exécuter un ou des programmes précis (en l'occurrence VeraCrypt) en tant que root. Pour cela, on va éditer le fichier /etc/sudoers avec la commande :  |   => suggestions : ['']

123 Guillemets typographiques ouvrants. => "sudo visudo'' | " => suggestions : ['«\xa0', '“']
123 Mot inconnu : sudo => "sudo visudo'' | sudo
123 Mot inconnu : visudo => "sudo visudo'' | visudo
123 Guillemets typographiques fermants. => "sudo visudo'' | '' => suggestions : ['\xa0»', '”']

127 Mot inconnu : ALL => ''%**user** ALL=(root) NOPASSWD:/usr/bin/veracrypt'' | all
127 Mot inconnu : root => ''%**user** ALL=(root) NOPASSWD:/usr/bin/veracrypt'' | root
127 Mot inconnu : NOPASSWD => ''%**user** ALL=(root) NOPASSWD:/usr/bin/veracrypt'' | nopasswd

129 Il manque un espace avant la parenthèse. => <note>Remplacer **user** par le nom du(des) utilisateur(s) à qui on accorde le droit d'utiliser VeraCrypt en tant que "sudo".</note> | ( => suggestions : [' (']
129 Écriture invariable. Utilisez un point médian. => <note>Remplacer **user** par le nom du(des) utilisateur(s) à qui on accorde le droit d'utiliser VeraCrypt en tant que "sudo".</note> | utilisateur(s) => suggestions : ['utilisateur·s']
129 Mot inconnu : VeraCrypt => <note>Remplacer **user** par le nom du(des) utilisateur(s) à qui on accorde le droit d'utiliser VeraCrypt en tant que "sudo".</note> | veracrypt
129 Guillemets typographiques ouvrants. => <note>Remplacer **user** par le nom du(des) utilisateur(s) à qui on accorde le droit d'utiliser VeraCrypt en tant que "sudo".</note> | " => suggestions : ['«\xa0', '“']
129 Mot inconnu : sudo => <note>Remplacer **user** par le nom du(des) utilisateur(s) à qui on accorde le droit d'utiliser VeraCrypt en tant que "sudo".</note> | sudo
129 Guillemets typographiques fermants. => <note>Remplacer **user** par le nom du(des) utilisateur(s) à qui on accorde le droit d'utiliser VeraCrypt en tant que "sudo".</note> | " => suggestions : ['\xa0»', '”']

131 Mot inconnu : root => <note tip>-Cela signifie que **user** a le droit d'exécuter le programme "/usr/bin/veracrypt" en tant que (root) sans "NOPASSWD" demande de mot de passe.</note>  | root
131 Guillemets typographiques ouvrants. => <note tip>-Cela signifie que **user** a le droit d'exécuter le programme "/usr/bin/veracrypt" en tant que (root) sans "NOPASSWD" demande de mot de passe.</note>  | " => suggestions : ['«\xa0', '“']
131 Mot inconnu : NOPASSWD => <note tip>-Cela signifie que **user** a le droit d'exécuter le programme "/usr/bin/veracrypt" en tant que (root) sans "NOPASSWD" demande de mot de passe.</note>  | nopasswd
131 Guillemets typographiques fermants. => <note tip>-Cela signifie que **user** a le droit d'exécuter le programme "/usr/bin/veracrypt" en tant que (root) sans "NOPASSWD" demande de mot de passe.</note>  | " => suggestions : ['\xa0»', '”']
131 Espace(s) en fin de ligne à supprimer. => <note tip>-Cela signifie que **user** a le droit d'exécuter le programme "/usr/bin/veracrypt" en tant que (root) sans "NOPASSWD" demande de mot de passe.</note>  |   => suggestions : ['']

133 Guillemets typographiques ouvrants. => <note>Attention, même si aucun mot de passe n'est requis, l'utilisateur doit écrire "sudo" devant la commande</note> | " => suggestions : ['«\xa0', '“']
133 Mot inconnu : sudo => <note>Attention, même si aucun mot de passe n'est requis, l'utilisateur doit écrire "sudo" devant la commande</note> | sudo
133 Guillemets typographiques fermants. => <note>Attention, même si aucun mot de passe n'est requis, l'utilisateur doit écrire "sudo" devant la commande</note> | " => suggestions : ['\xa0»', '”']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.veracrypt.fr|Site officiel]], |    => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://linuxg.net/install-veracrypt-on-ubuntu/|Source (installation par PPA)]] |    => suggestions : ['']
