
5 Mot inconnu : DOSBox => ====== DOSBox : émulateur DOS  ====== | dosbox
117 Typographie : points de suspension. Utilisez le caractère dédié. => ... | ... => suggestions : ['…']

118 Mot inconnu : autoexec => [autoexec] | autoexec

119 Mot inconnu : Lines => # Lines in this section will be run at startup. | lines
119 Mot inconnu : this => # Lines in this section will be run at startup. | this
119 Mot inconnu : will => # Lines in this section will be run at startup. | will
119 Mot inconnu : run => # Lines in this section will be run at startup. | run
119 Mot inconnu : at => # Lines in this section will be run at startup. | at

120 Mot inconnu : mount => mount c /home/moua/dosbox | mount

121 Mot inconnu : mount => mount d /media/cdrom | mount

123 Mot inconnu : mon_jeu => cd mon_jeu | mon_jeu

124 Mot inconnu : mon_jeu => mon_jeu.exe | mon_jeu
124 Mot inconnu : exe => mon_jeu.exe | exe

151 Accord de nombre erroné : « GUI » devrait être au pluriel. => Il existe d'autre part des GUI pour faciliter la configuration de DOSBox. | gui => suggestions : ['GUIS']
151 Mot inconnu : DOSBox => Il existe d'autre part des GUI pour faciliter la configuration de DOSBox. | dosbox

161 Mot inconnu : dosbox => Le plus simple pour mettre le clavier en AZERTY est de modifier le fichier **~/.dosbox/dosbox-**//num_version//**.conf** et de changer la disposition de clavier. Vers la fin du fichier on trouve la partie **[dos]**: | dosbox
161 Mot inconnu : dosbox => Le plus simple pour mettre le clavier en AZERTY est de modifier le fichier **~/.dosbox/dosbox-**//num_version//**.conf** et de changer la disposition de clavier. Vers la fin du fichier on trouve la partie **[dos]**: | dosbox
161 Mot inconnu : num_version => Le plus simple pour mettre le clavier en AZERTY est de modifier le fichier **~/.dosbox/dosbox-**//num_version//**.conf** et de changer la disposition de clavier. Vers la fin du fichier on trouve la partie **[dos]**: | num_version

175 Mot inconnu : keyb => (On peut aussi taper **keyb fr** en tant que commande, tout simplement) | keyb
177 Mot inconnu : ok => <note>Corrigé sur les dernières versions : 0.71 ok</note> | ok

179 Mot inconnu : DOSBox => Modifier la définition du clavier sous Linux avant de lancer DOSBox : | dosbox

183 Mot inconnu : keyb => Utilisez ensuite le programme keyb.com pour retrouver votre clavier dans DOSBox. | keyb
183 Mot inconnu : DOSBox => Utilisez ensuite le programme keyb.com pour retrouver votre clavier dans DOSBox. | dosbox

185 Mot inconnu : Xkeyb => Il est aussi possible d'utiliser Xkeyb 1.5. site : http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/xkeyb/xkeyb/ | xkeyb

187 Mot inconnu : DOSBox => Une fois DOSBox fini, redéfinissez votre clavier en français : | dosbox
201 Mot inconnu : DOSBox => Vous pouvez être amené à rencontrer le problème suivant : Si une application utilise votre carte son, il n'y aura pas de son sur DOSBox. Et inversement, si vous avez du son sur DOSBox, mais que vous lancez un lecteur de musique, il ne fonctionnera pas. | dosbox
201 Mot inconnu : DOSBox => Vous pouvez être amené à rencontrer le problème suivant : Si une application utilise votre carte son, il n'y aura pas de son sur DOSBox. Et inversement, si vous avez du son sur DOSBox, mais que vous lancez un lecteur de musique, il ne fonctionnera pas. | dosbox

203 Mot inconnu : Pulseaudio => Ceci est dû à Pulseaudio, encore relativement nouveau, et intégré à la "va-vite" dans Ubuntu, ce qui cause pas mal de bugs. | pulseaudio
203 Guillemets typographiques ouvrants. => Ceci est dû à Pulseaudio, encore relativement nouveau, et intégré à la "va-vite" dans Ubuntu, ce qui cause pas mal de bugs. | " => suggestions : ['«\xa0', '“']
203 Guillemets typographiques fermants. => Ceci est dû à Pulseaudio, encore relativement nouveau, et intégré à la "va-vite" dans Ubuntu, ce qui cause pas mal de bugs. | " => suggestions : ['\xa0»', '”']
205 Mot inconnu : libsdl1 => Il y a 2 solutions : installer le paquet **libsdl1.2debian-pulseaudio** dans synaptic, ou alors désinstaller le paquet **pulseaudio** purement et simplement. | libsdl1
205 Mot inconnu : debian-pulseaudio => Il y a 2 solutions : installer le paquet **libsdl1.2debian-pulseaudio** dans synaptic, ou alors désinstaller le paquet **pulseaudio** purement et simplement. | debian-pulseaudio
205 Mot inconnu : synaptic => Il y a 2 solutions : installer le paquet **libsdl1.2debian-pulseaudio** dans synaptic, ou alors désinstaller le paquet **pulseaudio** purement et simplement. | synaptic
205 Mot inconnu : pulseaudio => Il y a 2 solutions : installer le paquet **libsdl1.2debian-pulseaudio** dans synaptic, ou alors désinstaller le paquet **pulseaudio** purement et simplement. | pulseaudio

214 Guillemets typographiques ouvrants. => Problème rencontré sur Ubuntu 8.10. Les touches "fléchées" ne fonctionnent pas dans DOSBox. Pour cela, vous devez ajouter une ligne dans votre fichier de configuration. Si vous avez suivi le tuto sur cette page, ce devrait être le fichier "dosbox.conf" dans votre répertoire personnel. | " => suggestions : ['«\xa0', '“']
214 Guillemets typographiques fermants. => Problème rencontré sur Ubuntu 8.10. Les touches "fléchées" ne fonctionnent pas dans DOSBox. Pour cela, vous devez ajouter une ligne dans votre fichier de configuration. Si vous avez suivi le tuto sur cette page, ce devrait être le fichier "dosbox.conf" dans votre répertoire personnel. | " => suggestions : ['\xa0»', '”']
214 Mot inconnu : DOSBox => Problème rencontré sur Ubuntu 8.10. Les touches "fléchées" ne fonctionnent pas dans DOSBox. Pour cela, vous devez ajouter une ligne dans votre fichier de configuration. Si vous avez suivi le tuto sur cette page, ce devrait être le fichier "dosbox.conf" dans votre répertoire personnel. | dosbox
214 Guillemets typographiques ouvrants. => Problème rencontré sur Ubuntu 8.10. Les touches "fléchées" ne fonctionnent pas dans DOSBox. Pour cela, vous devez ajouter une ligne dans votre fichier de configuration. Si vous avez suivi le tuto sur cette page, ce devrait être le fichier "dosbox.conf" dans votre répertoire personnel. | " => suggestions : ['«\xa0', '“']
214 Mot inconnu : dosbox => Problème rencontré sur Ubuntu 8.10. Les touches "fléchées" ne fonctionnent pas dans DOSBox. Pour cela, vous devez ajouter une ligne dans votre fichier de configuration. Si vous avez suivi le tuto sur cette page, ce devrait être le fichier "dosbox.conf" dans votre répertoire personnel. | dosbox
214 Il manque un espace. => Problème rencontré sur Ubuntu 8.10. Les touches "fléchées" ne fonctionnent pas dans DOSBox. Pour cela, vous devez ajouter une ligne dans votre fichier de configuration. Si vous avez suivi le tuto sur cette page, ce devrait être le fichier "dosbox.conf" dans votre répertoire personnel. | conf => suggestions : [' conf']
214 Guillemets typographiques fermants. => Problème rencontré sur Ubuntu 8.10. Les touches "fléchées" ne fonctionnent pas dans DOSBox. Pour cela, vous devez ajouter une ligne dans votre fichier de configuration. Si vous avez suivi le tuto sur cette page, ce devrait être le fichier "dosbox.conf" dans votre répertoire personnel. | " => suggestions : ['\xa0»', '”']

216 Guillemets typographiques ouvrants. => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | " => suggestions : ['«\xa0', '“']
216 Mot inconnu : usescancodes => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | usescancodes
216 Mot inconnu : true => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | true
216 Guillemets typographiques fermants. => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | " => suggestions : ['\xa0»', '”']
216 Guillemets typographiques ouvrants. => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | " => suggestions : ['«\xa0', '“']
216 Mot inconnu : true => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | true
216 Guillemets typographiques fermants. => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | " => suggestions : ['\xa0»', '”']
216 Guillemets typographiques ouvrants. => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | " => suggestions : ['«\xa0', '“']
216 Mot inconnu : false => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | false
216 Guillemets typographiques fermants. => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | " => suggestions : ['\xa0»', '”']
216 Mot inconnu : DOSBox => Ouvrez ce fichier, trouvez la ligne "usescancodes=true" et remplacez "true" par "false". Enregistrez et (re)lancez DOSBox. Le clavier sera passé en QWERTY, mais au moins les touches fléchées fonctionneront. | dosbox

220 Mot inconnu : F9 => Changer le CD en ouvrant le lecteur (si vous n'avez pas de boutons, CTRL--F9 puis éjecter) puis retourner dans le jeu et faites CTRL--F4 et voilà c'était plus simple que prévu. | f9
220 Mot inconnu : F4 => Changer le CD en ouvrant le lecteur (si vous n'avez pas de boutons, CTRL--F9 puis éjecter) puis retourner dans le jeu et faites CTRL--F4 et voilà c'était plus simple que prévu. | f4

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
