
5 Mot inconnu : Gmencoder => ====== Gmencoder ====== | gmencoder
29 Mot inconnu : README => En effet, il manque un fichier de configuration qui donne à gmencoder la liste des filtres à utiliser pour redimensionner (Le menu déroulant est vide...). On trouve dans le README de la version 0.1.0 une note indiquant qu'il faut fournir ce fichier de configuration soit dans /etc/gmencoder_opts soit dans $HOME/.gmencorer/gmencoder_opts Par ailleurs, un exemple de fichier est donné et se trouve dans le répertoire etc de l'archive suivante : [[http://tutuxclan.free.fr/debs/gmencoder_0.1.0.orig.tar.gz]] </note> | readme
29 Mot inconnu : gmencorer => En effet, il manque un fichier de configuration qui donne à gmencoder la liste des filtres à utiliser pour redimensionner (Le menu déroulant est vide...). On trouve dans le README de la version 0.1.0 une note indiquant qu'il faut fournir ce fichier de configuration soit dans /etc/gmencoder_opts soit dans $HOME/.gmencorer/gmencoder_opts Par ailleurs, un exemple de fichier est donné et se trouve dans le répertoire etc de l'archive suivante : [[http://tutuxclan.free.fr/debs/gmencoder_0.1.0.orig.tar.gz]] </note> | gmencorer
29 Mot inconnu : gmencoder_opts => En effet, il manque un fichier de configuration qui donne à gmencoder la liste des filtres à utiliser pour redimensionner (Le menu déroulant est vide...). On trouve dans le README de la version 0.1.0 une note indiquant qu'il faut fournir ce fichier de configuration soit dans /etc/gmencoder_opts soit dans $HOME/.gmencorer/gmencoder_opts Par ailleurs, un exemple de fichier est donné et se trouve dans le répertoire etc de l'archive suivante : [[http://tutuxclan.free.fr/debs/gmencoder_0.1.0.orig.tar.gz]] </note> | gmencoder_opts

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Choisissez la source. |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). |    => suggestions : ['']
39 Guillemets typographiques ouvrants. =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | " => suggestions : ['«\xa0', '“']
39 Guillemets typographiques fermants. =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | " => suggestions : ['\xa0»', '”']
39 Guillemets typographiques ouvrants. =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : delete =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | delete
39 Mot inconnu : the =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | the
39 Mot inconnu : copy =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | copy
39 Mot inconnu : to =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | to
39 Mot inconnu : disk =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | disk
39 Mot inconnu : by =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | by
39 Mot inconnu : default =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | default
39 Guillemets typographiques fermants. =>   *Dans les préférences (bouton "Config" en bas de la fenêtre), décocher l'option de suppression de la copie ("delete the copy to disk file after encode by default" en anglais). | " => suggestions : ['\xa0»', '”']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Choisissez vos dossiers de destination pour les fichiers temporaires et de copie. |    => suggestions : ['']

43 Mot inconnu : __Mode => __Mode 3 passes :__ | __mode
43 Mot inconnu : __ => __Mode 3 passes :__ | __

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 1ère passe : le son |    => suggestions : ['']
44 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>   * 1ère passe : le son | 1ère => suggestions : ['1ʳᵉ']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 2ème et 3ème : la vidéo en 2 passes |    => suggestions : ['']
45 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>   * 2ème et 3ème : la vidéo en 2 passes | 2ème => suggestions : ['2ᵉ']
45 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>   * 2ème et 3ème : la vidéo en 2 passes | 3ème => suggestions : ['3ᵉ']

46 Mot inconnu : __Mode => __Mode une passe :__ le son est encodé à la volée. | __mode
46 Mot inconnu : __ => __Mode une passe :__ le son est encodé à la volée. | __

49 Guillemets typographiques ouvrants. => **Surtout, analyser quelques minutes votre document (bouton "Analyse file") avant de lancer l'encodage.** | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. => **Surtout, analyser quelques minutes votre document (bouton "Analyse file") avant de lancer l'encodage.** | " => suggestions : ['\xa0»', '”']

51 Espace(s) en fin de ligne à supprimer. => ===== Lien =====  |   => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[http://gmencoder.sourceforge.net/|Site officiel]]. |    => suggestions : ['']
