
3 Mot inconnu : Désinstallateur => ====== Désinstallateur d’OS ====== | désinstallateur
16 Mot inconnu : OS-Uninstaller => Par commodité, ou si le PC où se trouve l’OS à désinstaller n’a pas de connexion internet, vous pouvez télécharger un disque avec OS‑Uninstaller pré‑installé, par exemple [[https://sourceforge.net/projects/boot-repair-cd/files/|Boot-Repair-Disk]]. Démarrez l’ordinateur sur ce disque, choisissez //Essayer Ubuntu//, quittez Boot-Repair, puis lancez OS-Uninstaller via le lanceur en bas à gauche. | os-uninstaller

19 Mot inconnu : Uninstaller => === Installer OS‑Uninstaller dans un liveCD (ou une liveUSB) Ubuntu === | uninstaller
19 Mot inconnu : liveCD => === Installer OS‑Uninstaller dans un liveCD (ou une liveUSB) Ubuntu === | livecd
19 Mot inconnu : liveUSB => === Installer OS‑Uninstaller dans un liveCD (ou une liveUSB) Ubuntu === | liveusb

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

49 Mot inconnu : Uninstaller => ==== Blocage de la mise à jour de OS‑Uninstaller ==== | uninstaller

51 Mot inconnu : Uninstaller => Il arrive que la mise à jour de OS‑Uninstaller bloque, si vous utilisez une version trop ancienne (v.3.03 et antérieures). | uninstaller

56 Espace(s) surnuméraire(s) à supprimer. => ==== Démarrage impossible après désinstallation d'Ubuntu  ==== |    => suggestions : [' ']

57 Accord erroné : “Ubuntu” et “supprimé” ne sont pas accordés. Mettez au féminin pluriel. => Quasi systématique lorsque Ubuntu est supprimé et que Windows est conservé. Cet outil ne reconstruit pas le secteur de démarrage des boots LEGACY. | supprimé => suggestions : ['supprimée']
57 Mot inconnu : boots => Quasi systématique lorsque Ubuntu est supprimé et que Windows est conservé. Cet outil ne reconstruit pas le secteur de démarrage des boots LEGACY. | boots
57 Mot inconnu : LEGACY => Quasi systématique lorsque Ubuntu est supprimé et que Windows est conservé. Cet outil ne reconstruit pas le secteur de démarrage des boots LEGACY. | legacy

60 Mot inconnu : EFI => ==== L'entrée EFI n'est pas supprimée ==== | efi

62 Mot inconnu : boot-efi => **Cet outil ne supprime pas l'entrée de boot-efi.**  | boot-efi
62 Espace(s) en fin de ligne à supprimer. => **Cet outil ne supprime pas l'entrée de boot-efi.**  |   => suggestions : ['']

63 Mot inconnu : booter => Pour la supprimer, il faut de nouveau booter avec la live-usb d'installation, identifier  les lignes de boot que l'OS a installé via la commande | booter
63 Mot inconnu : live-usb => Pour la supprimer, il faut de nouveau booter avec la live-usb d'installation, identifier  les lignes de boot que l'OS a installé via la commande | live-usb
63 Espace(s) surnuméraire(s) à supprimer. => Pour la supprimer, il faut de nouveau booter avec la live-usb d'installation, identifier  les lignes de boot que l'OS a installé via la commande |    => suggestions : [' ']
63 Mot inconnu : boot => Pour la supprimer, il faut de nouveau booter avec la live-usb d'installation, identifier  les lignes de boot que l'OS a installé via la commande | boot

67 Espace(s) en fin de ligne à supprimer. => **EXEMPLE :**  |   => suggestions : ['']
77 Il manque un trait d’union. => Dans ce résultat, la ligne qui concerne ubuntu est celle ci : | celle ci => suggestions : ['celle-ci']

81 Guillemets typographiques ouvrants. => Le premier caractère de cette ligne est "B" les caractères 5 à 8 de cette ligne sont "0001". | " => suggestions : ['«\xa0', '“']
81 Guillemets typographiques fermants. => Le premier caractère de cette ligne est "B" les caractères 5 à 8 de cette ligne sont "0001". | " => suggestions : ['\xa0»', '”']
81 Guillemets typographiques ouvrants. => Le premier caractère de cette ligne est "B" les caractères 5 à 8 de cette ligne sont "0001". | " => suggestions : ['«\xa0', '“']
81 Guillemets typographiques fermants. => Le premier caractère de cette ligne est "B" les caractères 5 à 8 de cette ligne sont "0001". | " => suggestions : ['\xa0»', '”']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
