
4 Mot inconnu : KmyMoney => ====== KmyMoney ====== | kmymoney
20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * description des opérations avec : date, tiers, montant, devise, catégorie et sous-catégorie, notes, références bancaires, etc. ; |      => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * opérations planifiées avec validation automatique ou manuelle ; |      => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * surveillance des échéances ; |      => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Création de budgets; |      => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Prévisionnel de trésorerie;  |      => suggestions : ['']
24 Espace(s) en fin de ligne à supprimer. =>     * Prévisionnel de trésorerie;  |   => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * analyse et rapports financiers (graphiques) ; |      => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * impression des états ; |      => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * import de fichiers au format QIF, OFX, [[GnuCash]] ; |      => suggestions : ['']
27 Mot inconnu : QIF =>     * import de fichiers au format QIF, OFX, [[GnuCash]] ; | qif
27 Mot inconnu : OFX =>     * import de fichiers au format QIF, OFX, [[GnuCash]] ; | ofx
27 Mot inconnu : GnuCash =>     * import de fichiers au format QIF, OFX, [[GnuCash]] ; | gnucash

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * export de fichiers au format QIF. |      => suggestions : ['']
28 Mot inconnu : QIF =>     * export de fichiers au format QIF. | qif

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * le rapprochement par Internet. |      => suggestions : ['']

39 Mot inconnu : FCP => ==== Suivre vos actions, FCP, Sicav... ==== | fcp
39 Typographie : points de suspension. Utilisez le caractère dédié. => ==== Suivre vos actions, FCP, Sicav... ==== | ... => suggestions : ['…']

40 Mot inconnu : kmymoney => Pour suivre l'évolution de votre portefeuille de valeurs mobilières et configurez kmymoney: consultez la page [[bourse]]. | kmymoney

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sous Ubuntu gnome 16.04, la version 4.6.6 par défaut, ses icônes de fonctionnalités ("registres", "catégories", etc...) sont cassés (absents), mais l'installation de la version 4.8.0 (à partir du PPA voir ci-dessus) règle le problème. |    => suggestions : ['']
43 Guillemets typographiques ouvrants. =>   * Sous Ubuntu gnome 16.04, la version 4.6.6 par défaut, ses icônes de fonctionnalités ("registres", "catégories", etc...) sont cassés (absents), mais l'installation de la version 4.8.0 (à partir du PPA voir ci-dessus) règle le problème. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Sous Ubuntu gnome 16.04, la version 4.6.6 par défaut, ses icônes de fonctionnalités ("registres", "catégories", etc...) sont cassés (absents), mais l'installation de la version 4.8.0 (à partir du PPA voir ci-dessus) règle le problème. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Sous Ubuntu gnome 16.04, la version 4.6.6 par défaut, ses icônes de fonctionnalités ("registres", "catégories", etc...) sont cassés (absents), mais l'installation de la version 4.8.0 (à partir du PPA voir ci-dessus) règle le problème. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Sous Ubuntu gnome 16.04, la version 4.6.6 par défaut, ses icônes de fonctionnalités ("registres", "catégories", etc...) sont cassés (absents), mais l'installation de la version 4.8.0 (à partir du PPA voir ci-dessus) règle le problème. | " => suggestions : ['\xa0»', '”']
43 Un seul point après « etc. » =>   * Sous Ubuntu gnome 16.04, la version 4.6.6 par défaut, ses icônes de fonctionnalités ("registres", "catégories", etc...) sont cassés (absents), mais l'installation de la version 4.8.0 (à partir du PPA voir ci-dessus) règle le problème. | etc... => suggestions : ['etc.']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * problème d'affichage sur écran 1024 x 600 16:9 -->   Kmymoney déborde de l'écran, il semble mal codé en dur et ne s'ajuste pas: la seule solution est de cliquer droit sur la barre de fenêtre en haut et d'ajuster  en tirant du coté qui ne va pas l'icone de souris qui se modifie :-) |    => suggestions : ['']
44 Signe de multiplication typographique. =>   * problème d'affichage sur écran 1024 x 600 16:9 -->   Kmymoney déborde de l'écran, il semble mal codé en dur et ne s'ajuste pas: la seule solution est de cliquer droit sur la barre de fenêtre en haut et d'ajuster  en tirant du coté qui ne va pas l'icone de souris qui se modifie :-) | 1024 x 600 => suggestions : ['1024\xa0×\xa0600']
44 Mot inconnu : Kmymoney =>   * problème d'affichage sur écran 1024 x 600 16:9 -->   Kmymoney déborde de l'écran, il semble mal codé en dur et ne s'ajuste pas: la seule solution est de cliquer droit sur la barre de fenêtre en haut et d'ajuster  en tirant du coté qui ne va pas l'icone de souris qui se modifie :-) | kmymoney
44 Espace(s) surnuméraire(s) à supprimer. =>   * problème d'affichage sur écran 1024 x 600 16:9 -->   Kmymoney déborde de l'écran, il semble mal codé en dur et ne s'ajuste pas: la seule solution est de cliquer droit sur la barre de fenêtre en haut et d'ajuster  en tirant du coté qui ne va pas l'icone de souris qui se modifie :-) |    => suggestions : [' ']
44 Confusion : “coté” est le participe passé du verbe “coter”. =>   * problème d'affichage sur écran 1024 x 600 16:9 -->   Kmymoney déborde de l'écran, il semble mal codé en dur et ne s'ajuste pas: la seule solution est de cliquer droit sur la barre de fenêtre en haut et d'ajuster  en tirant du coté qui ne va pas l'icone de souris qui se modifie :-) | coté => suggestions : ['côté']
44 Mot inconnu : icone =>   * problème d'affichage sur écran 1024 x 600 16:9 -->   Kmymoney déborde de l'écran, il semble mal codé en dur et ne s'ajuste pas: la seule solution est de cliquer droit sur la barre de fenêtre en haut et d'ajuster  en tirant du coté qui ne va pas l'icone de souris qui se modifie :-) | icone

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *L'importation des fichiers CSV fonctionne mal sous les versions 4.6.1 et 4.6.2 : les montants sont multiplié par 100 (cf : [[https://bugs.kde.org/show_bug.cgi?id=302181]] ) |    => suggestions : ['']
45 Mot inconnu : CSV =>   *L'importation des fichiers CSV fonctionne mal sous les versions 4.6.1 et 4.6.2 : les montants sont multiplié par 100 (cf : [[https://bugs.kde.org/show_bug.cgi?id=302181]] ) | csv
45 Accord erroné : “montants” et “multiplié” ne sont pas accordés. Mettez au pluriel. =>   *L'importation des fichiers CSV fonctionne mal sous les versions 4.6.1 et 4.6.2 : les montants sont multiplié par 100 (cf : [[https://bugs.kde.org/show_bug.cgi?id=302181]] ) | multiplié => suggestions : ['multipliés']
45 Pas d’espace avant ce signe. =>   *L'importation des fichiers CSV fonctionne mal sous les versions 4.6.1 et 4.6.2 : les montants sont multiplié par 100 (cf : [[https://bugs.kde.org/show_bug.cgi?id=302181]] ) |  ) => suggestions : [')']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * A partir de la version 4.6.3 l'importation des fichiers CSV fonctionne correctement. |    => suggestions : ['']
46 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   * A partir de la version 4.6.3 l'importation des fichiers CSV fonctionne correctement. | a => suggestions : ['À']
46 Mot inconnu : CSV =>   * A partir de la version 4.6.3 l'importation des fichiers CSV fonctionne correctement. | csv

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les commandes de configuration de Comptes → Rapport ne fonctionnent qu’en anglais : lancer KMyMoney par cette commande en mode Console : |    => suggestions : ['']
47 Mot inconnu : KMyMoney =>   * Les commandes de configuration de Comptes → Rapport ne fonctionnent qu’en anglais : lancer KMyMoney par cette commande en mode Console : | kmymoney

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       kmymoney --lang=C |        => suggestions : ['']
49 Mot inconnu : kmymoney =>       kmymoney --lang=C | kmymoney
49 Mot inconnu : lang =>       kmymoney --lang=C | lang

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        |        => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://kmymoney.org/|Site officiel]] |    => suggestions : ['']
