
6 Mot inconnu : Glade => ====== Glade : la ligne de code ouvre les fenêtres ====== | glade
31 Accord de genre erroné : « champ » est masculin. => Une fois l’interface réalisée, il faut maintenant l’exploiter avec le code Java et lui faire réaliser les actions que l’on souhaite. \\ Tout d’abord, qu’est-ce que l’on voit sur cette interface GTK+ ? \\ On remarque qu’il y a 4 checkboxes correspondant à l’utilisation (case cochée, par défaut) ou non (case décochée) des types de caractères. \\ On voit aussi une barre pour choisir la taille du mot de passe (valeur par défaut 8). On sait tous qu’un vrai mot de passe se compose d’au moins 8 caractères avec alternance majuscules, minuscules, chiffres et caractères spéciaux. Enfin, il y a 3 boutons, un bouton Quitter (qui veut tout dire), un Actualiser qui va permettre de générer le mot de passe (qui se situera dans la champ de texte) et un bouton Copier pour copier le mot de passe dans le presse-papier. Tous ces boutons sont des boutons “basiques” dont l’icône, le label et le mnemonic sont déjà définis. Nous allons donc voir seulement les actions associées à ses boutons. Pour le reste il vous suffira de voir le code. Ce n’est pas très complexe et il y a des commentaires. | la => suggestions : ['le']
31 Mot inconnu : mnemonic => Une fois l’interface réalisée, il faut maintenant l’exploiter avec le code Java et lui faire réaliser les actions que l’on souhaite. \\ Tout d’abord, qu’est-ce que l’on voit sur cette interface GTK+ ? \\ On remarque qu’il y a 4 checkboxes correspondant à l’utilisation (case cochée, par défaut) ou non (case décochée) des types de caractères. \\ On voit aussi une barre pour choisir la taille du mot de passe (valeur par défaut 8). On sait tous qu’un vrai mot de passe se compose d’au moins 8 caractères avec alternance majuscules, minuscules, chiffres et caractères spéciaux. Enfin, il y a 3 boutons, un bouton Quitter (qui veut tout dire), un Actualiser qui va permettre de générer le mot de passe (qui se situera dans la champ de texte) et un bouton Copier pour copier le mot de passe dans le presse-papier. Tous ces boutons sont des boutons “basiques” dont l’icône, le label et le mnemonic sont déjà définis. Nous allons donc voir seulement les actions associées à ses boutons. Pour le reste il vous suffira de voir le code. Ce n’est pas très complexe et il y a des commentaires. | mnemonic

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     // Exit button |      => suggestions : ['']
36 Mot inconnu : button =>     // Exit button | button

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Button exitButton = (Button) _glade.getWidget("exit_button"); |      => suggestions : ['']
37 Mot inconnu : Button =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | button
37 Mot inconnu : exitButton =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | exitbutton
37 Mot inconnu : Button =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | button
37 Mot inconnu : _glade =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | _glade
37 Mot inconnu : getWidget =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | getwidget
37 Il manque un espace avant la parenthèse. =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | ( => suggestions : [' (']
37 Guillemets typographiques ouvrants. =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | " => suggestions : ['«\xa0', '“']
37 Mot inconnu : exit_button =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | exit_button
37 Guillemets typographiques fermants. =>     Button exitButton = (Button) _glade.getWidget("exit_button"); | " => suggestions : ['\xa0»', '”']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     exitButton.connect(new Button.Clicked() { |      => suggestions : ['']
38 Mot inconnu : exitButton =>     exitButton.connect(new Button.Clicked() { | exitbutton
38 Mot inconnu : connect =>     exitButton.connect(new Button.Clicked() { | connect
38 Il manque un espace avant la parenthèse. =>     exitButton.connect(new Button.Clicked() { | ( => suggestions : [' (']
38 Mot inconnu : Button =>     exitButton.connect(new Button.Clicked() { | button
38 Mot inconnu : Clicked =>     exitButton.connect(new Button.Clicked() { | clicked

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         @Override |          => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         public void onClicked(Button source) { |          => suggestions : ['']
40 Mot inconnu : void =>         public void onClicked(Button source) { | void
40 Mot inconnu : onClicked =>         public void onClicked(Button source) { | onclicked
40 Il manque un espace avant la parenthèse. =>         public void onClicked(Button source) { | ( => suggestions : [' (']
40 Mot inconnu : Button =>         public void onClicked(Button source) { | button

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             Gtk.mainQuit(); |              => suggestions : ['']
41 Mot inconnu : mainQuit =>             Gtk.mainQuit(); | mainquit

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     }); |      => suggestions : ['']
46 Mot inconnu : mainQuit => On récupère l’élément bouton et au clic sur ce bouton on applique l’action Gtk.mainQuit() qui termine la boucle lancée par Gtk.main(). | mainquit
46 Il manque un espace. => On récupère l’élément bouton et au clic sur ce bouton on applique l’action Gtk.mainQuit() qui termine la boucle lancée par Gtk.main(). | main => suggestions : [' main']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     // Refresh button |      => suggestions : ['']
51 Mot inconnu : Refresh =>     // Refresh button | refresh
51 Mot inconnu : button =>     // Refresh button | button

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Button applyButton = (Button) _glade.getWidget("apply_button"); |      => suggestions : ['']
52 Mot inconnu : Button =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | button
52 Mot inconnu : applyButton =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | applybutton
52 Mot inconnu : Button =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | button
52 Mot inconnu : _glade =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | _glade
52 Mot inconnu : getWidget =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | getwidget
52 Il manque un espace avant la parenthèse. =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | ( => suggestions : [' (']
52 Guillemets typographiques ouvrants. =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : apply_button =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | apply_button
52 Guillemets typographiques fermants. =>     Button applyButton = (Button) _glade.getWidget("apply_button"); | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     applyButton.connect(new Button.Clicked() { |      => suggestions : ['']
53 Mot inconnu : applyButton =>     applyButton.connect(new Button.Clicked() { | applybutton
53 Mot inconnu : connect =>     applyButton.connect(new Button.Clicked() { | connect
53 Il manque un espace avant la parenthèse. =>     applyButton.connect(new Button.Clicked() { | ( => suggestions : [' (']
53 Mot inconnu : Button =>     applyButton.connect(new Button.Clicked() { | button
53 Mot inconnu : Clicked =>     applyButton.connect(new Button.Clicked() { | clicked

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         @Override |          => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         public void onClicked(Button source) { |          => suggestions : ['']
55 Mot inconnu : void =>         public void onClicked(Button source) { | void
55 Mot inconnu : onClicked =>         public void onClicked(Button source) { | onclicked
55 Il manque un espace avant la parenthèse. =>         public void onClicked(Button source) { | ( => suggestions : [' (']
55 Mot inconnu : Button =>         public void onClicked(Button source) { | button

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             GtkInterface.this.generatePassword(); |              => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     }); |      => suggestions : ['']

61 Mot inconnu : generatePassword => C'est La méthode generatePassword() qui va vraiment se charger de récupérer un mot de passe et d’actualiser le champ de texte de l’interface. | generatepassword

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     private void generatePassword() { |      => suggestions : ['']
63 Mot inconnu : private =>     private void generatePassword() { | private
63 Mot inconnu : void =>     private void generatePassword() { | void
63 Mot inconnu : generatePassword =>     private void generatePassword() { | generatepassword

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         boolean[] checks = { _digitCheck.getActive(), _upperCheck.getActive(), |          => suggestions : ['']
64 Mot inconnu : boolean =>         boolean[] checks = { _digitCheck.getActive(), _upperCheck.getActive(), | boolean
64 Mot inconnu : checks =>         boolean[] checks = { _digitCheck.getActive(), _upperCheck.getActive(), | checks
64 Mot inconnu : _digitCheck =>         boolean[] checks = { _digitCheck.getActive(), _upperCheck.getActive(), | _digitcheck
64 Mot inconnu : getActive =>         boolean[] checks = { _digitCheck.getActive(), _upperCheck.getActive(), | getactive
64 Mot inconnu : _upperCheck =>         boolean[] checks = { _digitCheck.getActive(), _upperCheck.getActive(), | _uppercheck
64 Mot inconnu : getActive =>         boolean[] checks = { _digitCheck.getActive(), _upperCheck.getActive(), | getactive

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 _lowerCheck.getActive(), _specialCheck.getActive() }; |                  => suggestions : ['']
65 Mot inconnu : _lowerCheck =>                 _lowerCheck.getActive(), _specialCheck.getActive() }; | _lowercheck
65 Mot inconnu : getActive =>                 _lowerCheck.getActive(), _specialCheck.getActive() }; | getactive
65 Mot inconnu : _specialCheck =>                 _lowerCheck.getActive(), _specialCheck.getActive() }; | _specialcheck
65 Mot inconnu : getActive =>                 _lowerCheck.getActive(), _specialCheck.getActive() }; | getactive

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         int length = (int) _lengthScale.getValue(); |          => suggestions : ['']
66 Mot inconnu : int =>         int length = (int) _lengthScale.getValue(); | int
66 Mot inconnu : length =>         int length = (int) _lengthScale.getValue(); | length
66 Mot inconnu : int =>         int length = (int) _lengthScale.getValue(); | int
66 Mot inconnu : _lengthScale =>         int length = (int) _lengthScale.getValue(); | _lengthscale
66 Mot inconnu : getValue =>         int length = (int) _lengthScale.getValue(); | getvalue

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) |          => suggestions : ['']
68 Il manque un espace. =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks => suggestions : [' checks']
68 Mot inconnu : checks =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks
68 Il manque un espace. =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks => suggestions : [' checks']
68 Mot inconnu : checks =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks
68 Il manque un espace. =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks => suggestions : [' checks']
68 Mot inconnu : checks =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks
68 Il manque un espace. =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks => suggestions : [' checks']
68 Mot inconnu : checks =>         if (!checks[0] && !checks[1] && !checks[2] && !checks[3]) | checks

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); |              => suggestions : ['']
69 Mot inconnu : this =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); | this
69 Mot inconnu : errorDialog =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); | errordialog
69 Il manque un espace avant la parenthèse. =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); | ( => suggestions : [' (']
69 Mot inconnu : Languages =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); | languages
69 Mot inconnu : ERROR =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); | error
69 Mot inconnu : Languages =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); | languages
69 Mot inconnu : CHECKBOX_ERROR =>             this.errorDialog(Languages.ERROR, Languages.CHECKBOX_ERROR); | checkbox_error

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         else { |          => suggestions : ['']
70 Mot inconnu : else =>         else { | else

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             String password = Password.randomPassword(length, checks); |              => suggestions : ['']
71 Mot inconnu : password =>             String password = Password.randomPassword(length, checks); | password
71 Mot inconnu : Password =>             String password = Password.randomPassword(length, checks); | password
71 Mot inconnu : randomPassword =>             String password = Password.randomPassword(length, checks); | randompassword
71 Il manque un espace avant la parenthèse. =>             String password = Password.randomPassword(length, checks); | ( => suggestions : [' (']
71 Mot inconnu : length =>             String password = Password.randomPassword(length, checks); | length
71 Mot inconnu : checks =>             String password = Password.randomPassword(length, checks); | checks

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             _passwordEntry.setText(password); |              => suggestions : ['']
72 Mot inconnu : _passwordEntry =>             _passwordEntry.setText(password); | _passwordentry
72 Mot inconnu : setText =>             _passwordEntry.setText(password); | settext
72 Il manque un espace avant la parenthèse. =>             _passwordEntry.setText(password); | ( => suggestions : [' (']
72 Mot inconnu : password =>             _passwordEntry.setText(password); | password

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     } |      => suggestions : ['']

76 Mot inconnu : errorDialog => On récupère la longueur du mot de passe. Et là un test, si on a décoché toutes les cases, on signale une erreur à l’utilisateur via une fenêtre spéciale appelée par la méthode errorDialog(String title, String text). | errordialog
76 Il manque un espace avant la parenthèse. => On récupère la longueur du mot de passe. Et là un test, si on a décoché toutes les cases, on signale une erreur à l’utilisateur via une fenêtre spéciale appelée par la méthode errorDialog(String title, String text). | ( => suggestions : [' (']
76 Mot inconnu : title => On récupère la longueur du mot de passe. Et là un test, si on a décoché toutes les cases, on signale une erreur à l’utilisateur via une fenêtre spéciale appelée par la méthode errorDialog(String title, String text). | title
76 Mot inconnu : text => On récupère la longueur du mot de passe. Et là un test, si on a décoché toutes les cases, on signale une erreur à l’utilisateur via une fenêtre spéciale appelée par la méthode errorDialog(String title, String text). | text

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     // Copy button |      => suggestions : ['']
80 Mot inconnu : Copy =>     // Copy button | copy
80 Mot inconnu : button =>     // Copy button | button

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Button copyButton = (Button) _glade.getWidget("copy_button"); |      => suggestions : ['']
81 Mot inconnu : Button =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | button
81 Mot inconnu : copyButton =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | copybutton
81 Mot inconnu : Button =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | button
81 Mot inconnu : _glade =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | _glade
81 Mot inconnu : getWidget =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | getwidget
81 Il manque un espace avant la parenthèse. =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | ( => suggestions : [' (']
81 Guillemets typographiques ouvrants. =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : copy_button =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | copy_button
81 Guillemets typographiques fermants. =>     Button copyButton = (Button) _glade.getWidget("copy_button"); | " => suggestions : ['\xa0»', '”']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     copyButton.connect(new Button.Clicked() { |      => suggestions : ['']
82 Mot inconnu : copyButton =>     copyButton.connect(new Button.Clicked() { | copybutton
82 Mot inconnu : connect =>     copyButton.connect(new Button.Clicked() { | connect
82 Il manque un espace avant la parenthèse. =>     copyButton.connect(new Button.Clicked() { | ( => suggestions : [' (']
82 Mot inconnu : Button =>     copyButton.connect(new Button.Clicked() { | button
82 Mot inconnu : Clicked =>     copyButton.connect(new Button.Clicked() { | clicked

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         @Override |          => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         public void onClicked(Button source) { |          => suggestions : ['']
84 Mot inconnu : void =>         public void onClicked(Button source) { | void
84 Mot inconnu : onClicked =>         public void onClicked(Button source) { | onclicked
84 Il manque un espace avant la parenthèse. =>         public void onClicked(Button source) { | ( => suggestions : [' (']
84 Mot inconnu : Button =>         public void onClicked(Button source) { | button

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             GtkInterface.this.copyToClipboard(_passwordEntry.getText()); |              => suggestions : ['']
85 Il manque un espace avant la parenthèse. =>             GtkInterface.this.copyToClipboard(_passwordEntry.getText()); | ( => suggestions : [' (']
85 Mot inconnu : _passwordEntry =>             GtkInterface.this.copyToClipboard(_passwordEntry.getText()); | _passwordentry
85 Mot inconnu : getText =>             GtkInterface.this.copyToClipboard(_passwordEntry.getText()); | gettext

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     }); |      => suggestions : ['']

89 Mot inconnu : copyToClipboard => C’est la méthode copyToClipboard(String text) qui va copier le contenu du champ texte dans le presse-papier si bien entendu l’environnement le supporte. Mais ça ne devrait pas poser de problème. Voici le contenu de cette méthode. | copytoclipboard
89 Il manque un espace avant la parenthèse. => C’est la méthode copyToClipboard(String text) qui va copier le contenu du champ texte dans le presse-papier si bien entendu l’environnement le supporte. Mais ça ne devrait pas poser de problème. Voici le contenu de cette méthode. | ( => suggestions : [' (']
89 Mot inconnu : text => C’est la méthode copyToClipboard(String text) qui va copier le contenu du champ texte dans le presse-papier si bien entendu l’environnement le supporte. Mais ça ne devrait pas poser de problème. Voici le contenu de cette méthode. | text

90 Mot inconnu : private => <file C++>    private void copyToClipboard(String password) { | private
90 Mot inconnu : void => <file C++>    private void copyToClipboard(String password) { | void
90 Mot inconnu : copyToClipboard => <file C++>    private void copyToClipboard(String password) { | copytoclipboard
90 Il manque un espace avant la parenthèse. => <file C++>    private void copyToClipboard(String password) { | ( => suggestions : [' (']
90 Mot inconnu : password => <file C++>    private void copyToClipboard(String password) { | password

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         try { |          => suggestions : ['']
91 Mot inconnu : try =>         try { | try

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             StringSelection selection = new StringSelection( |              => suggestions : ['']
92 Mot inconnu : StringSelection =>             StringSelection selection = new StringSelection( | stringselection
92 Mot inconnu : selection =>             StringSelection selection = new StringSelection( | selection
92 Mot inconnu : StringSelection =>             StringSelection selection = new StringSelection( | stringselection

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                     password == null ? "" : password); |                      => suggestions : ['']
93 Mot inconnu : password =>                     password == null ? "" : password); | password
93 Mot inconnu : null =>                     password == null ? "" : password); | null
93 Mot inconnu : password =>                     password == null ? "" : password); | password

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             Toolkit.getDefaultToolkit().getSystemClipboard().setContents( |              => suggestions : ['']
94 Mot inconnu : Toolkit =>             Toolkit.getDefaultToolkit().getSystemClipboard().setContents( | toolkit
94 Mot inconnu : getDefaultToolkit =>             Toolkit.getDefaultToolkit().getSystemClipboard().setContents( | getdefaulttoolkit
94 Mot inconnu : getSystemClipboard =>             Toolkit.getDefaultToolkit().getSystemClipboard().setContents( | getsystemclipboard
94 Mot inconnu : setContents =>             Toolkit.getDefaultToolkit().getSystemClipboard().setContents( | setcontents

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                     selection, null); |                      => suggestions : ['']
95 Mot inconnu : selection =>                     selection, null); | selection
95 Mot inconnu : null =>                     selection, null); | null

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } catch (IllegalStateException e) { |          => suggestions : ['']
96 Mot inconnu : IllegalStateException =>         } catch (IllegalStateException e) { | illegalstateexception

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); |              => suggestions : ['']
97 Mot inconnu : this =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); | this
97 Mot inconnu : errorDialog =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); | errordialog
97 Il manque un espace avant la parenthèse. =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); | ( => suggestions : [' (']
97 Mot inconnu : Languages =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); | languages
97 Mot inconnu : ERROR =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); | error
97 Mot inconnu : Languages =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); | languages
97 Mot inconnu : COPY_ERROR =>             this.errorDialog(Languages.ERROR, Languages.COPY_ERROR); | copy_error

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     } |      => suggestions : ['']

102 Mot inconnu : Ant => N’oubliez pas surtout de regarder tous les autres fichiers pour comprendre le code et tous les appels de méthodes. Et normalement, après compilation (via le script Ant), Il ne reste qu’à dézipper le fichier .zip généré, donner les droits d’exécution au script shell et le lancer (on peut aussi utiliser le Run de Eclipse). Après tout ceci, on obtient notre joli générateur de mot de passe sans aucun problème. | ant
