
3 Mot inconnu : Photoshop => ====== Adobe Photoshop====== | photoshop
38 Espace(s) surnuméraire(s) à supprimer. =>   * cliquez sur  **Nouvel élément**.\\ //(Vous pouvez également faire un raccourci sur le bureau : clic-droit sur le bureau ⇒ Créer un lanceur.)// |    => suggestions : [' ']

44 Guillemets typographiques ouvrants. => Le champ "commentaire" est laissé à votre disposition ;) | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => Le champ "commentaire" est laissé à votre disposition ;) | " => suggestions : ['\xa0»', '”']

50 Mot inconnu : Photoshop => Photoshop fonctionne quasiment comme sous Windows donc pas de problèmes notables. | photoshop

56 Mot inconnu : Photoshop => Photoshop plante après quelques redimensionnements des fenêtres d'outils (calques, etc...). Les outils qui doivent apparaître en dessous (comme nouveau calque ou supprimer un calque) n'apparaissent pas au départ. Il y a moyen de s'en sortir mais le fonctionnement est peu pratique. De plus, lorsque l'on abaisse la fenêtre de Photoshop, les fenêtres d'outils ne s'abaissent pas. Il est donc conseillé de travailler avec deux écrans, et de ne pas redimensionner les fenêtres d'outils. | photoshop
56 Un seul point après « etc. » => Photoshop plante après quelques redimensionnements des fenêtres d'outils (calques, etc...). Les outils qui doivent apparaître en dessous (comme nouveau calque ou supprimer un calque) n'apparaissent pas au départ. Il y a moyen de s'en sortir mais le fonctionnement est peu pratique. De plus, lorsque l'on abaisse la fenêtre de Photoshop, les fenêtres d'outils ne s'abaissent pas. Il est donc conseillé de travailler avec deux écrans, et de ne pas redimensionner les fenêtres d'outils. | etc... => suggestions : ['etc.']
56 Mot inconnu : Photoshop => Photoshop plante après quelques redimensionnements des fenêtres d'outils (calques, etc...). Les outils qui doivent apparaître en dessous (comme nouveau calque ou supprimer un calque) n'apparaissent pas au départ. Il y a moyen de s'en sortir mais le fonctionnement est peu pratique. De plus, lorsque l'on abaisse la fenêtre de Photoshop, les fenêtres d'outils ne s'abaissent pas. Il est donc conseillé de travailler avec deux écrans, et de ne pas redimensionner les fenêtres d'outils. | photoshop

60 Avant « etc. », il faut mettre une virgule. => On notera également que les fenêtres d'outils (calques etc.) ont tendance à disparaître d'elles-mêmes, on peut alors les remettre via le menu mais cela fait disparaître à leur tour les autres fenêtres d'outils. Un bogue assez lourdant à force, mais n'empêchant toutefois pas l'utilisation des fonctions du logiciel (cela semble s'améliorer au fur et à mesure des nouvelles versions de Wine...).  |  etc. => suggestions : [', etc.']
60 Mot inconnu : Wine => On notera également que les fenêtres d'outils (calques etc.) ont tendance à disparaître d'elles-mêmes, on peut alors les remettre via le menu mais cela fait disparaître à leur tour les autres fenêtres d'outils. Un bogue assez lourdant à force, mais n'empêchant toutefois pas l'utilisation des fonctions du logiciel (cela semble s'améliorer au fur et à mesure des nouvelles versions de Wine...).  | wine
60 Typographie : points de suspension. Utilisez le caractère dédié. => On notera également que les fenêtres d'outils (calques etc.) ont tendance à disparaître d'elles-mêmes, on peut alors les remettre via le menu mais cela fait disparaître à leur tour les autres fenêtres d'outils. Un bogue assez lourdant à force, mais n'empêchant toutefois pas l'utilisation des fonctions du logiciel (cela semble s'améliorer au fur et à mesure des nouvelles versions de Wine...).  | ... => suggestions : ['…']
60 Espace(s) en fin de ligne à supprimer. => On notera également que les fenêtres d'outils (calques etc.) ont tendance à disparaître d'elles-mêmes, on peut alors les remettre via le menu mais cela fait disparaître à leur tour les autres fenêtres d'outils. Un bogue assez lourdant à force, mais n'empêchant toutefois pas l'utilisation des fonctions du logiciel (cela semble s'améliorer au fur et à mesure des nouvelles versions de Wine...).  |   => suggestions : ['']

64 Mot inconnu : Wine => Nécessité de mettre à niveau Wine vers la version 1.0 pour pouvoir utiliser confortablement une tablette graphique Wacom sous Photoshop 7. | wine
64 Mot inconnu : Wacom => Nécessité de mettre à niveau Wine vers la version 1.0 pour pouvoir utiliser confortablement une tablette graphique Wacom sous Photoshop 7. | wacom
64 Mot inconnu : Photoshop => Nécessité de mettre à niveau Wine vers la version 1.0 pour pouvoir utiliser confortablement une tablette graphique Wacom sous Photoshop 7. | photoshop

66 Mot inconnu : PhotoShop => Les palettes d'outils de PhotoShop peuvent se cacher derrière la fenêtre principale. \\  | photoshop
66 Espace(s) en fin de ligne à supprimer. => Les palettes d'outils de PhotoShop peuvent se cacher derrière la fenêtre principale. \\  |   => suggestions : ['']

69 Mot inconnu : Winecfg => 2°_ Lancer Winecfg, onglet affichage et décocher 'émuler un bureau virtuel' | winecfg
69 Guillemets typographiques ouvrants. => 2°_ Lancer Winecfg, onglet affichage et décocher 'émuler un bureau virtuel' | ' => suggestions : ['“', '‘', '‹']
69 Guillemets typographiques fermants. => 2°_ Lancer Winecfg, onglet affichage et décocher 'émuler un bureau virtuel' | ' => suggestions : ['”', '’', '›']

70 Mot inconnu : Photoshop => ===== Photoshop CS2 =====  | photoshop
70 Mot inconnu : CS2 => ===== Photoshop CS2 =====  | cs2
70 Espace(s) en fin de ligne à supprimer. => ===== Photoshop CS2 =====  |   => suggestions : ['']

74 Mot inconnu : Photoshop => L'installation est maintenant identique à celle de Photoshop 7, sauf que l'exécutable d'installation se trouve dans le dossier Adobe Photoshop CS2 du CD et non pas à la racine. | photoshop
74 Mot inconnu : Photoshop => L'installation est maintenant identique à celle de Photoshop 7, sauf que l'exécutable d'installation se trouve dans le dossier Adobe Photoshop CS2 du CD et non pas à la racine. | photoshop
74 Mot inconnu : CS2 => L'installation est maintenant identique à celle de Photoshop 7, sauf que l'exécutable d'installation se trouve dans le dossier Adobe Photoshop CS2 du CD et non pas à la racine. | cs2

76 Mot inconnu : Wine => Après l'installation, si le raccourci n'est pas apparu dans //Menu Application → **Wine**//, vous pouvez créer un raccourci pour pouvoir l'ouvrir plus facilement. | wine

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour faire un raccourci dans le menu : |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Faites un clic droit sur Applications ; |      => suggestions : ['']
79 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Faites un clic droit sur Applications ; |  -  => suggestions : [' – ', ' — ', ' − ']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Éditer le menu et choisissez alors l'endroit dans lequel vous souhaitez mettre le raccourci ; |      => suggestions : ['']
80 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Éditer le menu et choisissez alors l'endroit dans lequel vous souhaitez mettre le raccourci ; |  -  => suggestions : [' – ', ' — ', ' − ']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Faites **Nouvel élément**. |      => suggestions : ['']
81 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Faites **Nouvel élément**. |  -  => suggestions : [' – ', ' — ', ' − ']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour créer un raccourci sur le bureau :  |    => suggestions : ['']
82 Espace(s) en fin de ligne à supprimer. =>   * Pour créer un raccourci sur le bureau :  |   => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Faite un clic droit sur le bureau ; |      => suggestions : ['']
83 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Faite un clic droit sur le bureau ; |  -  => suggestions : [' – ', ' — ', ' − ']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Créer un lanceur. |      => suggestions : ['']
84 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Créer un lanceur. |  -  => suggestions : [' – ', ' — ', ' − ']

86 Guillemets typographiques ouvrants. => Dans les deux cas choisissez dans Type "application" dans la fenêtre qui s'affiche. | " => suggestions : ['«\xa0', '“']
86 Guillemets typographiques fermants. => Dans les deux cas choisissez dans Type "application" dans la fenêtre qui s'affiche. | " => suggestions : ['\xa0»', '”']
88 Mot inconnu : Photoshop => Nom : Photoshop CS2 | photoshop
88 Mot inconnu : CS2 => Nom : Photoshop CS2 | cs2

91 Mot inconnu : Photoshop => Sur certaines versions de Photoshop CS2 (la française ?), il se peut que vous ayez un souci avec l'outil Texte qui fait crasher l'application ou qui envoie un message d'erreur :  | photoshop
91 Mot inconnu : CS2 => Sur certaines versions de Photoshop CS2 (la française ?), il se peut que vous ayez un souci avec l'outil Texte qui fait crasher l'application ou qui envoie un message d'erreur :  | cs2
91 S’il s’agit d’un gentilé, mettez une majuscule. => Sur certaines versions de Photoshop CS2 (la française ?), il se peut que vous ayez un souci avec l'outil Texte qui fait crasher l'application ou qui envoie un message d'erreur :  | française => suggestions : ['Française']
91 Espace(s) en fin de ligne à supprimer. => Sur certaines versions de Photoshop CS2 (la française ?), il se peut que vous ayez un souci avec l'outil Texte qui fait crasher l'application ou qui envoie un message d'erreur :  |   => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; |    => suggestions : ['']
92 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; |  -  => suggestions : [' – ', ' — ', ' − ']
92 Mot inconnu : atmlib =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; | atmlib
92 Mot inconnu : dll =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; | dll

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. |    => suggestions : ['']
93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. |  -  => suggestions : [' – ', ' — ', ' − ']
93 Mot inconnu : systeme3 =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. | systeme3
93 Mot inconnu : Wine =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. | wine

95 Mot inconnu : CS4 => Ce problème est également connu avec la CS4 et se règle de la même façon. | cs4

99 Mot inconnu : Photoshop => Vous pouvez toutefois utiliser une autre méthode afin d'installer Photoshop CS2.  Cette seconde méthode consiste à récupérer les fichiers installés sur une machine Windows et de les "importer" sur votre machine Linux. | photoshop
99 Mot inconnu : CS2 => Vous pouvez toutefois utiliser une autre méthode afin d'installer Photoshop CS2.  Cette seconde méthode consiste à récupérer les fichiers installés sur une machine Windows et de les "importer" sur votre machine Linux. | cs2
99 Espace(s) surnuméraire(s) à supprimer. => Vous pouvez toutefois utiliser une autre méthode afin d'installer Photoshop CS2.  Cette seconde méthode consiste à récupérer les fichiers installés sur une machine Windows et de les "importer" sur votre machine Linux. |    => suggestions : [' ']
99 Guillemets typographiques ouvrants. => Vous pouvez toutefois utiliser une autre méthode afin d'installer Photoshop CS2.  Cette seconde méthode consiste à récupérer les fichiers installés sur une machine Windows et de les "importer" sur votre machine Linux. | " => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. => Vous pouvez toutefois utiliser une autre méthode afin d'installer Photoshop CS2.  Cette seconde méthode consiste à récupérer les fichiers installés sur une machine Windows et de les "importer" sur votre machine Linux. | " => suggestions : ['\xa0»', '”']

101 Mot inconnu : Photoshop => Pour cela, procédez si ce n'est pas déjà fait à l'installation de Photoshop CS2 sous Windows. Enregistrez votre copie comme demandé lors de l'installation. | photoshop
101 Mot inconnu : CS2 => Pour cela, procédez si ce n'est pas déjà fait à l'installation de Photoshop CS2 sous Windows. Enregistrez votre copie comme demandé lors de l'installation. | cs2
105 Guillemets typographiques ouvrants. => Toujours sous Windows, ouvrez l'éditeur de registre (faites la combinaison de touche windows+r et tapez "regedit") et exportez la clé suivante : HKEY_LOCAL_MACHINE/Software/Adobe/. | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : regedit => Toujours sous Windows, ouvrez l'éditeur de registre (faites la combinaison de touche windows+r et tapez "regedit") et exportez la clé suivante : HKEY_LOCAL_MACHINE/Software/Adobe/. | regedit
105 Guillemets typographiques fermants. => Toujours sous Windows, ouvrez l'éditeur de registre (faites la combinaison de touche windows+r et tapez "regedit") et exportez la clé suivante : HKEY_LOCAL_MACHINE/Software/Adobe/. | " => suggestions : ['\xa0»', '”']
105 Mot inconnu : HKEY_LOCAL_MACHINE => Toujours sous Windows, ouvrez l'éditeur de registre (faites la combinaison de touche windows+r et tapez "regedit") et exportez la clé suivante : HKEY_LOCAL_MACHINE/Software/Adobe/. | hkey_local_machine

111 Mot inconnu : wine => Dès lors, rendez-vous dans le répertoire ~/.wine/drive_c/Program Files/ et collez le répertoire "Adobe" issu de votre PC Windows. | wine
111 Mot inconnu : drive_c => Dès lors, rendez-vous dans le répertoire ~/.wine/drive_c/Program Files/ et collez le répertoire "Adobe" issu de votre PC Windows. | drive_c
111 Mot inconnu : Program => Dès lors, rendez-vous dans le répertoire ~/.wine/drive_c/Program Files/ et collez le répertoire "Adobe" issu de votre PC Windows. | program
111 Guillemets typographiques ouvrants. => Dès lors, rendez-vous dans le répertoire ~/.wine/drive_c/Program Files/ et collez le répertoire "Adobe" issu de votre PC Windows. | " => suggestions : ['«\xa0', '“']
111 Guillemets typographiques fermants. => Dès lors, rendez-vous dans le répertoire ~/.wine/drive_c/Program Files/ et collez le répertoire "Adobe" issu de votre PC Windows. | " => suggestions : ['\xa0»', '”']

115 Mot inconnu : wine => wine regedit [NOM_FICHIER].reg</code> | wine
115 Mot inconnu : regedit => wine regedit [NOM_FICHIER].reg</code> | regedit
115 Mot inconnu : NOM_FICHIER => wine regedit [NOM_FICHIER].reg</code> | nom_fichier

116 Mot inconnu : NOM_FICHIER => (où [NOM_FICHIER] est le nom de l'export). | nom_fichier

118 Mot inconnu : Photoshop => Vous pouvez dorénavant lancer Photoshop (en modifiant éventuellement les chemins d'accès) : | photoshop

124 Mot inconnu : Photohop => Si certaines polices des menus sont floues, dans Photohop :  | photohop
124 Espace(s) en fin de ligne à supprimer. => Si certaines polices des menus sont floues, dans Photohop :  |   => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Allez dans le menu //Édition → Préférences→ Préférences → **Général**// ; |    => suggestions : ['']
125 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Allez dans le menu //Édition → Préférences→ Préférences → **Général**// ; |  -  => suggestions : [' – ', ' — ', ' − ']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; |    => suggestions : ['']
126 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; |  -  => suggestions : [' – ', ' — ', ' − ']
126 Guillemets typographiques ouvrants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['«\xa0', '“']
126 Guillemets typographiques fermants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['\xa0»', '”']
126 Guillemets typographiques ouvrants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['«\xa0', '“']
126 Guillemets typographiques fermants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['\xa0»', '”']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redémarrer Photoshop pour que la modification soit effective. |    => suggestions : ['']
127 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redémarrer Photoshop pour que la modification soit effective. |  -  => suggestions : [' – ', ' — ', ' − ']
127 Mot inconnu : Photoshop =>   - Redémarrer Photoshop pour que la modification soit effective. | photoshop

129 Mot inconnu : Photoshop => ===== Photoshop CS3 et CS4 ===== | photoshop
129 Mot inconnu : CS3 => ===== Photoshop CS3 et CS4 ===== | cs3
129 Mot inconnu : CS4 => ===== Photoshop CS3 et CS4 ===== | cs4

132 Mot inconnu : Photoshop => Cela fonctionne qu'avec une **version portable** (donc piratée) de Photoshop et une version de Wine supérieure ou égale à la **1.1.24**. | photoshop
132 Mot inconnu : Wine => Cela fonctionne qu'avec une **version portable** (donc piratée) de Photoshop et une version de Wine supérieure ou égale à la **1.1.24**. | wine

134 Mot inconnu : FIXME => FIXME veuillez essayer avec une version officielle **et légale**, depuis le temps c'est peut être supporté, si c'est le cas, veuillez l'indiquer sur la documentation. | fixme

140 Mot inconnu : playonlinux => == Avec playonlinux == | playonlinux

142 Mot inconnu : Photoshop => Vous pouvez installer Adobe Photoshop CS4 via **[[PlayOnLinux]]**. Renseignez vous sur [[playonlinux|la page de playonlinux]] pour connaitre le fonctionnement de ce merveilleux utilitaire. | photoshop
142 Mot inconnu : CS4 => Vous pouvez installer Adobe Photoshop CS4 via **[[PlayOnLinux]]**. Renseignez vous sur [[playonlinux|la page de playonlinux]] pour connaitre le fonctionnement de ce merveilleux utilitaire. | cs4
142 Mot inconnu : PlayOnLinux => Vous pouvez installer Adobe Photoshop CS4 via **[[PlayOnLinux]]**. Renseignez vous sur [[playonlinux|la page de playonlinux]] pour connaitre le fonctionnement de ce merveilleux utilitaire. | playonlinux
142 Forme interrogative ? Mettez un trait d’union. => Vous pouvez installer Adobe Photoshop CS4 via **[[PlayOnLinux]]**. Renseignez vous sur [[playonlinux|la page de playonlinux]] pour connaitre le fonctionnement de ce merveilleux utilitaire. | renseignez vous => suggestions : ['Renseignez-vous']
142 Mot inconnu : playonlinux => Vous pouvez installer Adobe Photoshop CS4 via **[[PlayOnLinux]]**. Renseignez vous sur [[playonlinux|la page de playonlinux]] pour connaitre le fonctionnement de ce merveilleux utilitaire. | playonlinux
142 Mot inconnu : playonlinux => Vous pouvez installer Adobe Photoshop CS4 via **[[PlayOnLinux]]**. Renseignez vous sur [[playonlinux|la page de playonlinux]] pour connaitre le fonctionnement de ce merveilleux utilitaire. | playonlinux

144 Mot inconnu : Photoshop => Si Photoshop CS4 ne fonctionne pas après une installation par PlayOnLinux, modifier la configuration de Wine en choisissant "Windows 7" comme version de Windows peut résoudre le problème. | photoshop
144 Mot inconnu : CS4 => Si Photoshop CS4 ne fonctionne pas après une installation par PlayOnLinux, modifier la configuration de Wine en choisissant "Windows 7" comme version de Windows peut résoudre le problème. | cs4
144 Mot inconnu : PlayOnLinux => Si Photoshop CS4 ne fonctionne pas après une installation par PlayOnLinux, modifier la configuration de Wine en choisissant "Windows 7" comme version de Windows peut résoudre le problème. | playonlinux
144 Mot inconnu : Wine => Si Photoshop CS4 ne fonctionne pas après une installation par PlayOnLinux, modifier la configuration de Wine en choisissant "Windows 7" comme version de Windows peut résoudre le problème. | wine
144 Guillemets typographiques ouvrants. => Si Photoshop CS4 ne fonctionne pas après une installation par PlayOnLinux, modifier la configuration de Wine en choisissant "Windows 7" comme version de Windows peut résoudre le problème. | " => suggestions : ['«\xa0', '“']
144 Guillemets typographiques fermants. => Si Photoshop CS4 ne fonctionne pas après une installation par PlayOnLinux, modifier la configuration de Wine en choisissant "Windows 7" comme version de Windows peut résoudre le problème. | " => suggestions : ['\xa0»', '”']

148 Mot inconnu : lucid => Pour les versions précédentes à [[lucid|Ubuntu  10.04 LTS (« The Lucid Lynx »)]], vous devez utiliser des dépôts supplémentaires. Consultez la documentation de [[Wine]] pour plus d'information. | lucid
148 Espace(s) surnuméraire(s) à supprimer. => Pour les versions précédentes à [[lucid|Ubuntu  10.04 LTS (« The Lucid Lynx »)]], vous devez utiliser des dépôts supplémentaires. Consultez la documentation de [[Wine]] pour plus d'information. |    => suggestions : [' ']
148 Mot inconnu : LTS => Pour les versions précédentes à [[lucid|Ubuntu  10.04 LTS (« The Lucid Lynx »)]], vous devez utiliser des dépôts supplémentaires. Consultez la documentation de [[Wine]] pour plus d'information. | lts
148 Mot inconnu : The => Pour les versions précédentes à [[lucid|Ubuntu  10.04 LTS (« The Lucid Lynx »)]], vous devez utiliser des dépôts supplémentaires. Consultez la documentation de [[Wine]] pour plus d'information. | the
148 Mot inconnu : Lucid => Pour les versions précédentes à [[lucid|Ubuntu  10.04 LTS (« The Lucid Lynx »)]], vous devez utiliser des dépôts supplémentaires. Consultez la documentation de [[Wine]] pour plus d'information. | lucid
148 Mot inconnu : Wine => Pour les versions précédentes à [[lucid|Ubuntu  10.04 LTS (« The Lucid Lynx »)]], vous devez utiliser des dépôts supplémentaires. Consultez la documentation de [[Wine]] pour plus d'information. | wine

150 Mot inconnu : Photoshop => Après installation, Photoshop CS4 s'exécute avec le fichier //Photoshop.exe//. | photoshop
150 Mot inconnu : CS4 => Après installation, Photoshop CS4 s'exécute avec le fichier //Photoshop.exe//. | cs4
