
4 Mot inconnu : ebook => ====== Lecteur d'ebook Kobo ====== | ebook
10 Mot inconnu : microSD => Il dispose du wifi et d'une capacité de 2Go (1400Mo utilisables) et d'un slot microSD afin d'augmenter sa capacité de stockage. | microsd

12 Mot inconnu : ebooks => Il est possible de télécharger des ebooks gratuits et payants (ceux-ci avec un DRM donc non copiables), sur la boutique en ligne Kobo ou le site de la Fnac. L'ajout se fera alors automatiquement lors de la synchronisation, après installation du logiciel gratuit Kobo Desktop. | ebooks
12 Mot inconnu : DRM => Il est possible de télécharger des ebooks gratuits et payants (ceux-ci avec un DRM donc non copiables), sur la boutique en ligne Kobo ou le site de la Fnac. L'ajout se fera alors automatiquement lors de la synchronisation, après installation du logiciel gratuit Kobo Desktop. | drm
12 Mot inconnu : Kobo => Il est possible de télécharger des ebooks gratuits et payants (ceux-ci avec un DRM donc non copiables), sur la boutique en ligne Kobo ou le site de la Fnac. L'ajout se fera alors automatiquement lors de la synchronisation, après installation du logiciel gratuit Kobo Desktop. | kobo
12 Mot inconnu : Fnac => Il est possible de télécharger des ebooks gratuits et payants (ceux-ci avec un DRM donc non copiables), sur la boutique en ligne Kobo ou le site de la Fnac. L'ajout se fera alors automatiquement lors de la synchronisation, après installation du logiciel gratuit Kobo Desktop. | fnac
12 Mot inconnu : Kobo => Il est possible de télécharger des ebooks gratuits et payants (ceux-ci avec un DRM donc non copiables), sur la boutique en ligne Kobo ou le site de la Fnac. L'ajout se fera alors automatiquement lors de la synchronisation, après installation du logiciel gratuit Kobo Desktop. | kobo
12 Mot inconnu : Desktop => Il est possible de télécharger des ebooks gratuits et payants (ceux-ci avec un DRM donc non copiables), sur la boutique en ligne Kobo ou le site de la Fnac. L'ajout se fera alors automatiquement lors de la synchronisation, après installation du logiciel gratuit Kobo Desktop. | desktop

13 Mot inconnu : ebooks => Mais il est également possible de télécharger des ebooks sur d'autres sites que ces deux derniers, et de copier/coller les ebooks directement dans le Kobo. | ebooks
13 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Mais il est également possible de télécharger des ebooks sur d'autres sites que ces deux derniers, et de copier/coller les ebooks directement dans le Kobo. | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
13 Mot inconnu : ebooks => Mais il est également possible de télécharger des ebooks sur d'autres sites que ces deux derniers, et de copier/coller les ebooks directement dans le Kobo. | ebooks
13 Mot inconnu : Kobo => Mais il est également possible de télécharger des ebooks sur d'autres sites que ces deux derniers, et de copier/coller les ebooks directement dans le Kobo. | kobo

15 Mot inconnu : Kobo => Le Kobo est compatible avec les ebooks aux formats .epub et .pdf. | kobo
15 Mot inconnu : ebooks => Le Kobo est compatible avec les ebooks aux formats .epub et .pdf. | ebooks
15 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le Kobo est compatible avec les ebooks aux formats .epub et .pdf. |  . => suggestions : ['. ', '.']
15 Mot inconnu : epub => Le Kobo est compatible avec les ebooks aux formats .epub et .pdf. | epub
15 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le Kobo est compatible avec les ebooks aux formats .epub et .pdf. |  . => suggestions : ['. ', '.']

17 Mot inconnu : Kobo => ===== Installation de Kobo Desktop ===== | kobo
17 Mot inconnu : Desktop => ===== Installation de Kobo Desktop ===== | desktop

19 Mot inconnu : Kobo => Kobo ne propose pas le logiciel pour Linux. Cela est bien problématique car c'est avec ce logiciel que s'effectuent les mises à jour, la synchronisation des achats sur les serveurs Kobo et Fnac. De plus il n'est pas possible d'utiliser le wifi tant que l'appareil n'est pas enregistré sur Kobo Desktop. | kobo
19 Mot inconnu : Kobo => Kobo ne propose pas le logiciel pour Linux. Cela est bien problématique car c'est avec ce logiciel que s'effectuent les mises à jour, la synchronisation des achats sur les serveurs Kobo et Fnac. De plus il n'est pas possible d'utiliser le wifi tant que l'appareil n'est pas enregistré sur Kobo Desktop. | kobo
19 Mot inconnu : Fnac => Kobo ne propose pas le logiciel pour Linux. Cela est bien problématique car c'est avec ce logiciel que s'effectuent les mises à jour, la synchronisation des achats sur les serveurs Kobo et Fnac. De plus il n'est pas possible d'utiliser le wifi tant que l'appareil n'est pas enregistré sur Kobo Desktop. | fnac
19 Mot inconnu : Kobo => Kobo ne propose pas le logiciel pour Linux. Cela est bien problématique car c'est avec ce logiciel que s'effectuent les mises à jour, la synchronisation des achats sur les serveurs Kobo et Fnac. De plus il n'est pas possible d'utiliser le wifi tant que l'appareil n'est pas enregistré sur Kobo Desktop. | kobo
19 Mot inconnu : Desktop => Kobo ne propose pas le logiciel pour Linux. Cela est bien problématique car c'est avec ce logiciel que s'effectuent les mises à jour, la synchronisation des achats sur les serveurs Kobo et Fnac. De plus il n'est pas possible d'utiliser le wifi tant que l'appareil n'est pas enregistré sur Kobo Desktop. | desktop

23 Mot inconnu : kobo-desktop => Le paquet kobo-desktop.deb est téléchargeable [[http://www.bloguelinux.ca//wp-content/uploads/kobo/kobo-desktop.deb|ici]]. | kobo-desktop
23 Mot inconnu : deb => Le paquet kobo-desktop.deb est téléchargeable [[http://www.bloguelinux.ca//wp-content/uploads/kobo/kobo-desktop.deb|ici]]. | deb

27 Espace(s) en fin de ligne à supprimer. => <note important>Ne fonctionne pas directement sur architecture 64bits</note>  |   => suggestions : ['']

29 Mot inconnu : kobo-desktop => Après avoir téléchargé le paquet kobo-desktop.deb, ouvrez le terminal et lancez: | kobo-desktop
29 Mot inconnu : deb => Après avoir téléchargé le paquet kobo-desktop.deb, ouvrez le terminal et lancez: | deb

30 Guillemets typographiques ouvrants. => ''sudo dpkg -i kobo-desktop.deb'' | '' => suggestions : ['«\xa0', '“']
30 Mot inconnu : sudo => ''sudo dpkg -i kobo-desktop.deb'' | sudo
30 Mot inconnu : dpkg => ''sudo dpkg -i kobo-desktop.deb'' | dpkg
30 Il manque un espace à côté du tiret. => ''sudo dpkg -i kobo-desktop.deb'' |  - => suggestions : [' – ', ' — ']
30 Mot inconnu : kobo-desktop => ''sudo dpkg -i kobo-desktop.deb'' | kobo-desktop
30 Mot inconnu : deb => ''sudo dpkg -i kobo-desktop.deb'' | deb
30 Guillemets typographiques fermants. => ''sudo dpkg -i kobo-desktop.deb'' | '' => suggestions : ['\xa0»', '”']
34 Mot inconnu : libicu44 => Tout fonctionne, sauf qu'il faut un autre paquet sur Ubuntu 12.04 : libicu44. Vous pouvez la télécharger sur [[https://launchpad.net/ubuntu/precise/i386/libicu44/4.4.2-2]]. À part ça tout fonctionne parfaitement. | libicu44

36 Mot inconnu : Kobo => Une fois l'installation effectuée, vous pouvez lancer le Kobo Desktop via le menu (rubrique Autres) et brancher votre Kobo touch pour le configurer. | kobo
36 Mot inconnu : Desktop => Une fois l'installation effectuée, vous pouvez lancer le Kobo Desktop via le menu (rubrique Autres) et brancher votre Kobo touch pour le configurer. | desktop
36 Mot inconnu : Kobo => Une fois l'installation effectuée, vous pouvez lancer le Kobo Desktop via le menu (rubrique Autres) et brancher votre Kobo touch pour le configurer. | kobo
36 Mot inconnu : touch => Une fois l'installation effectuée, vous pouvez lancer le Kobo Desktop via le menu (rubrique Autres) et brancher votre Kobo touch pour le configurer. | touch

38 Mot inconnu : Kobo => <note help>Un petit guide très simple d'installation de Kobo Desktop sur une architecture 64 bits existe aussi à cette adresse : | kobo
38 Mot inconnu : Desktop => <note help>Un petit guide très simple d'installation de Kobo Desktop sur une architecture 64 bits existe aussi à cette adresse : | desktop

41 Mot inconnu : Kobo => <note help>Kobo Desktop sur machines x86 Ubuntu 12.04, 12.10, bibliothèques libzip1 libssl0.9.8  : | kobo
41 Mot inconnu : Desktop => <note help>Kobo Desktop sur machines x86 Ubuntu 12.04, 12.10, bibliothèques libzip1 libssl0.9.8  : | desktop
41 Mot inconnu : x86 => <note help>Kobo Desktop sur machines x86 Ubuntu 12.04, 12.10, bibliothèques libzip1 libssl0.9.8  : | x86
41 Mot inconnu : libzip1 => <note help>Kobo Desktop sur machines x86 Ubuntu 12.04, 12.10, bibliothèques libzip1 libssl0.9.8  : | libzip1
41 Mot inconnu : libssl0 => <note help>Kobo Desktop sur machines x86 Ubuntu 12.04, 12.10, bibliothèques libzip1 libssl0.9.8  : | libssl0
41 Espace(s) surnuméraire(s) à supprimer. => <note help>Kobo Desktop sur machines x86 Ubuntu 12.04, 12.10, bibliothèques libzip1 libssl0.9.8  : |    => suggestions : [' ']
45 Mot inconnu : error => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | error
45 Mot inconnu : while => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | while
45 Mot inconnu : loading => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | loading
45 Mot inconnu : shared => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | shared
45 Mot inconnu : libraries => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | libraries
45 Mot inconnu : cannot => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | cannot
45 Mot inconnu : shared => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | shared
45 Mot inconnu : object => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | object
45 Mot inconnu : such => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | such
45 Mot inconnu : directory => <note help>erreur :// /usr/local/Kobo/Kobo: error while loading shared libraries: libicuuc.so.44: cannot open shared object file: No such file or directory// | directory

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

49 Guillemets typographiques ouvrants. => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | " => suggestions : ['\xa0»', '”']
49 Mot inconnu : Kobo => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | kobo
49 Mot inconnu : Desktop => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | desktop
49 Mot inconnu : Kobo => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | kobo
49 Mot inconnu : Desktop => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | desktop
49 Mot inconnu : Kobo => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | kobo
49 Mot inconnu : Touch => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  | touch
49 Espace(s) en fin de ligne à supprimer. => <note important>L'onglet "liseuse" du Kobo Desktop ne semble pas fonctionnel sous Ubuntu 12.10; il reste grisé; essais réalisés pour ce qu'il en est des aides et problèmes Kobo Desktop depuis un Kobo Touch version 2.0.3</note>  |   => suggestions : ['']

50 Mot inconnu : Kobo => ===== Activation du Kobo sans installer Kobo Desktop ===== | kobo
50 Mot inconnu : Kobo => ===== Activation du Kobo sans installer Kobo Desktop ===== | kobo
50 Mot inconnu : Desktop => ===== Activation du Kobo sans installer Kobo Desktop ===== | desktop

52 Mot inconnu : Kobo => Il est possible d'activer le Kobo sans avoir à installer Kobo Desktop, sans passer par Windows et sans même créer de compte Kobo. Pour cela, il suffit de : | kobo
52 Mot inconnu : Kobo => Il est possible d'activer le Kobo sans avoir à installer Kobo Desktop, sans passer par Windows et sans même créer de compte Kobo. Pour cela, il suffit de : | kobo
52 Mot inconnu : Desktop => Il est possible d'activer le Kobo sans avoir à installer Kobo Desktop, sans passer par Windows et sans même créer de compte Kobo. Pour cela, il suffit de : | desktop
52 Mot inconnu : Kobo => Il est possible d'activer le Kobo sans avoir à installer Kobo Desktop, sans passer par Windows et sans même créer de compte Kobo. Pour cela, il suffit de : | kobo

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - relier le Kobo à l'ordinateur Ubuntu via USB |    => suggestions : ['']
55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - relier le Kobo à l'ordinateur Ubuntu via USB |  -  => suggestions : [' – ', ' — ', ' − ']
55 Mot inconnu : Kobo =>   - relier le Kobo à l'ordinateur Ubuntu via USB | kobo

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - monter le Kobo (monté automatiquement normalement) |    => suggestions : ['']
56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - monter le Kobo (monté automatiquement normalement) |  -  => suggestions : [' – ', ' — ', ' − ']
56 Mot inconnu : Kobo =>   - monter le Kobo (monté automatiquement normalement) | kobo

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - noter le point de montage utilisé (ici, on suppose /media/KOBOeReader) |    => suggestions : ['']
57 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - noter le point de montage utilisé (ici, on suppose /media/KOBOeReader) |  -  => suggestions : [' – ', ' — ', ' − ']
57 Incohérence avec “on” : “suppose” devrait être un verbe, un pronom objet, un adverbe de négation, etc. =>   - noter le point de montage utilisé (ici, on suppose /media/KOBOeReader) | suppose => suggestions : ['supposais', 'suppose', 'supposaient', 'supposez', 'supposait', 'supposer']
57 Mot inconnu : KOBOeReader =>   - noter le point de montage utilisé (ici, on suppose /media/KOBOeReader) | koboereader

58 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note important>A partir de Trusty 14.04, le point de montage évolue et passe de /media/KOBOeReader/ à /media/laurent/KOBOeReader/, ou laurent est le nom de l'utilisateur de la machine sous Ubuntu.</note> | a => suggestions : ['À']
58 Mot inconnu : KOBOeReader => <note important>A partir de Trusty 14.04, le point de montage évolue et passe de /media/KOBOeReader/ à /media/laurent/KOBOeReader/, ou laurent est le nom de l'utilisateur de la machine sous Ubuntu.</note> | koboereader
58 Mot inconnu : laurent => <note important>A partir de Trusty 14.04, le point de montage évolue et passe de /media/KOBOeReader/ à /media/laurent/KOBOeReader/, ou laurent est le nom de l'utilisateur de la machine sous Ubuntu.</note> | laurent
58 Mot inconnu : KOBOeReader => <note important>A partir de Trusty 14.04, le point de montage évolue et passe de /media/KOBOeReader/ à /media/laurent/KOBOeReader/, ou laurent est le nom de l'utilisateur de la machine sous Ubuntu.</note> | koboereader
58 Mot inconnu : laurent => <note important>A partir de Trusty 14.04, le point de montage évolue et passe de /media/KOBOeReader/ à /media/laurent/KOBOeReader/, ou laurent est le nom de l'utilisateur de la machine sous Ubuntu.</note> | laurent

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

60 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => une variante par interface graphique consiste à installer un éditeur SQL comme DBeaver et de créer une connexion SQLite en indiquant le fichier .kobo/KoboReader.sqlite comme source. La suite de la procédure est similaire. | une => suggestions : ['Une']
60 Mot inconnu : DBeaver => une variante par interface graphique consiste à installer un éditeur SQL comme DBeaver et de créer une connexion SQLite en indiquant le fichier .kobo/KoboReader.sqlite comme source. La suite de la procédure est similaire. | dbeaver
60 Mot inconnu : SQLite => une variante par interface graphique consiste à installer un éditeur SQL comme DBeaver et de créer une connexion SQLite en indiquant le fichier .kobo/KoboReader.sqlite comme source. La suite de la procédure est similaire. | sqlite
60 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => une variante par interface graphique consiste à installer un éditeur SQL comme DBeaver et de créer une connexion SQLite en indiquant le fichier .kobo/KoboReader.sqlite comme source. La suite de la procédure est similaire. |  . => suggestions : ['. ', '.']
60 Mot inconnu : kobo => une variante par interface graphique consiste à installer un éditeur SQL comme DBeaver et de créer une connexion SQLite en indiquant le fichier .kobo/KoboReader.sqlite comme source. La suite de la procédure est similaire. | kobo
60 Mot inconnu : KoboReader => une variante par interface graphique consiste à installer un éditeur SQL comme DBeaver et de créer une connexion SQLite en indiquant le fichier .kobo/KoboReader.sqlite comme source. La suite de la procédure est similaire. | koboreader
60 Mot inconnu : sqlite => une variante par interface graphique consiste à installer un éditeur SQL comme DBeaver et de créer une connexion SQLite en indiquant le fichier .kobo/KoboReader.sqlite comme source. La suite de la procédure est similaire. | sqlite

62 Mot inconnu : Kobo => ==== Kobo touch/mini ==== | kobo
62 Mot inconnu : touch => ==== Kobo touch/mini ==== | touch

66 Mot inconnu : Kobo => Le procédé a été testé avec succès sur un Kobo Touch acheté aux USA. Ce [[http://a3nm.net/blog/fnacbook_kobo_hacking.html|blog en anglais]] indique qu'il fonctionne également pour les Kobo Fnac (je confirme sur un kobo mini). | kobo
66 Mot inconnu : Touch => Le procédé a été testé avec succès sur un Kobo Touch acheté aux USA. Ce [[http://a3nm.net/blog/fnacbook_kobo_hacking.html|blog en anglais]] indique qu'il fonctionne également pour les Kobo Fnac (je confirme sur un kobo mini). | touch
66 Mot inconnu : Kobo => Le procédé a été testé avec succès sur un Kobo Touch acheté aux USA. Ce [[http://a3nm.net/blog/fnacbook_kobo_hacking.html|blog en anglais]] indique qu'il fonctionne également pour les Kobo Fnac (je confirme sur un kobo mini). | kobo
66 Mot inconnu : Fnac => Le procédé a été testé avec succès sur un Kobo Touch acheté aux USA. Ce [[http://a3nm.net/blog/fnacbook_kobo_hacking.html|blog en anglais]] indique qu'il fonctionne également pour les Kobo Fnac (je confirme sur un kobo mini). | fnac
66 Mot inconnu : kobo => Le procédé a été testé avec succès sur un Kobo Touch acheté aux USA. Ce [[http://a3nm.net/blog/fnacbook_kobo_hacking.html|blog en anglais]] indique qu'il fonctionne également pour les Kobo Fnac (je confirme sur un kobo mini). | kobo

68 Mot inconnu : Kobo => ==== Kobo glo ==== | kobo
68 Mot inconnu : glo => ==== Kobo glo ==== | glo

70 Mot inconnu : Kobo => Le procédé fonctionne avec les Kobo Glo (Fnac) mais il faut utiliser l'instruction suivante: | kobo
70 Mot inconnu : Glo => Le procédé fonctionne avec les Kobo Glo (Fnac) mais il faut utiliser l'instruction suivante: | glo
70 Mot inconnu : Fnac => Le procédé fonctionne avec les Kobo Glo (Fnac) mais il faut utiliser l'instruction suivante: | fnac

75 Mot inconnu : Kobo => Sur un Kobo Touch Mark 3, donc Kobo "original" acheté à la Fnac en début 2012, c'est la commande à sept paramètres qui est acceptée comme pour le Glo (10/12/2013 après régression au firmware 2.4.0b). | kobo
75 Mot inconnu : Touch => Sur un Kobo Touch Mark 3, donc Kobo "original" acheté à la Fnac en début 2012, c'est la commande à sept paramètres qui est acceptée comme pour le Glo (10/12/2013 après régression au firmware 2.4.0b). | touch
75 Mot inconnu : Kobo => Sur un Kobo Touch Mark 3, donc Kobo "original" acheté à la Fnac en début 2012, c'est la commande à sept paramètres qui est acceptée comme pour le Glo (10/12/2013 après régression au firmware 2.4.0b). | kobo
75 Guillemets typographiques ouvrants. => Sur un Kobo Touch Mark 3, donc Kobo "original" acheté à la Fnac en début 2012, c'est la commande à sept paramètres qui est acceptée comme pour le Glo (10/12/2013 après régression au firmware 2.4.0b). | " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. => Sur un Kobo Touch Mark 3, donc Kobo "original" acheté à la Fnac en début 2012, c'est la commande à sept paramètres qui est acceptée comme pour le Glo (10/12/2013 après régression au firmware 2.4.0b). | " => suggestions : ['\xa0»', '”']
75 Mot inconnu : Fnac => Sur un Kobo Touch Mark 3, donc Kobo "original" acheté à la Fnac en début 2012, c'est la commande à sept paramètres qui est acceptée comme pour le Glo (10/12/2013 après régression au firmware 2.4.0b). | fnac
75 Mot inconnu : Glo => Sur un Kobo Touch Mark 3, donc Kobo "original" acheté à la Fnac en début 2012, c'est la commande à sept paramètres qui est acceptée comme pour le Glo (10/12/2013 après régression au firmware 2.4.0b). | glo

77 Mot inconnu : Kobo => Attention pour une Kobo Glo achetée en décembre 2015 ne fonctionne pas ! La commande suivante fera l'affaire: | kobo
77 Mot inconnu : Glo => Attention pour une Kobo Glo achetée en décembre 2015 ne fonctionne pas ! La commande suivante fera l'affaire: | glo

82 Mot inconnu : Kobo => Kobo Glo HD achetée en juillet 2016 à la FNAC, succès de la commande suivante après plusieurs essais (La liseuse se monte après le choix de la langue puis de l'installation sans accès wifi. Attention remplacer l'UserID de l'exemple - ici 'abcdef12-3456-789a-bcde-f123456789ab' - par le votre, affiché par la commande .dump user de sqlite) : | kobo
82 Mot inconnu : Glo => Kobo Glo HD achetée en juillet 2016 à la FNAC, succès de la commande suivante après plusieurs essais (La liseuse se monte après le choix de la langue puis de l'installation sans accès wifi. Attention remplacer l'UserID de l'exemple - ici 'abcdef12-3456-789a-bcde-f123456789ab' - par le votre, affiché par la commande .dump user de sqlite) : | glo
82 Mot inconnu : FNAC => Kobo Glo HD achetée en juillet 2016 à la FNAC, succès de la commande suivante après plusieurs essais (La liseuse se monte après le choix de la langue puis de l'installation sans accès wifi. Attention remplacer l'UserID de l'exemple - ici 'abcdef12-3456-789a-bcde-f123456789ab' - par le votre, affiché par la commande .dump user de sqlite) : | fnac
82 Mot inconnu : UserID => Kobo Glo HD achetée en juillet 2016 à la FNAC, succès de la commande suivante après plusieurs essais (La liseuse se monte après le choix de la langue puis de l'installation sans accès wifi. Attention remplacer l'UserID de l'exemple - ici 'abcdef12-3456-789a-bcde-f123456789ab' - par le votre, affiché par la commande .dump user de sqlite) : | userid
