
3 Mot inconnu : rsnapshot => ====== rsnapshot ====== | rsnapshot
12 Mot inconnu : rsnapshot => Quelques scripts rsync/ssh pourraient évidemment faire la même chose que rsnapshot, mais rsnapshot est fiable et sa configuration triviale, alors pourquoi s’en passer?((Texte tiré d'un article du site geekfault.org)) | rsnapshot
12 Mot inconnu : geekfault => Quelques scripts rsync/ssh pourraient évidemment faire la même chose que rsnapshot, mais rsnapshot est fiable et sa configuration triviale, alors pourquoi s’en passer?((Texte tiré d'un article du site geekfault.org)) | geekfault

14 Mot inconnu : versioning => Par rapport à d'autres outils de sauvegarde incrémentielle ou de versioning, rsnapshot exploite les fonctionnalités ordinaires de l'environnement et du système de fichier (son fonctionnement est limpide, pas besoin d'outils spécifiques pour gérer ses sauvegardes après coup ou restaurer quoi que ce soit). | versioning
14 Mot inconnu : rsnapshot => Par rapport à d'autres outils de sauvegarde incrémentielle ou de versioning, rsnapshot exploite les fonctionnalités ordinaires de l'environnement et du système de fichier (son fonctionnement est limpide, pas besoin d'outils spécifiques pour gérer ses sauvegardes après coup ou restaurer quoi que ce soit). | rsnapshot

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo cp /etc/rsnapshot.conf /etc/rsnapshot.conf.backup |    => suggestions : ['']
30 Mot inconnu : sudo =>   sudo cp /etc/rsnapshot.conf /etc/rsnapshot.conf.backup | sudo
30 Mot inconnu : cp =>   sudo cp /etc/rsnapshot.conf /etc/rsnapshot.conf.backup | cp

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rsnapshot configtest |    => suggestions : ['']
37 Mot inconnu : rsnapshot =>   rsnapshot configtest | rsnapshot
37 Mot inconnu : configtest =>   rsnapshot configtest | configtest

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rsnapshot -t hourly |    => suggestions : ['']
44 Mot inconnu : rsnapshot =>   rsnapshot -t hourly | rsnapshot
44 Mot inconnu : hourly =>   rsnapshot -t hourly | hourly
46 Pas d’espace avant ce signe. => Pour effectuer un intervalle manuellement (rien de plus simple ;-) ) |  ) => suggestions : [')']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rsnapshot hourly |    => suggestions : ['']
48 Mot inconnu : rsnapshot =>   rsnapshot hourly | rsnapshot
48 Mot inconnu : hourly =>   rsnapshot hourly | hourly

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://rsnapshot.org|Site officiel]] |    => suggestions : ['']
