5 Mot inconnu : PowerDNS => ====== Serveur DNS : PowerDNS ====== | powerdns
30 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | 192.168.251 => suggestions : ['192\xa0168\xa0251']
30 Guillemets typographiques ouvrants. =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | '' => suggestions : ['«\xa0', '“']
30 Mot inconnu : lan =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | lan
30 Guillemets typographiques fermants. =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | '' => suggestions : ['\xa0»', '”']
30 Mot inconnu : TLD =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | tld
30 Guillemets typographiques ouvrants. =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : lan =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | lan
30 Guillemets typographiques fermants. =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | " => suggestions : ['\xa0»', '”']
30 Mot inconnu : lan =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | lan
30 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | ... => suggestions : ['…']

32 Mot inconnu : powerdns => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | powerdns
32 Mot inconnu : TLD => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | tld
32 Mot inconnu : pcs => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | pcs
32 Mot inconnu : georges => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | georges
32 Mot inconnu : lan => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | lan
32 Mot inconnu : gertrude => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | gertrude
32 Mot inconnu : lan => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | lan
32 Il manque un espace. => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | bureau => suggestions : [' bureau']
32 Il manque un espace. => <note important>Il semble que powerdns refuse les noms de domaine en TLD (vous ne pouvez pas nommer vos pcs georges.lan, gertrude.lan, mais bien georges.bureau.lan, gertrude.bureau.lan)</note> | bureau => suggestions : [' bureau']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La machine serveur DNS est aussi le serveur de mail et porte l'IP ''192.168.251.202''; elle se nomme ''mail2''. |    => suggestions : ['']
34 Guillemets typographiques ouvrants. =>   * La machine serveur DNS est aussi le serveur de mail et porte l'IP ''192.168.251.202''; elle se nomme ''mail2''. | '' => suggestions : ['«\xa0', '“']
34 Mot inconnu : mail2 =>   * La machine serveur DNS est aussi le serveur de mail et porte l'IP ''192.168.251.202''; elle se nomme ''mail2''. | mail2
34 Guillemets typographiques fermants. =>   * La machine serveur DNS est aussi le serveur de mail et porte l'IP ''192.168.251.202''; elle se nomme ''mail2''. | '' => suggestions : ['\xa0»', '”']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           |    => suggestions : ['']
35 Guillemets typographiques ouvrants. =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | '' => suggestions : ['«\xa0', '“']
35 Mot inconnu : twin1 =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | twin1
35 Guillemets typographiques fermants. =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | '' => suggestions : ['\xa0»', '”']
35 Guillemets typographiques ouvrants. =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | '' => suggestions : ['«\xa0', '“']
35 Mot inconnu : twin2 =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | twin2
35 Guillemets typographiques fermants. =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | '' => suggestions : ['\xa0»', '”']
35 Guillemets typographiques ouvrants. =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | '' => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           | '' => suggestions : ['\xa0»', '”']
35 Espace(s) en fin de ligne à supprimer. =>   * Il y a 3 autres machines sur le réseau : ''192.168.251.200'' (nommée ''twin1''), ''192.168.251.201'' (nommée ''twin2'') et ''192.168.251.205'' (nommée ''portable'').           |            => suggestions : ['']

37 Mot inconnu : PowerDNS => Voyons comment configurer le serveur PowerDNS avec ce petit réseau. | powerdns

41 Mot inconnu : recurseur => Le serveur comporte deux parties distinctes, le serveur de noms lui-même et le recurseur. Ces deux services sont séparés dans le système. Chacun a un démon. Lorsque vous contactez le serveur, celui-ci interroge le recurseur via une connection reseau sur une adresse localhost (ou autre à la limite !) et un port logiciel s'il ne peut trouver les informations dans ses backends. | recurseur
41 Mot inconnu : recurseur => Le serveur comporte deux parties distinctes, le serveur de noms lui-même et le recurseur. Ces deux services sont séparés dans le système. Chacun a un démon. Lorsque vous contactez le serveur, celui-ci interroge le recurseur via une connection reseau sur une adresse localhost (ou autre à la limite !) et un port logiciel s'il ne peut trouver les informations dans ses backends. | recurseur
41 Mot inconnu : connection => Le serveur comporte deux parties distinctes, le serveur de noms lui-même et le recurseur. Ces deux services sont séparés dans le système. Chacun a un démon. Lorsque vous contactez le serveur, celui-ci interroge le recurseur via une connection reseau sur une adresse localhost (ou autre à la limite !) et un port logiciel s'il ne peut trouver les informations dans ses backends. | connection
41 Mot inconnu : reseau => Le serveur comporte deux parties distinctes, le serveur de noms lui-même et le recurseur. Ces deux services sont séparés dans le système. Chacun a un démon. Lorsque vous contactez le serveur, celui-ci interroge le recurseur via une connection reseau sur une adresse localhost (ou autre à la limite !) et un port logiciel s'il ne peut trouver les informations dans ses backends. | reseau
41 Mot inconnu : localhost => Le serveur comporte deux parties distinctes, le serveur de noms lui-même et le recurseur. Ces deux services sont séparés dans le système. Chacun a un démon. Lorsque vous contactez le serveur, celui-ci interroge le recurseur via une connection reseau sur une adresse localhost (ou autre à la limite !) et un port logiciel s'il ne peut trouver les informations dans ses backends. | localhost
41 Mot inconnu : backends => Le serveur comporte deux parties distinctes, le serveur de noms lui-même et le recurseur. Ces deux services sont séparés dans le système. Chacun a un démon. Lorsque vous contactez le serveur, celui-ci interroge le recurseur via une connection reseau sur une adresse localhost (ou autre à la limite !) et un port logiciel s'il ne peut trouver les informations dans ses backends. | backends

43 Mot inconnu : backends => La syntaxe des données dans les backends est la même, que pour Bind. | backends
43 Mot inconnu : Bind => La syntaxe des données dans les backends est la même, que pour Bind. | bind

47 Mot inconnu : PowerDNS => La configuration principale de PowerDNS se fait dans le fichier ''/etc/powerdns/pdns.conf''. Dans ce fichier, vous indiquerez les backends utilisés, l'adresse et le port pour contacter le recurseur. | powerdns
47 Mot inconnu : backends => La configuration principale de PowerDNS se fait dans le fichier ''/etc/powerdns/pdns.conf''. Dans ce fichier, vous indiquerez les backends utilisés, l'adresse et le port pour contacter le recurseur. | backends
47 Mot inconnu : recurseur => La configuration principale de PowerDNS se fait dans le fichier ''/etc/powerdns/pdns.conf''. Dans ce fichier, vous indiquerez les backends utilisés, l'adresse et le port pour contacter le recurseur. | recurseur

50 Mot inconnu : allow-axfr-ips => allow-axfr-ips=217.70.177.40 | allow-axfr-ips

51 Mot inconnu : allow-recursion => allow-recursion=127.0.0.1 | allow-recursion

52 Mot inconnu : disable-axfr => disable-axfr=no | disable-axfr

53 Mot inconnu : cache-ttl => cache-ttl=300 | cache-ttl

54 Mot inconnu : launch => launch=gmysql | launch
54 Mot inconnu : gmysql => launch=gmysql | gmysql

55 Mot inconnu : logging-facility => logging-facility=0 | logging-facility

56 Mot inconnu : out-of-zone-additional-processing => out-of-zone-additional-processing=yes | out-of-zone-additional-processing
56 Mot inconnu : yes => out-of-zone-additional-processing=yes | yes

57 Mot inconnu : query-cache-ttl => query-cache-ttl=300 | query-cache-ttl

58 Mot inconnu : recursive-cache-ttl => recursive-cache-ttl=150 | recursive-cache-ttl

59 Mot inconnu : recursor => recursor=127.0.0.1:54 | recursor

64 Mot inconnu : recurseur => === Le recurseur === | recurseur

67 Mot inconnu : allow-from => allow-from=127.0.0.1 | allow-from

68 Mot inconnu : local-address => local-address=127.0.0.1 | local-address

70 Mot inconnu : logging-facility => logging-facility=1 | logging-facility

73 Mot inconnu : backends => === Les backends === | backends

75 Mot inconnu : Mysql => == Mysql == | mysql

80 Mot inconnu : launch => launch=gmysql | launch
80 Mot inconnu : gmysql => launch=gmysql | gmysql

81 Mot inconnu : gmysql-host => gmysql-host=localhost | gmysql-host
81 Mot inconnu : localhost => gmysql-host=localhost | localhost

82 Mot inconnu : gmysql-user => gmysql-user=powerdns | gmysql-user
82 Mot inconnu : powerdns => gmysql-user=powerdns | powerdns

83 Mot inconnu : gmysql-password => gmysql-password=############## | gmysql-password

84 Mot inconnu : gmysql-dbname => gmysql-dbname=powerdns | gmysql-dbname
84 Mot inconnu : powerdns => gmysql-dbname=powerdns | powerdns
89 Mot inconnu : localhost => <note warning>Il est vital que la base de données soit accessible ! Si vous utilisez un autre hôte que localhost dans **gmysql-host**, votre serveur PowerDNS devra pouvoir contacter ce serveur mysql, donc avoir une connexion réseau stable et une adresse (qui ne doit donc pas venir d'un serveur de nom !). Vous pouvez mettre ce nom dans ''/etc/hosts''. Ceci est toutefois risqué car il dépend de la stabilité du (des) réseaux traversés.</note> | localhost
89 Mot inconnu : gmysql-host => <note warning>Il est vital que la base de données soit accessible ! Si vous utilisez un autre hôte que localhost dans **gmysql-host**, votre serveur PowerDNS devra pouvoir contacter ce serveur mysql, donc avoir une connexion réseau stable et une adresse (qui ne doit donc pas venir d'un serveur de nom !). Vous pouvez mettre ce nom dans ''/etc/hosts''. Ceci est toutefois risqué car il dépend de la stabilité du (des) réseaux traversés.</note> | gmysql-host
89 Mot inconnu : PowerDNS => <note warning>Il est vital que la base de données soit accessible ! Si vous utilisez un autre hôte que localhost dans **gmysql-host**, votre serveur PowerDNS devra pouvoir contacter ce serveur mysql, donc avoir une connexion réseau stable et une adresse (qui ne doit donc pas venir d'un serveur de nom !). Vous pouvez mettre ce nom dans ''/etc/hosts''. Ceci est toutefois risqué car il dépend de la stabilité du (des) réseaux traversés.</note> | powerdns
89 Mot inconnu : mysql => <note warning>Il est vital que la base de données soit accessible ! Si vous utilisez un autre hôte que localhost dans **gmysql-host**, votre serveur PowerDNS devra pouvoir contacter ce serveur mysql, donc avoir une connexion réseau stable et une adresse (qui ne doit donc pas venir d'un serveur de nom !). Vous pouvez mettre ce nom dans ''/etc/hosts''. Ceci est toutefois risqué car il dépend de la stabilité du (des) réseaux traversés.</note> | mysql
89 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => <note warning>Il est vital que la base de données soit accessible ! Si vous utilisez un autre hôte que localhost dans **gmysql-host**, votre serveur PowerDNS devra pouvoir contacter ce serveur mysql, donc avoir une connexion réseau stable et une adresse (qui ne doit donc pas venir d'un serveur de nom !). Vous pouvez mettre ce nom dans ''/etc/hosts''. Ceci est toutefois risqué car il dépend de la stabilité du (des) réseaux traversés.</note> |  car => suggestions : [', car']
89 Accord de nombre erroné : « réseaux » devrait être au singulier. => <note warning>Il est vital que la base de données soit accessible ! Si vous utilisez un autre hôte que localhost dans **gmysql-host**, votre serveur PowerDNS devra pouvoir contacter ce serveur mysql, donc avoir une connexion réseau stable et une adresse (qui ne doit donc pas venir d'un serveur de nom !). Vous pouvez mettre ce nom dans ''/etc/hosts''. Ceci est toutefois risqué car il dépend de la stabilité du (des) réseaux traversés.</note> | réseaux => suggestions : ['réseau']

91 Mot inconnu : Ldap => == Ldap == | ldap

92 Mot inconnu : FIXME => FIXME | fixme

93 Mot inconnu : Postgresql => == Postgresql == | postgresql

94 Mot inconnu : FIXME => FIXME | fixme

97 Mot inconnu : PowerDNS => Il existe de nombreuses interfaces web pour PowerDNS : | powerdns

105 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Vous pouvez mettre en place une restriction d'accès par un fichier .htaccess, ou directement dans la configuration du serveur web. Pour info, sur [[Apache2]], vous pouvez mettre : |  . => suggestions : ['. ', '.']
105 Mot inconnu : htaccess => Vous pouvez mettre en place une restriction d'accès par un fichier .htaccess, ou directement dans la configuration du serveur web. Pour info, sur [[Apache2]], vous pouvez mettre : | htaccess
105 Mot inconnu : Apache2 => Vous pouvez mettre en place une restriction d'accès par un fichier .htaccess, ou directement dans la configuration du serveur web. Pour info, sur [[Apache2]], vous pouvez mettre : | apache2

110 Mot inconnu : Order => Order allow,deny | order
110 Mot inconnu : allow => Order allow,deny | allow
110 Il manque un espace. => Order allow,deny | deny => suggestions : [' deny']
110 Mot inconnu : deny => Order allow,deny | deny

111 Mot inconnu : Deny => Deny from all | deny
111 Mot inconnu : from => Deny from all | from
111 Mot inconnu : all => Deny from all | all

112 Mot inconnu : Allow => Allow from 192.168.0.0/24 | allow
112 Mot inconnu : from => Allow from 192.168.0.0/24 | from

113 Mot inconnu : Allow => Allow from .*22decembre\.eu.* | allow
113 Mot inconnu : from => Allow from .*22decembre\.eu.* | from
113 Mot inconnu : decembre => Allow from .*22decembre\.eu.* | decembre

114 Mot inconnu : Allow => Allow from 2a01:e35C:8ABB:5A00::/64 | allow
114 Mot inconnu : from => Allow from 2a01:e35C:8ABB:5A00::/64 | from
114 Mot inconnu : a01 => Allow from 2a01:e35C:8ABB:5A00::/64 | a01
114 Il manque un espace. => Allow from 2a01:e35C:8ABB:5A00::/64 | e35c => suggestions : [' e35C']
114 Mot inconnu : e35C => Allow from 2a01:e35C:8ABB:5A00::/64 | e35c
114 Il manque un espace. => Allow from 2a01:e35C:8ABB:5A00::/64 | 5a00 => suggestions : [' 5A00']
114 Mot inconnu : A00 => Allow from 2a01:e35C:8ABB:5A00::/64 | a00
114 Une de ces ponctuations est superflue. => Allow from 2a01:e35C:8ABB:5A00::/64 | :: => suggestions : [':', ':']

119 Mot inconnu : a01 => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | a01
119 Il manque un espace. => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | e35c => suggestions : [' e35C']
119 Mot inconnu : e35C => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | e35c
119 Il manque un espace. => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | 5a00 => suggestions : [' 5A00']
119 Mot inconnu : A00 => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | a00
119 Une de ces ponctuations est superflue. => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | :: => suggestions : [':', ':']
119 Mot inconnu : ipv6 => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | ipv6
119 Mot inconnu : decembre => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | decembre
119 Il manque un espace. => Ici, 192.168.0.0/24 pour indiquer mon réseau interne, 2a01:e35C:8ABB:5A00::/64 est ma racine ipv6, et 22decembre.eu mon nom de domaine. Ainsi, seuls ceux qui sont **//dans mon réseau//**, ou que j'ai **//volontairement//** inclus dans mon domaine peuvent intervenir sur mon serveur de noms, //en plus// du mot de passe de l'interface graphique elle-même ! (Un mot de passe se craque, deux sécurités valent mieux qu'une !) | eu => suggestions : [' eu']

124 Accord de nombre erroné : « même » devrait être au pluriel. => Les **enregistrements**, ou //records//, du serveur de nom sont les même que pour [[Bind9]]. | même => suggestions : ['mêmes']
124 Mot inconnu : Bind9 => Les **enregistrements**, ou //records//, du serveur de nom sont les même que pour [[Bind9]]. | bind9

128 Guillemets typographiques ouvrants. => Pour vérifier le fonctionnement de notre serveur DNS, nous allons lui adresser des requêtes directement via l'utilitaire ''nslookup'', pour l'utiliser, il suffit de taper ''nslookup'' dans un terminal. | '' => suggestions : ['«\xa0', '“']
128 Mot inconnu : nslookup => Pour vérifier le fonctionnement de notre serveur DNS, nous allons lui adresser des requêtes directement via l'utilitaire ''nslookup'', pour l'utiliser, il suffit de taper ''nslookup'' dans un terminal. | nslookup
128 Guillemets typographiques fermants. => Pour vérifier le fonctionnement de notre serveur DNS, nous allons lui adresser des requêtes directement via l'utilitaire ''nslookup'', pour l'utiliser, il suffit de taper ''nslookup'' dans un terminal. | '' => suggestions : ['\xa0»', '”']
128 Guillemets typographiques ouvrants. => Pour vérifier le fonctionnement de notre serveur DNS, nous allons lui adresser des requêtes directement via l'utilitaire ''nslookup'', pour l'utiliser, il suffit de taper ''nslookup'' dans un terminal. | '' => suggestions : ['«\xa0', '“']
128 Mot inconnu : nslookup => Pour vérifier le fonctionnement de notre serveur DNS, nous allons lui adresser des requêtes directement via l'utilitaire ''nslookup'', pour l'utiliser, il suffit de taper ''nslookup'' dans un terminal. | nslookup
128 Guillemets typographiques fermants. => Pour vérifier le fonctionnement de notre serveur DNS, nous allons lui adresser des requêtes directement via l'utilitaire ''nslookup'', pour l'utiliser, il suffit de taper ''nslookup'' dans un terminal. | '' => suggestions : ['\xa0»', '”']

130 Espace(s) surnuméraire(s) à supprimer. => <note tip>Cette méthode est valable pour tous les serveurs de noms puisqu'elle repose sur le protocole DNS lui-même  !</note> |    => suggestions : [' ']

132 Guillemets typographiques ouvrants. => On doit lui indiquer le serveur DNS à vérifier via le mot clé ''server 127.0.0.1'' et ensuite, on lui donne un nom d'hôte et il doit nous répondre l'adresse IP.  | '' => suggestions : ['«\xa0', '“']
132 Mot inconnu : server => On doit lui indiquer le serveur DNS à vérifier via le mot clé ''server 127.0.0.1'' et ensuite, on lui donne un nom d'hôte et il doit nous répondre l'adresse IP.  | server
132 Espace(s) en fin de ligne à supprimer. => On doit lui indiquer le serveur DNS à vérifier via le mot clé ''server 127.0.0.1'' et ensuite, on lui donne un nom d'hôte et il doit nous répondre l'adresse IP.  |   => suggestions : ['']

136 Mot inconnu : nslookup => On commence par dire à nslookup quel serveur il doit interroger : | nslookup

138 Mot inconnu : nslookup => nslookup | nslookup

139 Mot inconnu : server => > server 127.0.0.1 | server

140 Mot inconnu : Default => Default server: 127.0.0.1 | default
140 Mot inconnu : server => Default server: 127.0.0.1 | server

141 Mot inconnu : Address => Address: 127.0.0.1#53 | address

145 Il manque un espace. => > mail2.bureau.lan | bureau => suggestions : [' bureau']

146 Mot inconnu : Server => Server:         127.0.0.1 | server
146 Espace(s) surnuméraire(s) à supprimer. => Server:         127.0.0.1 |           => suggestions : [' ']

147 Mot inconnu : Address => Address:        127.0.0.1#53 | address
147 Espace(s) surnuméraire(s) à supprimer. => Address:        127.0.0.1#53 |          => suggestions : [' ']

149 Mot inconnu : Name => Name:   mail2.bureau.lan | name
149 Espace(s) surnuméraire(s) à supprimer. => Name:   mail2.bureau.lan |     => suggestions : [' ']
149 Il manque un espace. => Name:   mail2.bureau.lan | bureau => suggestions : [' bureau']

150 Mot inconnu : Address => Address: 192.168.251.202 | address

152 Mot inconnu : Server => Server:         127.0.0.1 | server
152 Espace(s) surnuméraire(s) à supprimer. => Server:         127.0.0.1 |           => suggestions : [' ']

153 Mot inconnu : Address => Address:        127.0.0.1#53 | address
153 Espace(s) surnuméraire(s) à supprimer. => Address:        127.0.0.1#53 |          => suggestions : [' ']

155 Espace(s) surnuméraire(s) à supprimer. => 201.251.168.192.in-addr.arpa    name = twin2.bureau.lan. |      => suggestions : [' ']
155 Mot inconnu : name => 201.251.168.192.in-addr.arpa    name = twin2.bureau.lan. | name
