6 Mot inconnu : The [[27:30]] => ====== Ubuntu 10.04 LTS (« The Lucid Lynx ») ====== <|> the
48 Mot inconnu : System [[192:198]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> system
48 Mot inconnu : DSDT [[218:222]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> dsdt
48 Mot inconnu : ramdisk [[264:271]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> ramdisk
48 Mot inconnu : DSDT [[304:308]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> dsdt
48 Mot inconnu : Necessité [[635:644]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> necessité
48 Mot inconnu : DSDT [[672:676]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> dsdt
48 Typographie : points de suspension. Utilisez le caractère dédié. [[730:733]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> ... => suggestions : …
57 Mot inconnu : SC [[21:23]] => ==== GNOME 2.30, KDE SC 4.4 et mise à jour des logiciels inclus ==== <|> sc
63 Guillemets typographiques ouvrants. [[7:8]] =>   * le "client social" Gwibber regroupe en une seule interface l'ensemble de vos interactions avec les réseaux sociaux les plus populaires, tels Twitter, Identi.ca, Facebook et Flickr ; <|> " => suggestions : « “
63 Guillemets typographiques fermants. [[21:22]] =>   * le "client social" Gwibber regroupe en une seule interface l'ensemble de vos interactions avec les réseaux sociaux les plus populaires, tels Twitter, Identi.ca, Facebook et Flickr ; <|> " => suggestions :  »”
63 Mot inconnu : Gwibber [[23:30]] =>   * le "client social" Gwibber regroupe en une seule interface l'ensemble de vos interactions avec les réseaux sociaux les plus populaires, tels Twitter, Identi.ca, Facebook et Flickr ; <|> gwibber
63 Mot inconnu : Identi [[154:160]] =>   * le "client social" Gwibber regroupe en une seule interface l'ensemble de vos interactions avec les réseaux sociaux les plus populaires, tels Twitter, Identi.ca, Facebook et Flickr ; <|> identi
63 Mot inconnu : ca [[161:163]] =>   * le "client social" Gwibber regroupe en une seule interface l'ensemble de vos interactions avec les réseaux sociaux les plus populaires, tels Twitter, Identi.ca, Facebook et Flickr ; <|> ca
63 Mot inconnu : Flickr [[177:183]] =>   * le "client social" Gwibber regroupe en une seule interface l'ensemble de vos interactions avec les réseaux sociaux les plus populaires, tels Twitter, Identi.ca, Facebook et Flickr ; <|> flickr
64 Mot inconnu : MeMenu [[4:10]] =>   * MeMenu, une amélioration de l'applet Fast-User-Switch, s'intègre avec Gwibber et votre client de messagerie instantanée Empathy ; <|> memenu
64 Mot inconnu : Fast-User-Switch [[41:57]] =>   * MeMenu, une amélioration de l'applet Fast-User-Switch, s'intègre avec Gwibber et votre client de messagerie instantanée Empathy ; <|> fast-user-switch
64 Mot inconnu : Gwibber [[74:81]] =>   * MeMenu, une amélioration de l'applet Fast-User-Switch, s'intègre avec Gwibber et votre client de messagerie instantanée Empathy ; <|> gwibber
64 Mot inconnu : Empathy [[124:131]] =>   * MeMenu, une amélioration de l'applet Fast-User-Switch, s'intègre avec Gwibber et votre client de messagerie instantanée Empathy ; <|> empathy
68 Mot inconnu : SC [[85:87]] => De son côté, Kubuntu profite de la dernière mouture de l'environnement de bureau KDE SC 4.4 : <|> sc
77 Mot inconnu : Mahjongg [[75:83]] =>   * la sélection de jeux a été ajustée avec des grands classiques comme un Mahjongg, un Sudoku et un Solitaire ; <|> mahjongg
79 Typographie : points de suspension. Utilisez le caractère dédié. [[85:88]] =>   * le logiciel << Logithèque Ubuntu >> vient remplacer le menu << Ajouter/Supprimer ... >> des versions précédentes ;  <|> ... => suggestions : …
79 Espace(s) en fin de ligne à supprimer. [[118:119]] =>   * le logiciel << Logithèque Ubuntu >> vient remplacer le menu << Ajouter/Supprimer ... >> des versions précédentes ;  <|>  
85 Mot inconnu : theme [[7:12]] =>   * le theme Xubuntu Albatros a été mis à jour à partir de la dernière version de la //Shimmer Team//. <|> theme
85 Mot inconnu : Shimmer [[87:94]] =>   * le theme Xubuntu Albatros a été mis à jour à partir de la dernière version de la //Shimmer Team//. <|> shimmer
85 Mot inconnu : Team [[95:99]] =>   * le theme Xubuntu Albatros a été mis à jour à partir de la dernière version de la //Shimmer Team//. <|> team
95 Espace(s) en fin de ligne à supprimer. [[56:57]] => Il faut exécuter la commande suivante dans un terminal :  <|>  

101 Mot inconnu : list [[69:73]] => Modifiez votre fichier de sources de logiciels (///etc/apt/**sources.list**//) afin de le faire pointer vers les serveurs d'archives:  <|> list
101 Espace(s) en fin de ligne à supprimer. [[133:134]] => Modifiez votre fichier de sources de logiciels (///etc/apt/**sources.list**//) afin de le faire pointer vers les serveurs d'archives:  <|>  
