
10 Mot inconnu : svp [[10:13]] => Complétez svp ces tableaux avec les ordinateurs que vous avez pu tester. <|> svp

19 Mot inconnu : NB30 [[2:6]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> nb30
19 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|>    => suggestions : [' ']
19 Mot inconnu : bluetooth [[38:47]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> bluetooth
19 Mot inconnu : ok [[48:50]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> ok

22 Mot inconnu : NC130 [[2:7]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|> nc130
22 Espace(s) surnuméraire(s) à supprimer. [[7:9]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|>    => suggestions : [' ']
22 Mot inconnu : Karmic [[47:53]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|> karmic

49 Mot inconnu : Q40 [[2:5]] => | Q40  |  |  |  | ok sur 9.04 | <|> q40
51 Mot inconnu : FN [[296:298]] => | Q310  |  |  |  | ok sur 9.04. Presque tout fonctionne bien et immédiatement, sauf les mises en veille (veille et hibernation) qui nécessitent apparemment l'installation des pilotes propriétaires Nvidia. Une fois installés, plus de problème. En revanche les touches de réglage de la luminosité (FN Down/Up) ont une fâcheuse tendance à geler le clavier, bug qui semble dû à l'installation des pilotes propriétaires... | <|> fn
51 Mot inconnu : Down [[299:303]] => | Q310  |  |  |  | ok sur 9.04. Presque tout fonctionne bien et immédiatement, sauf les mises en veille (veille et hibernation) qui nécessitent apparemment l'installation des pilotes propriétaires Nvidia. Une fois installés, plus de problème. En revanche les touches de réglage de la luminosité (FN Down/Up) ont une fâcheuse tendance à geler le clavier, bug qui semble dû à l'installation des pilotes propriétaires... | <|> down
51 Mot inconnu : Up [[304:306]] => | Q310  |  |  |  | ok sur 9.04. Presque tout fonctionne bien et immédiatement, sauf les mises en veille (veille et hibernation) qui nécessitent apparemment l'installation des pilotes propriétaires Nvidia. Une fois installés, plus de problème. En revanche les touches de réglage de la luminosité (FN Down/Up) ont une fâcheuse tendance à geler le clavier, bug qui semble dû à l'installation des pilotes propriétaires... | <|> up
51 Typographie : points de suspension. Utilisez le caractère dédié. [[414:417]] => | Q310  |  |  |  | ok sur 9.04. Presque tout fonctionne bien et immédiatement, sauf les mises en veille (veille et hibernation) qui nécessitent apparemment l'installation des pilotes propriétaires Nvidia. Une fois installés, plus de problème. En revanche les touches de réglage de la luminosité (FN Down/Up) ont une fâcheuse tendance à geler le clavier, bug qui semble dû à l'installation des pilotes propriétaires... | <|> ... => suggestions : ['…']

60 Mot inconnu : R20 [[2:5]] => | R20  | | | | ok sur 8.10. Problèmes de pilote ATI lors de l'installation (Les quelques problèmes liés à l'installation, https://forum.ubuntu-fr.org/viewtopic.php?id=132152. Hibernation non reconnue. Effets 3D : non reconnus (pour le moment). Ces problèmes ont dû être réglés avec Intrepid. | <|> r20
60 Espace(s) surnuméraire(s) à supprimer. [[5:7]] => | R20  | | | | ok sur 8.10. Problèmes de pilote ATI lors de l'installation (Les quelques problèmes liés à l'installation, https://forum.ubuntu-fr.org/viewtopic.php?id=132152. Hibernation non reconnue. Effets 3D : non reconnus (pour le moment). Ces problèmes ont dû être réglés avec Intrepid. | <|>    => suggestions : [' ']
60 Mot inconnu : ok [[15:17]] => | R20  | | | | ok sur 8.10. Problèmes de pilote ATI lors de l'installation (Les quelques problèmes liés à l'installation, https://forum.ubuntu-fr.org/viewtopic.php?id=132152. Hibernation non reconnue. Effets 3D : non reconnus (pour le moment). Ces problèmes ont dû être réglés avec Intrepid. | <|> ok
60 Mot inconnu : ATI [[48:51]] => | R20  | | | | ok sur 8.10. Problèmes de pilote ATI lors de l'installation (Les quelques problèmes liés à l'installation, https://forum.ubuntu-fr.org/viewtopic.php?id=132152. Hibernation non reconnue. Effets 3D : non reconnus (pour le moment). Ces problèmes ont dû être réglés avec Intrepid. | <|> ati
60 Mot inconnu : Intrepid [[282:290]] => | R20  | | | | ok sur 8.10. Problèmes de pilote ATI lors de l'installation (Les quelques problèmes liés à l'installation, https://forum.ubuntu-fr.org/viewtopic.php?id=132152. Hibernation non reconnue. Effets 3D : non reconnus (pour le moment). Ces problèmes ont dû être réglés avec Intrepid. | <|> intrepid

62 Mot inconnu : R50 [[2:5]] => | R50  | | | |Tout semble bien reconnu. L'hibernation fonctionne. Réseau sans fil reconnu sans problème. Effets graphiques "extra" d'Ubuntu 10.04 fonctionnent bien, si un seul moniteur à la fois (carte ATI X700).| <|> r50
62 Espace(s) surnuméraire(s) à supprimer. [[5:7]] => | R50  | | | |Tout semble bien reconnu. L'hibernation fonctionne. Réseau sans fil reconnu sans problème. Effets graphiques "extra" d'Ubuntu 10.04 fonctionnent bien, si un seul moniteur à la fois (carte ATI X700).| <|>    => suggestions : [' ']
62 Guillemets typographiques ouvrants. [[123:124]] => | R50  | | | |Tout semble bien reconnu. L'hibernation fonctionne. Réseau sans fil reconnu sans problème. Effets graphiques "extra" d'Ubuntu 10.04 fonctionnent bien, si un seul moniteur à la fois (carte ATI X700).| <|> " => suggestions : ['«\xa0', '“']
62 Accord de nombre erroné avec « Effets graphiques » : « extra » devrait être au pluriel. [[124:129]] => | R50  | | | |Tout semble bien reconnu. L'hibernation fonctionne. Réseau sans fil reconnu sans problème. Effets graphiques "extra" d'Ubuntu 10.04 fonctionnent bien, si un seul moniteur à la fois (carte ATI X700).| <|> extra => suggestions : ['extras']
62 Guillemets typographiques fermants. [[129:130]] => | R50  | | | |Tout semble bien reconnu. L'hibernation fonctionne. Réseau sans fil reconnu sans problème. Effets graphiques "extra" d'Ubuntu 10.04 fonctionnent bien, si un seul moniteur à la fois (carte ATI X700).| <|> " => suggestions : ['\xa0»', '”']
62 Mot inconnu : ATI [[202:205]] => | R50  | | | |Tout semble bien reconnu. L'hibernation fonctionne. Réseau sans fil reconnu sans problème. Effets graphiques "extra" d'Ubuntu 10.04 fonctionnent bien, si un seul moniteur à la fois (carte ATI X700).| <|> ati
62 Mot inconnu : X700 [[206:210]] => | R50  | | | |Tout semble bien reconnu. L'hibernation fonctionne. Réseau sans fil reconnu sans problème. Effets graphiques "extra" d'Ubuntu 10.04 fonctionnent bien, si un seul moniteur à la fois (carte ATI X700).| <|> x700

64 Mot inconnu : R70 [[2:5]] => | R70  | | | |Tout marche à merveille dès le 1er lancement : Compiz-fusion avec pilote nvidia propriétaire ; wifi ; webcam ; lecteur de carte SD ; hibernation ; touches de fonctions avancées (seules les touches de réglage de la luminosité ne sont à ce jour toujours pas reconnues) ; la prise HDMI n'a pas encore été essayée. Dans l'ensemble c'est un bon portable.| <|> r70
64 Espace(s) surnuméraire(s) à supprimer. [[5:7]] => | R70  | | | |Tout marche à merveille dès le 1er lancement : Compiz-fusion avec pilote nvidia propriétaire ; wifi ; webcam ; lecteur de carte SD ; hibernation ; touches de fonctions avancées (seules les touches de réglage de la luminosité ne sont à ce jour toujours pas reconnues) ; la prise HDMI n'a pas encore été essayée. Dans l'ensemble c'est un bon portable.| <|>    => suggestions : [' ']
64 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[45:48]] => | R70  | | | |Tout marche à merveille dès le 1er lancement : Compiz-fusion avec pilote nvidia propriétaire ; wifi ; webcam ; lecteur de carte SD ; hibernation ; touches de fonctions avancées (seules les touches de réglage de la luminosité ne sont à ce jour toujours pas reconnues) ; la prise HDMI n'a pas encore été essayée. Dans l'ensemble c'est un bon portable.| <|> 1er => suggestions : ['1ᵉʳ']
64 Mot inconnu : Compiz-fusion [[61:74]] => | R70  | | | |Tout marche à merveille dès le 1er lancement : Compiz-fusion avec pilote nvidia propriétaire ; wifi ; webcam ; lecteur de carte SD ; hibernation ; touches de fonctions avancées (seules les touches de réglage de la luminosité ne sont à ce jour toujours pas reconnues) ; la prise HDMI n'a pas encore été essayée. Dans l'ensemble c'est un bon portable.| <|> compiz-fusion
64 Mot inconnu : nvidia [[87:93]] => | R70  | | | |Tout marche à merveille dès le 1er lancement : Compiz-fusion avec pilote nvidia propriétaire ; wifi ; webcam ; lecteur de carte SD ; hibernation ; touches de fonctions avancées (seules les touches de réglage de la luminosité ne sont à ce jour toujours pas reconnues) ; la prise HDMI n'a pas encore été essayée. Dans l'ensemble c'est un bon portable.| <|> nvidia
64 Mot inconnu : SD [[142:144]] => | R70  | | | |Tout marche à merveille dès le 1er lancement : Compiz-fusion avec pilote nvidia propriétaire ; wifi ; webcam ; lecteur de carte SD ; hibernation ; touches de fonctions avancées (seules les touches de réglage de la luminosité ne sont à ce jour toujours pas reconnues) ; la prise HDMI n'a pas encore été essayée. Dans l'ensemble c'est un bon portable.| <|> sd

65 Mot inconnu : R510 [[2:6]] => | R510  | | | |9.04 -> tout marche sauf réglage luminosité écran et les touches de fonction bleues(les touches de règlage du volume son fonctionnent)| <|> r510
65 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | R510  | | | |9.04 -> tout marche sauf réglage luminosité écran et les touches de fonction bleues(les touches de règlage du volume son fonctionnent)| <|>    => suggestions : [' ']
65 Il manque un espace avant la parenthèse. [[98:99]] => | R510  | | | |9.04 -> tout marche sauf réglage luminosité écran et les touches de fonction bleues(les touches de règlage du volume son fonctionnent)| <|> ( => suggestions : [' (']
65 Mot inconnu : règlage [[114:121]] => | R510  | | | |9.04 -> tout marche sauf réglage luminosité écran et les touches de fonction bleues(les touches de règlage du volume son fonctionnent)| <|> règlage

67 Mot inconnu : R540 [[2:6]] => | R540 | | | |Testé avec une version 64bits. tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Le réglage de la luminosité ne fonctionne pas. Port HDMI fonctionne avec écran samsung P2770 (la résolution HD 1680*1050 n'est pas disponible par défaut). Le graveur et la webcam fonctionnent sans problème. | <|> r540
67 Mot inconnu : samsung [[216:223]] => | R540 | | | |Testé avec une version 64bits. tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Le réglage de la luminosité ne fonctionne pas. Port HDMI fonctionne avec écran samsung P2770 (la résolution HD 1680*1050 n'est pas disponible par défaut). Le graveur et la webcam fonctionnent sans problème. | <|> samsung
67 Mot inconnu : P2770 [[224:229]] => | R540 | | | |Testé avec une version 64bits. tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Le réglage de la luminosité ne fonctionne pas. Port HDMI fonctionne avec écran samsung P2770 (la résolution HD 1680*1050 n'est pas disponible par défaut). Le graveur et la webcam fonctionnent sans problème. | <|> p2770
67 Signe de multiplication typographique. [[248:257]] => | R540 | | | |Testé avec une version 64bits. tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Le réglage de la luminosité ne fonctionne pas. Port HDMI fonctionne avec écran samsung P2770 (la résolution HD 1680*1050 n'est pas disponible par défaut). Le graveur et la webcam fonctionnent sans problème. | <|> 1680*1050 => suggestions : ['1680\xa0×\xa01050']

68 Mot inconnu : R590 [[2:6]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> r590
68 Mot inconnu : ethernet [[150:158]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> ethernet
68 Typographie : points de suspension. Utilisez le caractère dédié. [[161:164]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> ... => suggestions : ['…']
68 Mot inconnu : bluetooth [[165:174]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> bluetooth
68 Il manque un espace. [[175:181]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> toutes => suggestions : [' Toutes']
68 Mot inconnu : usb [[291:294]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> usb
68 Mot inconnu : propriétiaire [[346:359]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> propriétiaire
68 Mot inconnu : NVidia [[360:366]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> nvidia
68 Mot inconnu : ipv6 [[427:431]] => | R590 | | | |Testé avec une version 64bits. Tout le matériel fonctionne immédiatement à l'installation, aucune manipulation nécessaire. Inclus wifi, ethernet et... bluetooth.Toutes les touches de fonctions du clavier fonctionnent. Son OK (avec enceintes d'origines, ou casque, ou carte son usb externe). Graveur OK. Port HDMI non testé. Drivers propriétiaire NVidia et Carte wifi installés automatiquement. Désactivation de l'ipv6 qui ralentissait le web. Le réglage du rétroéclairage ne fonctionne pas| <|> ipv6

69 Mot inconnu : R610 [[2:6]] => | R610 | | | |9.10: Les versions 32 bits s'installe très facilement et tous fonctionne sans autre manipulations. Les versions 64 bits ne s'installe et ne fonctionne que si l'option no_acpi est activé.| <|> r610
69 Accord de nombre erroné avec « manipulations ». [[92:97]] => | R610 | | | |9.10: Les versions 32 bits s'installe très facilement et tous fonctionne sans autre manipulations. Les versions 64 bits ne s'installe et ne fonctionne que si l'option no_acpi est activé.| <|> autre => suggestions : ['autres']
69 Accord de nombre erroné avec « autre ». [[98:111]] => | R610 | | | |9.10: Les versions 32 bits s'installe très facilement et tous fonctionne sans autre manipulations. Les versions 64 bits ne s'installe et ne fonctionne que si l'option no_acpi est activé.| <|> manipulations => suggestions : ['manipulation']
69 Mot inconnu : no_acpi [[181:188]] => | R610 | | | |9.10: Les versions 32 bits s'installe très facilement et tous fonctionne sans autre manipulations. Les versions 64 bits ne s'installe et ne fonctionne que si l'option no_acpi est activé.| <|> no_acpi

71 Mot inconnu : R700 [[2:6]] => | R700 |  |  | |8.10:  Lecteur de cartes SD, accélération graphique, carte son, webcam, carte réseau filaire et carte Wifi fonctionnelles sans problème. Hybernation et modem RTC 56 kbits/s non testés. | <|> r700
71 Espace(s) surnuméraire(s) à supprimer. [[21:23]] => | R700 |  |  | |8.10:  Lecteur de cartes SD, accélération graphique, carte son, webcam, carte réseau filaire et carte Wifi fonctionnelles sans problème. Hybernation et modem RTC 56 kbits/s non testés. | <|>    => suggestions : [' ']
71 Mot inconnu : SD [[41:43]] => | R700 |  |  | |8.10:  Lecteur de cartes SD, accélération graphique, carte son, webcam, carte réseau filaire et carte Wifi fonctionnelles sans problème. Hybernation et modem RTC 56 kbits/s non testés. | <|> sd
71 Mot inconnu : Hybernation [[153:164]] => | R700 |  |  | |8.10:  Lecteur de cartes SD, accélération graphique, carte son, webcam, carte réseau filaire et carte Wifi fonctionnelles sans problème. Hybernation et modem RTC 56 kbits/s non testés. | <|> hybernation
71 Mot inconnu : RTC [[174:177]] => | R700 |  |  | |8.10:  Lecteur de cartes SD, accélération graphique, carte son, webcam, carte réseau filaire et carte Wifi fonctionnelles sans problème. Hybernation et modem RTC 56 kbits/s non testés. | <|> rtc
71 Mot inconnu : kbits [[181:186]] => | R700 |  |  | |8.10:  Lecteur de cartes SD, accélération graphique, carte son, webcam, carte réseau filaire et carte Wifi fonctionnelles sans problème. Hybernation et modem RTC 56 kbits/s non testés. | <|> kbits
71 Écriture invariable. Utilisez un point médian. [[181:188]] => | R700 |  |  | |8.10:  Lecteur de cartes SD, accélération graphique, carte son, webcam, carte réseau filaire et carte Wifi fonctionnelles sans problème. Hybernation et modem RTC 56 kbits/s non testés. | <|> kbits/s => suggestions : ['kbits·s']

72 Mot inconnu : R710 [[2:6]] => | R710 |  |  | |8.10 : Tout fonctionne immédiatement en 32 bits : Wifi, carte graphique, carte son, lecteur de cartes mémoires, touches spéciales du clavier, Webcam. Je n'ai pas non plus testé le modem 56k ni le mode hibernation. Pour utiliser pleinement la version 64 bits, sans devoir désactiver l'ACPI, mettez à jour votre BIOS.| <|> r710
72 Mot inconnu : ACPI [[300:304]] => | R710 |  |  | |8.10 : Tout fonctionne immédiatement en 32 bits : Wifi, carte graphique, carte son, lecteur de cartes mémoires, touches spéciales du clavier, Webcam. Je n'ai pas non plus testé le modem 56k ni le mode hibernation. Pour utiliser pleinement la version 64 bits, sans devoir désactiver l'ACPI, mettez à jour votre BIOS.| <|> acpi

73 Mot inconnu : R719 [[2:6]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> r719
73 Mot inconnu : __Fonctionne [[23:35]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> __fonctionne
73 Il manque un espace. [[36:38]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> __ => suggestions : [' __']
73 Mot inconnu : __ [[36:38]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> __
73 Mot inconnu : ethernet [[128:136]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> ethernet
73 Mot inconnu : DVD-RW [[146:152]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> dvd-rw
73 Mot inconnu : SD [[350:352]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> sd
73 Mot inconnu : __Ne [[354:358]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> __ne
73 Mot inconnu : pas__ [[370:375]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> pas__
73 Mot inconnu : __Non [[470:475]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> __non
