
5 Mot inconnu : UPS => ====== Installer et configurer un UPS APC avec Ubuntu ====== | ups
10 Typographie : points de suspension. Utilisez le caractère dédié. => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | ... => suggestions : ['…']

12 Mot inconnu : UPS => Ces mesures peuvent être de différentes sortes suivant la criticité des serveurs connectés sur cet UPS et suivant les ressources humaines et matérielles disponibles pour assurer la continuité du service. | ups

22 Mot inconnu : UPS => Ce document passera en revue les points suivants pour le pilotage d'un UPS APC (American Power Conversion) : | ups
22 Mot inconnu : APC => Ce document passera en revue les points suivants pour le pilotage d'un UPS APC (American Power Conversion) : | apc
22 Mot inconnu : American => Ce document passera en revue les points suivants pour le pilotage d'un UPS APC (American Power Conversion) : | american
22 Mot inconnu : Power => Ce document passera en revue les points suivants pour le pilotage d'un UPS APC (American Power Conversion) : | power

30 Mot inconnu : UPS => Les opérations décrites dans cet article ont été testées sur un UPS **APC Smart UPS 2200** en rack connecté en **USB** avec un serveur **HP Proliant DL380**. | ups
30 Mot inconnu : APC => Les opérations décrites dans cet article ont été testées sur un UPS **APC Smart UPS 2200** en rack connecté en **USB** avec un serveur **HP Proliant DL380**. | apc
30 Mot inconnu : UPS => Les opérations décrites dans cet article ont été testées sur un UPS **APC Smart UPS 2200** en rack connecté en **USB** avec un serveur **HP Proliant DL380**. | ups
30 Mot inconnu : HP => Les opérations décrites dans cet article ont été testées sur un UPS **APC Smart UPS 2200** en rack connecté en **USB** avec un serveur **HP Proliant DL380**. | hp
30 Mot inconnu : Proliant => Les opérations décrites dans cet article ont été testées sur un UPS **APC Smart UPS 2200** en rack connecté en **USB** avec un serveur **HP Proliant DL380**. | proliant
30 Mot inconnu : DL380 => Les opérations décrites dans cet article ont été testées sur un UPS **APC Smart UPS 2200** en rack connecté en **USB** avec un serveur **HP Proliant DL380**. | dl380

36 Mot inconnu : UPS => Je suppose que l'UPS est dans le rack et est fonctionnel. | ups

40 Mot inconnu : UPS => ==== Connexion de l'UPS au serveur ==== | ups

42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => La connexion avec le serveur s'établit à l'aide d'un câble **USB - RJ45** fourni avec l'UPS. |  -  => suggestions : [' – ', ' — ', ' − ']
42 Mot inconnu : RJ45 => La connexion avec le serveur s'établit à l'aide d'un câble **USB - RJ45** fourni avec l'UPS. | rj45
42 Mot inconnu : UPS => La connexion avec le serveur s'établit à l'aide d'un câble **USB - RJ45** fourni avec l'UPS. | ups

53 Mot inconnu : UPS => Si vous avez bien cette ligne (ou une ligne similaire dépendant de votre matériel), l'UPS est bien connecté à votre serveur. Dans le cas contraire, vérifiez les câbles et référez vous au manuel de l'utilisateur de l'UPS. | ups
53 Forme interrogative ? Mettez un trait d’union. => Si vous avez bien cette ligne (ou une ligne similaire dépendant de votre matériel), l'UPS est bien connecté à votre serveur. Dans le cas contraire, vérifiez les câbles et référez vous au manuel de l'utilisateur de l'UPS. | référez vous => suggestions : ['référez-vous']
53 Mot inconnu : UPS => Si vous avez bien cette ligne (ou une ligne similaire dépendant de votre matériel), l'UPS est bien connecté à votre serveur. Dans le cas contraire, vérifiez les câbles et référez vous au manuel de l'utilisateur de l'UPS. | ups

56 Mot inconnu : UPS => ==== Installation du pilote de l'UPS ==== | ups

69 Mot inconnu : APC => Dans notre cas (un APC Smart UPS 2200 connecté en USB), le fichier de configuration doit posséder les informations suivantes : | apc
69 Mot inconnu : UPS => Dans notre cas (un APC Smart UPS 2200 connecté en USB), le fichier de configuration doit posséder les informations suivantes : | ups
69 Accord de nombre erroné avec « 2200 » : « connecté » devrait être au pluriel. => Dans notre cas (un APC Smart UPS 2200 connecté en USB), le fichier de configuration doit posséder les informations suivantes : | connecté => suggestions : ['connectés']

70 Mot inconnu : UPSTYPE => <file>UPSTYPE usb | upstype
70 Mot inconnu : usb => <file>UPSTYPE usb | usb

71 Mot inconnu : UPSCABLE => UPSCABLE usb | upscable
71 Mot inconnu : usb => UPSCABLE usb | usb

72 Mot inconnu : DEVICE => DEVICE </file> | device

82 Mot inconnu : ISCONFIGURED => <file>ISCONFIGURED=yes</file> | isconfigured
82 Mot inconnu : yes => <file>ISCONFIGURED=yes</file> | yes

90 Accord de nombre erroné : « log » devrait être au pluriel. => Vérifiez ensuite dans les log du système pour voir si le démon est bien lancé : | log => suggestions : ['logs']

101 Mot inconnu : UPS => Pour obtenir le status complet de l'UPS, il nous suffit d'introduire la commande suivante : | ups

107 Mot inconnu : UPS => Et vous obtiendrez toutes les informations concernant l'UPS (voici ce que mon matériel retourne comme informations) : | ups

169 Écriture invariable. Utilisez un point médian. => ===== Note(s) ===== | note(s) => suggestions : ['Note·s']
