
5 Mot inconnu : Iptables => =====Iptables===== | iptables
44 Typographie : points de suspension. Utilisez le caractère dédié. => <note warning>ATTENTION, si vous avez modifié la règle par défaut pour le blocage (iptables -P INPUT DROP  voir plus bas) et que vous tapez iptables -F vous bloquerez tous les accès ... y compris celui en cours. Ceci est particulièrement problématique  sur  une machine sur laquelle vous accédez à distance (serveur etc.).</note> | ... => suggestions : ['…']
44 Espace(s) surnuméraire(s) à supprimer. => <note warning>ATTENTION, si vous avez modifié la règle par défaut pour le blocage (iptables -P INPUT DROP  voir plus bas) et que vous tapez iptables -F vous bloquerez tous les accès ... y compris celui en cours. Ceci est particulièrement problématique  sur  une machine sur laquelle vous accédez à distance (serveur etc.).</note> |    => suggestions : [' ']
44 Espace(s) surnuméraire(s) à supprimer. => <note warning>ATTENTION, si vous avez modifié la règle par défaut pour le blocage (iptables -P INPUT DROP  voir plus bas) et que vous tapez iptables -F vous bloquerez tous les accès ... y compris celui en cours. Ceci est particulièrement problématique  sur  une machine sur laquelle vous accédez à distance (serveur etc.).</note> |    => suggestions : [' ']
44 Avant « etc. », il faut mettre une virgule. => <note warning>ATTENTION, si vous avez modifié la règle par défaut pour le blocage (iptables -P INPUT DROP  voir plus bas) et que vous tapez iptables -F vous bloquerez tous les accès ... y compris celui en cours. Ceci est particulièrement problématique  sur  une machine sur laquelle vous accédez à distance (serveur etc.).</note> |  etc. => suggestions : [', etc.']

61 Mot inconnu : RELATED => Une ancienne configuration avec l'état "--state RELATED" est toujours sur internet, or cette option peut permettre l'ouverture de port non désirée sur votre machine par un attaquant. L'option "RELATED" est à utiliser avec prudence. Pour plus d'information : | related
61 Guillemets typographiques fermants. => Une ancienne configuration avec l'état "--state RELATED" est toujours sur internet, or cette option peut permettre l'ouverture de port non désirée sur votre machine par un attaquant. L'option "RELATED" est à utiliser avec prudence. Pour plus d'information : | " => suggestions : ['\xa0»', '”']
61 Guillemets typographiques ouvrants. => Une ancienne configuration avec l'état "--state RELATED" est toujours sur internet, or cette option peut permettre l'ouverture de port non désirée sur votre machine par un attaquant. L'option "RELATED" est à utiliser avec prudence. Pour plus d'information : | " => suggestions : ['«\xa0', '“']
61 Mot inconnu : RELATED => Une ancienne configuration avec l'état "--state RELATED" est toujours sur internet, or cette option peut permettre l'ouverture de port non désirée sur votre machine par un attaquant. L'option "RELATED" est à utiliser avec prudence. Pour plus d'information : | related
61 Guillemets typographiques fermants. => Une ancienne configuration avec l'état "--state RELATED" est toujours sur internet, or cette option peut permettre l'ouverture de port non désirée sur votre machine par un attaquant. L'option "RELATED" est à utiliser avec prudence. Pour plus d'information : | " => suggestions : ['\xa0»', '”']

68 Mot inconnu : SSH => Pour permettre le trafic entrant sur le port 22 (traditionnellement utilisé par SSH, vous devrez indiquer à iptables tout le trafic TCP sur le port 22 de votre adaptateur réseau. | ssh
68 Mot inconnu : iptables => Pour permettre le trafic entrant sur le port 22 (traditionnellement utilisé par SSH, vous devrez indiquer à iptables tout le trafic TCP sur le port 22 de votre adaptateur réseau. | iptables
68 Mot inconnu : TCP => Pour permettre le trafic entrant sur le port 22 (traditionnellement utilisé par SSH, vous devrez indiquer à iptables tout le trafic TCP sur le port 22 de votre adaptateur réseau. | tcp

74 Mot inconnu : iptables => Maintenant vous pouvez vérifier vos règles iptables : | iptables

98 Mot inconnu : tcp => Nous avons exceptionnellement autorisé le trafic tcp pour ssh et les ports web, mais comme nous n'avons rien bloqué, tout le trafic passe quand même. | tcp
98 Mot inconnu : ssh => Nous avons exceptionnellement autorisé le trafic tcp pour ssh et les ports web, mais comme nous n'avons rien bloqué, tout le trafic passe quand même. | ssh
103 Mot inconnu : policy => Nous allons en fait modifier la « politique par défaut » (//policy//) de la chaîne //INPUT// : cette décision (//DROP//) s'applique lorsque aucune règle n'a été appliquée à un paquet. Donc, si la tentative de connexion n'est permise par aucune des règles précédentes, elle sera rejetée. | policy

119 Mot inconnu : loopback => Un petit problème de notre configuration est que même l'interface locale //(loopback)// est bloquée. | loopback

131 Mot inconnu : ICMP => === Autoriser les requêtes ICMP (ping) === | icmp
131 Mot inconnu : ping => === Autoriser les requêtes ICMP (ping) === | ping

133 Confusion probable : « peut-être » signifie « possiblement ». => Il peut-être utile de valider les réponses aux requêtes "ping", ne serait-ce que pour s'assurer que le poste est toujours en activité. | peut-être => suggestions : ['peut être']
133 Guillemets typographiques ouvrants. => Il peut-être utile de valider les réponses aux requêtes "ping", ne serait-ce que pour s'assurer que le poste est toujours en activité. | " => suggestions : ['«\xa0', '“']
133 Mot inconnu : ping => Il peut-être utile de valider les réponses aux requêtes "ping", ne serait-ce que pour s'assurer que le poste est toujours en activité. | ping
133 Guillemets typographiques fermants. => Il peut-être utile de valider les réponses aux requêtes "ping", ne serait-ce que pour s'assurer que le poste est toujours en activité. | " => suggestions : ['\xa0»', '”']
173 Mot inconnu : iptables => Syntaxe : iptables -D chaîne numéro_de_ligne | iptables
173 Il manque un espace à côté du tiret. => Syntaxe : iptables -D chaîne numéro_de_ligne |  - => suggestions : [' – ', ' — ']
173 Mot inconnu : numéro_de_ligne => Syntaxe : iptables -D chaîne numéro_de_ligne | numéro_de_ligne

182 Mot inconnu : superutilisateur => Passer en mode superutilisateur | superutilisateur

190 Mot inconnu : iptables-persistent => ==== Via iptables-persistent ==== | iptables-persistent

194 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | iptables-persistent => suggestions : ['Iptables-persistent']
194 Mot inconnu : iptables-persistent => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | iptables-persistent
194 Mot inconnu : rules => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | rules
194 Mot inconnu : v4 => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | v4
194 Mot inconnu : IPv4 => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | ipv4
194 Mot inconnu : rules => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | rules
194 Mot inconnu : v6 => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | v6
194 Mot inconnu : IPv6 => iptables-persistent propose de sauvegarder les règles dans le dossier **/etc/iptables**, fichier **rules.v4** pour les règles IPv4 et **rules.v6** pour les règles IPv6. Le script peut s’appeler via : | ipv6
198 Mot inconnu : save => Il prend les arguments : **save** pour sauvegarder les règles, **flush** pour vider toutes les règles et **reload** pour les recharger depuis les fichiers précités. | save
198 Mot inconnu : reload => Il prend les arguments : **save** pour sauvegarder les règles, **flush** pour vider toutes les règles et **reload** pour les recharger depuis les fichiers précités. | reload

205 Mot inconnu : root => Commencez par éditer un fichier en root, que vous enregistrerez sous **/etc/network/if-pre-up.d/**.  | root
205 Espace(s) en fin de ligne à supprimer. => Commencez par éditer un fichier en root, que vous enregistrerez sous **/etc/network/if-pre-up.d/**.  |   => suggestions : ['']
213 Espace(s) en fin de ligne à supprimer. => Ajoutez ensuite à votre script ceci :  |   => suggestions : ['']

217 Mot inconnu : iptables => Le reste du fichier doit contenir les commandes //iptables// que vous avez générées. | iptables

219 Mot inconnu : iptables => Déplacez le script iptables dans /etc/network/if-pre-up.d/ : | iptables

231 Mot inconnu : iptables => === Lancer votre script iptables au démarrage via Systemd === | iptables
231 Mot inconnu : Systemd => === Lancer votre script iptables au démarrage via Systemd === | systemd

241 Mot inconnu : Firewall => Description=Firewall | firewall

242 Mot inconnu : Requires => Requires=network-online.target | requires
242 Mot inconnu : network-online => Requires=network-online.target | network-online
242 Mot inconnu : target => Requires=network-online.target | target

243 Mot inconnu : network-online => After=network-online.target | network-online
243 Mot inconnu : target => After=network-online.target | target

246 Mot inconnu : root => User=root | root

247 Mot inconnu : oneshot => Type=oneshot | oneshot

248 Mot inconnu : RemainAfterExit => RemainAfterExit=yes | remainafterexit
248 Mot inconnu : yes => RemainAfterExit=yes | yes

249 Mot inconnu : ExecStart => ExecStart=/etc/init.d/nom_de_votre_script_iptables(modifier_le_nom!) start | execstart
249 Il manque un espace avant la parenthèse. => ExecStart=/etc/init.d/nom_de_votre_script_iptables(modifier_le_nom!) start | ( => suggestions : [' (']
249 Mot inconnu : start => ExecStart=/etc/init.d/nom_de_votre_script_iptables(modifier_le_nom!) start | start

250 Mot inconnu : ExecStop => ExecStop=/etc/init.d/nom_de_votre_script_iptables(modifier_le_nom!) stop | execstop
250 Il manque un espace avant la parenthèse. => ExecStop=/etc/init.d/nom_de_votre_script_iptables(modifier_le_nom!) stop | ( => suggestions : [' (']

252 Mot inconnu : Install => [Install] | install

253 Mot inconnu : WantedBy => WantedBy=multi-user.target | wantedby
253 Mot inconnu : target => WantedBy=multi-user.target | target

256 Mot inconnu : firewall => Il ne vous reste plus qu'à activer le service **firewall.service**, au démarrage de votre Ubuntu, via la commande : | firewall
256 Il manque un espace. => Il ne vous reste plus qu'à activer le service **firewall.service**, au démarrage de votre Ubuntu, via la commande : | service => suggestions : [' service']

260 Mot inconnu : firewall => Au prochain redémarrage de votre Ubuntu, votre service **firewall.service** chargera votre script iptables se trouvant dans **/etc/init.d/**. | firewall
260 Il manque un espace. => Au prochain redémarrage de votre Ubuntu, votre service **firewall.service** chargera votre script iptables se trouvant dans **/etc/init.d/**. | service => suggestions : [' service']
260 Mot inconnu : iptables => Au prochain redémarrage de votre Ubuntu, votre service **firewall.service** chargera votre script iptables se trouvant dans **/etc/init.d/**. | iptables

266 Mot inconnu : iptables => ===== Script iptables ===== | iptables

268 Guillemets typographiques ouvrants. => <note>Ce script est un exemple, il est à adapter à vos besoins. Il peut toutefois être utilisé pour une utilisation courante, il offre une plutôt bonne "protection" pour un usage desktop.</note> | " => suggestions : ['«\xa0', '“']
268 Guillemets typographiques fermants. => <note>Ce script est un exemple, il est à adapter à vos besoins. Il peut toutefois être utilisé pour une utilisation courante, il offre une plutôt bonne "protection" pour un usage desktop.</note> | " => suggestions : ['\xa0»', '”']
268 Mot inconnu : desktop => <note>Ce script est un exemple, il est à adapter à vos besoins. Il peut toutefois être utilisé pour une utilisation courante, il offre une plutôt bonne "protection" pour un usage desktop.</note> | desktop

354 Si vous parlez de la langue, pas de majuscule. => En Français : | français => suggestions : ['français']
368 Mot inconnu : iptables => //Contributeurs : [[utilisateurs:Kmeleon]], [[utilisateurs:eks]], [[utilisateurs:BeAvEr]] (Création du script iptables et modification majeure de la documentation), [[utilisateurs:maverick62]],  [[utilisateurs:mydjey]] (mise à jour et refonte).// | iptables
368 Espace(s) surnuméraire(s) à supprimer. => //Contributeurs : [[utilisateurs:Kmeleon]], [[utilisateurs:eks]], [[utilisateurs:BeAvEr]] (Création du script iptables et modification majeure de la documentation), [[utilisateurs:maverick62]],  [[utilisateurs:mydjey]] (mise à jour et refonte).// |    => suggestions : [' ']
