
4 Mot inconnu : Emulator [[11:19]] => ====== DOS Emulator ou XDOSEmu ====== <|> emulator
27 Espace(s) surnuméraire(s) à supprimer. [[96:98]] => La gestion des imprimantes est très efficace et **ne** nécessitent **pas** les pilotes pour DOS.  Il suffit de rediriger la sortie des scripts vers le fichier virtuel PRN de votre jeunesse ou de choisir le port LPT1 dans les logiciels plus élaborés.  Par exemple :  <|>    => suggestions : [' ']
27 Mot inconnu : PRN [[167:170]] => La gestion des imprimantes est très efficace et **ne** nécessitent **pas** les pilotes pour DOS.  Il suffit de rediriger la sortie des scripts vers le fichier virtuel PRN de votre jeunesse ou de choisir le port LPT1 dans les logiciels plus élaborés.  Par exemple :  <|> prn
27 Mot inconnu : LPT1 [[211:215]] => La gestion des imprimantes est très efficace et **ne** nécessitent **pas** les pilotes pour DOS.  Il suffit de rediriger la sortie des scripts vers le fichier virtuel PRN de votre jeunesse ou de choisir le port LPT1 dans les logiciels plus élaborés.  Par exemple :  <|> lpt1
27 Espace(s) surnuméraire(s) à supprimer. [[249:251]] => La gestion des imprimantes est très efficace et **ne** nécessitent **pas** les pilotes pour DOS.  Il suffit de rediriger la sortie des scripts vers le fichier virtuel PRN de votre jeunesse ou de choisir le port LPT1 dans les logiciels plus élaborés.  Par exemple :  <|>    => suggestions : [' ']
27 Espace(s) en fin de ligne à supprimer. [[264:265]] => La gestion des imprimantes est très efficace et **ne** nécessitent **pas** les pilotes pour DOS.  Il suffit de rediriger la sortie des scripts vers le fichier virtuel PRN de votre jeunesse ou de choisir le port LPT1 dans les logiciels plus élaborés.  Par exemple :  <|>   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

36 Guillemets typographiques ouvrants. [[10:11]] => Remplacer "MonImprimante" par le nom exact de votre imprimante, respecter les majuscules et minuscules : case sensitive. Pour cela, le plus simple est d'utiliser la commande suivante dans le terminal et de faire un copier-coller: <|> " => suggestions : ['«\xa0', '“']
36 Mot inconnu : MonImprimante [[11:24]] => Remplacer "MonImprimante" par le nom exact de votre imprimante, respecter les majuscules et minuscules : case sensitive. Pour cela, le plus simple est d'utiliser la commande suivante dans le terminal et de faire un copier-coller: <|> monimprimante
36 Guillemets typographiques fermants. [[24:25]] => Remplacer "MonImprimante" par le nom exact de votre imprimante, respecter les majuscules et minuscules : case sensitive. Pour cela, le plus simple est d'utiliser la commande suivante dans le terminal et de faire un copier-coller: <|> " => suggestions : ['\xa0»', '”']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

40 Mot inconnu : LPT1 [[31:35]] => Ces opérations dévient le port LPT1 sous dos vers l'imprimante "MonImprimante", sans devoir installer de pilote pour dos. <|> lpt1
40 Guillemets typographiques ouvrants. [[63:64]] => Ces opérations dévient le port LPT1 sous dos vers l'imprimante "MonImprimante", sans devoir installer de pilote pour dos. <|> " => suggestions : ['«\xa0', '“']
40 Mot inconnu : MonImprimante [[64:77]] => Ces opérations dévient le port LPT1 sous dos vers l'imprimante "MonImprimante", sans devoir installer de pilote pour dos. <|> monimprimante
40 Guillemets typographiques fermants. [[77:78]] => Ces opérations dévient le port LPT1 sous dos vers l'imprimante "MonImprimante", sans devoir installer de pilote pour dos. <|> " => suggestions : ['\xa0»', '”']

42 Guillemets typographiques ouvrants. [[35:36]] => Ainsi, par exemple, l'éditeur dos ("edit" dans l'émulateur, comme en DOS), vous devez choisir l'imprimante LPT1 comme port d'impression.   <|> " => suggestions : ['«\xa0', '“']
42 Mot inconnu : edit [[36:40]] => Ainsi, par exemple, l'éditeur dos ("edit" dans l'émulateur, comme en DOS), vous devez choisir l'imprimante LPT1 comme port d'impression.   <|> edit
42 Guillemets typographiques fermants. [[40:41]] => Ainsi, par exemple, l'éditeur dos ("edit" dans l'émulateur, comme en DOS), vous devez choisir l'imprimante LPT1 comme port d'impression.   <|> " => suggestions : ['\xa0»', '”']
42 Mot inconnu : LPT1 [[107:111]] => Ainsi, par exemple, l'éditeur dos ("edit" dans l'émulateur, comme en DOS), vous devez choisir l'imprimante LPT1 comme port d'impression.   <|> lpt1
42 Espace(s) en fin de ligne à supprimer. [[136:138]] => Ainsi, par exemple, l'éditeur dos ("edit" dans l'émulateur, comme en DOS), vous devez choisir l'imprimante LPT1 comme port d'impression.   <|>    => suggestions : ['']

44 Accord avec le sujet “Il” : “va” devrait être un participe passé masculin singulier. [[10:12]] => Il en est va de même si vous définissez les variables $_lpt2 à $_lpt4 de la même manière. <|> va => suggestions : ['allé']
44 Mot inconnu : _lpt2 [[55:60]] => Il en est va de même si vous définissez les variables $_lpt2 à $_lpt4 de la même manière. <|> _lpt2
44 Mot inconnu : _lpt4 [[64:69]] => Il en est va de même si vous définissez les variables $_lpt2 à $_lpt4 de la même manière. <|> _lpt4

55 Guillemets typographiques ouvrants. [[87:88]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. [[90:91]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. [[94:95]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. [[97:98]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. [[100:101]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. [[103:104]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> " => suggestions : ['\xa0»', '”']
55 Une de ces ponctuations est superflue. [[104:107]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> , . => suggestions : [',', '.']
55 Typographie : points de suspension. Utilisez le caractère dédié. [[106:109]] => Ajouter la ligne suivant en prenant soin de faire varier XX suivant le clavier désiré ("XX" = "fr", "be", ...). <|> ... => suggestions : ['…']

59 Mot inconnu : _X_keycode [[79:89]] => Ensuite, pour éviter la disparition de certaines touches, placer le paramètre $_X_keycode à (off). <|> _x_keycode

63 Mot inconnu : optenir [[29:36]] => Modifiez la ligne de sorte à optenir <|> optenir
