
3 Mot inconnu : Guake => ====== Guake ====== | guake
44 Il manque un espace. => <file>ssl_port = self.client.get_string('/system/proxy/secure_port')</file> | client => suggestions : [' client']
44 Il manque un espace avant la parenthèse. => <file>ssl_port = self.client.get_string('/system/proxy/secure_port')</file> | ( => suggestions : [' (']
44 Mot inconnu : system => <file>ssl_port = self.client.get_string('/system/proxy/secure_port')</file> | system
44 Mot inconnu : secure_port => <file>ssl_port = self.client.get_string('/system/proxy/secure_port')</file> | secure_port

46 Mot inconnu : ssl_port => <file>ssl_port = self.client.get_int('/system/proxy/secure_port')</file> | ssl_port
46 Il manque un espace. => <file>ssl_port = self.client.get_int('/system/proxy/secure_port')</file> | client => suggestions : [' client']
46 Il manque un espace avant la parenthèse. => <file>ssl_port = self.client.get_int('/system/proxy/secure_port')</file> | ( => suggestions : [' (']
46 Mot inconnu : system => <file>ssl_port = self.client.get_int('/system/proxy/secure_port')</file> | system
46 Mot inconnu : secure_port => <file>ssl_port = self.client.get_int('/system/proxy/secure_port')</file> | secure_port

50 Mot inconnu : guake => Lorsque l'on souhaite lancer guake avec l'interpréteur zsh par défaut, 2 points doivent être modifiés dans la configuration, dans l'onglet General: | guake
50 Mot inconnu : General => Lorsque l'on souhaite lancer guake avec l'interpréteur zsh par défaut, 2 points doivent être modifiés dans la configuration, dans l'onglet General: | general

56 Mot inconnu : guake => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | guake
56 Typographie : points de suspension. Utilisez le caractère dédié. => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | ... => suggestions : ['…']
56 Guillemets typographiques ouvrants. => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : fix => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | fix
56 Guillemets typographiques fermants. => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | " => suggestions : ['\xa0»', '”']
56 Mot inconnu : guake => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | guake
56 Mot inconnu : __dé__cocher => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | __dé__cocher
56 Guillemets typographiques ouvrants. => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | " => suggestions : ['\xa0»', '”']
56 Typographie : points de suspension. Utilisez le caractère dédié. => Pour une raison obscure, le seul fait de cocher guake (après installation) dans la liste des applications qui doivent se lancer lors du démarrage de la session gnome-shell ne fonctionne pas... et le "fix" à cette espèce de bug est d'autant plus étrange qu'il marche bien: il suffit d'aller dans le menu de préférence de guake, et **__dé__cocher** l'option "afficher un popup au démarrage"... ça marche ! | ... => suggestions : ['…']
73 Mot inconnu : webastien => //Contributeurs :// [[utilisateurs:prometee|prometee]], webastien, Bouffe | webastien
