
5 Mot inconnu : Rainy => ====== Rainy ====== | rainy
49 Mot inconnu : vvvv => Si vous voulez le mode bavard pour debugger, vous pouvez changer le niveau de log avec l'option -vvvv. | vvvv

53 Mot inconnu : deamon => Il n'y a pas de mode deamon, afin de le faire tourner en arrière plan comme un service. \\ | deamon

58 Mot inconnu : rainy => Lancer rainy au démarrage du serveur\\ | rainy

59 Mot inconnu : FIXME => FIXME | fixme

61 Mot inconnu : creation => === Administration et creation d'utilisateur === | creation

63 Forme interrogative ? Mettez un trait d’union. => Connectez vous avec votre mot de passe d'administration.\\ | connectez vous => suggestions : ['Connectez-vous']

64 Vouliez-vous écrire « vous » ? Le terme « pourrez » est un verbe conjugué à la 2ᵉ personne du pluriel. => Vos pourrez à présent créer des utilisateurs, ce qui vous permettra de synchroniser vos notes.\\ | vos => suggestions : ['Vous']
64 Incohérence avec « Vos » : « pourrez » est un verbe. => Vos pourrez à présent créer des utilisateurs, ce qui vous permettra de synchroniser vos notes.\\ | pourrez => suggestions : ['pouvoir', 'pus']

67 Mot inconnu : Tomboy => === Avec Tomboy === | tomboy

69 Mot inconnu : Serice => **Serice: Tomboy Web**\\ | serice
69 Mot inconnu : Tomboy => **Serice: Tomboy Web**\\ | tomboy

70 Mot inconnu : Server => **Server:**  | server
70 Espace(s) en fin de ligne à supprimer. => **Server:**  |   => suggestions : ['']

75 Mot inconnu : Apres => Cliquer sur **Se connecter au serveur**. une page web s'ouvre vous demandant identifiant et mot de passe. Apres vous être connecté vous pouvez fermer le navigateur et commencer la première synchronisation avec Tomboy | apres
75 Mot inconnu : Tomboy => Cliquer sur **Se connecter au serveur**. une page web s'ouvre vous demandant identifiant et mot de passe. Apres vous être connecté vous pouvez fermer le navigateur et commencer la première synchronisation avec Tomboy | tomboy

76 Mot inconnu : TomDroid => === Avec TomDroid === | tomdroid

77 Mot inconnu : TomDroid => Ouvrir TomDroid et paramétrer les préférences de synchronisation comme suit:\\ | tomdroid

78 Mot inconnu : Serice => **Serice: Synchronisation en ligne**\\ | serice

85 Mot inconnu : Rainy => Rainy permet aussi d’accéder a ses notes, et de les modifier à partir de l'interface web.\\ | rainy
85 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Rainy permet aussi d’accéder a ses notes, et de les modifier à partir de l'interface web.\\ | a => suggestions : ['à']
86 Espace(s) en fin de ligne à supprimer. => Allez à:  |   => suggestions : ['']

90 Confusion probable. Pour l’impératif, écrivez : => Puis connecter vous avec votre identifiant et mot de passe utilisateur. | connecter vous => suggestions : ['connectez-vous']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://dynalon.github.io/Rainy/|Site officiel du logiciel]] |    => suggestions : ['']
