
4 Mot inconnu : Compiz => ====== Compiz: Extensions supplémentaires====== | compiz
106 Mot inconnu : tab => **Stackswitch** est un plugins permettant de basculer entre les applications (alt+tab).  | tab
106 Espace(s) en fin de ligne à supprimer. => **Stackswitch** est un plugins permettant de basculer entre les applications (alt+tab).  |   => suggestions : ['']

108 Accord de nombre erroné : « Plugins » devrait être au singulier. => Pour **Installation** du **Plugins** indiquer dans un terminal : | plugins => suggestions : ['Plugin']

123 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => ==Pour Ubuntu 9.04 - 10.10, compiz version 0.8.x== |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
123 Mot inconnu : compiz => ==Pour Ubuntu 9.04 - 10.10, compiz version 0.8.x== | compiz

138 Mot inconnu : LTS => ==Pour Ubuntu 8.04 LTS ; Kubuntu== | lts

139 Mot inconnu : Smo => script réalisé par **Smo** et repris par **Paratox**. | smo
139 Mot inconnu : Paratox => script réalisé par **Smo** et repris par **Paratox**. | paratox

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Copiez ce texte dans un fichier vierge. |    => suggestions : ['']
201 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Copiez ce texte dans un fichier vierge. |  -  => suggestions : [' – ', ' — ', ' − ']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Renommez ce fichier avec l'extension **.sh** |    => suggestions : ['']
202 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Renommez ce fichier avec l'extension **.sh** |  -  => suggestions : [' – ', ' — ', ' − ']
202 Mot inconnu : sh =>   - Renommez ce fichier avec l'extension **.sh** | sh

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faites un clic droit, allez dans **propriétés** puis dans l'onglet permission, et cochez la case << autoriser à exécuter comme un programme >> |    => suggestions : ['']
203 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faites un clic droit, allez dans **propriétés** puis dans l'onglet permission, et cochez la case << autoriser à exécuter comme un programme >> |  -  => suggestions : [' – ', ' — ', ' − ']

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Il ne vous reste plus qu'à **double cliquer** sur le fichier et à le lancer dans un [[terminal]] |    => suggestions : ['']
204 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Il ne vous reste plus qu'à **double cliquer** sur le fichier et à le lancer dans un [[terminal]] |  -  => suggestions : [' – ', ' — ', ' − ']

208 Mot inconnu : FIXME => <note tip>Cette page [[http://cgit.compiz-fusion.org/]] (FIXME: lien mort) est une liste des anciens et des nouveaux plugins qu'il est possible d'installer sur compiz-fusion avec la possibilité de récupérer le fichier [[ssh]] pour recompiler les plugins additionnels </note> | fixme
208 Mot inconnu : compiz-fusion => <note tip>Cette page [[http://cgit.compiz-fusion.org/]] (FIXME: lien mort) est une liste des anciens et des nouveaux plugins qu'il est possible d'installer sur compiz-fusion avec la possibilité de récupérer le fichier [[ssh]] pour recompiler les plugins additionnels </note> | compiz-fusion
208 Mot inconnu : ssh => <note tip>Cette page [[http://cgit.compiz-fusion.org/]] (FIXME: lien mort) est une liste des anciens et des nouveaux plugins qu'il est possible d'installer sur compiz-fusion avec la possibilité de récupérer le fichier [[ssh]] pour recompiler les plugins additionnels </note> | ssh

210 Mot inconnu : compiz-fusion => <note warning>**Attention** certains **Plugins** ne sont pas stables, assurez-vous d'avoir la **dernière version** de **compiz-fusion** **installée**. </note> | compiz-fusion

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Consultez la page [[http://cgit.compiz-fusion.org/]]. |    => suggestions : ['']

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ensuite, faites un **clic** sur les **plugins additionnels** que vous avez **choisi**; |    => suggestions : ['']
217 Si “les plugins…” est bien le COD du participe passé “choisi”, celui-ci devrait être au pluriel (et accordé en genre). =>   * Ensuite, faites un **clic** sur les **plugins additionnels** que vous avez **choisi**; | choisi => suggestions : ['choisis']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans **l'onglet clone**, copiez **cette ligne**:  |    => suggestions : ['']
218 Espace(s) en fin de ligne à supprimer. =>   * Dans **l'onglet clone**, copiez **cette ligne**:  |   => suggestions : ['']

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Et **remplacez** cette ligne par **celle-ci**: |    => suggestions : ['']

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ce qui nous **donne** pour l'**installation**: |    => suggestions : ['']

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Copiez ce texte dans un fichier vierge.Renommez ce fichier avec l'extension **.sh** |    => suggestions : ['']
242 Il manque un espace. =>   * Copiez ce texte dans un fichier vierge.Renommez ce fichier avec l'extension **.sh** | renommez => suggestions : [' Renommez']
242 Mot inconnu : sh =>   * Copiez ce texte dans un fichier vierge.Renommez ce fichier avec l'extension **.sh** | sh

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ensuite, faites un clic droit, allez dans **propriétés** |    => suggestions : ['']

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'onglet permission, cochez la case << autoriser à exécuter comme un programme >> |    => suggestions : ['']

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il ne vous reste plus qu'à **double cliquer** sur le fichier et à le lancer dans un [[terminal]] |    => suggestions : ['']
