
4 Mot inconnu : PDFChain => ====== PDFChain ====== | pdfchain
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - Orientez les pages en cliquant sur 0° de la colonne Rotation du fichier à tourner |  -  => suggestions : [' – ', ' — ', ' − ']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Enregistrer le document fusionné en cliquant sur "Enregistrer sous" |    => suggestions : ['']
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Enregistrer le document fusionné en cliquant sur "Enregistrer sous" |  -  => suggestions : [' – ', ' — ', ' − ']
27 Guillemets typographiques ouvrants. =>   - Enregistrer le document fusionné en cliquant sur "Enregistrer sous" | " => suggestions : ['«\xa0', '“']
27 Guillemets typographiques fermants. =>   - Enregistrer le document fusionné en cliquant sur "Enregistrer sous" | " => suggestions : ['\xa0»', '”']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifiez que vous êtes dans l'onglet "Burst" |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifiez que vous êtes dans l'onglet "Burst" |  -  => suggestions : [' – ', ' — ', ' − ']
30 Guillemets typographiques ouvrants. =>   - Vérifiez que vous êtes dans l'onglet "Burst" | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : Burst =>   - Vérifiez que vous êtes dans l'onglet "Burst" | burst
30 Guillemets typographiques fermants. =>   - Vérifiez que vous êtes dans l'onglet "Burst" | " => suggestions : ['\xa0»', '”']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez le document à découper en cliquant sur le bouton qui suit "Document:" |    => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez le document à découper en cliquant sur le bouton qui suit "Document:" |  -  => suggestions : [' – ', ' — ', ' − ']
31 Guillemets typographiques ouvrants. =>   - Sélectionnez le document à découper en cliquant sur le bouton qui suit "Document:" | " => suggestions : ['«\xa0', '“']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Éventuellement cliquez sur "Extended options" : |    => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Éventuellement cliquez sur "Extended options" : |  -  => suggestions : [' – ', ' — ', ' − ']
32 Guillemets typographiques ouvrants. =>   - Éventuellement cliquez sur "Extended options" : | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : Extended =>   - Éventuellement cliquez sur "Extended options" : | extended
32 Guillemets typographiques fermants. =>   - Éventuellement cliquez sur "Extended options" : | " => suggestions : ['\xa0»', '”']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) |         => suggestions : ['']
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) |  -  => suggestions : [' – ', ' — ', ' − ']
33 Guillemets typographiques ouvrants. =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : Prefix =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | prefix
33 Guillemets typographiques ouvrants. =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : Suffix =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | suffix
33 Guillemets typographiques ouvrants. =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : prefix =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | prefix
33 Guillemets typographiques fermants. =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | " => suggestions : ['\xa0»', '”']
33 Guillemets typographiques ouvrants. =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : suffix =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | suffix
33 Guillemets typographiques fermants. =>        - Mettez un préfixe ou suffixe pour les noms de fichiers de sortie dans la case "Prefix:" ou "Suffix:" (les noms de fichiers seront numérotés avec le contenu de "prefix" avant le numéro et le contenu de "suffix" après le numéro) | " => suggestions : ['\xa0»', '”']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        - Choisissez la base de numérotation (Octal (chiffres de 0 à 7), Décimal (conseillé) (chiffres de 0 à 9) ou hexadécimal (chiffre de 0 à 9 et de A à F) |         => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>        - Choisissez la base de numérotation (Octal (chiffres de 0 à 7), Décimal (conseillé) (chiffres de 0 à 9) ou hexadécimal (chiffre de 0 à 9 et de A à F) |  -  => suggestions : [' – ', ' — ', ' − ']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        - Cliquez sur "Extension" pour ajouter ".pdf" à la fin du nom de fichier |         => suggestions : ['']
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>        - Cliquez sur "Extension" pour ajouter ".pdf" à la fin du nom de fichier |  -  => suggestions : [' – ', ' — ', ' − ']
35 Guillemets typographiques ouvrants. =>        - Cliquez sur "Extension" pour ajouter ".pdf" à la fin du nom de fichier | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. =>        - Cliquez sur "Extension" pour ajouter ".pdf" à la fin du nom de fichier | " => suggestions : ['\xa0»', '”']
35 Guillemets fermants. =>        - Cliquez sur "Extension" pour ajouter ".pdf" à la fin du nom de fichier |  " => suggestions : ['\xa0»', '”']
35 Guillemets typographiques fermants. =>        - Cliquez sur "Extension" pour ajouter ".pdf" à la fin du nom de fichier | " => suggestions : ['\xa0»', '”']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Enregistrer le répertoire où seront déposés les fichiers en cliquant sur "Enregistrer sous". |    => suggestions : ['']
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Enregistrer le répertoire où seront déposés les fichiers en cliquant sur "Enregistrer sous". |  -  => suggestions : [' – ', ' — ', ' − ']
36 Guillemets typographiques ouvrants. =>   - Enregistrer le répertoire où seront déposés les fichiers en cliquant sur "Enregistrer sous". | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. =>   - Enregistrer le répertoire où seront déposés les fichiers en cliquant sur "Enregistrer sous". | " => suggestions : ['\xa0»', '”']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://sourceforge.net/projects/pdfchain/|Site officiel]] |    => suggestions : ['']
