
5 Mot inconnu : conkyForecast => ====== La météo avec conkyForecast ====== | conkyforecast
77 Mot inconnu : XOAP_LICENCE_KEY => XOAP_LICENCE_KEY = XXXXXXXXXX</code> | xoap_licence_key
77 Mot inconnu : XXXXXXXXXX => XOAP_LICENCE_KEY = XXXXXXXXXX</code> | xxxxxxxxxx

81 Mot inconnu : conkyForecast => Le fichier **''"~/.conkyForecast.config"''** se trouve sous le chemin : | conkyforecast
81 Guillemets typographiques fermants. => Le fichier **''"~/.conkyForecast.config"''** se trouve sous le chemin : | " => suggestions : ['\xa0»', '”']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

87 Mot inconnu : conkyForecast => Pour ce faire, éditez le fichier ~/.conkyForecast.config et remplacez ce qui suit par le répertoire temporaire de votre choix.  | conkyforecast
87 Espace(s) en fin de ligne à supprimer. => Pour ce faire, éditez le fichier ~/.conkyForecast.config et remplacez ce qui suit par le répertoire temporaire de votre choix.  |   => suggestions : ['']
90 Espace(s) en fin de ligne à supprimer. => (Le $USER mentionné ci-après doit être votre nom d'utilisateur) :  |   => suggestions : ['']

92 Mot inconnu : CACHE_FOLDERPATH => CACHE_FOLDERPATH = /home/$USER/.conky_tmp | cache_folderpath
92 Mot inconnu : conky_tmp => CACHE_FOLDERPATH = /home/$USER/.conky_tmp | conky_tmp
94 Espace(s) en fin de ligne à supprimer. => Exemple de session :  |   => suggestions : ['']

95 Mot inconnu : CACHE_FOLDERPATH => CACHE_FOLDERPATH = /home/amande/Config/Conky/.conky_tmp/</note> | cache_folderpath

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * conkyrc (fichier de configuration de [[Conky]]) |    => suggestions : ['']
101 Mot inconnu : conkyrc =>   * conkyrc (fichier de configuration de [[Conky]]) | conkyrc
101 Mot inconnu : Conky =>   * conkyrc (fichier de configuration de [[Conky]]) | conky

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * conkyForecast.template (détaillé un peu plus loin) |    => suggestions : ['']
102 Mot inconnu : conkyForecast =>   * conkyForecast.template (détaillé un peu plus loin) | conkyforecast
102 Mot inconnu : template =>   * conkyForecast.template (détaillé un peu plus loin) | template

104 Mot inconnu : Conky => Vous pouvez lancer [[Conky]] à l'aide de la commande suivante : | conky

113 Mot inconnu : FRXX0000 => Lancez une recherche et notez le code qui se trouve dans la barre d'adresse sous la forme FRXX0000.\\ | frxx0000

118 Mot inconnu : Conkyrc => ====Conkyrc ==== | conkyrc
130 Pas d’espace insécable après le signe “?”. => Vous êtes perdus ? Pas de panique ! | ?  => suggestions : ['? ']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-l CODE ou --location=CODE''** : On l'utilisera pour spécifier le CODE de votre ville au script. |    => suggestions : ['']
135 Guillemets typographiques fermants. =>   * **''-l CODE ou --location=CODE''** : On l'utilisera pour spécifier le CODE de votre ville au script. | '' => suggestions : ['\xa0»', '”']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-d DATATYPE ou --datatype=DATATYPE''** : C'est l'option principale ! Elle déterminera quelle information on souhaite afficher. |    => suggestions : ['']
136 Mot inconnu : DATATYPE =>   * **''-d DATATYPE ou --datatype=DATATYPE''** : C'est l'option principale ! Elle déterminera quelle information on souhaite afficher. | datatype
136 Mot inconnu : datatype =>   * **''-d DATATYPE ou --datatype=DATATYPE''** : C'est l'option principale ! Elle déterminera quelle information on souhaite afficher. | datatype
136 Mot inconnu : DATATYPE =>   * **''-d DATATYPE ou --datatype=DATATYPE''** : C'est l'option principale ! Elle déterminera quelle information on souhaite afficher. | datatype
136 Guillemets typographiques fermants. =>   * **''-d DATATYPE ou --datatype=DATATYPE''** : C'est l'option principale ! Elle déterminera quelle information on souhaite afficher. | '' => suggestions : ['\xa0»', '”']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **DW** : Jour de la semaine\\ |          => suggestions : ['']
137 Mot inconnu : DW =>         * **DW** : Jour de la semaine\\ | dw

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **WF** : Police ConkyWeather\\ |          => suggestions : ['']
138 Mot inconnu : WF =>         * **WF** : Police ConkyWeather\\ | wf
138 Mot inconnu : ConkyWeather =>         * **WF** : Police ConkyWeather\\ | conkyweather

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **WI** : Icône Météo\\ |          => suggestions : ['']
139 Mot inconnu : WI =>         * **WI** : Icône Météo\\ | wi

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **BF** : Police Bearing Font\\ |          => suggestions : ['']
140 Mot inconnu : BF =>         * **BF** : Police Bearing Font\\ | bf
140 Mot inconnu : Bearing =>         * **BF** : Police Bearing Font\\ | bearing

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **BS** : Police Bearing Font + vitesse\\ |          => suggestions : ['']
141 Mot inconnu : BS =>         * **BS** : Police Bearing Font + vitesse\\ | bs
141 Mot inconnu : Bearing =>         * **BS** : Police Bearing Font + vitesse\\ | bearing

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **BI** : Icône Bearing\\ |          => suggestions : ['']
142 Mot inconnu : BI =>         * **BI** : Icône Bearing\\ | bi
142 Mot inconnu : Bearing =>         * **BI** : Icône Bearing\\ | bearing

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **LT** : Prévision température min\\ |          => suggestions : ['']
143 Mot inconnu : LT =>         * **LT** : Prévision température min\\ | lt

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **HT** : Prévision température max\\ |          => suggestions : ['']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **CC** : Conditions actuelles\\ |          => suggestions : ['']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **CT** : Conditions originales (en anglais)\\ |          => suggestions : ['']
146 Mot inconnu : CT =>         * **CT** : Conditions originales (en anglais)\\ | ct

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **PC** : Chances de précipitations (en %)\\ |          => suggestions : ['']

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **HM** : Taux d'humidité\\ |          => suggestions : ['']

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **VI** : Visibilité\\ |          => suggestions : ['']

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **WD** : Vent direction\\ |          => suggestions : ['']
150 Mot inconnu : WD =>         * **WD** : Vent direction\\ | wd

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **WA** : Vent angle en degrés\\ |          => suggestions : ['']
151 Mot inconnu : WA =>         * **WA** : Vent angle en degrés\\ | wa

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **WS** : Vent Vitesse\\ |          => suggestions : ['']
152 Mot inconnu : WS =>         * **WS** : Vent Vitesse\\ | ws

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **WG** : Vent raffale\\ |          => suggestions : ['']
153 Mot inconnu : WG =>         * **WG** : Vent raffale\\ | wg
153 Mot inconnu : raffale =>         * **WG** : Vent raffale\\ | raffale

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **CN** : Nom de la ville\\ |          => suggestions : ['']
154 Mot inconnu : CN =>         * **CN** : Nom de la ville\\ | cn

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **CO** : Nom du pays\\ |          => suggestions : ['']
155 Mot inconnu : CO =>         * **CO** : Nom du pays\\ | co

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **OB** : Nom de l'observatoire\\ |          => suggestions : ['']

157 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **SR** : Levé du soleil\\ |          => suggestions : ['']
157 Confusion. Exemple : une levée de fonds, un lever de soleil. =>         * **SR** : Levé du soleil\\ | levé => suggestions : ['Lever', 'Levers']

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **SS** : Couché du soleil\\ |          => suggestions : ['']

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **DL** : Lumière du jour\\ |          => suggestions : ['']

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **MP** : Phase de la lune\\ |          => suggestions : ['']
160 Mot inconnu : MP =>         * **MP** : Phase de la lune\\ | mp

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **MF** : Police pour la lune pour afficher un symbole\\ |          => suggestions : ['']

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **MI** : Icône de la lune\\ |          => suggestions : ['']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **BR** : Pression atmosphérique\\ |          => suggestions : ['']
163 Mot inconnu : BR =>         * **BR** : Pression atmosphérique\\ | br

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **BD** : Description pression\\ |          => suggestions : ['']

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **UI** : Indice UV\\ |          => suggestions : ['']
165 Mot inconnu : UI =>         * **UI** : Indice UV\\ | ui

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **UT** : Description UV\\ |          => suggestions : ['']

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **DP** : Point de rosée\\ |          => suggestions : ['']
167 Mot inconnu : DP =>         * **DP** : Point de rosée\\ | dp

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **WM** : Carte Métérologique et chemin d'images retourné\\ |          => suggestions : ['']
168 Mot inconnu : WM =>         * **WM** : Carte Métérologique et chemin d'images retourné\\ | wm
168 Mot inconnu : Métérologique =>         * **WM** : Carte Métérologique et chemin d'images retourné\\ | métérologique

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **LU** : Dernière mise à jour de weather.com\\ |          => suggestions : ['']
169 Mot inconnu : weather =>         * **LU** : Dernière mise à jour de weather.com\\ | weather

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * **LF** : Dernière connexion à weather.com\\ |          => suggestions : ['']
170 Mot inconnu : LF =>         * **LF** : Dernière connexion à weather.com\\ | lf
170 Mot inconnu : weather =>         * **LF** : Dernière connexion à weather.com\\ | weather

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-s NUMBER ou --startday=NUMBER''** : Affiche les prévisions à partir du jour donné en paramètre (1 à 4) |    => suggestions : ['']
171 Mot inconnu : NUMBER =>   * **''-s NUMBER ou --startday=NUMBER''** : Affiche les prévisions à partir du jour donné en paramètre (1 à 4) | number
171 Mot inconnu : startday =>   * **''-s NUMBER ou --startday=NUMBER''** : Affiche les prévisions à partir du jour donné en paramètre (1 à 4) | startday
171 Mot inconnu : NUMBER =>   * **''-s NUMBER ou --startday=NUMBER''** : Affiche les prévisions à partir du jour donné en paramètre (1 à 4) | number
171 Guillemets typographiques fermants. =>   * **''-s NUMBER ou --startday=NUMBER''** : Affiche les prévisions à partir du jour donné en paramètre (1 à 4) | '' => suggestions : ['\xa0»', '”']

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-e NUMBER ou --endday=NUMBER''** : Utilisé avec --startday, défini le jour de fin des prévisions |    => suggestions : ['']
172 Mot inconnu : NUMBER =>   * **''-e NUMBER ou --endday=NUMBER''** : Utilisé avec --startday, défini le jour de fin des prévisions | number
172 Mot inconnu : endday =>   * **''-e NUMBER ou --endday=NUMBER''** : Utilisé avec --startday, défini le jour de fin des prévisions | endday
172 Mot inconnu : NUMBER =>   * **''-e NUMBER ou --endday=NUMBER''** : Utilisé avec --startday, défini le jour de fin des prévisions | number
172 Guillemets typographiques fermants. =>   * **''-e NUMBER ou --endday=NUMBER''** : Utilisé avec --startday, défini le jour de fin des prévisions | '' => suggestions : ['\xa0»', '”']
172 Mot inconnu : startday =>   * **''-e NUMBER ou --endday=NUMBER''** : Utilisé avec --startday, défini le jour de fin des prévisions | startday

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-S NUMBER ou --spaces=NUMBER''** : Défini un espace avec la sortie de la commande (défaut : 1) |    => suggestions : ['']
173 Mot inconnu : NUMBER =>   * **''-S NUMBER ou --spaces=NUMBER''** : Défini un espace avec la sortie de la commande (défaut : 1) | number
173 Mot inconnu : spaces =>   * **''-S NUMBER ou --spaces=NUMBER''** : Défini un espace avec la sortie de la commande (défaut : 1) | spaces
173 Mot inconnu : NUMBER =>   * **''-S NUMBER ou --spaces=NUMBER''** : Défini un espace avec la sortie de la commande (défaut : 1) | number
173 Guillemets typographiques fermants. =>   * **''-S NUMBER ou --spaces=NUMBER''** : Défini un espace avec la sortie de la commande (défaut : 1) | '' => suggestions : ['\xa0»', '”']

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-t FILE ou --template=FILE''** : Défini le chemin du fichier conkyForecast.template |    => suggestions : ['']
174 Mot inconnu : template =>   * **''-t FILE ou --template=FILE''** : Défini le chemin du fichier conkyForecast.template | template
174 Guillemets typographiques fermants. =>   * **''-t FILE ou --template=FILE''** : Défini le chemin du fichier conkyForecast.template | '' => suggestions : ['\xa0»', '”']
174 Mot inconnu : conkyForecast =>   * **''-t FILE ou --template=FILE''** : Défini le chemin du fichier conkyForecast.template | conkyforecast
174 Mot inconnu : template =>   * **''-t FILE ou --template=FILE''** : Défini le chemin du fichier conkyForecast.template | template

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-L LOCALE ou --locale=LOCALE''** : Change la langue de sortie de la commande (fr=français, en=anglais...) |    => suggestions : ['']
175 Guillemets typographiques fermants. =>   * **''-L LOCALE ou --locale=LOCALE''** : Change la langue de sortie de la commande (fr=français, en=anglais...) | '' => suggestions : ['\xa0»', '”']
175 Typographie : points de suspension. Utilisez le caractère dédié. =>   * **''-L LOCALE ou --locale=LOCALE''** : Change la langue de sortie de la commande (fr=français, en=anglais...) | ... => suggestions : ['…']

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-i ou --imperial''** : Donne le résultat en mesure impériale (mph, °F..) |    => suggestions : ['']
176 Mot inconnu : imperial =>   * **''-i ou --imperial''** : Donne le résultat en mesure impériale (mph, °F..) | imperial
176 Guillemets typographiques fermants. =>   * **''-i ou --imperial''** : Donne le résultat en mesure impériale (mph, °F..) | '' => suggestions : ['\xa0»', '”']
176 Mot inconnu : mph =>   * **''-i ou --imperial''** : Donne le résultat en mesure impériale (mph, °F..) | mph
176 Typographie : un ou trois points ? =>   * **''-i ou --imperial''** : Donne le résultat en mesure impériale (mph, °F..) | .. => suggestions : ['…', '.']

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-b ou --beaufort''** : Donne le résultat à l'échelle beaufort pour la vitesse du vent |    => suggestions : ['']
177 Mot inconnu : beaufort =>   * **''-b ou --beaufort''** : Donne le résultat à l'échelle beaufort pour la vitesse du vent | beaufort
177 Guillemets typographiques fermants. =>   * **''-b ou --beaufort''** : Donne le résultat à l'échelle beaufort pour la vitesse du vent | '' => suggestions : ['\xa0»', '”']
177 Mot inconnu : beaufort =>   * **''-b ou --beaufort''** : Donne le résultat à l'échelle beaufort pour la vitesse du vent | beaufort

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-M ou --metrespersecond''** : Donne le résultat en mètre seconde pour la vitesse du vent |    => suggestions : ['']
178 Mot inconnu : metrespersecond =>   * **''-M ou --metrespersecond''** : Donne le résultat en mètre seconde pour la vitesse du vent | metrespersecond
178 Guillemets typographiques fermants. =>   * **''-M ou --metrespersecond''** : Donne le résultat en mètre seconde pour la vitesse du vent | '' => suggestions : ['\xa0»', '”']

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-n ou --night''** : Pour obtenir les informations de nuit |    => suggestions : ['']
179 Mot inconnu : night =>   * **''-n ou --night''** : Pour obtenir les informations de nuit | night
179 Guillemets typographiques fermants. =>   * **''-n ou --night''** : Pour obtenir les informations de nuit | '' => suggestions : ['\xa0»', '”']

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-w ou --shortweekday''** : tronque les noms des jours aux 3 premières lettres (ex: samedi=sam) |    => suggestions : ['']
180 Mot inconnu : shortweekday =>   * **''-w ou --shortweekday''** : tronque les noms des jours aux 3 premières lettres (ex: samedi=sam) | shortweekday
180 Guillemets typographiques fermants. =>   * **''-w ou --shortweekday''** : tronque les noms des jours aux 3 premières lettres (ex: samedi=sam) | '' => suggestions : ['\xa0»', '”']
180 Mot inconnu : sam =>   * **''-w ou --shortweekday''** : tronque les noms des jours aux 3 premières lettres (ex: samedi=sam) | sam

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-u ou --hideunits''** : Cache l'unité de mesure |    => suggestions : ['']
181 Mot inconnu : hideunits =>   * **''-u ou --hideunits''** : Cache l'unité de mesure | hideunits
181 Guillemets typographiques fermants. =>   * **''-u ou --hideunits''** : Cache l'unité de mesure | '' => suggestions : ['\xa0»', '”']

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-x ou --hidedegreesymbol''** : Cache le symbole des degrés (à utiliser avec --hideunits) |    => suggestions : ['']
182 Mot inconnu : hidedegreesymbol =>   * **''-x ou --hidedegreesymbol''** : Cache le symbole des degrés (à utiliser avec --hideunits) | hidedegreesymbol
182 Guillemets typographiques fermants. =>   * **''-x ou --hidedegreesymbol''** : Cache le symbole des degrés (à utiliser avec --hideunits) | '' => suggestions : ['\xa0»', '”']
182 Mot inconnu : hideunits =>   * **''-x ou --hidedegreesymbol''** : Cache le symbole des degrés (à utiliser avec --hideunits) | hideunits

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-r ou --refetch''** : Télécharge les informations sans tenir compte de la durée de validité des informations en cache |    => suggestions : ['']
