
5 Mot inconnu : Bacula => ====== Bacula : sauvegarder régulièrement son PC ====== | bacula
135 Mot inconnu : mozilla =>   File = /home/mon nom d utilisateur/.mozilla/firefox/e3s99zut.default/Cache | mozilla
135 Mot inconnu : firefox =>   File = /home/mon nom d utilisateur/.mozilla/firefox/e3s99zut.default/Cache | firefox
135 Mot inconnu : e3s99zut =>   File = /home/mon nom d utilisateur/.mozilla/firefox/e3s99zut.default/Cache | e3s99zut
135 Mot inconnu : default =>   File = /home/mon nom d utilisateur/.mozilla/firefox/e3s99zut.default/Cache | default

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/hmon nom d utilisateur/.gimp-2.6 |    => suggestions : ['']
136 Mot inconnu : gimp-2 =>   File = /home/hmon nom d utilisateur/.gimp-2.6 | gimp-2

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/.google |    => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/.googleearth |    => suggestions : ['']
138 Mot inconnu : googleearth =>   File = /home/mon nom d utilisateur/.googleearth | googleearth

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/.local/share/Trash/ |    => suggestions : ['']
139 Mot inconnu : share =>   File = /home/mon nom d utilisateur/.local/share/Trash/ | share

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/.gvfs |    => suggestions : ['']
140 Mot inconnu : gvfs =>   File = /home/mon nom d utilisateur/.gvfs | gvfs

142 Mot inconnu : fsck => #    File = /.fsck | fsck

146 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => > .local/share/Trash/ est la corbeille |  . => suggestions : ['. ', '.']
146 Mot inconnu : share => > .local/share/Trash/ est la corbeille | share

147 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) |  . => suggestions : ['. ', '.']
147 Mot inconnu : mozilla => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) | mozilla
147 Mot inconnu : firefox => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) | firefox
147 Mot inconnu : e3s99zut => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) | e3s99zut
147 Mot inconnu : default => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) | default
147 Guillemets typographiques ouvrants. => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) | " => suggestions : ['«\xa0', '“']
147 Mot inconnu : e3s99zut => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) | e3s99zut
147 Guillemets typographiques fermants. => > .mozilla/firefox/e3s99zut.default/Cache est le cache du navigateur (remplacer "e3s99zut" par le dossier correspondant à votre profil) | " => suggestions : ['\xa0»', '”']

148 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => > .thumbnails est pour les photos |  . => suggestions : ['. ', '.']
148 Mot inconnu : thumbnails => > .thumbnails est pour les photos | thumbnails

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Planifier les sauvegardes à des heures ou le PC est allumé |    => suggestions : ['']

152 Mot inconnu : Schedule => Schedule { | schedule

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = "WeeklyCycle" |    => suggestions : ['']
153 Mot inconnu : Name =>   Name = "WeeklyCycle" | name
153 Guillemets typographiques ouvrants. =>   Name = "WeeklyCycle" | " => suggestions : ['«\xa0', '“']
153 Mot inconnu : WeeklyCycle =>   Name = "WeeklyCycle" | weeklycycle
153 Guillemets typographiques fermants. =>   Name = "WeeklyCycle" | " => suggestions : ['\xa0»', '”']

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Run = Full 1st sun at 19:05 |    => suggestions : ['']
154 Mot inconnu : Run =>   Run = Full 1st sun at 19:05 | run
154 Mot inconnu : sun =>   Run = Full 1st sun at 19:05 | sun
154 Mot inconnu : at =>   Run = Full 1st sun at 19:05 | at

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Run = Differential 2nd-5th sun at 19:05 |    => suggestions : ['']
155 Mot inconnu : Run =>   Run = Differential 2nd-5th sun at 19:05 | run
155 Mot inconnu : Differential =>   Run = Differential 2nd-5th sun at 19:05 | differential
155 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. =>   Run = Differential 2nd-5th sun at 19:05 | 2nd => suggestions : ['2ᵈ']
155 Mot inconnu : sun =>   Run = Differential 2nd-5th sun at 19:05 | sun
155 Mot inconnu : at =>   Run = Differential 2nd-5th sun at 19:05 | at

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Run = Incremental mon-sat at 19:05 |    => suggestions : ['']
156 Mot inconnu : Run =>   Run = Incremental mon-sat at 19:05 | run
156 Mot inconnu : Incremental =>   Run = Incremental mon-sat at 19:05 | incremental
156 Mot inconnu : mon-sat =>   Run = Incremental mon-sat at 19:05 | mon-sat
156 Mot inconnu : at =>   Run = Incremental mon-sat at 19:05 | at

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sauvegarder la base de données. C'est avec celle-ci que Bacula peut savoir quel fichier a été sauvé et à quel moment. En cas de perte de la base de données (par ex. en cas de crash disque) il est nécessaire d'avoir une copie de celle-ci. |    => suggestions : ['']
160 Mot inconnu : Bacula =>   * Sauvegarder la base de données. C'est avec celle-ci que Bacula peut savoir quel fichier a été sauvé et à quel moment. En cas de perte de la base de données (par ex. en cas de crash disque) il est nécessaire d'avoir une copie de celle-ci. | bacula

162 Mot inconnu : This => # This schedule does the catalog. It starts after the WeeklyCycle | this
162 Mot inconnu : schedule => # This schedule does the catalog. It starts after the WeeklyCycle | schedule
162 Mot inconnu : does => # This schedule does the catalog. It starts after the WeeklyCycle | does
162 Mot inconnu : the => # This schedule does the catalog. It starts after the WeeklyCycle | the
162 Mot inconnu : catalog => # This schedule does the catalog. It starts after the WeeklyCycle | catalog
162 Mot inconnu : It => # This schedule does the catalog. It starts after the WeeklyCycle | it
162 Mot inconnu : starts => # This schedule does the catalog. It starts after the WeeklyCycle | starts
162 Mot inconnu : the => # This schedule does the catalog. It starts after the WeeklyCycle | the
162 Mot inconnu : WeeklyCycle => # This schedule does the catalog. It starts after the WeeklyCycle | weeklycycle

163 Mot inconnu : Schedule => Schedule { | schedule

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = "WeeklyCycleAfterBackup" |    => suggestions : ['']
164 Mot inconnu : Name =>   Name = "WeeklyCycleAfterBackup" | name
164 Guillemets typographiques ouvrants. =>   Name = "WeeklyCycleAfterBackup" | " => suggestions : ['«\xa0', '“']
164 Mot inconnu : WeeklyCycleAfterBackup =>   Name = "WeeklyCycleAfterBackup" | weeklycycleafterbackup
164 Guillemets typographiques fermants. =>   Name = "WeeklyCycleAfterBackup" | " => suggestions : ['\xa0»', '”']

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Run = Full sun-sat at 19:20 |    => suggestions : ['']
165 Mot inconnu : Run =>   Run = Full sun-sat at 19:20 | run
165 Mot inconnu : sun-sat =>   Run = Full sun-sat at 19:20 | sun-sat
165 Mot inconnu : at =>   Run = Full sun-sat at 19:20 | at

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Copier les bootstrap. Ce sont les fichiers qui permettront la restauration en cas de perte de données. On les met sur la partition de sauvegarde |    => suggestions : ['']
169 Mot inconnu : bootstrap =>   * Copier les bootstrap. Ce sont les fichiers qui permettront la restauration en cas de perte de données. On les met sur la partition de sauvegarde | bootstrap

171 Mot inconnu : Write => Write Bootstrap = "/opt/SAUVEGARDE/bacula/BackupCatalog.bsr" | write
171 Mot inconnu : Bootstrap => Write Bootstrap = "/opt/SAUVEGARDE/bacula/BackupCatalog.bsr" | bootstrap

172 Mot inconnu : Write => Write Bootstrap = "/opt/SAUVEGARDE/bacula/Client1.bsr" | write
172 Mot inconnu : Bootstrap => Write Bootstrap = "/opt/SAUVEGARDE/bacula/Client1.bsr" | bootstrap

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Remplacer <CatalogName> par le vrai nom (MyCatalog) pour le dump de la base de donnée MySQL dans le code ci dessous : |    => suggestions : ['']
175 Mot inconnu : MyCatalog =>   * Remplacer <CatalogName> par le vrai nom (MyCatalog) pour le dump de la base de donnée MySQL dans le code ci dessous : | mycatalog
175 Mot inconnu : dump =>   * Remplacer <CatalogName> par le vrai nom (MyCatalog) pour le dump de la base de donnée MySQL dans le code ci dessous : | dump
175 Mot inconnu : MySQL =>   * Remplacer <CatalogName> par le vrai nom (MyCatalog) pour le dump de la base de donnée MySQL dans le code ci dessous : | mysql
175 Il manque un trait d’union. =>   * Remplacer <CatalogName> par le vrai nom (MyCatalog) pour le dump de la base de donnée MySQL dans le code ci dessous : | ci dessous => suggestions : ['ci-dessous']

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # WARNING!!! Passing the password via the command line is insecure. |    => suggestions : ['']
178 Mot inconnu : Passing =>   # WARNING!!! Passing the password via the command line is insecure. | passing
178 Mot inconnu : the =>   # WARNING!!! Passing the password via the command line is insecure. | the
178 Mot inconnu : password =>   # WARNING!!! Passing the password via the command line is insecure. | password
178 Mot inconnu : the =>   # WARNING!!! Passing the password via the command line is insecure. | the
178 Mot inconnu : command =>   # WARNING!!! Passing the password via the command line is insecure. | command
178 Mot inconnu : line =>   # WARNING!!! Passing the password via the command line is insecure. | line
178 Mot inconnu : is =>   # WARNING!!! Passing the password via the command line is insecure. | is
178 Mot inconnu : insecure =>   # WARNING!!! Passing the password via the command line is insecure. | insecure

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # see comments in make_catalog_backup for details. |    => suggestions : ['']
179 Mot inconnu : see =>   # see comments in make_catalog_backup for details. | see
179 Mot inconnu : comments =>   # see comments in make_catalog_backup for details. | comments
179 Mot inconnu : make_catalog_backup =>   # see comments in make_catalog_backup for details. | make_catalog_backup
179 Mot inconnu : details =>   # see comments in make_catalog_backup for details. | details

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Arguments to make_catalog_backup are: |    => suggestions : ['']
180 Mot inconnu : to =>   # Arguments to make_catalog_backup are: | to
180 Mot inconnu : make_catalog_backup =>   # Arguments to make_catalog_backup are: | make_catalog_backup

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #  make_catalog_backup <database-name> <user-name> <password> <host> |    => suggestions : ['']
181 Mot inconnu : make_catalog_backup =>   #  make_catalog_backup <database-name> <user-name> <password> <host> | make_catalog_backup

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # |    => suggestions : ['']

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Ubuntu uses make_catalog_backup_awk script for |    => suggestions : ['']
183 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. =>   # Ubuntu uses make_catalog_backup_awk script for | uses => suggestions : ['use']
183 Mot inconnu : make_catalog_backup_awk =>   # Ubuntu uses make_catalog_backup_awk script for | make_catalog_backup_awk

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # security reasons |    => suggestions : ['']
184 Mot inconnu : security =>   # security reasons | security
184 Mot inconnu : reasons =>   # security reasons | reasons

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Replace <CatalogName> with the real Catalog name |    => suggestions : ['']
185 Mot inconnu : with =>   # Replace <CatalogName> with the real Catalog name | with
185 Mot inconnu : the =>   # Replace <CatalogName> with the real Catalog name | the
185 Mot inconnu : real =>   # Replace <CatalogName> with the real Catalog name | real
185 Mot inconnu : Catalog =>   # Replace <CatalogName> with the real Catalog name | catalog
185 Mot inconnu : name =>   # Replace <CatalogName> with the real Catalog name | name

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #  |    => suggestions : ['']
186 Espace(s) en fin de ligne à supprimer. =>   #  |   => suggestions : ['']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #autrement dit mettre cat1=MyCatalog dans la ligne ci dessous |    => suggestions : ['']
187 Mot inconnu : cat1 =>   #autrement dit mettre cat1=MyCatalog dans la ligne ci dessous | cat1
187 Mot inconnu : MyCatalog =>   #autrement dit mettre cat1=MyCatalog dans la ligne ci dessous | mycatalog
187 Il manque un trait d’union. =>   #autrement dit mettre cat1=MyCatalog dans la ligne ci dessous | ci dessous => suggestions : ['ci-dessous']

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   RunBeforeJob = "/usr/bin/awk -f /etc/bacula/scripts/make_catalog_backup_awk -v cat1=MyCatalog /etc/bacula/bacula-dir.conf" |    => suggestions : ['']
188 Mot inconnu : RunBeforeJob =>   RunBeforeJob = "/usr/bin/awk -f /etc/bacula/scripts/make_catalog_backup_awk -v cat1=MyCatalog /etc/bacula/bacula-dir.conf" | runbeforejob
188 Il manque un espace à côté du tiret. =>   RunBeforeJob = "/usr/bin/awk -f /etc/bacula/scripts/make_catalog_backup_awk -v cat1=MyCatalog /etc/bacula/bacula-dir.conf" |  - => suggestions : [' – ', ' — ']
