6 Mot inconnu : gFTP => ====== Client FTP : gFTP ====== | gftp
34 Mot inconnu : FSP =>   - **Type de connexion** : Vous avez ici le choix entre cinq types de connexion (FTP, HTTP, Local, SSH2, et FSP). Prenons encore l'exemple du serveur des pages persos de Free, qui est un serveur FTP, choisissez FTP. | fsp

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Fichiers locaux** : Ici se trouve la liste des fichiers disponibles en local, c'est-à-dire les fichiers présents sur votre disque dur, ou votre réseau intranet. Au dessus se trouve le chemin menant vers le dossier local (ici ///home/kmeleon//). |    => suggestions : ['']
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Fichiers locaux** : Ici se trouve la liste des fichiers disponibles en local, c'est-à-dire les fichiers présents sur votre disque dur, ou votre réseau intranet. Au dessus se trouve le chemin menant vers le dossier local (ici ///home/kmeleon//). |  -  => suggestions : [' – ', ' — ', ' − ']
35 Il manque un trait d’union. =>   - **Fichiers locaux** : Ici se trouve la liste des fichiers disponibles en local, c'est-à-dire les fichiers présents sur votre disque dur, ou votre réseau intranet. Au dessus se trouve le chemin menant vers le dossier local (ici ///home/kmeleon//). | au dessus => suggestions : ['Au-dessus']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Fichiers distants** : Ici sont présentés les fichiers distants, c'est-à-dire les fichiers présents sur le serveur FTP distant. Comme pour les fichiers locaux, le chemin partant de la racine du serveur est indiqué. |    => suggestions : ['']
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Fichiers distants** : Ici sont présentés les fichiers distants, c'est-à-dire les fichiers présents sur le serveur FTP distant. Comme pour les fichiers locaux, le chemin partant de la racine du serveur est indiqué. |  -  => suggestions : [' – ', ' — ', ' − ']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Transferts en cours** : Ici se trouve la liste d'attente des fichiers prêts à être transférés soit du serveur FTP vers votre disque dur, soit l'inverse. Lors du transfert imminent d'un fichier, une barre d'état indiquant le pourcentage du transfert s'affiche. |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Transferts en cours** : Ici se trouve la liste d'attente des fichiers prêts à être transférés soit du serveur FTP vers votre disque dur, soit l'inverse. Lors du transfert imminent d'un fichier, une barre d'état indiquant le pourcentage du transfert s'affiche. |  -  => suggestions : [' – ', ' — ', ' − ']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Informations** : Dans cette partie de l'interface se trouvent les commandes et réponses échangées entre le serveur et le client. |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Informations** : Dans cette partie de l'interface se trouvent les commandes et réponses échangées entre le serveur et le client. |  -  => suggestions : [' – ', ' — ', ' − ']

44 Mot inconnu : motdepasse => Nous prendrons dans cette partie l'exemple d'une connexion au serveur //ftpperso.free.fr// avec le login //utilisateur// et le mot de passe //motdepasse// (qui sera caché par la suite, donc il n'est pas important). | motdepasse

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez l'adresse du serveur dans la partie n°1 |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez le numéro de port //21// dans la partie n°2, ou laissez vide ce champ |    => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez le nom d'utilisateur dans la partie n°3 |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez le mot de passe dans la partie n°4 |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sélectionnez le mode //FTP// dans la partie n°5 |    => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez le chemin d'accès à votre répertoire personnel dans la partie n°6 |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Réglez le mode de transfert à //Binaire// dans le menu //FTP//, ou //ASCII// si ce mode est nécessaire |    => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur les deux ordinateurs en haut de l'écran pour établir la connexion entre le client et le serveur. Vous pouvez remarquer que la zone d'information (partie n°9) affiche les commandes et informations entre le client et le serveur. C'est ici que vous verrez si la connexion a échoué ou réussi. |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour transférer un fichier, cliquez sur ce dernier dans la liste distante (partie n°7) ou locale (partie n°6) et cliquez sur la flèche correspondante au milieu de l'écran (gauche pour serveur vers local, droite pour local vers serveur). |    => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La partie n°8 affiche le transfert en cours. Ce dernier s'efface quand il est terminé. |    => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fermez gft |    => suggestions : ['']
59 Mot inconnu : gft =>   * Fermez gft | gft

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir ''gedit /home/user/.gftp/bookmarks'' |    => suggestions : ['']
61 Guillemets typographiques ouvrants. =>   * Ouvrir ''gedit /home/user/.gftp/bookmarks'' | '' => suggestions : ['«\xa0', '“']
61 Mot inconnu : gedit =>   * Ouvrir ''gedit /home/user/.gftp/bookmarks'' | gedit

68 Mot inconnu : bookmarks => ==== Importer ses signets (bookmarks) ==== | bookmarks

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
