
4 Mot inconnu : Aeolus => ====== Aeolus ====== | aeolus
35 Guillemets typographiques fermants. =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | " => suggestions : ['\xa0»', '”']
35 Guillemets typographiques ouvrants. =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | " => suggestions : ['\xa0»', '”']
35 Mot inconnu : Aeolus =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | aeolus
35 Mot inconnu : Aeolus =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | aeolus
35 Accord de genre erroné : « possibilité » est féminin. =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | un => suggestions : ['une']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il ne vous reste plus qu'à choisir l'instrument dont vous désirez jouer. Revenez à la fenêtre principale du programme et cliquez sur le timbre désiré. N'oubliez pas de choisir parmi ceux du pédalier, puisque les autres registres ne sont pas connectés à un clavier MIDI dans notre exemple et ne répondront donc pas. Les timbres sélectionnés apparaissent en surbrillance, comme nous le voyons ici. |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous souhaitez superposer des timbres en utilisant ceux des autres claviers d'Aeolus, vous pouvez lier le pédalier à l'aide des boutons P+I, P+II… avec un fond marron. N'oubliez pas de choisir un ou des timbres dans les autres registres. Dans notre exemple, nous utilisons, en plus des registres sélectionnés du pédalier, le timbre "Principal 8" du premier clavier. |    => suggestions : ['']
43 Mot inconnu : Aeolus =>   * Si vous souhaitez superposer des timbres en utilisant ceux des autres claviers d'Aeolus, vous pouvez lier le pédalier à l'aide des boutons P+I, P+II… avec un fond marron. N'oubliez pas de choisir un ou des timbres dans les autres registres. Dans notre exemple, nous utilisons, en plus des registres sélectionnés du pédalier, le timbre "Principal 8" du premier clavier. | aeolus
43 Guillemets typographiques ouvrants. =>   * Si vous souhaitez superposer des timbres en utilisant ceux des autres claviers d'Aeolus, vous pouvez lier le pédalier à l'aide des boutons P+I, P+II… avec un fond marron. N'oubliez pas de choisir un ou des timbres dans les autres registres. Dans notre exemple, nous utilisons, en plus des registres sélectionnés du pédalier, le timbre "Principal 8" du premier clavier. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Si vous souhaitez superposer des timbres en utilisant ceux des autres claviers d'Aeolus, vous pouvez lier le pédalier à l'aide des boutons P+I, P+II… avec un fond marron. N'oubliez pas de choisir un ou des timbres dans les autres registres. Dans notre exemple, nous utilisons, en plus des registres sélectionnés du pédalier, le timbre "Principal 8" du premier clavier. | " => suggestions : ['\xa0»', '”']
47 Guillemets typographiques ouvrants. => Vous avez les principaux éléments pour débuter, je vous laisse explorer les possibilités de l'application : enregistrement des configurations et rappel de celles-ci par touches programmées, manipulation des paramètres du son comme la réverbération, accordage de l'instrument selon plusieurs tempéraments — le terme est à comprendre au sens musical bien entendu. Vous pouvez également connecter d'autres claviers MIDI pour contrôler plusieurs registres de manière indépendante, voire vous procurer un pédalier MIDI pour vous reconstituer un véritable orgue et vous prendre pour Jean-Sébastien Bach ! Amusez-vous bien, et surtout n'oubliez pas le bouton "Stop", ce logiciel est vraiment très prenant. | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. => Vous avez les principaux éléments pour débuter, je vous laisse explorer les possibilités de l'application : enregistrement des configurations et rappel de celles-ci par touches programmées, manipulation des paramètres du son comme la réverbération, accordage de l'instrument selon plusieurs tempéraments — le terme est à comprendre au sens musical bien entendu. Vous pouvez également connecter d'autres claviers MIDI pour contrôler plusieurs registres de manière indépendante, voire vous procurer un pédalier MIDI pour vous reconstituer un véritable orgue et vous prendre pour Jean-Sébastien Bach ! Amusez-vous bien, et surtout n'oubliez pas le bouton "Stop", ce logiciel est vraiment très prenant. | " => suggestions : ['\xa0»', '”']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.linuxmao.org/aeolus|Fiche sur Linux M.A.O.]] |    => suggestions : ['']
54 Sigle. Il est recommandé d’ôter les points pour les sigles. =>   * **(fr)** [[http://www.linuxmao.org/aeolus|Fiche sur Linux M.A.O.]] | m.a.o. => suggestions : ['MAO']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://kokkinizita.linuxaudio.org/linuxaudio/aeolus/index.html|Site officiel]] |    => suggestions : ['']
58 Il manque un espace. => //Contributeur principal : [[utilisateurs:pseudovingtcinqcaracteres]].// | pseudovingtcinqcaracteres => suggestions : [' pseudovingtcinqcaracteres']
59 Il manque un espace. => //Contributeur secondaire : [[utilisateurs:dpled]] | dpled => suggestions : [' dpled']
