
7 Mot inconnu : Launchy => ====== Launchy ======  | launchy
30 Mot inconnu : launchy =>   * Always display launchy Windows > Toujours afficher la fenêtre de launchy : il est conseillé de la laisser décochée ou launchy sera toujours visible, | launchy

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, |    => suggestions : ['']
31 Mot inconnu : Hide =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | hide
31 Mot inconnu : Launchy =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | launchy
31 Mot inconnu : When =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | when
31 Mot inconnu : it =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | it
31 Mot inconnu : loses =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | loses
31 Mot inconnu : launchy =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | launchy
31 Espace(s) surnuméraire(s) à supprimer. =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, |    => suggestions : [' ']
31 Mot inconnu : launchy =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | launchy
31 Mot inconnu : launchy =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | launchy
31 Mot inconnu : launchy =>   * Hide Launchy When it loses focus > Cacher launchy quand il perd le focus :  launchy redevient en tâche de fond et la fenêtre disparait si vous cliquez à l'extérieur de launchy avec l'option activée. Si l'option est désactivée, la fenêtre launchy est simplement sous la fenêtre que vous avez choisie. À vous de voir pour le réglage, c'est sans grande importance, | launchy

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Always on Top > Toujours en haut, |    => suggestions : ['']
32 Mot inconnu : Always =>   * Always on Top > Toujours en haut, | always
32 Incohérence avec “on” : “Top” devrait être un verbe, un pronom objet, un adverbe de négation, etc. =>   * Always on Top > Toujours en haut, | top => suggestions : []

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Always center Launchy > Toujours centrer launchy, |    => suggestions : ['']
33 Mot inconnu : Always =>   * Always center Launchy > Toujours centrer launchy, | always
33 Mot inconnu : Launchy =>   * Always center Launchy > Toujours centrer launchy, | launchy
33 Mot inconnu : launchy =>   * Always center Launchy > Toujours centrer launchy, | launchy

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Hotkey > Touches raccourcis : À vous de choisir la combinaison de touches que vous préférez, elle sert à appeler et cacher launchy. |    => suggestions : ['']
34 Mot inconnu : Hotkey =>   * Hotkey > Touches raccourcis : À vous de choisir la combinaison de touches que vous préférez, elle sert à appeler et cacher launchy. | hotkey
34 Mot inconnu : launchy =>   * Hotkey > Touches raccourcis : À vous de choisir la combinaison de touches que vous préférez, elle sert à appeler et cacher launchy. | launchy

36 Mot inconnu : System => ===System Options (Options système) :=== | system

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  |    => suggestions : ['']
37 Mot inconnu : update =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  | update
37 Mot inconnu : catalog =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  | catalog
37 Mot inconnu : every =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  | every
37 Mot inconnu : launchy =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  | launchy
37 Mot inconnu : ram =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  | ram
37 Il manque un trait d’union. =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  | grand chose => suggestions : ['grand-chose']
37 Espace(s) en fin de ligne à supprimer. =>   * Auto update catalog every > Temps en minutes avant de faire une mise à jour du catalogue : je vous conseille de décocher cette case pour que les mises à jour se fassent de façon manuelle. En laissant par exemple à 10 minutes, vous vous exposez à ce que launchy vous mange de la ram constamment pour pas grand chose,  |   => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Show hidden files in browse mode > Montrer les fichiers cachés en mode explorateur : À décocher, |    => suggestions : ['']
38 Mot inconnu : hidden =>   * Show hidden files in browse mode > Montrer les fichiers cachés en mode explorateur : À décocher, | hidden
38 Mot inconnu : browse =>   * Show hidden files in browse mode > Montrer les fichiers cachés en mode explorateur : À décocher, | browse

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Check for new versions of Launchy on startup > Vérifier si une mise à jour est disponible au démarrage : À décocher, l'option ne sert à rien sous linux.   |    => suggestions : ['']
39 Mot inconnu : Check =>   * Check for new versions of Launchy on startup > Vérifier si une mise à jour est disponible au démarrage : À décocher, l'option ne sert à rien sous linux.   | check
39 Mot inconnu : of =>   * Check for new versions of Launchy on startup > Vérifier si une mise à jour est disponible au démarrage : À décocher, l'option ne sert à rien sous linux.   | of
39 Mot inconnu : Launchy =>   * Check for new versions of Launchy on startup > Vérifier si une mise à jour est disponible au démarrage : À décocher, l'option ne sert à rien sous linux.   | launchy
39 Incohérence avec “on” : “startup” devrait être un verbe, un pronom objet, un adverbe de négation, etc. =>   * Check for new versions of Launchy on startup > Vérifier si une mise à jour est disponible au démarrage : À décocher, l'option ne sert à rien sous linux.   | startup => suggestions : []
39 Mot inconnu : linux =>   * Check for new versions of Launchy on startup > Vérifier si une mise à jour est disponible au démarrage : À décocher, l'option ne sert à rien sous linux.   | linux
39 Espace(s) en fin de ligne à supprimer. =>   * Check for new versions of Launchy on startup > Vérifier si une mise à jour est disponible au démarrage : À décocher, l'option ne sert à rien sous linux.   |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Portable mode (USB Stick) > Mode portable (sur une clé usb). |    => suggestions : ['']
40 Mot inconnu : usb =>   * Portable mode (USB Stick) > Mode portable (sur une clé usb). | usb

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

43 Mot inconnu : Visual => ===Visual Effects=== | visual
43 Mot inconnu : Effects => ===Visual Effects=== | effects

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Opaqueness > Opacité : réglage de la transparence de launchy, |    => suggestions : ['']
45 Mot inconnu : Opaqueness =>   * Opaqueness > Opacité : réglage de la transparence de launchy, | opaqueness
45 Mot inconnu : launchy =>   * Opaqueness > Opacité : réglage de la transparence de launchy, | launchy

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fade in time > Temps de l'animation d'arrivée : durée que met la fenêtre launchy à apparaitre. |    => suggestions : ['']
46 Mot inconnu : time =>   * Fade in time > Temps de l'animation d'arrivée : durée que met la fenêtre launchy à apparaitre. | time
46 Mot inconnu : launchy =>   * Fade in time > Temps de l'animation d'arrivée : durée que met la fenêtre launchy à apparaitre. | launchy

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fade out time > Temps de l'animation de sortie : durée que met la fenêtre lauchy à disparaitre. |    => suggestions : ['']
47 Mot inconnu : time =>   * Fade out time > Temps de l'animation de sortie : durée que met la fenêtre lauchy à disparaitre. | time
47 Mot inconnu : lauchy =>   * Fade out time > Temps de l'animation de sortie : durée que met la fenêtre lauchy à disparaitre. | lauchy

52 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Vous pouvez trouvez de nombreux skins en plus sur [[http://browse.deviantart.com/customization/skins/applaunchers/launchy/?order=9|Deviant Art]]. | trouvez => suggestions : ['trouver']
52 Mot inconnu : Deviant => Vous pouvez trouvez de nombreux skins en plus sur [[http://browse.deviantart.com/customization/skins/applaunchers/launchy/?order=9|Deviant Art]]. | deviant

55 Mot inconnu : compiz => Par contre, une majorité de ces skins ne fonctionnera correctement qu'avec compiz activé. | compiz

60 Mot inconnu : Catalog => ====L'onglet Catalog==== | catalog

64 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Laissez déjà tout ce qui est mis par défaut hormis ~ tout seul que vous pouvez retirer (cliquez dessus et appuyez sur le bouton - juste en dessous). |  -  => suggestions : [' – ', ' — ', ' − ']

65 Guillemets typographiques ouvrants. => Les répertoires restants ("usr/share/applications/" ; "usr/local/applications", etc, etc) sont les raccourcis pour vos applications. | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : usr => Les répertoires restants ("usr/share/applications/" ; "usr/local/applications", etc, etc) sont les raccourcis pour vos applications. | usr
65 Mot inconnu : share => Les répertoires restants ("usr/share/applications/" ; "usr/local/applications", etc, etc) sont les raccourcis pour vos applications. | share
65 Guillemets typographiques ouvrants. => Les répertoires restants ("usr/share/applications/" ; "usr/local/applications", etc, etc) sont les raccourcis pour vos applications. | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : usr => Les répertoires restants ("usr/share/applications/" ; "usr/local/applications", etc, etc) sont les raccourcis pour vos applications. | usr
65 Guillemets typographiques fermants. => Les répertoires restants ("usr/share/applications/" ; "usr/local/applications", etc, etc) sont les raccourcis pour vos applications. | " => suggestions : ['\xa0»', '”']

66 Espace(s) en fin de ligne à supprimer. => Il vous reste maintenant à ajouter les répertoires que vous voulez indexer en plus.  |   => suggestions : ['']

68 Mot inconnu : ram => Il faut savoir que l'utilisation de la ram par launchy dépendra directement du nombre et de la place que prennent les fichiers rajoutés. | ram
68 Mot inconnu : launchy => Il faut savoir que l'utilisation de la ram par launchy dépendra directement du nombre et de la place que prennent les fichiers rajoutés. | launchy

69 Mot inconnu : giga => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  | giga
69 Mot inconnu : ram => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  | ram
69 Mot inconnu : intelligement => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  | intelligement
69 Pas d’espace avant une virgule. => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  |  , => suggestions : [',']
69 Mot inconnu : firefox => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  | firefox
69 Mot inconnu : ram => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  | ram
69 Pas d’espace avant un point. => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  |  . => suggestions : ['.']
69 Espace(s) en fin de ligne à supprimer. => Pour prendre un exemple concret, en indexant un disque dur de 750 giga, il prend chez moi 100 mégas de ram. En le configurant intelligement avec un répertoire contenant les musiques (à peu près 1500) , un pour les documents, plus à peu près 2500 marque-pages firefox, il prend entre 1 et 5 mégas de ram, ce qui est quand même beaucoup mieux :-D .  |   => suggestions : ['']

70 Mot inconnu : launchy => Libre à vous de voir ce que vous voulez voir figurer dans launchy et la ram que vous voulez le laisser occuper mais si vous avez des fichiers dans tous les coins, ce sera une bonne occasion de faire un peu de rangement. | launchy
70 Mot inconnu : ram => Libre à vous de voir ce que vous voulez voir figurer dans launchy et la ram que vous voulez le laisser occuper mais si vous avez des fichiers dans tous les coins, ce sera une bonne occasion de faire un peu de rangement. | ram

73 Mot inconnu : directories => Maintenant pour ajouter vos fichiers, dans la partie directories (1), cliquez sur le bouton + et choisissez le répertoire que vous voulez ajouter. | directories

74 Mot inconnu : includes => Faites très attention à bien distinguer les options à droite (file type et les 2 includes, en 2 sur la capture) et celle de gauche (Directories, en 1 sur la capture). | includes
74 Mot inconnu : Directories => Faites très attention à bien distinguer les options à droite (file type et les 2 includes, en 2 sur la capture) et celle de gauche (Directories, en 1 sur la capture). | directories

80 Accord de genre erroné : « partie » est féminin. => Ensuite, sur le partie de droite, il vous reste à indiquer quel(s) type(s) de fichiers launchy doit indexer pour ce répertoire. | le => suggestions : ['la']
80 Accord de genre erroné : « le » est un déterminant masculin. => Ensuite, sur le partie de droite, il vous reste à indiquer quel(s) type(s) de fichiers launchy doit indexer pour ce répertoire. | partie => suggestions : ['parti']
80 Écriture invariable. Utilisez un point médian. => Ensuite, sur le partie de droite, il vous reste à indiquer quel(s) type(s) de fichiers launchy doit indexer pour ce répertoire. | quel(s) => suggestions : ['quel·s']
80 Écriture invariable. Utilisez un point médian. => Ensuite, sur le partie de droite, il vous reste à indiquer quel(s) type(s) de fichiers launchy doit indexer pour ce répertoire. | type(s) => suggestions : ['type·s']
80 Mot inconnu : launchy => Ensuite, sur le partie de droite, il vous reste à indiquer quel(s) type(s) de fichiers launchy doit indexer pour ce répertoire. | launchy

81 Guillemets isolés. => Par exemple, si vous avez sélectionné un répertoire de musique, ajoutez à gauche en rentrant " *.ogg "  dans la case au dessus du + si le répertoire contient des fichiers ogg et appuyez sur + ; ajoutez " *.mp3 " si ce sont des mp3, etc. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
81 Guillemets isolés. => Par exemple, si vous avez sélectionné un répertoire de musique, ajoutez à gauche en rentrant " *.ogg "  dans la case au dessus du + si le répertoire contient des fichiers ogg et appuyez sur + ; ajoutez " *.mp3 " si ce sont des mp3, etc. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
81 Il manque un trait d’union. => Par exemple, si vous avez sélectionné un répertoire de musique, ajoutez à gauche en rentrant " *.ogg "  dans la case au dessus du + si le répertoire contient des fichiers ogg et appuyez sur + ; ajoutez " *.mp3 " si ce sont des mp3, etc. | au dessus => suggestions : ['au-dessus']
81 Guillemets isolés. => Par exemple, si vous avez sélectionné un répertoire de musique, ajoutez à gauche en rentrant " *.ogg "  dans la case au dessus du + si le répertoire contient des fichiers ogg et appuyez sur + ; ajoutez " *.mp3 " si ce sont des mp3, etc. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
81 Guillemets isolés. => Par exemple, si vous avez sélectionné un répertoire de musique, ajoutez à gauche en rentrant " *.ogg "  dans la case au dessus du + si le répertoire contient des fichiers ogg et appuyez sur + ; ajoutez " *.mp3 " si ce sont des mp3, etc. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
83 Espace(s) en fin de ligne à supprimer. => Restent en dessous les options (toujours pour chaque répertoire) :\\  |   => suggestions : ['']

84 Mot inconnu : Include => Include executable (inclure les fichiers exécutables) : si vous avez un doute, laissez le décocher. | include
84 Mot inconnu : executable => Include executable (inclure les fichiers exécutables) : si vous avez un doute, laissez le décocher. | executable
84 S’il s’agit d’un impératif, mettez un trait d’union. => Include executable (inclure les fichiers exécutables) : si vous avez un doute, laissez le décocher. | laissez le => suggestions : ['laissez-le']

86 Mot inconnu : Include => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | include
86 Mot inconnu : directories => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | directories
86 Mot inconnu : ska => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | ska
86 Mot inconnu : metal => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | metal
86 Mot inconnu : ska => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | ska
86 Mot inconnu : metal => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | metal
86 Mot inconnu : accesibles => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | accesibles
86 Mot inconnu : launchy => Include directories (inclure les répertoires) : avec l'option activée, si dans le répertoire musique, il y a les répertoires ska, dub, metal ; vous retrouverez ska, dub, metal accesibles dans launchy qui lancera le gestionnaire de fichiers directement dans ce répertoire. | launchy

88 Mot inconnu : Depth => Depth (profondeur) : laissez à 100. | depth

90 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. => Une fois satisfait, il ne vous reste plus qu'à cliquez sur le bouton du bas (Rescan catalog > rescanner le catalogue) pour que la liste d'indexation soit mise à jour. | à => suggestions : ['a']
90 Incohérence : “à” est une préposition. “cliquez” est un verbe conjugué. => Une fois satisfait, il ne vous reste plus qu'à cliquez sur le bouton du bas (Rescan catalog > rescanner le catalogue) pour que la liste d'indexation soit mise à jour. | cliquez => suggestions : []
90 Mot inconnu : Rescan => Une fois satisfait, il ne vous reste plus qu'à cliquez sur le bouton du bas (Rescan catalog > rescanner le catalogue) pour que la liste d'indexation soit mise à jour. | rescan
90 Mot inconnu : catalog => Une fois satisfait, il ne vous reste plus qu'à cliquez sur le bouton du bas (Rescan catalog > rescanner le catalogue) pour que la liste d'indexation soit mise à jour. | catalog
90 Mot inconnu : rescanner => Une fois satisfait, il ne vous reste plus qu'à cliquez sur le bouton du bas (Rescan catalog > rescanner le catalogue) pour que la liste d'indexation soit mise à jour. | rescanner

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Calcy :** calcy ajoute une calculatrice intégrée à lauchy, il supporte les arguments + - * / et les parenthèses. Le résultat vous est donné automatiquement dans launchy. |    => suggestions : ['']
95 Mot inconnu : Calcy =>   * Calcy :** calcy ajoute une calculatrice intégrée à lauchy, il supporte les arguments + - * / et les parenthèses. Le résultat vous est donné automatiquement dans launchy. | calcy
95 Mot inconnu : calcy =>   * Calcy :** calcy ajoute une calculatrice intégrée à lauchy, il supporte les arguments + - * / et les parenthèses. Le résultat vous est donné automatiquement dans launchy. | calcy
95 Mot inconnu : lauchy =>   * Calcy :** calcy ajoute une calculatrice intégrée à lauchy, il supporte les arguments + - * / et les parenthèses. Le résultat vous est donné automatiquement dans launchy. | lauchy
95 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Calcy :** calcy ajoute une calculatrice intégrée à lauchy, il supporte les arguments + - * / et les parenthèses. Le résultat vous est donné automatiquement dans launchy. |  -  => suggestions : [' – ', ' — ', ' − ']
95 Mot inconnu : launchy =>   * Calcy :** calcy ajoute une calculatrice intégrée à lauchy, il supporte les arguments + - * / et les parenthèses. Le résultat vous est donné automatiquement dans launchy. | launchy

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ |    => suggestions : ['']
96 Mot inconnu : Gcalc =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ | gcalc
