
4 Guillemets typographiques ouvrants. => ====== Session "Gnome Flashback" ====== | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques ouvrants. => Techniquement, il s'agit d'une réécriture des tableaux de bord (appelés "GNOME Panel") mais faisant appel à des technologies plus modernes comme la librairie GTK+ 3. De ce fait, on relève quelques différences : | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => Techniquement, il s'agit d'une réécriture des tableaux de bord (appelés "GNOME Panel") mais faisant appel à des technologies plus modernes comme la librairie GTK+ 3. De ce fait, on relève quelques différences : | " => suggestions : ['\xa0»', '”']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * beaucoup d'**appliquettes** (Gnome Applets) ne sont **plus fonctionnelles** car leur système de gestion a été réécrit ; |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la **personnalisation** des tableaux de bord et des appliquettes s'effectue à l'aide de la combinaison **<Alt> + <Super> + <clic droit>**. Il n'est ainsi plus possible d'en modifier accidentellement l'agencement ; |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les **tiroirs** (//drawers//) ont dû être **retirés**. En matière de barres de raccourcis, vous êtes désormais limités uniquement à l'ajout et la suppression de tableaux de bord ; |    => suggestions : ['']
39 Mot inconnu : drawers =>   * les **tiroirs** (//drawers//) ont dû être **retirés**. En matière de barres de raccourcis, vous êtes désormais limités uniquement à l'ajout et la suppression de tableaux de bord ; | drawers

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le **menu //Système//** a été retiré. Il est **remplacé par le centre de contrôle** //Paramètres système//, accessible dans le menu utilisateur, ou dans le sous-menu //Outils système// du menu //Applications//. |    => suggestions : ['']
40 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * le **menu //Système//** a été retiré. Il est **remplacé par le centre de contrôle** //Paramètres système//, accessible dans le menu utilisateur, ou dans le sous-menu //Outils système// du menu //Applications//. | le => suggestions : ['Le']

45 Guillemets typographiques ouvrants. => Les tableaux de bord et l'ensemble des composants "Gnome Flashback" seront alors installés. | " => suggestions : ['«\xa0', '“']
45 Accord de nombre erroné avec « des composants » : « Gnome » devrait être au pluriel. => Les tableaux de bord et l'ensemble des composants "Gnome Flashback" seront alors installés. | gnome => suggestions : ['Gnomes']
45 Guillemets typographiques fermants. => Les tableaux de bord et l'ensemble des composants "Gnome Flashback" seront alors installés. | " => suggestions : ['\xa0»', '”']
47 Mot inconnu : indicatorappletcompletefactory => <note warning>warning : erreur indicatorappletcompletefactory en 19.10</note> | indicatorappletcompletefactory

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fermez votre session ; |    => suggestions : ['']
52 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fermez votre session ; |  -  => suggestions : [' – ', ' — ', ' − ']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Saisissez votre mot de passe et appuyez sur la touche <Entrée> de votre clavier. |    => suggestions : ['']
57 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Saisissez votre mot de passe et appuyez sur la touche <Entrée> de votre clavier. |  -  => suggestions : [' – ', ' — ', ' − ']

59 Guillemets typographiques ouvrants. => La session "flashback" demeurera votre session par défaut jusqu'à ce que vous en choisissiez une autre dans la liste des sessions disponibles. Elle sera donc pré-sélectionnée au prochain démarrage. | " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. => La session "flashback" demeurera votre session par défaut jusqu'à ce que vous en choisissiez une autre dans la liste des sessions disponibles. Elle sera donc pré-sélectionnée au prochain démarrage. | " => suggestions : ['\xa0»', '”']
64 Mot inconnu : ubuntu-2d => Les lignes //user-session// (au choix : ubuntu, ubuntu-2d, gnome, gnome-classic, gnome-flashback) et //autologin-session// doivent être comme suit : | ubuntu-2d
64 Mot inconnu : gnome-classic => Les lignes //user-session// (au choix : ubuntu, ubuntu-2d, gnome, gnome-classic, gnome-flashback) et //autologin-session// doivent être comme suit : | gnome-classic
64 Mot inconnu : autologin-session => Les lignes //user-session// (au choix : ubuntu, ubuntu-2d, gnome, gnome-classic, gnome-flashback) et //autologin-session// doivent être comme suit : | autologin-session

65 Mot inconnu : autologin-session => <file>autologin-session=lightdm-autologin | autologin-session
65 Mot inconnu : lightdm-autologin => <file>autologin-session=lightdm-autologin | lightdm-autologin

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez poser les lanceurs de vos applications préférées ou des raccourcis vers certains de vos dossiers ou fichiers directement sur le **bureau**. |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le bureau est recouvert par les **fenêtres d'applications**, lorsqu'un programme est exécuté. |    => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Au-dessus et au-dessous de votre écran se trouvent deux **tableaux de bord**, affichant des informations utiles et vous permettant d'interagir avec votre système Ubuntu. |    => suggestions : ['']

75 Mot inconnu : ClicDroit => <note>Le paramétrage des tableaux de bord se fait par un Super+Alt+ClicDroit (<Super> étant la touche "Windows").</note>  | clicdroit
75 Guillemets typographiques ouvrants. => <note>Le paramétrage des tableaux de bord se fait par un Super+Alt+ClicDroit (<Super> étant la touche "Windows").</note>  | " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. => <note>Le paramétrage des tableaux de bord se fait par un Super+Alt+ClicDroit (<Super> étant la touche "Windows").</note>  | " => suggestions : ['\xa0»', '”']
75 Espace(s) en fin de ligne à supprimer. => <note>Le paramétrage des tableaux de bord se fait par un Super+Alt+ClicDroit (<Super> étant la touche "Windows").</note>  |   => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Soit prendre l'icône dans le menu à la souris et la relâcher sur le panel du haut (**drag & drop**); |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Soit faire Alt+Super+ClicDroit sur le tableau de bord puis "Ajouter au tableau de bord" et "Lanceur ... depuis le menu Applications". |    => suggestions : ['']
82 Mot inconnu : ClicDroit =>   * Soit faire Alt+Super+ClicDroit sur le tableau de bord puis "Ajouter au tableau de bord" et "Lanceur ... depuis le menu Applications". | clicdroit
82 Guillemets typographiques ouvrants. =>   * Soit faire Alt+Super+ClicDroit sur le tableau de bord puis "Ajouter au tableau de bord" et "Lanceur ... depuis le menu Applications". | " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. =>   * Soit faire Alt+Super+ClicDroit sur le tableau de bord puis "Ajouter au tableau de bord" et "Lanceur ... depuis le menu Applications". | " => suggestions : ['\xa0»', '”']
82 Guillemets typographiques ouvrants. =>   * Soit faire Alt+Super+ClicDroit sur le tableau de bord puis "Ajouter au tableau de bord" et "Lanceur ... depuis le menu Applications". | " => suggestions : ['«\xa0', '“']
82 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Soit faire Alt+Super+ClicDroit sur le tableau de bord puis "Ajouter au tableau de bord" et "Lanceur ... depuis le menu Applications". | ... => suggestions : ['…']
82 Guillemets typographiques fermants. =>   * Soit faire Alt+Super+ClicDroit sur le tableau de bord puis "Ajouter au tableau de bord" et "Lanceur ... depuis le menu Applications". | " => suggestions : ['\xa0»', '”']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Alt+Super+Clic-Droit** sur le tableau de bord puis "**Ajouter au tableau de bord...**", |    => suggestions : ['']
88 Typographie : points de suspension. Utilisez le caractère dédié. =>   * **Alt+Super+Clic-Droit** sur le tableau de bord puis "**Ajouter au tableau de bord...**", | ... => suggestions : ['…']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * "Corbeille" + Ajouter, |    => suggestions : ['']
89 Guillemets typographiques ouvrants. =>   * "Corbeille" + Ajouter, | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. =>   * "Corbeille" + Ajouter, | " => suggestions : ['\xa0»', '”']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Alt+Super+Clic-Droit + Déplacer sur l'icône pour la à droite du tableau de bord. |    => suggestions : ['']
90 Confusion probable. Écrivez “là” si vous voulez dire “ici”. =>   * Alt+Super+Clic-Droit + Déplacer sur l'icône pour la à droite du tableau de bord. | la => suggestions : ['là']

93 Guillemets typographiques ouvrants. => En éditant le menu "Applications" (**Clic-Droit** puis **"Éditer les menus"**) et en cochant le menu "Autre", on pourra retrouver certaines applications n'apparaissant pas par défaut. | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. => En éditant le menu "Applications" (**Clic-Droit** puis **"Éditer les menus"**) et en cochant le menu "Autre", on pourra retrouver certaines applications n'apparaissant pas par défaut. | " => suggestions : ['\xa0»', '”']
93 Guillemets typographiques ouvrants. => En éditant le menu "Applications" (**Clic-Droit** puis **"Éditer les menus"**) et en cochant le menu "Autre", on pourra retrouver certaines applications n'apparaissant pas par défaut. | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. => En éditant le menu "Applications" (**Clic-Droit** puis **"Éditer les menus"**) et en cochant le menu "Autre", on pourra retrouver certaines applications n'apparaissant pas par défaut. | " => suggestions : ['\xa0»', '”']
93 Guillemets typographiques ouvrants. => En éditant le menu "Applications" (**Clic-Droit** puis **"Éditer les menus"**) et en cochant le menu "Autre", on pourra retrouver certaines applications n'apparaissant pas par défaut. | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. => En éditant le menu "Applications" (**Clic-Droit** puis **"Éditer les menus"**) et en cochant le menu "Autre", on pourra retrouver certaines applications n'apparaissant pas par défaut. | " => suggestions : ['\xa0»', '”']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==== Installer la barre de menu globale (menubar et appmenu) ==== |   => suggestions : ['']
95 Mot inconnu : menubar =>  ==== Installer la barre de menu globale (menubar et appmenu) ==== | menubar
95 Mot inconnu : appmenu =>  ==== Installer la barre de menu globale (menubar et appmenu) ==== | appmenu

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Installez le paquet **[[apt>indicator-applet-appmenu]]** ; |    => suggestions : ['']
99 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Installez le paquet **[[apt>indicator-applet-appmenu]]** ; |  -  => suggestions : [' – ', ' — ', ' − ']
99 Mot inconnu : indicator-applet-appmenu =>   - Installez le paquet **[[apt>indicator-applet-appmenu]]** ; | indicator-applet-appmenu

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Effectuez la combinaison <Alt>+<clic droit> ou <Alt>+<Super>+<clic droit> pour afficher l'outil de sélection des appliquettes ; |    => suggestions : ['']
100 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Effectuez la combinaison <Alt>+<clic droit> ou <Alt>+<Super>+<clic droit> pour afficher l'outil de sélection des appliquettes ; |  -  => suggestions : [' – ', ' — ', ' − ']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez l'appliquette **Indicator Applet Appmenu**, puis appuyez sur le bouton **Ajouter au tableau de bord**. |    => suggestions : ['']
101 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez l'appliquette **Indicator Applet Appmenu**, puis appuyez sur le bouton **Ajouter au tableau de bord**. |  -  => suggestions : [' – ', ' — ', ' − ']
101 Mot inconnu : Indicator =>   - Sélectionnez l'appliquette **Indicator Applet Appmenu**, puis appuyez sur le bouton **Ajouter au tableau de bord**. | indicator
101 Mot inconnu : Appmenu =>   - Sélectionnez l'appliquette **Indicator Applet Appmenu**, puis appuyez sur le bouton **Ajouter au tableau de bord**. | appmenu

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==== Rechercher un fichier ==== |   => suggestions : ['']

105 Mot inconnu : Nautilus => Rechercher un fichier s'effectue dans Nautilus, le gestionnaire de fichiers, en haut à droite. | nautilus
107 Mot inconnu : gnome-search-tool => On peut aussi installer **[[apt>gnome-search-tool]]** et de rajouter '**Rechercher des fichiers...**' dans le tableau de bord (//Alt+Clic-droit// => //Ajouter au tableau de bord//). | gnome-search-tool
107 Typographie : points de suspension. Utilisez le caractère dédié. => On peut aussi installer **[[apt>gnome-search-tool]]** et de rajouter '**Rechercher des fichiers...**' dans le tableau de bord (//Alt+Clic-droit// => //Ajouter au tableau de bord//). | ... => suggestions : ['…']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==== Applications par défaut, Médias amovibles ==== |   => suggestions : ['']

113 Mot inconnu : Compiz => ===== Configurer Compiz ===== | compiz

117 Mot inconnu : Win => ====Pour disposer du Zoom avec la touche Win+molette==== | win

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://wiki.gnome.org/Projects/GnomeFlashback|Le projet sur la page officielle GNOME]] |    => suggestions : ['']

129 Une de ces ponctuations est superflue. => , ...// | , . => suggestions : [',', '.']
129 Typographie : points de suspension. Utilisez le caractère dédié. => , ...// | ... => suggestions : ['…']
