
6 Mot inconnu : Flex => ======  Lenovo Flex 2-14 ====== | flex
47 Mot inconnu : hdd =>   * ** Boot menu ** : choix de démarrage dont clé usb (usb hdd) | hdd

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Recovery ** : un système de réinstallation qui ne concerne pas ubuntu |    => suggestions : ['']
48 Mot inconnu : Recovery =>   * ** Recovery ** : un système de réinstallation qui ne concerne pas ubuntu | recovery

50 Mot inconnu : flex => <note>Sur ce modèle flex 2 14 c'est un petit trou à gauche, devant la prise casque sous l’icône d'un une flèche repliée (comme un arche). | flex
50 Accord de genre erroné : « arche » est féminin. => <note>Sur ce modèle flex 2 14 c'est un petit trou à gauche, devant la prise casque sous l’icône d'un une flèche repliée (comme un arche). | un => suggestions : ['une']

51 Conjugaison erronée. Accord avec “ça”. Le verbe devrait être à la 3ᵉ personne du singulier. => Il faut donc utiliser avec un objet dédié, du type trombone déplié, et trouver le bouton (pas besoin d'appuyer fort, on sent clairement si on a trouvé ou pas à la façon dont ça réagis, surtout que ça allume l'ordi :)</note> | réagis => suggestions : ['réagit']

53 Accord de nombre erroné : « Bios » est au pluriel. => === Autres solutions d'accès au Bios === | au => suggestions : ['aux']
53 Accord de nombre erroné : « Bios » devrait être au singulier. => === Autres solutions d'accès au Bios === | bios => suggestions : ['Bio']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Presser la touche F2 au démarrage |    => suggestions : ['']
55 Typographie des composés chimiques. =>   * Presser la touche F2 au démarrage | f2 => suggestions : ['F₂']
55 Mot inconnu : F2 =>   * Presser la touche F2 au démarrage | f2

56 Typographie : points de suspension. Utilisez le caractère dédié. => <note> Oui, mais... par défaut il faut utiliser aussi la touche Fn : **Fn-F2** au lieu d'appuyer simplement sur la touche F2. | ... => suggestions : ['…']
56 Mot inconnu : Fn => <note> Oui, mais... par défaut il faut utiliser aussi la touche Fn : **Fn-F2** au lieu d'appuyer simplement sur la touche F2. | fn
56 Mot inconnu : Fn-F2 => <note> Oui, mais... par défaut il faut utiliser aussi la touche Fn : **Fn-F2** au lieu d'appuyer simplement sur la touche F2. | fn-f2
56 Typographie des composés chimiques. => <note> Oui, mais... par défaut il faut utiliser aussi la touche Fn : **Fn-F2** au lieu d'appuyer simplement sur la touche F2. | f2 => suggestions : ['F₂']
56 Mot inconnu : F2 => <note> Oui, mais... par défaut il faut utiliser aussi la touche Fn : **Fn-F2** au lieu d'appuyer simplement sur la touche F2. | f2

57 Mot inconnu : Fn => La touche Fn est de couleur orange en bas à gauche de l'écran, à droite du bouton Ctrl.</note> | fn

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Passer par l'option correspondante dans Windows : [[https://support.lenovo.com/fr/fr/documents/ht081446]] |    => suggestions : ['']

61 Mot inconnu : uefi => === Paramétrage bios/uefi === | uefi

63 Mot inconnu : UEFI => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | uefi
63 Mot inconnu : flêches => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | flêches
63 Mot inconnu : Boot => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | boot
63 Guillemets typographiques ouvrants. => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | " => suggestions : ['«\xa0', '“']
63 Mot inconnu : Boot => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | boot
63 Guillemets typographiques fermants. => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | " => suggestions : ['\xa0»', '”']
63 Guillemets typographiques ouvrants. => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | " => suggestions : ['«\xa0', '“']
63 Mot inconnu : Enabled => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | enabled
63 Guillemets typographiques fermants. => Une fois dans le BIOS/UEFI, aller avec les flêches dans le menu Boot, vérifier que le paramètre "USB Boot" est à "Enabled". | " => suggestions : ['\xa0»', '”']

64 Guillemets typographiques ouvrants. => <note>Puis sortir en enregistrant les paramètres, en allant dans le menu Exit, et en choisissant "Exit Saving Changes".</note> | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : Saving => <note>Puis sortir en enregistrant les paramètres, en allant dans le menu Exit, et en choisissant "Exit Saving Changes".</note> | saving
64 Guillemets typographiques fermants. => <note>Puis sortir en enregistrant les paramètres, en allant dans le menu Exit, et en choisissant "Exit Saving Changes".</note> | " => suggestions : ['\xa0»', '”']

66 Mot inconnu : boot => Une solution alternative a l'utilisation du boot menu et de changer les priorités de démarrage ("Boot Priority Order") pour mettre USB HDD en premier. | boot
66 Guillemets typographiques ouvrants. => Une solution alternative a l'utilisation du boot menu et de changer les priorités de démarrage ("Boot Priority Order") pour mettre USB HDD en premier. | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : Boot => Une solution alternative a l'utilisation du boot menu et de changer les priorités de démarrage ("Boot Priority Order") pour mettre USB HDD en premier. | boot
66 Mot inconnu : Priority => Une solution alternative a l'utilisation du boot menu et de changer les priorités de démarrage ("Boot Priority Order") pour mettre USB HDD en premier. | priority
66 Mot inconnu : Order => Une solution alternative a l'utilisation du boot menu et de changer les priorités de démarrage ("Boot Priority Order") pour mettre USB HDD en premier. | order
66 Guillemets typographiques fermants. => Une solution alternative a l'utilisation du boot menu et de changer les priorités de démarrage ("Boot Priority Order") pour mettre USB HDD en premier. | " => suggestions : ['\xa0»', '”']
66 Mot inconnu : HDD => Une solution alternative a l'utilisation du boot menu et de changer les priorités de démarrage ("Boot Priority Order") pour mettre USB HDD en premier. | hdd

67 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note>pour changer cet ordre, il faut aller sur la ligne qu'on veut déplacer avec les flèches, puis la déplacer avec les boutons + et -... Sauf qu'il s'agit des boutons + et - d'un clavier Qwerty. Sur un clavier Azerty (français), le + est au même endroit, mais il faut appuyer sur la parenthèse fermante (juste à gauche du bouton qui fait les signes = et +) pour faire -.</note> | pour => suggestions : ['Pour']
67 Typographie : points de suspension. Utilisez le caractère dédié. => <note>pour changer cet ordre, il faut aller sur la ligne qu'on veut déplacer avec les flèches, puis la déplacer avec les boutons + et -... Sauf qu'il s'agit des boutons + et - d'un clavier Qwerty. Sur un clavier Azerty (français), le + est au même endroit, mais il faut appuyer sur la parenthèse fermante (juste à gauche du bouton qui fait les signes = et +) pour faire -.</note> | ... => suggestions : ['…']
67 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <note>pour changer cet ordre, il faut aller sur la ligne qu'on veut déplacer avec les flèches, puis la déplacer avec les boutons + et -... Sauf qu'il s'agit des boutons + et - d'un clavier Qwerty. Sur un clavier Azerty (français), le + est au même endroit, mais il faut appuyer sur la parenthèse fermante (juste à gauche du bouton qui fait les signes = et +) pour faire -.</note> |  -  => suggestions : [' – ', ' — ', ' − ']
75 Guillemets typographiques ouvrants. => ==== Erreur au démarrage : "Image failed to verify : Access denied" ==== | " => suggestions : ['«\xa0', '“']
75 Mot inconnu : failed => ==== Erreur au démarrage : "Image failed to verify : Access denied" ==== | failed
75 Mot inconnu : to => ==== Erreur au démarrage : "Image failed to verify : Access denied" ==== | to
75 Mot inconnu : verify => ==== Erreur au démarrage : "Image failed to verify : Access denied" ==== | verify
75 Mot inconnu : Access => ==== Erreur au démarrage : "Image failed to verify : Access denied" ==== | access
75 Mot inconnu : denied => ==== Erreur au démarrage : "Image failed to verify : Access denied" ==== | denied
75 Guillemets typographiques fermants. => ==== Erreur au démarrage : "Image failed to verify : Access denied" ==== | " => suggestions : ['\xa0»', '”']

79 Guillemets typographiques ouvrants. => Dans ce cas, il suffit de désactiver le "Secure Boot" : | " => suggestions : ['«\xa0', '“']
79 Mot inconnu : Secure => Dans ce cas, il suffit de désactiver le "Secure Boot" : | secure
79 Mot inconnu : Boot => Dans ce cas, il suffit de désactiver le "Secure Boot" : | boot
79 Guillemets typographiques fermants. => Dans ce cas, il suffit de désactiver le "Secure Boot" : | " => suggestions : ['\xa0»', '”']

80 Mot inconnu : Secure => === Désactivation du Secure Boot === | secure
80 Mot inconnu : Boot => === Désactivation du Secure Boot === | boot

81 Mot inconnu : UEFI => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | uefi
81 Mot inconnu : Security => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | security
81 Guillemets typographiques ouvrants. => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : Secure => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | secure
81 Mot inconnu : Boot => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | boot
81 Guillemets typographiques fermants. => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | " => suggestions : ['\xa0»', '”']
81 Après le verbe “faire”, ce verbe devrait être à l’infinitif. => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | entrée => suggestions : ['Entrer']
81 Guillemets typographiques ouvrants. => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : Disabled => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | disabled
81 Guillemets typographiques fermants. => Aller dans l'UEFI (voir ci-dessus comment faire), dans le menu Security, et à la ligne "Secure Boot", faire Entrée, et choisir "Disabled". | " => suggestions : ['\xa0»', '”']

86 Guillemets typographiques ouvrants. => Le Wifi se "coupe" au bout de quelques minutes, dans le sens où il n'y a plus aucun trafic réseau dessus (alors que l'icône indique qu'on est encore connecté). | " => suggestions : ['«\xa0', '“']
86 Guillemets typographiques fermants. => Le Wifi se "coupe" au bout de quelques minutes, dans le sens où il n'y a plus aucun trafic réseau dessus (alors que l'icône indique qu'on est encore connecté). | " => suggestions : ['\xa0»', '”']

88 Mot inconnu : kernel => Dans les logs du kernel, il y a parfois un crash et une stacktrace. | kernel
88 Mot inconnu : stacktrace => Dans les logs du kernel, il y a parfois un crash et une stacktrace. | stacktrace

90 Mot inconnu : chipset => Le chipset Wifi (RTL8723BE) semble avoir ce type de problèmes avec son driver sous Linux, et ce n'est pas encore résolu complètement : [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1461174]] | chipset
90 Mot inconnu : RTL8723BE => Le chipset Wifi (RTL8723BE) semble avoir ce type de problèmes avec son driver sous Linux, et ce n'est pas encore résolu complètement : [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1461174]] | rtl8723be

99 Mot inconnu : kernels => Apparemment il y a un nouveau driver qui fonctionne mieux, et qui sera a priori intégré dans les prochains kernels donc on peut espérer que la situation s'améliore quand on pourra installer un kernel backporté de la version 15.10 (wily) par exemple. | kernels
99 Si « donc » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Apparemment il y a un nouveau driver qui fonctionne mieux, et qui sera a priori intégré dans les prochains kernels donc on peut espérer que la situation s'améliore quand on pourra installer un kernel backporté de la version 15.10 (wily) par exemple. |  donc => suggestions : [', donc']
99 Mot inconnu : kernel => Apparemment il y a un nouveau driver qui fonctionne mieux, et qui sera a priori intégré dans les prochains kernels donc on peut espérer que la situation s'améliore quand on pourra installer un kernel backporté de la version 15.10 (wily) par exemple. | kernel
99 Mot inconnu : backporté => Apparemment il y a un nouveau driver qui fonctionne mieux, et qui sera a priori intégré dans les prochains kernels donc on peut espérer que la situation s'améliore quand on pourra installer un kernel backporté de la version 15.10 (wily) par exemple. | backporté
99 Mot inconnu : wily => Apparemment il y a un nouveau driver qui fonctionne mieux, et qui sera a priori intégré dans les prochains kernels donc on peut espérer que la situation s'améliore quand on pourra installer un kernel backporté de la version 15.10 (wily) par exemple. | wily
103 Typographie : points de suspension. Utilisez le caractère dédié. => On demande à Ubuntu de s'éteindre : il s'éteint... mais redémarre quelques secondes plus tard. Ce n'est pas systématique mais presque. | ... => suggestions : ['…']

105 Mot inconnu : kernel => Ni l'upgrade du kernel en 4.0.9, ni l'upgrade du BIOS/UEFI ne solutionnent ce problème. | kernel
105 Mot inconnu : UEFI => Ni l'upgrade du kernel en 4.0.9, ni l'upgrade du BIOS/UEFI ne solutionnent ce problème. | uefi

107 Mot inconnu : kernel => La solution consiste à passer un paramètre bien précis au kernel : | kernel

109 Mot inconnu : kernel => === Paramètre à passer au kernel === | kernel

111 Mot inconnu : xHCI => Il semble que le problème soit lié au xHCI (qui contrôle le port USB3). Donc premier contournement qui fonctionne : désactiver le xHCI dans l'UEFI. Mais, dans ce cas, le port USB3 devient USB2 : pas top... | xhci
111 Mot inconnu : USB3 => Il semble que le problème soit lié au xHCI (qui contrôle le port USB3). Donc premier contournement qui fonctionne : désactiver le xHCI dans l'UEFI. Mais, dans ce cas, le port USB3 devient USB2 : pas top... | usb3
111 Mot inconnu : xHCI => Il semble que le problème soit lié au xHCI (qui contrôle le port USB3). Donc premier contournement qui fonctionne : désactiver le xHCI dans l'UEFI. Mais, dans ce cas, le port USB3 devient USB2 : pas top... | xhci
111 Mot inconnu : UEFI => Il semble que le problème soit lié au xHCI (qui contrôle le port USB3). Donc premier contournement qui fonctionne : désactiver le xHCI dans l'UEFI. Mais, dans ce cas, le port USB3 devient USB2 : pas top... | uefi
111 Mot inconnu : USB3 => Il semble que le problème soit lié au xHCI (qui contrôle le port USB3). Donc premier contournement qui fonctionne : désactiver le xHCI dans l'UEFI. Mais, dans ce cas, le port USB3 devient USB2 : pas top... | usb3
111 Mot inconnu : USB2 => Il semble que le problème soit lié au xHCI (qui contrôle le port USB3). Donc premier contournement qui fonctionne : désactiver le xHCI dans l'UEFI. Mais, dans ce cas, le port USB3 devient USB2 : pas top... | usb2
111 Typographie : points de suspension. Utilisez le caractère dédié. => Il semble que le problème soit lié au xHCI (qui contrôle le port USB3). Donc premier contournement qui fonctionne : désactiver le xHCI dans l'UEFI. Mais, dans ce cas, le port USB3 devient USB2 : pas top... | ... => suggestions : ['…']

113 Mot inconnu : xhci_hcd => Une meilleure solution est de passer le paramètre **xhci_hcd.quirks=262144** en paramètre au kernel. Pour que ça soit fait automatiquement à chaque démarrage, il suffit de modifier le fichier /etc/default/grub pour ajouter ce paramètre à la ligne suivante, après le quiet splash : | xhci_hcd
113 Mot inconnu : quirks => Une meilleure solution est de passer le paramètre **xhci_hcd.quirks=262144** en paramètre au kernel. Pour que ça soit fait automatiquement à chaque démarrage, il suffit de modifier le fichier /etc/default/grub pour ajouter ce paramètre à la ligne suivante, après le quiet splash : | quirks
113 Formatage des grands nombres. => Une meilleure solution est de passer le paramètre **xhci_hcd.quirks=262144** en paramètre au kernel. Pour que ça soit fait automatiquement à chaque démarrage, il suffit de modifier le fichier /etc/default/grub pour ajouter ce paramètre à la ligne suivante, après le quiet splash : | 262144 => suggestions : ['262\xa0144']
113 Mot inconnu : kernel => Une meilleure solution est de passer le paramètre **xhci_hcd.quirks=262144** en paramètre au kernel. Pour que ça soit fait automatiquement à chaque démarrage, il suffit de modifier le fichier /etc/default/grub pour ajouter ce paramètre à la ligne suivante, après le quiet splash : | kernel
118 Mot inconnu : kernel => Source : [[https://bugzilla.kernel.org/show_bug.cgi?id=66171]]. Ce paramètre est apparemment un contournement, on peut espérer une correction dans une version ultérieure du kernel. | kernel

122 Mot inconnu : bluetooth => Le bluetooth est bien détecté, semble fonctionnel, mais ne voit/n'est visible d'aucun appareil. | bluetooth

124 Mot inconnu : kernel => Une upgrade du kernel en version 4.0.9 ne résoud pas le problème. | kernel
124 Mot inconnu : résoud => Une upgrade du kernel en version 4.0.9 ne résoud pas le problème. | résoud

126 Mot inconnu : bluetooth => === Désactivation du bluetooth === | bluetooth

127 Mot inconnu : bluetooth => Quitte à ce que le bluetooth ne marche pas, autant le désactiver complètement pour qu'il ne consomme pas d'énergie pour rien : | bluetooth

129 Élision de l’article devant un mot commençant par une voyelle. => Pour cela, modifier le fichier /etc/rc.local (cf [[https://askubuntu.com/questions/67758/how-can-i-deactivate-bluetooth-on-system-startup]]), en y rajoutant la ligne suivante avant le exit 0 : | le  => suggestions : ['l’']

133 Mot inconnu : dual-boot => ==== En mode dual-boot, après avoir utilisé Windows et redémarré, c'est parfois Windows qui démarre à la place de Grub ==== | dual-boot
133 Mot inconnu : Grub => ==== En mode dual-boot, après avoir utilisé Windows et redémarré, c'est parfois Windows qui démarre à la place de Grub ==== | grub

137 Mot inconnu : UEFI => Apparemment, Windows décide parfois de modifier l'ordre de démarrage dans l'UEFI, pour se remettre en premier. Ce qui empêche de démarrer sur Ubuntu. Grrr...  | uefi
137 Typographie : points de suspension. Utilisez le caractère dédié. => Apparemment, Windows décide parfois de modifier l'ordre de démarrage dans l'UEFI, pour se remettre en premier. Ce qui empêche de démarrer sur Ubuntu. Grrr...  | ... => suggestions : ['…']
137 Espace(s) en fin de ligne à supprimer. => Apparemment, Windows décide parfois de modifier l'ordre de démarrage dans l'UEFI, pour se remettre en premier. Ce qui empêche de démarrer sur Ubuntu. Grrr...  |   => suggestions : ['']

141 Mot inconnu : UEFI => Cette méthode n'est pas idéale dans la mesure où elle fige l'ordre de démarrage de l'UEFI. Mais c'est toujours mieux que rien. | uefi

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Démarrer sous Windows |    => suggestions : ['']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir une invite de commande en mode administrateur (dans l'explorateur Windows, aller dans c:\Windows\system32, puis faire un clic-droit sur le programme "cmd" -> Exécuter en tant qu'administrateur) |    => suggestions : ['']
146 Guillemets typographiques ouvrants. =>   * Ouvrir une invite de commande en mode administrateur (dans l'explorateur Windows, aller dans c:\Windows\system32, puis faire un clic-droit sur le programme "cmd" -> Exécuter en tant qu'administrateur) | " => suggestions : ['«\xa0', '“']
146 Mot inconnu : cmd =>   * Ouvrir une invite de commande en mode administrateur (dans l'explorateur Windows, aller dans c:\Windows\system32, puis faire un clic-droit sur le programme "cmd" -> Exécuter en tant qu'administrateur) | cmd
146 Guillemets typographiques fermants. =>   * Ouvrir une invite de commande en mode administrateur (dans l'explorateur Windows, aller dans c:\Windows\system32, puis faire un clic-droit sur le programme "cmd" -> Exécuter en tant qu'administrateur) | " => suggestions : ['\xa0»', '”']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * taper : |    => suggestions : ['']

160 Mot inconnu : UEFI => Il s'agit de l'ordre de démarrage tel que vous l'avez défini dans l'UEFI. | uefi

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer un fichier .bat quelque part, avec le contenu suivant : |    => suggestions : ['']
163 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Créer un fichier .bat quelque part, avec le contenu suivant : |  . => suggestions : ['. ', '.']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aller dans le panneau de configuration, outils d'administration, planificateur de tâches |    => suggestions : ['']

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer une nouvelle tâche qui exécute ce .bat avec les options suivantes : |    => suggestions : ['']
171 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Créer une nouvelle tâche qui exécute ce .bat avec les options suivantes : |  . => suggestions : ['. ', '.']

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Exécuté par le compte "Système" (c'est important car cela doit être exécuté en tant qu'administrateur) |      => suggestions : ['']
172 Guillemets typographiques ouvrants. =>     * Exécuté par le compte "Système" (c'est important car cela doit être exécuté en tant qu'administrateur) | " => suggestions : ['«\xa0', '“']
172 Guillemets typographiques fermants. =>     * Exécuté par le compte "Système" (c'est important car cela doit être exécuté en tant qu'administrateur) | " => suggestions : ['\xa0»', '”']

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Déclencheur : au démarrage du système |      => suggestions : ['']

177 Avec une unité de mesure, mettez un espace insécable. => Juste après l'installation, le temps de démarrage est assez long (entre 30s et une minute, je n'ai pas chronométré), et on entend le disque dur gratter pendant ce démarrage. | 30s => suggestions : ['30\xa0s']

179 Avec une unité de mesure, mettez un espace insécable. => Au bout d'un certain temps, ce problème disparait tout seul, et le démarrage se fait en moins de 15s. Je suppose que c'est le disque SSHD qui transfère des blocs disque sur sa partie SSD. A moins que ce soit simplement ureadahead. | 15s => suggestions : ['15\xa0s']
179 Mot inconnu : SSHD => Au bout d'un certain temps, ce problème disparait tout seul, et le démarrage se fait en moins de 15s. Je suppose que c'est le disque SSHD qui transfère des blocs disque sur sa partie SSD. A moins que ce soit simplement ureadahead. | sshd
179 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Au bout d'un certain temps, ce problème disparait tout seul, et le démarrage se fait en moins de 15s. Je suppose que c'est le disque SSHD qui transfère des blocs disque sur sa partie SSD. A moins que ce soit simplement ureadahead. | a => suggestions : ['À']
179 Mot inconnu : ureadahead => Au bout d'un certain temps, ce problème disparait tout seul, et le démarrage se fait en moins de 15s. Je suppose que c'est le disque SSHD qui transfère des blocs disque sur sa partie SSD. A moins que ce soit simplement ureadahead. | ureadahead

182 Avec une unité de mesure, mettez un espace insécable. => L'autonomie est autour de 2h sans optimisation. | 2h => suggestions : ['2\xa0h']

186 Avec une unité de mesure, mettez un espace insécable. => Sur cette machine (qui n'est pas neuve), l'autonomie de 3h correspond à ce qu'on obtient sur Windows également. | 3h => suggestions : ['3\xa0h']

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (fr) [[http://support.lenovo.com/fr/fr/products/laptops-and-netbooks/flex-series/flex-2-14-notebook-lenovo|Page du support du Flex 2-14 chez Lenovo]]  |    => suggestions : ['']
189 Mot inconnu : Flex =>   * (fr) [[http://support.lenovo.com/fr/fr/products/laptops-and-netbooks/flex-series/flex-2-14-notebook-lenovo|Page du support du Flex 2-14 chez Lenovo]]  | flex
189 Espace(s) en fin de ligne à supprimer. =>   * (fr) [[http://support.lenovo.com/fr/fr/products/laptops-and-netbooks/flex-series/flex-2-14-notebook-lenovo|Page du support du Flex 2-14 chez Lenovo]]  |   => suggestions : ['']
