
5 Mot inconnu : SACRED => ====== SACRED, le jeu Hack and Slash (diablo like) ====== | sacred
42 Espace(s) en fin de ligne à supprimer. =>          * l'échantillonnage en 48000  |   => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          * bits par échantillons à 16  |           => suggestions : ['']
43 Espace(s) en fin de ligne à supprimer. =>          * bits par échantillons à 16  |   => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          * décochez émulation pilote. |           => suggestions : ['']

48 Typographie : points de suspension. Utilisez le caractère dédié. => ... Je vous laisse vous débrouiller, on va éviter de causer des problème à nos p'ti gars de chez ubuntu-fr. ;-) Mais j'ai toute confiance en vous ... ! | ... => suggestions : ['…']
48 Accord de nombre erroné : « problème » devrait être au pluriel. => ... Je vous laisse vous débrouiller, on va éviter de causer des problème à nos p'ti gars de chez ubuntu-fr. ;-) Mais j'ai toute confiance en vous ... ! | problème => suggestions : ['problèmes']
48 Mot inconnu : p'ti => ... Je vous laisse vous débrouiller, on va éviter de causer des problème à nos p'ti gars de chez ubuntu-fr. ;-) Mais j'ai toute confiance en vous ... ! | p'ti
48 Mot inconnu : ubuntu-fr => ... Je vous laisse vous débrouiller, on va éviter de causer des problème à nos p'ti gars de chez ubuntu-fr. ;-) Mais j'ai toute confiance en vous ... ! | ubuntu-fr
48 Typographie : points de suspension. Utilisez le caractère dédié. => ... Je vous laisse vous débrouiller, on va éviter de causer des problème à nos p'ti gars de chez ubuntu-fr. ;-) Mais j'ai toute confiance en vous ... ! | ... => suggestions : ['…']

50 Guillemets typographiques ouvrants. => L'utilisation d'un crack dit "no-cd" est légal en vigueur de la législation internationale sur le média , sous réserve de posséder une édition originale du logiciel et à vos risques et périls | " => suggestions : ['«\xa0', '“']
50 Guillemets typographiques fermants. => L'utilisation d'un crack dit "no-cd" est légal en vigueur de la législation internationale sur le média , sous réserve de posséder une édition originale du logiciel et à vos risques et périls | " => suggestions : ['\xa0»', '”']
50 Pas d’espace avant une virgule. => L'utilisation d'un crack dit "no-cd" est légal en vigueur de la législation internationale sur le média , sous réserve de posséder une édition originale du logiciel et à vos risques et périls |  , => suggestions : [',']

55 Mot inconnu : sacred => Placez-vous dans le répertoire ou se trouve sacred : | sacred

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    (lien mort, le site officiel n'héberge apparemment plus les patches (ni 1.8.2.6 ni 2.28)) |     => suggestions : ['']
67 Confusion probable : “patches” est une forme verbale conjuguée. Si “les” est un déterminant, il faut placer un nom après. =>    (lien mort, le site officiel n'héberge apparemment plus les patches (ni 1.8.2.6 ni 2.28)) | patches => suggestions : ['patchs']
70 Espace(s) en fin de ligne à supprimer. => Installer le patch :  |   => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En cas de soucis ou pour partager des infos : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=1230466#p1230466|discussion sur le forum]] |    => suggestions : ['']
80 Mot inconnu : FIXME => //Contributeur principal : FIXME.// | fixme
