1 Mot inconnu : NOTOC [[2:7]] => ~~NOTOC~~ <|> notoc
20 Mot inconnu : lhu-auto-trad [[19:32]] => L'utilisation de **lhu-auto-trad** nécessite de savoir se servir d'un émulateur de terminal, tel que **xterm**, **gnome-terminal**, **rxvt**, etc... et surtout du shell qui y fonctionne. Les commandes données le sont toujours de cette manière : <|> lhu-auto-trad
20 Mot inconnu : xterm [[103:108]] => L'utilisation de **lhu-auto-trad** nécessite de savoir se servir d'un émulateur de terminal, tel que **xterm**, **gnome-terminal**, **rxvt**, etc... et surtout du shell qui y fonctionne. Les commandes données le sont toujours de cette manière : <|> xterm
20 Mot inconnu : rxvt [[134:138]] => L'utilisation de **lhu-auto-trad** nécessite de savoir se servir d'un émulateur de terminal, tel que **xterm**, **gnome-terminal**, **rxvt**, etc... et surtout du shell qui y fonctionne. Les commandes données le sont toujours de cette manière : <|> rxvt
20 Un seul point après « etc. » [[142:148]] => L'utilisation de **lhu-auto-trad** nécessite de savoir se servir d'un émulateur de terminal, tel que **xterm**, **gnome-terminal**, **rxvt**, etc... et surtout du shell qui y fonctionne. Les commandes données le sont toujours de cette manière : <|> etc... => suggestions : etc.

27 Mot inconnu : lhu-auto-trad [[210:223]] => Les commandes sont adaptées à tous les types de shell courants. Cependant vous devrez vérifier les réglages de votre shell en ce qui concerne l'écrasement de fichiers existants, spécialement si vous exécutez **lhu-auto-trad** plusieurs fois. <|> lhu-auto-trad

31 Mot inconnu : LHU [[40:43]] => Ce document utilise systématiquement la LHU Numéro 84. Adaptez ! <|> lhu

33 Mot inconnu : lhu-auto-trad [[2:15]] => **lhu-auto-trad** fonctionne sans privilège administrateur, mais il vous faudra peut-être installer quelques outils complémentaires. Pour cela, il faut être administrateur de la machine sur laquelle vous voulez installer **lhu-auto-trad**. <|> lhu-auto-trad
33 Mot inconnu : lhu-auto-trad [[223:236]] => **lhu-auto-trad** fonctionne sans privilège administrateur, mais il vous faudra peut-être installer quelques outils complémentaires. Pour cela, il faut être administrateur de la machine sur laquelle vous voulez installer **lhu-auto-trad**. <|> lhu-auto-trad

38 Mot inconnu : lhu-auto-trad [[26:39]] => ==== Comment se servir de lhu-auto-trad ==== <|> lhu-auto-trad
39 Mot inconnu : wget [[77:81]] => Avant tout, vérifiez que vous avez tous les outils nécessaires : **bash**, **wget**, **diff**, et **gawk**. Si vous utilisez Ubuntu (très probable), vous pouvez exécuter la commande suivante pour les installer ou les mettre à jour : <|> wget
39 Mot inconnu : diff [[87:91]] => Avant tout, vérifiez que vous avez tous les outils nécessaires : **bash**, **wget**, **diff**, et **gawk**. Si vous utilisez Ubuntu (très probable), vous pouvez exécuter la commande suivante pour les installer ou les mettre à jour : <|> diff
39 Mot inconnu : gawk [[100:104]] => Avant tout, vérifiez que vous avez tous les outils nécessaires : **bash**, **wget**, **diff**, et **gawk**. Si vous utilisez Ubuntu (très probable), vous pouvez exécuter la commande suivante pour les installer ou les mettre à jour : <|> gawk
46 Mot inconnu : fink [[35:39]] => Si vous avez un Macintosh nanti de fink. essayez cette commande : <|> fink
52 Mot inconnu : macport [[34:41]] => Si vous avez un macintosh muni de macport, essayez ces commandes : <|> macport

58 Mot inconnu : atari [[27:32]] => Si vous utilisez encore un atari, vous ne pouvez pas installer **lhu-auto-trad** à ma connaissance, Si vous utilisez windows, vous devriez changer de système pour installer **lhu-auto-trad** (attention, cette opération pourrait supprimer toutes vos données personnelles, faites toujours une sauvegarde) <|> atari
58 Mot inconnu : lhu-auto-trad [[65:78]] => Si vous utilisez encore un atari, vous ne pouvez pas installer **lhu-auto-trad** à ma connaissance, Si vous utilisez windows, vous devriez changer de système pour installer **lhu-auto-trad** (attention, cette opération pourrait supprimer toutes vos données personnelles, faites toujours une sauvegarde) <|> lhu-auto-trad
58 Mot inconnu : lhu-auto-trad [[175:188]] => Si vous utilisez encore un atari, vous ne pouvez pas installer **lhu-auto-trad** à ma connaissance, Si vous utilisez windows, vous devriez changer de système pour installer **lhu-auto-trad** (attention, cette opération pourrait supprimer toutes vos données personnelles, faites toujours une sauvegarde) <|> lhu-auto-trad

60 Mot inconnu : lhu-auto-trad [[60:73]] => Puis, vérifiez que vous avez la toute dernière version de **lhu-auto-trad**. Au besoin, téléchargez-le à nouveau, comme décrit dans la section précédente. **lhu-auto-trad** change souvent. En particulier la liste des titres à traduire et leur traduction sont souvent modifiées. Une fois le document enregistré, n'oubliez pas de le rendre exécutable à l'aide de la commande : <|> lhu-auto-trad
60 Mot inconnu : lhu-auto-trad [[157:170]] => Puis, vérifiez que vous avez la toute dernière version de **lhu-auto-trad**. Au besoin, téléchargez-le à nouveau, comme décrit dans la section précédente. **lhu-auto-trad** change souvent. En particulier la liste des titres à traduire et leur traduction sont souvent modifiées. Une fois le document enregistré, n'oubliez pas de le rendre exécutable à l'aide de la commande : <|> lhu-auto-trad

66 Mot inconnu : lhu-auto-trad [[33:46]] => Par la suite, l'utilisation de **lhu-auto-trad** se déroule en deux étapes. <|> lhu-auto-trad

70 Mot inconnu : lhu-auto-trad [[17:30]] => === Exécution de lhu-auto-trad === <|> lhu-auto-trad

96 Mot inconnu : lhu-auto-trad [[22:35]] => ==== comment modifier lhu-auto-trad ==== <|> lhu-auto-trad

97 Mot inconnu : LHU [[239:242]] => Cette partie est forcément un peu technique. J'en suis désolé. Le script est divisé en plusieurs parties, plus ou moins identifiées. Je vais tenter d'en donner une explication dans l'ordre du script, ce qui n'est pas forcément l'ordre des LHU. <|> lhu

99 Mot inconnu : minipage [[112:120]] => Je passe sous silence le tout début du script, avec son initialisation (dont une partie se trouve à la fin), sa minipage d'aide, pour commencer directement avec la partie la plus couramment modifiée : les titres et le sommaire. <|> minipage

127 Mot inconnu : LHU [[71:74]] => Voyons comment apporter quelques améliorations grâce à l'exemple de la LHU 84. Avant modification, le sommaire est assez mal traduit : <|> lhu

156 Mot inconnu : MOTU [[29:33]] => En particulier, les titres //MOTU Team news//, //Ubuntu Stats//, //Launchpad news//, //Ubuntu Forum news// et //Meeting & Events// devraient avoir une traduction française. <|> motu
156 Mot inconnu : Team [[34:38]] => En particulier, les titres //MOTU Team news//, //Ubuntu Stats//, //Launchpad news//, //Ubuntu Forum news// et //Meeting & Events// devraient avoir une traduction française. <|> team
156 Mot inconnu : Stats [[56:61]] => En particulier, les titres //MOTU Team news//, //Ubuntu Stats//, //Launchpad news//, //Ubuntu Forum news// et //Meeting & Events// devraient avoir une traduction française. <|> stats
156 Mot inconnu : Events [[122:128]] => En particulier, les titres //MOTU Team news//, //Ubuntu Stats//, //Launchpad news//, //Ubuntu Forum news// et //Meeting & Events// devraient avoir une traduction française. <|> events

167 Accord de nombre erroné avec « variations ». [[48:53]] => Et, comme on soupçonne qu'il pourrait y avoir d'autre variations sur le même thème à l'avenir, on y va carrément plus fort : <|> autre => suggestions : autres
167 Accord de nombre erroné avec « autre ». [[54:64]] => Et, comme on soupçonne qu'il pourrait y avoir d'autre variations sur le même thème à l'avenir, on y va carrément plus fort : <|> variations => suggestions : variation

183 Mot inconnu : MOTU [[2:6]] => //MOTU Team news// et //Ubuntu Stats// n'ont encore aucune traduction. On en crée donc une pour chaque en prenant soinde laisser apparaitre la VO. Il faut donc rajouter deux lignes. <|> motu
183 Mot inconnu : Team [[7:11]] => //MOTU Team news// et //Ubuntu Stats// n'ont encore aucune traduction. On en crée donc une pour chaque en prenant soinde laisser apparaitre la VO. Il faut donc rajouter deux lignes. <|> team
183 Mot inconnu : Stats [[31:36]] => //MOTU Team news// et //Ubuntu Stats// n'ont encore aucune traduction. On en crée donc une pour chaque en prenant soinde laisser apparaitre la VO. Il faut donc rajouter deux lignes. <|> stats
183 Mot inconnu : soinde [[114:120]] => //MOTU Team news// et //Ubuntu Stats// n'ont encore aucune traduction. On en crée donc une pour chaque en prenant soinde laisser apparaitre la VO. Il faut donc rajouter deux lignes. <|> soinde

190 Mot inconnu : LHU [[50:53]] => Ce choix a été payant. Lors de la relecture de la LHU 84, on a décidé d'utiliser «Statistiques pour Ubuntu» plutôt que «Statistiques concernant Ubuntu». <|> lhu
