
4 Mot inconnu : Planeshift => ====== Planeshift ====== | planeshift
14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Configuration matérielle minimum : |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* |      => suggestions : ['']
17 Mot inconnu : Radeon =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | radeon
17 Mot inconnu : R200 =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | r200
17 Mot inconnu : GeForce =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | geforce
17 Si “Ti/4200Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | 4 ti/4200go => suggestions : ['4\xa0Ti/4200Go']
17 Mot inconnu : Ti =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | ti
17 Mot inconnu : series =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | series
17 Mot inconnu : GMA =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | gma
17 Mot inconnu : X3000 =>     * **Carte graphique** : Radeon R200 (8500-9250), GeForce 4 Ti/4200Go series, ou Intel GMA X3000* | x3000

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Processeur** : 2.4 Ghz Pentium 4 ou Athlon XP 2600+ |      => suggestions : ['']
18 Mot inconnu : Ghz =>     * **Processeur** : 2.4 Ghz Pentium 4 ou Athlon XP 2600+ | ghz
18 Mot inconnu : Pentium =>     * **Processeur** : 2.4 Ghz Pentium 4 ou Athlon XP 2600+ | pentium
18 Mot inconnu : Athlon =>     * **Processeur** : 2.4 Ghz Pentium 4 ou Athlon XP 2600+ | athlon
18 Mot inconnu : XP =>     * **Processeur** : 2.4 Ghz Pentium 4 ou Athlon XP 2600+ | xp

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Mémoire vive** : 1 Go |      => suggestions : ['']
19 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * **Mémoire vive** : 1 Go | 1 go => suggestions : ['1\xa0Go']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Espace disque** : 1 Go |      => suggestions : ['']
20 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * **Espace disque** : 1 Go | 1 go => suggestions : ['1\xa0Go']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Connection internet** : Modem 56k |      => suggestions : ['']
21 Mot inconnu : Connection =>     * **Connection internet** : Modem 56k | connection

27 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Téléchargez le fichier .bin d'installation [[http://www.planeshift.it/Download|sur cette page]]. C'est très long en utilisant les miroirs, il peut être préférable d'utiliser les torrents officiels. |  . => suggestions : ['. ', '.']
27 Mot inconnu : bin => Téléchargez le fichier .bin d'installation [[http://www.planeshift.it/Download|sur cette page]]. C'est très long en utilisant les miroirs, il peut être préférable d'utiliser les torrents officiels. | bin

34 Mot inconnu : PlaneShift => Cette manipulation va autoriser l'exécution du fichier d'installation de PlaneShift. | planeshift

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x PlaneShift*.bin |    => suggestions : ['']
44 Mot inconnu : chmod =>   chmod +x PlaneShift*.bin | chmod
44 Mot inconnu : PlaneShift =>   chmod +x PlaneShift*.bin | planeshift
44 Mot inconnu : bin =>   chmod +x PlaneShift*.bin | bin

51 Accord de nombre erroné avec « les commandes » : « suivante » devrait être au pluriel. => Dans un [[terminal]], entrez les commandes suivante : | suivante => suggestions : ['suivantes']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd |    => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./PlaneShift*.bin |    => suggestions : ['']
53 Mot inconnu : PlaneShift =>   ./PlaneShift*.bin | planeshift
53 Mot inconnu : bin =>   ./PlaneShift*.bin | bin

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour le **Répertoire d'installation** sélectionnez le dossier utilisateur, exemple : ///home/utilisateur// (sans le dossier "/opt") |    => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **System wide install** : No |    => suggestions : ['']
56 Mot inconnu : System =>   * Pour **System wide install** : No | system
56 Mot inconnu : wide =>   * Pour **System wide install** : No | wide
56 Mot inconnu : install =>   * Pour **System wide install** : No | install

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu |    => suggestions : ['']
57 Mot inconnu : Window =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | window
57 Mot inconnu : Xubuntu =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | xubuntu
57 Mot inconnu : Edubuntu =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | edubuntu
57 Mot inconnu : KDE =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | kde

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Install menu icons** : Yes |    => suggestions : ['']
58 Mot inconnu : Install =>   * Pour **Install menu icons** : Yes | install
58 Mot inconnu : icons =>   * Pour **Install menu icons** : Yes | icons

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Create desktop shortcuts** : Au choix |    => suggestions : ['']
59 Mot inconnu : Create =>   * Pour **Create desktop shortcuts** : Au choix | create
59 Mot inconnu : desktop =>   * Pour **Create desktop shortcuts** : Au choix | desktop
59 Mot inconnu : shortcuts =>   * Pour **Create desktop shortcuts** : Au choix | shortcuts

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Set permissions** : No |    => suggestions : ['']

68 Accord de nombre erroné avec « les commandes » : « suivante » devrait être au pluriel. => Dans un [[terminal]], entrez les commandes suivante : | suivante => suggestions : ['suivantes']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./PlaneShift*.bin |    => suggestions : ['']
70 Mot inconnu : sudo =>   sudo ./PlaneShift*.bin | sudo
70 Mot inconnu : PlaneShift =>   sudo ./PlaneShift*.bin | planeshift
70 Mot inconnu : bin =>   sudo ./PlaneShift*.bin | bin

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour le **Répertoire d'installation** laissez le choix par défaut : "/opt" |    => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **System wide install** : Yes |    => suggestions : ['']
73 Mot inconnu : System =>   * Pour **System wide install** : Yes | system
73 Mot inconnu : wide =>   * Pour **System wide install** : Yes | wide
73 Mot inconnu : install =>   * Pour **System wide install** : Yes | install

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu |    => suggestions : ['']
74 Mot inconnu : Window =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | window
74 Mot inconnu : Xubuntu =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | xubuntu
74 Mot inconnu : Edubuntu =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | edubuntu
74 Mot inconnu : KDE =>   * Pour **Window Manager** : Sélectionnez **Gnome** si vous utilisez Ubuntu, Xubuntu ou Edubuntu et **KDE** si vous utilisez Kubuntu | kde

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Install menu icons** : Yes |    => suggestions : ['']
75 Mot inconnu : Install =>   * Pour **Install menu icons** : Yes | install
75 Mot inconnu : icons =>   * Pour **Install menu icons** : Yes | icons

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Create desktop shortcuts** : Au choix |    => suggestions : ['']
76 Mot inconnu : Create =>   * Pour **Create desktop shortcuts** : Au choix | create
76 Mot inconnu : desktop =>   * Pour **Create desktop shortcuts** : Au choix | desktop
76 Mot inconnu : shortcuts =>   * Pour **Create desktop shortcuts** : Au choix | shortcuts

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" |    => suggestions : ['']
77 Mot inconnu : and =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | and
77 Mot inconnu : Group =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | group
77 Guillemets typographiques ouvrants. =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : root =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | root
77 Il manque un espace. =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | root => suggestions : [' root']
77 Mot inconnu : root =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | root
77 Guillemets typographiques fermants. =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | " => suggestions : ['\xa0»', '”']
77 Guillemets typographiques ouvrants. =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. =>   * Pour **Set permissions** : Yes, dans le champ **User and Group** entrez "root:root" et **Permissions** "755" | " => suggestions : ['\xa0»', '”']

89 Mot inconnu : PlanetShift => Lancez le jeu depuis le menu //Applications -> Jeux -> PlanetShift//, puis créez votre premier personnage ;) | planetshift

94 Mot inconnu : PlanetShift => Lancez PlanetShift comme à l'habitude, le jeu procédera à la mise à jour automatiquement. | planetshift

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo planeshift |    => suggestions : ['']
98 Mot inconnu : sudo =>   sudo planeshift | sudo
98 Mot inconnu : planeshift =>   sudo planeshift | planeshift

100 Mot inconnu : PlaneShit => Redémarrer ensuite PlaneShit pour quitter le mode administrateur. | planeshit

105 Mot inconnu : uninstall => Vous trouverez un fichier **uninstall** dans le dossier d'installation de PlaneShift. | uninstall
105 Mot inconnu : PlaneShift => Vous trouverez un fichier **uninstall** dans le dossier d'installation de PlaneShift. | planeshift

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /opt/PlaneShift/uninstall |    => suggestions : ['']
108 Mot inconnu : sudo =>   sudo /opt/PlaneShift/uninstall | sudo

133 Mot inconnu : PlaneShift => Dans tous les cas cette manipulation est à refaire en cas de mise à jour de PlaneShift. | planeshift

136 Mot inconnu : PlaneShift => Avec la disparition du site français (et de sa traduction), la communauté FR de PlaneShift est devenue introuvable . A défaut d'en recréer une ici, inscrivez y le nom de vos personnages pour pouvoir se retrouver plus facilement dans la Stalactite . | planeshift
136 Pas d’espace avant un point. => Avec la disparition du site français (et de sa traduction), la communauté FR de PlaneShift est devenue introuvable . A défaut d'en recréer une ici, inscrivez y le nom de vos personnages pour pouvoir se retrouver plus facilement dans la Stalactite . |  . => suggestions : ['.']
136 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Avec la disparition du site français (et de sa traduction), la communauté FR de PlaneShift est devenue introuvable . A défaut d'en recréer une ici, inscrivez y le nom de vos personnages pour pouvoir se retrouver plus facilement dans la Stalactite . | a => suggestions : ['À']
136 S’il s’agit d’un impératif, mettez un trait d’union. => Avec la disparition du site français (et de sa traduction), la communauté FR de PlaneShift est devenue introuvable . A défaut d'en recréer une ici, inscrivez y le nom de vos personnages pour pouvoir se retrouver plus facilement dans la Stalactite . | inscrivez y => suggestions : ['inscrivez-y']

137 Typographie : points de suspension. Utilisez le caractère dédié. => Merci de tenir la liste à jour...(joueurs ayant quitté le jeu) | ... => suggestions : ['…']

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.planeshift.it|Site officiel]] |    => suggestions : ['']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.planeshift.it/guide/en/installation-account.html|Guide en anglais]] |    => suggestions : ['']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.planeshift.it/license.html|Explication de la licence]] |    => suggestions : ['']
146 Il manque un espace. => //Contributeurs : [[utilisateurs:Barbatruk_tho]], [[utilisateurs:bioman]], Hinaloth, Slworld Boa//. | barbatruk_tho => suggestions : [' Barbatruk_tho']
146 Il manque un espace. => //Contributeurs : [[utilisateurs:Barbatruk_tho]], [[utilisateurs:bioman]], Hinaloth, Slworld Boa//. | bioman => suggestions : [' bioman']
146 Mot inconnu : Hinaloth => //Contributeurs : [[utilisateurs:Barbatruk_tho]], [[utilisateurs:bioman]], Hinaloth, Slworld Boa//. | hinaloth
146 Mot inconnu : Slworld => //Contributeurs : [[utilisateurs:Barbatruk_tho]], [[utilisateurs:bioman]], Hinaloth, Slworld Boa//. | slworld
