
4 Mot inconnu : Catalyst => ====== Pilote AMD Catalyst™ ====== | catalyst
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fermer le gestionnaire; |  -  => suggestions : [' – ', ' — ', ' − ']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redémarrer votre ordinateur. |    => suggestions : ['']
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redémarrer votre ordinateur. |  -  => suggestions : [' – ', ' — ', ' − ']

43 Mot inconnu : ATI => Vous utilisez maintenant les pilotes propriétaires de votre carte graphique AMD/ATI. Il ne vous reste plus qu'à [[#Configuration|configurer Catalyst]]. | ati
43 Mot inconnu : Catalyst => Vous utilisez maintenant les pilotes propriétaires de votre carte graphique AMD/ATI. Il ne vous reste plus qu'à [[#Configuration|configurer Catalyst]]. | catalyst

45 Mot inconnu : fglrx => Si la prise en charge de votre carte graphique n'est toujours pas satisfaisante, vous pouvez utiliser une version du pilote **fglrx** disponible depuis le site officiel ([[#via le site officiel|Voir ce chapitre]]). | fglrx

58 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => L'installation se fera avec des paquets .deb pour Ubuntu créés à partir du script d'installation .run d'%%AMD%%.  |  . => suggestions : ['. ', '.']
58 Mot inconnu : deb => L'installation se fera avec des paquets .deb pour Ubuntu créés à partir du script d'installation .run d'%%AMD%%.  | deb
58 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => L'installation se fera avec des paquets .deb pour Ubuntu créés à partir du script d'installation .run d'%%AMD%%.  |  . => suggestions : ['. ', '.']
58 Mot inconnu : run => L'installation se fera avec des paquets .deb pour Ubuntu créés à partir du script d'installation .run d'%%AMD%%.  | run
58 Il manque un espace. => L'installation se fera avec des paquets .deb pour Ubuntu créés à partir du script d'installation .run d'%%AMD%%.  | amd => suggestions : [' AMD']
58 Espace(s) en fin de ligne à supprimer. => L'installation se fera avec des paquets .deb pour Ubuntu créés à partir du script d'installation .run d'%%AMD%%.  |   => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                * Quitter l'installation |                 => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                * Reprendre l'installation. |                 => suggestions : ['']

68 Guillemets typographiques ouvrants. => Dans la partie "sélectionner manuellement le pilote" de la [[http://support.amd.com/fr-fr/download|page de téléchargement]] du site officiel AMD-ATI: | " => suggestions : ['«\xa0', '“']
68 Guillemets typographiques fermants. => Dans la partie "sélectionner manuellement le pilote" de la [[http://support.amd.com/fr-fr/download|page de téléchargement]] du site officiel AMD-ATI: | " => suggestions : ['\xa0»', '”']
68 Mot inconnu : AMD-ATI => Dans la partie "sélectionner manuellement le pilote" de la [[http://support.amd.com/fr-fr/download|page de téléchargement]] du site officiel AMD-ATI: | amd-ati

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - Sélectionner votre carte graphique au travers des différentes listes déroulantes proposées; |     => suggestions : ['']
69 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - Sélectionner votre carte graphique au travers des différentes listes déroulantes proposées; |  -  => suggestions : [' – ', ' — ', ' − ']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans votre __dossier personnel__, créez un nouveau dossier nommé **fglrx**; |    => suggestions : ['']
73 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans votre __dossier personnel__, créez un nouveau dossier nommé **fglrx**; |  -  => suggestions : [' – ', ' — ', ' − ']
73 Mot inconnu : __dossier =>   - Dans votre __dossier personnel__, créez un nouveau dossier nommé **fglrx**; | __dossier
73 Mot inconnu : personnel__ =>   - Dans votre __dossier personnel__, créez un nouveau dossier nommé **fglrx**; | personnel__
73 Mot inconnu : fglrx =>   - Dans votre __dossier personnel__, créez un nouveau dossier nommé **fglrx**; | fglrx

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Copiez-y le fichier .run téléchargé. |    => suggestions : ['']
74 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Copiez-y le fichier .run téléchargé. |  -  => suggestions : [' – ', ' — ', ' − ']
74 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   - Copiez-y le fichier .run téléchargé. |  . => suggestions : ['. ', '.']
74 Mot inconnu : run =>   - Copiez-y le fichier .run téléchargé. | run

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Une fois la génération des paquets terminée, quitter (exit) l'interface graphique; |    => suggestions : ['']
84 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Une fois la génération des paquets terminée, quitter (exit) l'interface graphique; |  -  => suggestions : [' – ', ' — ', ' − ']

88 Mot inconnu : ATI => Vous utilisez maintenant les pilotes propriétaires de votre carte graphique AMD/ATI. Il ne vous reste plus qu'à [[#Configuration|configurer Catalyst]].\\ | ati
88 Mot inconnu : Catalyst => Vous utilisez maintenant les pilotes propriétaires de votre carte graphique AMD/ATI. Il ne vous reste plus qu'à [[#Configuration|configurer Catalyst]].\\ | catalyst

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Synchronisation verticale]] |    => suggestions : ['']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Anticrénelage (ou antialiasing)]] |    => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Filtre anisotrope (ou anisotropic)]] |    => suggestions : ['']
117 Mot inconnu : anisotropic =>   * [[#Filtre anisotrope (ou anisotropic)]] | anisotropic

121 Mot inconnu : Catalyst => Dans //Catalyst Control Center -> 3D -> Plus de paramètres//, il est conseillé de fixer //Attendre le rafraîchissement vertical// sur **Toujours activé**, qui permet de synchroniser l'affichage sur la fréquence verticale de l'écran. Cette option est prise en compte immédiatement lors du clic sur la case à cocher. | catalyst
121 Mot inconnu : Control => Dans //Catalyst Control Center -> 3D -> Plus de paramètres//, il est conseillé de fixer //Attendre le rafraîchissement vertical// sur **Toujours activé**, qui permet de synchroniser l'affichage sur la fréquence verticale de l'écran. Cette option est prise en compte immédiatement lors du clic sur la case à cocher. | control

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si l'écran est à 60Hz, pas besoin de dessiner 1300 images par secondes et faire tourner les ventilateurs à fond, 60 suffisent ; |    => suggestions : ['']
124 Avec une unité de mesure, mettez un espace insécable. =>   * si l'écran est à 60Hz, pas besoin de dessiner 1300 images par secondes et faire tourner les ventilateurs à fond, 60 suffisent ; | 60hz => suggestions : ['60\xa0Hz']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sans cette option,  il arrive que l'écran dessine réellement l'image alors que la carte graphique est en train d'écrire une nouvelle image, ce qui provoque des effets de "déchirements" : |    => suggestions : ['']
125 Espace(s) surnuméraire(s) à supprimer. =>   * sans cette option,  il arrive que l'écran dessine réellement l'image alors que la carte graphique est en train d'écrire une nouvelle image, ce qui provoque des effets de "déchirements" : |    => suggestions : [' ']
125 Guillemets typographiques ouvrants. =>   * sans cette option,  il arrive que l'écran dessine réellement l'image alors que la carte graphique est en train d'écrire une nouvelle image, ce qui provoque des effets de "déchirements" : | " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. =>   * sans cette option,  il arrive que l'écran dessine réellement l'image alors que la carte graphique est en train d'écrire une nouvelle image, ce qui provoque des effets de "déchirements" : | " => suggestions : ['\xa0»', '”']

135 Guillemets typographiques ouvrants. => L'antialiasing permet de réduire les effets "escalier" __sur les contours__ des objets 3D.\\ | " => suggestions : ['«\xa0', '“']
135 Guillemets typographiques fermants. => L'antialiasing permet de réduire les effets "escalier" __sur les contours__ des objets 3D.\\ | " => suggestions : ['\xa0»', '”']
135 Mot inconnu : __sur => L'antialiasing permet de réduire les effets "escalier" __sur les contours__ des objets 3D.\\ | __sur
135 Mot inconnu : contours__ => L'antialiasing permet de réduire les effets "escalier" __sur les contours__ des objets 3D.\\ | contours__

141 Mot inconnu : Catalyst => Pour l'activer, dans //Catalyst Control Center -> 3D -> Anticrénelage//, cochez //Remplacer le réglage de l'application// et réglez la puissance du filtre. Un filtre plus fort sera plus efficace, mais demandera plus de ressources au système.\\ | catalyst
141 Mot inconnu : Control => Pour l'activer, dans //Catalyst Control Center -> 3D -> Anticrénelage//, cochez //Remplacer le réglage de l'application// et réglez la puissance du filtre. Un filtre plus fort sera plus efficace, mais demandera plus de ressources au système.\\ | control

146 Mot inconnu : anisotropic => === Filtre anisotrope (ou anisotropic) === | anisotropic

148 Guillemets typographiques ouvrants. => Le filtrage anisotrope permet de réduire les effets "escalier" __à l'intérieur des fenêtres__ (sur les textures). Son effet est d'autant plus visible que l'on regarde l'objet 3D (une fenêtre sur une face du cube par exemple) avec un angle proche de 90°.\\ | " => suggestions : ['«\xa0', '“']
148 Guillemets typographiques fermants. => Le filtrage anisotrope permet de réduire les effets "escalier" __à l'intérieur des fenêtres__ (sur les textures). Son effet est d'autant plus visible que l'on regarde l'objet 3D (une fenêtre sur une face du cube par exemple) avec un angle proche de 90°.\\ | " => suggestions : ['\xa0»', '”']
148 Mot inconnu : __à => Le filtrage anisotrope permet de réduire les effets "escalier" __à l'intérieur des fenêtres__ (sur les textures). Son effet est d'autant plus visible que l'on regarde l'objet 3D (une fenêtre sur une face du cube par exemple) avec un angle proche de 90°.\\ | __à
148 Mot inconnu : fenêtres__ => Le filtrage anisotrope permet de réduire les effets "escalier" __à l'intérieur des fenêtres__ (sur les textures). Son effet est d'autant plus visible que l'on regarde l'objet 3D (une fenêtre sur une face du cube par exemple) avec un angle proche de 90°.\\ | fenêtres__

153 Mot inconnu : Catalyst => Pour l'activer, dans //Catalyst Control Center -> 3D -> Filtrage anisotrope//, il suffit de cocher //Remplacer le réglage de l'application// et de régler la puissance du filtre. Cette option sera prise en compte au prochain démarrage de **compiz** (ou autre application 3D). | catalyst
153 Mot inconnu : Control => Pour l'activer, dans //Catalyst Control Center -> 3D -> Filtrage anisotrope//, il suffit de cocher //Remplacer le réglage de l'application// et de régler la puissance du filtre. Cette option sera prise en compte au prochain démarrage de **compiz** (ou autre application 3D). | control
153 Mot inconnu : compiz => Pour l'activer, dans //Catalyst Control Center -> 3D -> Filtrage anisotrope//, il suffit de cocher //Remplacer le réglage de l'application// et de régler la puissance du filtre. Cette option sera prise en compte au prochain démarrage de **compiz** (ou autre application 3D). | compiz

155 Mot inconnu : Aticonfig => =====Aticonfig===== | aticonfig

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             Sensor 0: Temperature - 44.00 C</code> |              => suggestions : ['']
166 Mot inconnu : Sensor =>             Sensor 0: Temperature - 44.00 C</code> | sensor
166 Mot inconnu : Temperature =>             Sensor 0: Temperature - 44.00 C</code> | temperature
166 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>             Sensor 0: Temperature - 44.00 C</code> |  -  => suggestions : [' – ', ' — ', ' − ', ' −']

168 Mot inconnu : Radeon => Les séries des Radeon 4xxx ont tendance à chauffer énormément car le ventilateur tourne à 20% par défaut. Pour contrôler la vitesse du ventilateur une simple commande, dont la prise en compte est immédiate, suffit : | radeon
168 Mot inconnu : xxx => Les séries des Radeon 4xxx ont tendance à chauffer énormément car le ventilateur tourne à 20% par défaut. Pour contrôler la vitesse du ventilateur une simple commande, dont la prise en compte est immédiate, suffit : | xxx
168 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Les séries des Radeon 4xxx ont tendance à chauffer énormément car le ventilateur tourne à 20% par défaut. Pour contrôler la vitesse du ventilateur une simple commande, dont la prise en compte est immédiate, suffit : |  car => suggestions : [', car']
168 Avec une unité de mesure, mettez un espace insécable. => Les séries des Radeon 4xxx ont tendance à chauffer énormément car le ventilateur tourne à 20% par défaut. Pour contrôler la vitesse du ventilateur une simple commande, dont la prise en compte est immédiate, suffit : | 20% => suggestions : ['20\xa0%']

171 Mot inconnu : HD4850 => Par exemple, cette commande sur une HD4850 fait passer la température de 80°C à 56°C, et le ventilateur reste silencieux. | hd4850
171 Avec une unité de mesure, mettez un espace insécable. => Par exemple, cette commande sur une HD4850 fait passer la température de 80°C à 56°C, et le ventilateur reste silencieux. | 80°c => suggestions : ['80\xa0°C']
171 Avec une unité de mesure, mettez un espace insécable. => Par exemple, cette commande sur une HD4850 fait passer la température de 80°C à 56°C, et le ventilateur reste silencieux. | 56°c => suggestions : ['56\xa0°C']

173 Mot inconnu : xx => En revanche, sur la série des 36xx, le ventilateur est à vitesse trop élevée pour ce que l'on demande au GPU, entraînant des nuisances sonores inutiles. Si vous êtes possesseur de ce type de carte, vous pouvez baisser la vitesse à 30%, réduisant considérablement le niveau de décibels. La carte ne monte pas à plus de 30°C. | xx
173 Mot inconnu : GPU => En revanche, sur la série des 36xx, le ventilateur est à vitesse trop élevée pour ce que l'on demande au GPU, entraînant des nuisances sonores inutiles. Si vous êtes possesseur de ce type de carte, vous pouvez baisser la vitesse à 30%, réduisant considérablement le niveau de décibels. La carte ne monte pas à plus de 30°C. | gpu
173 Avec une unité de mesure, mettez un espace insécable. => En revanche, sur la série des 36xx, le ventilateur est à vitesse trop élevée pour ce que l'on demande au GPU, entraînant des nuisances sonores inutiles. Si vous êtes possesseur de ce type de carte, vous pouvez baisser la vitesse à 30%, réduisant considérablement le niveau de décibels. La carte ne monte pas à plus de 30°C. | 30% => suggestions : ['30\xa0%']
173 Avec une unité de mesure, mettez un espace insécable. => En revanche, sur la série des 36xx, le ventilateur est à vitesse trop élevée pour ce que l'on demande au GPU, entraînant des nuisances sonores inutiles. Si vous êtes possesseur de ce type de carte, vous pouvez baisser la vitesse à 30%, réduisant considérablement le niveau de décibels. La carte ne monte pas à plus de 30°C. | 30°c => suggestions : ['30\xa0°C']

181 Mot inconnu : Catalyst => Pour désinstaller Catalyst et ses pilotes propriétaires: | catalyst

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisir le pilote libre "Serveur XX.Org";  |    => suggestions : ['']
183 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisir le pilote libre "Serveur XX.Org";  |  -  => suggestions : [' – ', ' — ', ' − ']
183 Guillemets typographiques ouvrants. =>   - Choisir le pilote libre "Serveur XX.Org";  | " => suggestions : ['«\xa0', '“']
183 Espace(s) en fin de ligne à supprimer. =>   - Choisir le pilote libre "Serveur XX.Org";  |   => suggestions : ['']

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  |    => suggestions : ['']
184 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  |  -  => suggestions : [' – ', ' — ', ' − ']
184 Guillemets typographiques ouvrants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['\xa0»', '”']
184 Guillemets typographiques ouvrants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['\xa0»', '”']
184 Espace(s) en fin de ligne à supprimer. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  |   => suggestions : ['']

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fermer le gestionnaire; |    => suggestions : ['']
185 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fermer le gestionnaire; |  -  => suggestions : [' – ', ' — ', ' − ']

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redémarrer votre ordinateur. |    => suggestions : ['']
186 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redémarrer votre ordinateur. |  -  => suggestions : [' – ', ' — ', ' − ']

194 Signe de multiplication typographique. => *//Si tel était le cas (présence d'une interface minimale 640x480 après redémarrage), il suffit de [[#Installation Via les dépôts Ubuntu|réinstaller le pilote propriétaire]] pour retrouver vos 3 paquets **fglrx** puis reprendre correctement la désinstallation de ces 3 paquets.// | 640x480 => suggestions : ['640\xa0×\xa0480']
194 Mot inconnu : x480 => *//Si tel était le cas (présence d'une interface minimale 640x480 après redémarrage), il suffit de [[#Installation Via les dépôts Ubuntu|réinstaller le pilote propriétaire]] pour retrouver vos 3 paquets **fglrx** puis reprendre correctement la désinstallation de ces 3 paquets.// | x480
194 Mot inconnu : fglrx => *//Si tel était le cas (présence d'une interface minimale 640x480 après redémarrage), il suffit de [[#Installation Via les dépôts Ubuntu|réinstaller le pilote propriétaire]] pour retrouver vos 3 paquets **fglrx** puis reprendre correctement la désinstallation de ces 3 paquets.// | fglrx

195 Mot inconnu : fglrx => <note important>fglrx n'est plus disponible dans les dépôts.</note> | fglrx

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.amd.com/fr-fr| AMD]] Fournit les spécifications détaillées des cartes ainsi que les derniers pilotes [[Catalyst]]. |    => suggestions : ['']
200 Mot inconnu : Catalyst =>   * **(fr)** [[http://www.amd.com/fr-fr| AMD]] Fournit les spécifications détaillées des cartes ainsi que les derniers pilotes [[Catalyst]]. | catalyst

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://wiki.cchtml.com/index.php/Ubuntu | Wiki AMD ]] , non officiel, mais riche en informations utiles. |    => suggestions : ['']
201 Pas d’espace avant ce signe. =>   * **(en)** [[https://wiki.cchtml.com/index.php/Ubuntu | Wiki AMD ]] , non officiel, mais riche en informations utiles. |  ] => suggestions : [']']
201 Pas d’espace avant une virgule. =>   * **(en)** [[https://wiki.cchtml.com/index.php/Ubuntu | Wiki AMD ]] , non officiel, mais riche en informations utiles. |  , => suggestions : [',']
205 Il manque un espace. => //Contributeurs : [[utilisateurs:pierluc|Pier Luc CR]], [[utilisateurs:theozzfancometh|Theozzfancometh]], [[utilisateurs:Kao_chen]].// | pierluc => suggestions : [' pierluc']
205 Mot inconnu : CR => //Contributeurs : [[utilisateurs:pierluc|Pier Luc CR]], [[utilisateurs:theozzfancometh|Theozzfancometh]], [[utilisateurs:Kao_chen]].// | cr
205 Il manque un espace. => //Contributeurs : [[utilisateurs:pierluc|Pier Luc CR]], [[utilisateurs:theozzfancometh|Theozzfancometh]], [[utilisateurs:Kao_chen]].// | theozzfancometh => suggestions : [' theozzfancometh']
205 Il manque un espace. => //Contributeurs : [[utilisateurs:pierluc|Pier Luc CR]], [[utilisateurs:theozzfancometh|Theozzfancometh]], [[utilisateurs:Kao_chen]].// | kao_chen => suggestions : [' Kao_chen']
