
4 Mot inconnu : ser => Un agent d'utilisation des courriels (**M**ail **U**ser **A**gent), est une application pour lire, rédiger, recevoir et expédier des courriels. Pour comprendre ce qu'est un client MUA lire [[comment_fonctionne_le_courriel_sous_linux|Comment fonctionne le courriel sous Linux ?]] | ser
4 Mot inconnu : comment_fonctionne_le_courriel_sous_linux => Un agent d'utilisation des courriels (**M**ail **U**ser **A**gent), est une application pour lire, rédiger, recevoir et expédier des courriels. Pour comprendre ce qu'est un client MUA lire [[comment_fonctionne_le_courriel_sous_linux|Comment fonctionne le courriel sous Linux ?]] | comment_fonctionne_le_courriel_sous_linux

33 Espace(s) surnuméraire(s) à supprimer. => ==== Configurer un courrielleur  graphique ==== |    => suggestions : [' ']
156 Mot inconnu : yahoo => A noter qu'il faudra peut-être utiliser l'identifiant de messagerie de votre FAI, ainsi que son mot de passe propre, qui est bien entendu différent de celui de votre compte yahoo ou Gmail par exemple. | yahoo
156 Mot inconnu : Gmail => A noter qu'il faudra peut-être utiliser l'identifiant de messagerie de votre FAI, ainsi que son mot de passe propre, qui est bien entendu différent de celui de votre compte yahoo ou Gmail par exemple. | gmail

159 Mot inconnu : Gmail => ==== Gmail (serveur IMAP) ==== | gmail

161 Mot inconnu : Gmail => <note important>Le protocole IMAP devra préalablement être activé dans les paramètres de votre compte Gmail via votre navigateur internet. | gmail

162 Accord de nombre erroné avec « les paramètres » : « proposé » devrait être au pluriel. => Actuellement en acceptant les paramètres par défaut proposé par Thunderbird, vous arriverez sur une fenêtre qui vous demande le mot de passe de votre compte mais qui reste bloquée. Pour éviter cela entrez les informations qui suivent en choisissant l'option manuelle.</note> | proposé => suggestions : ['proposés']

179 Mot inconnu : Gmail => ==== Gmail (serveur POP) ==== | gmail
180 Mot inconnu : Gmail => Vous pouvez utiliser ce [[https://help.ubuntu.com/community/UsingGmailWithEvolution|topic]] pour configurer Gmail  (en anglais et ne traite que du protocole POP/SMTP) | gmail
180 Espace(s) surnuméraire(s) à supprimer. => Vous pouvez utiliser ce [[https://help.ubuntu.com/community/UsingGmailWithEvolution|topic]] pour configurer Gmail  (en anglais et ne traite que du protocole POP/SMTP) |    => suggestions : [' ']

182 Mot inconnu : Gmail => <note important>Le protocole POP devra préalablement être activé dans les paramètres de votre compte Gmail via votre navigateur internet</note> | gmail

200 Mot inconnu : Gmail => <note help>Gmail peut nécessiter le "mode récent" lorsque vous utilisez votre compte Gmail en utilisant un accès POP à partir de plusieurs clients : [[http://mail.google.com/support/bin/answer.py?answer=47948]] | gmail
200 Guillemets typographiques ouvrants. => <note help>Gmail peut nécessiter le "mode récent" lorsque vous utilisez votre compte Gmail en utilisant un accès POP à partir de plusieurs clients : [[http://mail.google.com/support/bin/answer.py?answer=47948]] | " => suggestions : ['«\xa0', '“']
200 Guillemets typographiques fermants. => <note help>Gmail peut nécessiter le "mode récent" lorsque vous utilisez votre compte Gmail en utilisant un accès POP à partir de plusieurs clients : [[http://mail.google.com/support/bin/answer.py?answer=47948]] | " => suggestions : ['\xa0»', '”']
200 Mot inconnu : Gmail => <note help>Gmail peut nécessiter le "mode récent" lorsque vous utilisez votre compte Gmail en utilisant un accès POP à partir de plusieurs clients : [[http://mail.google.com/support/bin/answer.py?answer=47948]] | gmail

202 Mot inconnu : recent => Le nom d'utilisateur devient alors recent:????@gmail.com</note> | recent
202 Une de ces ponctuations est superflue. => Le nom d'utilisateur devient alors recent:????@gmail.com</note> | :? => suggestions : [':', '?']

204 Mot inconnu : Hotmail => ==== Hotmail ==== | hotmail

205 Mot inconnu : Hotmail => Hotmail dispose (depuis début janvier 2009) d'un service de protocole POP3 gratuit. | hotmail
205 Mot inconnu : POP3 => Hotmail dispose (depuis début janvier 2009) d'un service de protocole POP3 gratuit. | pop3

223 Mot inconnu : Yahoo => ==== Yahoo! ==== | yahoo

225 Mot inconnu : Yahoo => Yahoo! ne possède pas de serveur IMAP mais un serveur POP3.<note important>Est-ce toujours d'actualité ? | yahoo
225 Mot inconnu : POP3 => Yahoo! ne possède pas de serveur IMAP mais un serveur POP3.<note important>Est-ce toujours d'actualité ? | pop3

226 Mot inconnu : imaps => J'ai trouvé une URL en imaps : imap.mail.yahoo.com:993</note> | imaps

228 Mot inconnu : Evolution => Configurez le compte dans Evolution comme suivant : | evolution

245 Guillemets typographiques ouvrants. => <note important>Rendez-vous ensuite dans votre boite courriel depuis votre navigateur web. Cliquez alors sur "Options de Mail" en haut à droite. Enfin, choisissez "Accès POP et transfert" dans le menu afin d'activer l'accès à Yahoo! Mail via POP3. | " => suggestions : ['«\xa0', '“']
245 Guillemets typographiques fermants. => <note important>Rendez-vous ensuite dans votre boite courriel depuis votre navigateur web. Cliquez alors sur "Options de Mail" en haut à droite. Enfin, choisissez "Accès POP et transfert" dans le menu afin d'activer l'accès à Yahoo! Mail via POP3. | " => suggestions : ['\xa0»', '”']
245 Guillemets typographiques ouvrants. => <note important>Rendez-vous ensuite dans votre boite courriel depuis votre navigateur web. Cliquez alors sur "Options de Mail" en haut à droite. Enfin, choisissez "Accès POP et transfert" dans le menu afin d'activer l'accès à Yahoo! Mail via POP3. | " => suggestions : ['«\xa0', '“']
245 Guillemets typographiques fermants. => <note important>Rendez-vous ensuite dans votre boite courriel depuis votre navigateur web. Cliquez alors sur "Options de Mail" en haut à droite. Enfin, choisissez "Accès POP et transfert" dans le menu afin d'activer l'accès à Yahoo! Mail via POP3. | " => suggestions : ['\xa0»', '”']
245 Mot inconnu : Yahoo => <note important>Rendez-vous ensuite dans votre boite courriel depuis votre navigateur web. Cliquez alors sur "Options de Mail" en haut à droite. Enfin, choisissez "Accès POP et transfert" dans le menu afin d'activer l'accès à Yahoo! Mail via POP3. | yahoo
245 Mot inconnu : POP3 => <note important>Rendez-vous ensuite dans votre boite courriel depuis votre navigateur web. Cliquez alors sur "Options de Mail" en haut à droite. Enfin, choisissez "Accès POP et transfert" dans le menu afin d'activer l'accès à Yahoo! Mail via POP3. | pop3

247 Mot inconnu : Laposte => ==== Laposte.net ==== | laposte

248 Mot inconnu : laposte => === IMAP laposte.net === | laposte

250 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => A titre d'exemple, on procède ici à la configuration IMAP et SMTP d'Evolution, pour un compte courriel chez Laposte.net | a => suggestions : ['À']
250 Mot inconnu : Evolution => A titre d'exemple, on procède ici à la configuration IMAP et SMTP d'Evolution, pour un compte courriel chez Laposte.net | evolution
250 Mot inconnu : Laposte => A titre d'exemple, on procède ici à la configuration IMAP et SMTP d'Evolution, pour un compte courriel chez Laposte.net | laposte

269 Mot inconnu : paramètrage => ** Finalisation du paramètrage ** | paramètrage

271 Mot inconnu : Evolution => Dans l'arborescence de la fenêtre principale d'Evolution du compte que vous venez de paramétrer, apparaissent maintenant parmi ses dossiers Laposte.net : | evolution
271 Mot inconnu : Laposte => Dans l'arborescence de la fenêtre principale d'Evolution du compte que vous venez de paramétrer, apparaissent maintenant parmi ses dossiers Laposte.net : | laposte

273 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - DRAFT : c'est le dossier brouillon | -  => suggestions : ['—\xa0', '–\xa0']
273 Mot inconnu : DRAFT => - DRAFT : c'est le dossier brouillon | draft

275 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - OUTBOX : c'est le dossier messages envoyés | -  => suggestions : ['—\xa0', '–\xa0']
275 Mot inconnu : OUTBOX => - OUTBOX : c'est le dossier messages envoyés | outbox
277 Mot inconnu : Edition => On va renseigner le chemin par défaut de ses deux dossiers en revenant dans l'éditeur du compte : Edition -> Préférences -> ????@laposte.net -> Edition -> Onglet valeurs par défaut. | edition
277 Mot inconnu : Edition => On va renseigner le chemin par défaut de ses deux dossiers en revenant dans l'éditeur du compte : Edition -> Préférences -> ????@laposte.net -> Edition -> Onglet valeurs par défaut. | edition
280 Mot inconnu : OUTBOX => Dossier des messages envoyés : on choisit son dossier OUTBOX | outbox
282 Mot inconnu : DRAFT => Dossier des brouillons : on choisit son dossier DRAFT | draft
286 Mot inconnu : INBOX => Messages envoyés : ????@laposte.net/INBOX/OUTBOX | inbox
286 Mot inconnu : OUTBOX => Messages envoyés : ????@laposte.net/INBOX/OUTBOX | outbox
288 Mot inconnu : INBOX => Brouillons : ????@laposte.net/INBOX/DRAFT | inbox
288 Mot inconnu : DRAFT => Brouillons : ????@laposte.net/INBOX/DRAFT | draft

292 Mot inconnu : Evolution => Cette troisième étape est nécessaire pour que les messages envoyés et les brouillons soient non pas enregistrés dans le compte Evolution de son ordinateur, mais bien dans ses dossiers du compte Laposte.net. | evolution
292 Mot inconnu : Laposte => Cette troisième étape est nécessaire pour que les messages envoyés et les brouillons soient non pas enregistrés dans le compte Evolution de son ordinateur, mais bien dans ses dossiers du compte Laposte.net. | laposte

294 Mot inconnu : laposte => === POP laposte.net === | laposte

295 Mot inconnu : EVOLUTION => (exemple de paramétrage du logiciel de messagerie EVOLUTION de GNOME) | evolution

312 Mot inconnu : Skynet => ==== Skynet.be ==== | skynet

348 Mot inconnu : aliceadsl => ==== Alice (aliceadsl) ==== | aliceadsl

423 Mot inconnu : GMX => ==== GMX ==== | gmx

442 Mot inconnu : Mpx => Vous souhaitez envoyer des photos par courriel. Vu la taille des fichiers (plusieurs Mo) produits par les appareils photo récents (plusieurs Mpx), il est conseillé/exigé de les réduire pour éviter d'encombrer la boîte aux lettres du destinataire. Pour cela il faut transformer les images en réduisant leur résolution et augmentant le taux de compression. | mpx
