
6 Mot inconnu : Deluge => ====== Deluge ====== | deluge
55 Guillemets typographiques ouvrants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['«\xa0', '“']
55 Mot inconnu : deluge => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | deluge
55 Guillemets typographiques fermants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['\xa0»', '”']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

66 Mot inconnu : The => # The init.d script will only run if this variable non-empty. | the
66 Mot inconnu : init => # The init.d script will only run if this variable non-empty. | init
66 Mot inconnu : will => # The init.d script will only run if this variable non-empty. | will
66 Mot inconnu : only => # The init.d script will only run if this variable non-empty. | only
66 Mot inconnu : run => # The init.d script will only run if this variable non-empty. | run
66 Mot inconnu : this => # The init.d script will only run if this variable non-empty. | this
66 Mot inconnu : non-empty => # The init.d script will only run if this variable non-empty. | non-empty

67 Mot inconnu : DELUGED_USER => DELUGED_USER="deluge" | deluged_user
67 Guillemets typographiques ouvrants. => DELUGED_USER="deluge" | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : deluge => DELUGED_USER="deluge" | deluge
67 Guillemets typographiques fermants. => DELUGED_USER="deluge" | " => suggestions : ['\xa0»', '”']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

69 Mot inconnu : Should => # Should we run at startup? | should
69 Mot inconnu : we => # Should we run at startup? | we
69 Mot inconnu : run => # Should we run at startup? | run
69 Mot inconnu : at => # Should we run at startup? | at

70 Mot inconnu : RUN_AT_STARTUP => RUN_AT_STARTUP="YES" | run_at_startup
70 Guillemets typographiques ouvrants. => RUN_AT_STARTUP="YES" | " => suggestions : ['«\xa0', '“']
70 Guillemets typographiques fermants. => RUN_AT_STARTUP="YES" | " => suggestions : ['\xa0»', '”']

76 Mot inconnu : BEGIN => ### BEGIN INIT INFO | begin
76 Mot inconnu : INIT => ### BEGIN INIT INFO | init

77 Mot inconnu : Provides => # Provides:          deluge-daemon | provides
77 Espace(s) surnuméraire(s) à supprimer. => # Provides:          deluge-daemon |            => suggestions : [' ']
77 Mot inconnu : deluge-daemon => # Provides:          deluge-daemon | deluge-daemon

78 Mot inconnu : Required-Start => # Required-Start:    $local_fs $remote_fs | required-start
78 Espace(s) surnuméraire(s) à supprimer. => # Required-Start:    $local_fs $remote_fs |      => suggestions : [' ']
78 Mot inconnu : local_fs => # Required-Start:    $local_fs $remote_fs | local_fs
78 Mot inconnu : remote_fs => # Required-Start:    $local_fs $remote_fs | remote_fs

79 Mot inconnu : Required-Stop => # Required-Stop:     $local_fs $remote_fs | required-stop
79 Espace(s) surnuméraire(s) à supprimer. => # Required-Stop:     $local_fs $remote_fs |       => suggestions : [' ']
79 Mot inconnu : local_fs => # Required-Stop:     $local_fs $remote_fs | local_fs
79 Mot inconnu : remote_fs => # Required-Stop:     $local_fs $remote_fs | remote_fs

80 Mot inconnu : Should-Start => # Should-Start:      $network | should-start
80 Espace(s) surnuméraire(s) à supprimer. => # Should-Start:      $network |        => suggestions : [' ']
80 Mot inconnu : network => # Should-Start:      $network | network

81 Mot inconnu : Should-Stop => # Should-Stop:       $network | should-stop
81 Espace(s) surnuméraire(s) à supprimer. => # Should-Stop:       $network |         => suggestions : [' ']
81 Mot inconnu : network => # Should-Stop:       $network | network

82 Mot inconnu : Default-Start => # Default-Start:     2 3 4 5 | default-start
82 Espace(s) surnuméraire(s) à supprimer. => # Default-Start:     2 3 4 5 |       => suggestions : [' ']

83 Mot inconnu : Default-Stop => # Default-Stop:      0 1 6 | default-stop
83 Espace(s) surnuméraire(s) à supprimer. => # Default-Stop:      0 1 6 |        => suggestions : [' ']
84 Mot inconnu : Daemonized => # Short-Description: Daemonized version of deluge and webui. | daemonized
84 Mot inconnu : of => # Short-Description: Daemonized version of deluge and webui. | of
84 Mot inconnu : deluge => # Short-Description: Daemonized version of deluge and webui. | deluge
84 Mot inconnu : and => # Short-Description: Daemonized version of deluge and webui. | and
84 Mot inconnu : webui => # Short-Description: Daemonized version of deluge and webui. | webui
85 Espace(s) surnuméraire(s) à supprimer. => # Description:       Starts the deluge daemon with the user specified in |         => suggestions : [' ']
85 Mot inconnu : Starts => # Description:       Starts the deluge daemon with the user specified in | starts
85 Mot inconnu : the => # Description:       Starts the deluge daemon with the user specified in | the
85 Mot inconnu : deluge => # Description:       Starts the deluge daemon with the user specified in | deluge
85 Mot inconnu : daemon => # Description:       Starts the deluge daemon with the user specified in | daemon
85 Mot inconnu : with => # Description:       Starts the deluge daemon with the user specified in | with
85 Mot inconnu : the => # Description:       Starts the deluge daemon with the user specified in | the
85 Mot inconnu : specified => # Description:       Starts the deluge daemon with the user specified in | specified

87 Mot inconnu : END => ### END INIT INFO | end
87 Mot inconnu : INIT => ### END INIT INFO | init

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

89 Mot inconnu : Author => # Author: Adolfo R. Brandes  | author
89 Espace(s) en fin de ligne à supprimer. => # Author: Adolfo R. Brandes  |   => suggestions : ['']

90 Mot inconnu : Modified => # Modified: Sami Olmari | modified
90 Mot inconnu : Olmari => # Modified: Sami Olmari | olmari

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

92 Mot inconnu : PATH => PATH=/usr/local/sbin:/usr/local/bin:/sbin:/bin:/usr/sbin:/usr/bin | path

93 Mot inconnu : DESC => DESC="Deluge Daemon" | desc
93 Guillemets typographiques ouvrants. => DESC="Deluge Daemon" | " => suggestions : ['«\xa0', '“']
93 Mot inconnu : Deluge => DESC="Deluge Daemon" | deluge
93 Mot inconnu : Daemon => DESC="Deluge Daemon" | daemon
93 Guillemets typographiques fermants. => DESC="Deluge Daemon" | " => suggestions : ['\xa0»', '”']

94 Mot inconnu : NAME1 => NAME1="deluged" | name1
94 Guillemets typographiques ouvrants. => NAME1="deluged" | " => suggestions : ['«\xa0', '“']
94 Mot inconnu : deluged => NAME1="deluged" | deluged
94 Guillemets typographiques fermants. => NAME1="deluged" | " => suggestions : ['\xa0»', '”']

95 Mot inconnu : NAME2 => NAME2="deluge-web" | name2
95 Guillemets typographiques ouvrants. => NAME2="deluge-web" | " => suggestions : ['«\xa0', '“']
95 Mot inconnu : deluge-web => NAME2="deluge-web" | deluge-web
95 Guillemets typographiques fermants. => NAME2="deluge-web" | " => suggestions : ['\xa0»', '”']

96 Mot inconnu : DAEMON1 => DAEMON1=/usr/bin/deluged | daemon1

97 Mot inconnu : DAEMON1_ARGS => DAEMON1_ARGS="-d -c /var/lib/deluge -l /var/log/deluged.log -L warning" | daemon1_args
97 Il manque un espace à côté du tiret. => DAEMON1_ARGS="-d -c /var/lib/deluge -l /var/log/deluged.log -L warning" |  - => suggestions : [' – ', ' — ']
97 Guillemets typographiques fermants. => DAEMON1_ARGS="-d -c /var/lib/deluge -l /var/log/deluged.log -L warning" | " => suggestions : ['\xa0»', '”']

98 Mot inconnu : DAEMON2 => DAEMON2=/usr/bin/deluge-web | daemon2

99 Mot inconnu : DAEMON2_ARGS => DAEMON2_ARGS="-p 9092 -c /var/lib/deluge -l /var/log/deluge-web.log -L warning" | daemon2_args
99 Il manque un espace à côté du tiret. => DAEMON2_ARGS="-p 9092 -c /var/lib/deluge -l /var/log/deluge-web.log -L warning" |  - => suggestions : [' – ', ' — ']
99 Il manque un espace à côté du tiret. => DAEMON2_ARGS="-p 9092 -c /var/lib/deluge -l /var/log/deluge-web.log -L warning" |  - => suggestions : [' – ', ' — ']
99 Guillemets typographiques fermants. => DAEMON2_ARGS="-p 9092 -c /var/lib/deluge -l /var/log/deluge-web.log -L warning" | " => suggestions : ['\xa0»', '”']

100 Mot inconnu : PIDFILE1 => PIDFILE1=/var/run/$NAME1.pid | pidfile1
100 Mot inconnu : NAME1 => PIDFILE1=/var/run/$NAME1.pid | name1
100 Mot inconnu : pid => PIDFILE1=/var/run/$NAME1.pid | pid

101 Mot inconnu : PIDFILE2 => PIDFILE2=/var/run/$NAME2.pid | pidfile2
101 Mot inconnu : NAME2 => PIDFILE2=/var/run/$NAME2.pid | name2
101 Mot inconnu : pid => PIDFILE2=/var/run/$NAME2.pid | pid

102 Mot inconnu : PKGNAME => PKGNAME=deluge-daemon | pkgname
102 Mot inconnu : deluge-daemon => PKGNAME=deluge-daemon | deluge-daemon

103 Mot inconnu : SCRIPTNAME => SCRIPTNAME=/etc/init.d/$PKGNAME | scriptname
103 Mot inconnu : PKGNAME => SCRIPTNAME=/etc/init.d/$PKGNAME | pkgname

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

105 Mot inconnu : the => # Exit if the package is not installed | the
105 Mot inconnu : is => # Exit if the package is not installed | is
105 Mot inconnu : not => # Exit if the package is not installed | not
105 Mot inconnu : installed => # Exit if the package is not installed | installed

106 Pas d’espace après ce signe. => [ -x "$DAEMON1" -a -x "$DAEMON2" ] || exit 0 | [  => suggestions : ['[']
106 Mot inconnu : DAEMON1 => [ -x "$DAEMON1" -a -x "$DAEMON2" ] || exit 0 | daemon1
106 Guillemets typographiques fermants. => [ -x "$DAEMON1" -a -x "$DAEMON2" ] || exit 0 | " => suggestions : ['\xa0»', '”']
106 Mot inconnu : DAEMON2 => [ -x "$DAEMON1" -a -x "$DAEMON2" ] || exit 0 | daemon2
106 Guillemets typographiques fermants. => [ -x "$DAEMON1" -a -x "$DAEMON2" ] || exit 0 | " => suggestions : ['\xa0»', '”']
106 Pas d’espace avant ce signe. => [ -x "$DAEMON1" -a -x "$DAEMON2" ] || exit 0 |  ] => suggestions : [']']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

108 Mot inconnu : Read => # Read configuration variable file if it is present | read
108 Mot inconnu : it => # Read configuration variable file if it is present | it
108 Mot inconnu : is => # Read configuration variable file if it is present | is
108 Mot inconnu : present => # Read configuration variable file if it is present | present

109 Pas d’espace après ce signe. => [ -r /etc/default/$PKGNAME ] && . /etc/default/$PKGNAME | [  => suggestions : ['[']
109 Mot inconnu : PKGNAME => [ -r /etc/default/$PKGNAME ] && . /etc/default/$PKGNAME | pkgname
109 Pas d’espace avant ce signe. => [ -r /etc/default/$PKGNAME ] && . /etc/default/$PKGNAME |  ] => suggestions : [']']
109 Pas d’espace avant un point. => [ -r /etc/default/$PKGNAME ] && . /etc/default/$PKGNAME |  . => suggestions : ['.']
109 Mot inconnu : PKGNAME => [ -r /etc/default/$PKGNAME ] && . /etc/default/$PKGNAME | pkgname

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

111 Mot inconnu : Load => # Load the VERBOSE setting and other rcS variables | load
111 Mot inconnu : the => # Load the VERBOSE setting and other rcS variables | the
111 Mot inconnu : VERBOSE => # Load the VERBOSE setting and other rcS variables | verbose
111 Mot inconnu : setting => # Load the VERBOSE setting and other rcS variables | setting
111 Mot inconnu : and => # Load the VERBOSE setting and other rcS variables | and
111 Mot inconnu : other => # Load the VERBOSE setting and other rcS variables | other
111 Mot inconnu : rcS => # Load the VERBOSE setting and other rcS variables | rcs

112 Pas d’espace après ce signe. => [ -f /etc/default/rcS ] && . /etc/default/rcS | [  => suggestions : ['[']
112 Pas d’espace avant ce signe. => [ -f /etc/default/rcS ] && . /etc/default/rcS |  ] => suggestions : [']']
112 Pas d’espace avant un point. => [ -f /etc/default/rcS ] && . /etc/default/rcS |  . => suggestions : ['.']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

114 Mot inconnu : Define => # Define LSB log_* functions. | define
114 Mot inconnu : LSB => # Define LSB log_* functions. | lsb
114 Mot inconnu : log_ => # Define LSB log_* functions. | log_
114 Mot inconnu : functions => # Define LSB log_* functions. | functions

115 Mot inconnu : Depend => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | depend
115 Mot inconnu : lsb-base => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | lsb-base
115 Mot inconnu : to => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | to
115 Mot inconnu : ensure => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | ensure
115 Mot inconnu : that => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | that
115 Mot inconnu : this => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | this
115 Mot inconnu : is => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | is
115 Mot inconnu : present => # Depend on lsb-base (>= 3.0-6) to ensure that this file is present. | present

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

118 Pas d’espace après ce signe. => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] | [  => suggestions : ['[']
118 Mot inconnu : RUN_AT_STARTUP => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] | run_at_startup
118 Guillemets typographiques fermants. => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] | " => suggestions : ['\xa0»', '”']
118 Mot inconnu : RUN_AT_STARTUP => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] | run_at_startup
118 Guillemets typographiques fermants. => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] | " => suggestions : ['\xa0»', '”']
118 Guillemets typographiques ouvrants. => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] | " => suggestions : ['«\xa0', '“']
118 Guillemets typographiques fermants. => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] | " => suggestions : ['\xa0»', '”']
118 Pas d’espace avant ce signe. => if [ -z "$RUN_AT_STARTUP" -o "$RUN_AT_STARTUP" != "YES" ] |  ] => suggestions : [']']

119 Mot inconnu : then => then | then

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." |     => suggestions : ['']
120 Mot inconnu : log_warning_msg =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | log_warning_msg
120 Guillemets typographiques ouvrants. =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | " => suggestions : ['«\xa0', '“']
120 Mot inconnu : Not =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | not
120 Mot inconnu : starting =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | starting
120 Mot inconnu : PKGNAME =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | pkgname
120 Mot inconnu : edit =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | edit
120 Mot inconnu : PKGNAME =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | pkgname
120 Mot inconnu : to =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | to
120 Mot inconnu : start =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | start
120 Mot inconnu : it =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | it
120 Guillemets typographiques fermants. =>    log_warning_msg "Not starting $PKGNAME, edit /etc/default/$PKGNAME to start it." | " => suggestions : ['\xa0»', '”']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    exit 0 |     => suggestions : ['']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

124 Pas d’espace après ce signe. => if [ -z "$DELUGED_USER" ] | [  => suggestions : ['[']
124 Mot inconnu : DELUGED_USER => if [ -z "$DELUGED_USER" ] | deluged_user
124 Guillemets typographiques fermants. => if [ -z "$DELUGED_USER" ] | " => suggestions : ['\xa0»', '”']
