
3 Mot inconnu : NAS => ====== NAS Synology ====== | nas
8 Pas d’espace après ce signe. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | (  => suggestions : ['(']
8 Écriture invariable. Utilisez un point médian. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | ftp(s) => suggestions : ['Ftp·s']
8 Mot inconnu : UpnP => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | upnp
8 Typographie : points de suspension. Utilisez le caractère dédié. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | ... => suggestions : ['…']
8 Espace(s) surnuméraire(s) à supprimer. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  |    => suggestions : [' ']
8 Espace(s) surnuméraire(s) à supprimer. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  |    => suggestions : [' ']
8 Espace(s) surnuméraire(s) à supprimer. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  |    => suggestions : [' ']
8 Guillemets typographiques ouvrants. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | " => suggestions : ['«\xa0', '“']
8 Mot inconnu : IT => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | it
8 Guillemets typographiques fermants. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | " => suggestions : ['\xa0»', '”']
8 Mot inconnu : WiFi => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  | wifi
8 Espace(s) surnuméraire(s) à supprimer. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  |    => suggestions : [' ']
8 Espace(s) surnuméraire(s) à supprimer. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  |    => suggestions : [' ']
8 Espace(s) en fin de ligne à supprimer. => Sa capacité de stockage élevée, sa rapidité de transfert, son système RAID ainsi que leurs nombreux services ( Ftp(s), UpnP, media center, Cloud privé...) ont  déjà séduit un large public.  La consommation ainsi que la taille de ces serveurs ont suivi l'esprit  "green IT" : ils ne sont plus énergivores. Ils s’intègrent dans un réseau filaire ou WiFi et leur système UNIX embarqué permet d'être compatible avec Windows, Apple et Linux.  Alors pourquoi continuer à promener sa vieille clé USB  ou connecter son vieux disque dur dans son boîtier cabossé :) ?  |   => suggestions : ['']

10 Espace(s) surnuméraire(s) à supprimer. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |    => suggestions : [' ']
10 Espace(s) surnuméraire(s) à supprimer. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |    => suggestions : [' ']
10 Mot inconnu : music => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | music
10 Pas d’espace avant une virgule. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |  , => suggestions : [',']
10 Espace(s) surnuméraire(s) à supprimer. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |    => suggestions : [' ']
10 Mot inconnu : NAS => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | nas
10 Mot inconnu : Synology => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | synology
10 Espace(s) surnuméraire(s) à supprimer. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |    => suggestions : [' ']
10 Mot inconnu : cifs => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | cifs
10 Mot inconnu : NFS => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | nfs
10 Mot inconnu : boot => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | boot
10 Espace(s) surnuméraire(s) à supprimer. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |    => suggestions : [' ']
10 Espace(s) surnuméraire(s) à supprimer. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |    => suggestions : [' ']
10 Typographie : points de suspension. Utilisez le caractère dédié. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | ... => suggestions : ['…']
10 Espace(s) surnuméraire(s) à supprimer. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) |    => suggestions : [' ']
10 Typographie : points de suspension. Utilisez le caractère dédié. => Le but  de ce document est d'accéder aux répertoires  /photo, /music , /public, /vidéo présents dans le  NAS Synology en  utilisant le protocole cifs (et/ou NFS qui est un protocole recommandé dans les environnements UNIX). Ces répertoires seront montés automatiquement lors boot du PC.  Le PC  devra fonctionner...  naturellement ... sous Ubuntu :-) | ... => suggestions : ['…']

12 Mot inconnu : synology => <note>Cette configuration a été testée sur un synology 212 et 216J DSM 6.0 et DSM 6.1 et 6.2 et Ubuntu 16.04  </note> | synology
12 Mot inconnu : DSM => <note>Cette configuration a été testée sur un synology 212 et 216J DSM 6.0 et DSM 6.1 et 6.2 et Ubuntu 16.04  </note> | dsm
12 Mot inconnu : DSM => <note>Cette configuration a été testée sur un synology 212 et 216J DSM 6.0 et DSM 6.1 et 6.2 et Ubuntu 16.04  </note> | dsm
12 Espace(s) surnuméraire(s) à supprimer. => <note>Cette configuration a été testée sur un synology 212 et 216J DSM 6.0 et DSM 6.1 et 6.2 et Ubuntu 16.04  </note> |    => suggestions : [' ']

16 Mot inconnu : Synology => ==== Sur votre Synology ==== | synology

17 Mot inconnu : DSM => Le DSM devra avoir été installé. Le Synology sera accessible de votre réseau.  | dsm
17 Mot inconnu : Synology => Le DSM devra avoir été installé. Le Synology sera accessible de votre réseau.  | synology
17 Espace(s) en fin de ligne à supprimer. => Le DSM devra avoir été installé. Le Synology sera accessible de votre réseau.  |   => suggestions : ['']
19 Espace(s) en fin de ligne à supprimer. => Je vous conseille de vérifier que :   |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * votre Synology possède une adresse IP fixe. Prenons par exemple 192.168.1.120 ; |    => suggestions : ['']
20 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * votre Synology possède une adresse IP fixe. Prenons par exemple 192.168.1.120 ; | votre => suggestions : ['Votre']
20 Mot inconnu : Synology =>   * votre Synology possède une adresse IP fixe. Prenons par exemple 192.168.1.120 ; | synology

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; |    => suggestions : ['']
21 Guillemets isolés. =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
21 Guillemets typographiques fermants. =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; | " => suggestions : ['\xa0»', '”']
21 Mot inconnu : SMB =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; | smb
21 Guillemets typographiques ouvrants. =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; | " => suggestions : ['\xa0»', '”']
21 Mot inconnu : synology =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; | synology
21 Espace(s) surnuméraire(s) à supprimer. =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; |    => suggestions : [' ']
21 Mot inconnu : cifs =>   * l'option " activer le système de fichier Windows" (SMB Protocole) dans le menu "services de fichiers" du synology est bien active  (cifs) ; | cifs

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le firewall du synology accepte les requêtes des machines de votre réseau pour le système de fichier Windows (Cifs). |    => suggestions : ['']
22 Mot inconnu : firewall =>   * le firewall du synology accepte les requêtes des machines de votre réseau pour le système de fichier Windows (Cifs). | firewall
22 Mot inconnu : synology =>   * le firewall du synology accepte les requêtes des machines de votre réseau pour le système de fichier Windows (Cifs). | synology
22 Mot inconnu : Cifs =>   * le firewall du synology accepte les requêtes des machines de votre réseau pour le système de fichier Windows (Cifs). | cifs

25 Mot inconnu : cifs-utils => **Installation du paquet cifs-utils** | cifs-utils

27 Mot inconnu : cifs-utils => Installez le paquet cifs-utils  | cifs-utils
27 Espace(s) en fin de ligne à supprimer. => Installez le paquet cifs-utils  |   => suggestions : ['']

33 Espace(s) surnuméraire(s) à supprimer. => ** Donnez un  nom à votre Synology **  |    => suggestions : [' ']
33 Mot inconnu : Synology => ** Donnez un  nom à votre Synology **  | synology
33 Espace(s) en fin de ligne à supprimer. => ** Donnez un  nom à votre Synology **  |   => suggestions : ['']

35 Mot inconnu : coeur => Il est plus facile de nommer ces machines plutôt que de connaître leur adresse IP par coeur.  Cela facilitera la configuration de /etc/fstab. On va s'en servir plus bas. | coeur
35 Espace(s) surnuméraire(s) à supprimer. => Il est plus facile de nommer ces machines plutôt que de connaître leur adresse IP par coeur.  Cela facilitera la configuration de /etc/fstab. On va s'en servir plus bas. |    => suggestions : [' ']

36 Espace(s) surnuméraire(s) à supprimer. => Modifiez  le fichier /etc/hosts.  Utilisez la  commande suivante.  |    => suggestions : [' ']
36 Espace(s) surnuméraire(s) à supprimer. => Modifiez  le fichier /etc/hosts.  Utilisez la  commande suivante.  |    => suggestions : [' ']
36 Espace(s) surnuméraire(s) à supprimer. => Modifiez  le fichier /etc/hosts.  Utilisez la  commande suivante.  |    => suggestions : [' ']
36 Espace(s) en fin de ligne à supprimer. => Modifiez  le fichier /etc/hosts.  Utilisez la  commande suivante.  |   => suggestions : ['']

39 Espace(s) en fin de ligne à supprimer. => </code>  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  et ajouter dans la dernière ligne de votre fichier  |   => suggestions : ['']
40 Espace(s) en fin de ligne à supprimer. =>  et ajouter dans la dernière ligne de votre fichier  |   => suggestions : ['']

46 Espace(s) surnuméraire(s) à supprimer. => ** Points de montage sur le PC  ** |    => suggestions : [' ']

48 Mot inconnu : synology => Pour monter automatiquement les répertoires du synology, il faut  : | synology
48 Espace(s) surnuméraire(s) à supprimer. => Pour monter automatiquement les répertoires du synology, il faut  : |    => suggestions : [' ']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... |    => suggestions : ['']
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... |  -  => suggestions : [' – ', ' — ', ' − ']
49 Mot inconnu : Synology =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | synology
49 Mot inconnu : Synology =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | synology
49 Espace(s) surnuméraire(s) à supprimer. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... |    => suggestions : [' ']
49 Guillemets typographiques ouvrants. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | " => suggestions : ['\xa0»', '”']
49 Guillemets typographiques ouvrants. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | " => suggestions : ['\xa0»', '”']
49 Guillemets typographiques ouvrants. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | " => suggestions : ['\xa0»', '”']
49 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Posséder un compte valide sur le Synology. Nativement le Synology  possède un compte "admin" utilisé lors de sa première installation. Cependant je vous conseille de créer un compte "user". Travailler quotidiennement sous "admin" comporte des risques.... | .... => suggestions : ['…']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Je vais supposer que :   |    => suggestions : ['']
50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Je vais supposer que :   |  -  => suggestions : [' – ', ' — ', ' − ']
50 Espace(s) en fin de ligne à supprimer. =>   - Je vais supposer que :   |    => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * le compte "user" que je nomme "dbx1" existe sur le syno ; |     => suggestions : ['']
51 Guillemets typographiques ouvrants. =>    * le compte "user" que je nomme "dbx1" existe sur le syno ; | " => suggestions : ['«\xa0', '“']
51 Guillemets typographiques fermants. =>    * le compte "user" que je nomme "dbx1" existe sur le syno ; | " => suggestions : ['\xa0»', '”']
51 Guillemets typographiques ouvrants. =>    * le compte "user" que je nomme "dbx1" existe sur le syno ; | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : dbx1 =>    * le compte "user" que je nomme "dbx1" existe sur le syno ; | dbx1
51 Guillemets typographiques fermants. =>    * le compte "user" que je nomme "dbx1" existe sur le syno ; | " => suggestions : ['\xa0»', '”']
51 Mot inconnu : syno =>    * le compte "user" que je nomme "dbx1" existe sur le syno ; | syno

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * le "user" sous Ubuntu (donc de votre PC) soit "deadbox1" ; |     => suggestions : ['']
52 Guillemets typographiques ouvrants. =>    * le "user" sous Ubuntu (donc de votre PC) soit "deadbox1" ; | " => suggestions : ['«\xa0', '“']
52 Guillemets typographiques fermants. =>    * le "user" sous Ubuntu (donc de votre PC) soit "deadbox1" ; | " => suggestions : ['\xa0»', '”']
52 Guillemets typographiques ouvrants. =>    * le "user" sous Ubuntu (donc de votre PC) soit "deadbox1" ; | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : deadbox1 =>    * le "user" sous Ubuntu (donc de votre PC) soit "deadbox1" ; | deadbox1
52 Guillemets typographiques fermants. =>    * le "user" sous Ubuntu (donc de votre PC) soit "deadbox1" ; | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * les répertoires de montage sur le PC seront tous dans le répertoires  /media/deadbox1.   |     => suggestions : ['']
53 Espace(s) surnuméraire(s) à supprimer. =>    * les répertoires de montage sur le PC seront tous dans le répertoires  /media/deadbox1.   |    => suggestions : [' ']
