
7 Mot inconnu : Pspice => ======Pspice====== | pspice
59 Mot inconnu : INI => Enfin, il faut remplacer le fichier PSPICEEV.INI qui se trouve dans le dossier ~/.wine/drive_c/windows par celui provenant d'une installation propre sur windows puis l'éditer pour avoir les chemins corrects.  | ini
59 Mot inconnu : wine => Enfin, il faut remplacer le fichier PSPICEEV.INI qui se trouve dans le dossier ~/.wine/drive_c/windows par celui provenant d'une installation propre sur windows puis l'éditer pour avoir les chemins corrects.  | wine
59 Mot inconnu : drive_c => Enfin, il faut remplacer le fichier PSPICEEV.INI qui se trouve dans le dossier ~/.wine/drive_c/windows par celui provenant d'une installation propre sur windows puis l'éditer pour avoir les chemins corrects.  | drive_c
59 Espace(s) en fin de ligne à supprimer. => Enfin, il faut remplacer le fichier PSPICEEV.INI qui se trouve dans le dossier ~/.wine/drive_c/windows par celui provenant d'une installation propre sur windows puis l'éditer pour avoir les chemins corrects.  |   => suggestions : ['']

61 Typographie : points de suspension. Utilisez le caractère dédié. => ... | ... => suggestions : ['…']

63 Mot inconnu : linux => Sinon, si vous ne vous sentez pas d'humeur (ou si tous vous amis sont sous GNU/linux ;-) ), il suffit de créer le fichier PSPICEEV.INI, de l'ouvrir avec un éditeur de texte puis de copier/coller le contenu suivant dedans : | linux
63 Pas d’espace avant ce signe. => Sinon, si vous ne vous sentez pas d'humeur (ou si tous vous amis sont sous GNU/linux ;-) ), il suffit de créer le fichier PSPICEEV.INI, de l'ouvrir avec un éditeur de texte puis de copier/coller le contenu suivant dedans : |  ) => suggestions : [')']
63 Mot inconnu : PSPICEEV => Sinon, si vous ne vous sentez pas d'humeur (ou si tous vous amis sont sous GNU/linux ;-) ), il suffit de créer le fichier PSPICEEV.INI, de l'ouvrir avec un éditeur de texte puis de copier/coller le contenu suivant dedans : | pspiceev
63 Mot inconnu : INI => Sinon, si vous ne vous sentez pas d'humeur (ou si tous vous amis sont sous GNU/linux ;-) ), il suffit de créer le fichier PSPICEEV.INI, de l'ouvrir avec un éditeur de texte puis de copier/coller le contenu suivant dedans : | ini
63 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Sinon, si vous ne vous sentez pas d'humeur (ou si tous vous amis sont sous GNU/linux ;-) ), il suffit de créer le fichier PSPICEEV.INI, de l'ouvrir avec un éditeur de texte puis de copier/coller le contenu suivant dedans : | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']

353 S’il s’agit d’un impératif, mettez un trait d’union. => Placez le ensuite dans ~/.wine/drive_c/windows . | placez le => suggestions : ['Placez-le']
353 Élision de l’article devant un mot commençant par une voyelle. => Placez le ensuite dans ~/.wine/drive_c/windows . | le  => suggestions : ['l’']
353 Mot inconnu : wine => Placez le ensuite dans ~/.wine/drive_c/windows . | wine
353 Mot inconnu : drive_c => Placez le ensuite dans ~/.wine/drive_c/windows . | drive_c

355 Mot inconnu : Ca => Ca y est ! Pspice est (enfin) totalement fonctionnel ! | ca
355 Mot inconnu : Pspice => Ca y est ! Pspice est (enfin) totalement fonctionnel ! | pspice

359 Mot inconnu : FIXME => FIXME | fixme

363 Mot inconnu : FIXME => FIXME | fixme

367 Mot inconnu : FIXME => FIXME  | fixme
367 Espace(s) en fin de ligne à supprimer. => FIXME  |   => suggestions : ['']

371 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ce tutoriel a été rédigé en grande partie grâce à [[https://ubuntuforums.org/showthread.php?t=550991|cette page [en] ]].  |    => suggestions : ['']
371 Pas d’espace avant ce signe. =>   * Ce tutoriel a été rédigé en grande partie grâce à [[https://ubuntuforums.org/showthread.php?t=550991|cette page [en] ]].  |  ] => suggestions : [']']
371 Espace(s) en fin de ligne à supprimer. =>   * Ce tutoriel a été rédigé en grande partie grâce à [[https://ubuntuforums.org/showthread.php?t=550991|cette page [en] ]].  |   => suggestions : ['']
