
2 Espace(s) en fin de ligne à supprimer. [[4:5]] => ----  <|>   => suggestions : ['']
65 Guillemets typographiques ouvrants. [[14:15]] => - Télécharger "Generic_fr_FR.kcm" à partir de https://sourceforge.net/projects/androidx86rc2te/files/ <|> " => suggestions : ['«\xa0', '“']
65 Mot inconnu : Generic_fr_FR [[15:28]] => - Télécharger "Generic_fr_FR.kcm" à partir de https://sourceforge.net/projects/androidx86rc2te/files/ <|> generic_fr_fr
65 Mot inconnu : kcm [[29:32]] => - Télécharger "Generic_fr_FR.kcm" à partir de https://sourceforge.net/projects/androidx86rc2te/files/ <|> kcm
65 Guillemets typographiques fermants. [[32:33]] => - Télécharger "Generic_fr_FR.kcm" à partir de https://sourceforge.net/projects/androidx86rc2te/files/ <|> " => suggestions : ['\xa0»', '”']

67 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Dans un terminal entrer : <|> -  => suggestions : ['—\xa0', '–\xa0']

77 Guillemets typographiques ouvrants. [[7:8]] => ===Via "Webview"=== <|> " => suggestions : ['«\xa0', '“']
77 Mot inconnu : Webview [[8:15]] => ===Via "Webview"=== <|> webview
77 Guillemets typographiques fermants. [[15:16]] => ===Via "Webview"=== <|> " => suggestions : ['\xa0»', '”']

79 Mot inconnu : Webview [[7:14]] => Ouvrir Webview et entrer dans la barre d’adresse : https://play.google.com/store/apps/ <|> webview

80 Mot inconnu : comptre [[56:63]] => Installer une application en vous connectant avec votre comptre google <|> comptre

82 Mot inconnu : NB [[0:2]] => NB: Copier et coller le lien depuis le navigateur dans ubuntu fonctionne <|> nb

84 Guillemets typographiques ouvrants. [[19:20]] => ===Via l'extension "Apk Downloader"=== <|> " => suggestions : ['«\xa0', '“']
84 Mot inconnu : Apk [[20:23]] => ===Via l'extension "Apk Downloader"=== <|> apk
84 Mot inconnu : Downloader [[24:34]] => ===Via l'extension "Apk Downloader"=== <|> downloader
84 Guillemets typographiques fermants. [[34:35]] => ===Via l'extension "Apk Downloader"=== <|> " => suggestions : ['\xa0»', '”']

88 Guillemets typographiques ouvrants. [[25:26]] => ===Via l'installation du "Play Store"=== <|> " => suggestions : ['«\xa0', '“']
88 Mot inconnu : Play [[26:30]] => ===Via l'installation du "Play Store"=== <|> play
88 Guillemets typographiques fermants. [[36:37]] => ===Via l'installation du "Play Store"=== <|> " => suggestions : ['\xa0»', '”']

96 Mot inconnu : Anbox [[7:12]] => Ouvrir Anbox et aller dans "Paramètres > Applications". <|> anbox
96 Guillemets typographiques ouvrants. [[27:28]] => Ouvrir Anbox et aller dans "Paramètres > Applications". <|> " => suggestions : ['«\xa0', '“']
96 Guillemets typographiques fermants. [[53:54]] => Ouvrir Anbox et aller dans "Paramètres > Applications". <|> " => suggestions : ['\xa0»', '”']

97 Guillemets typographiques ouvrants. [[8:9]] => Choisir "Google Play Services" puis "Autorisations" et activez toutes les autorisations. <|> " => suggestions : ['«\xa0', '“']
97 Mot inconnu : Play [[16:20]] => Choisir "Google Play Services" puis "Autorisations" et activez toutes les autorisations. <|> play
97 Guillemets typographiques fermants. [[29:30]] => Choisir "Google Play Services" puis "Autorisations" et activez toutes les autorisations. <|> " => suggestions : ['\xa0»', '”']
97 Guillemets typographiques ouvrants. [[36:37]] => Choisir "Google Play Services" puis "Autorisations" et activez toutes les autorisations. <|> " => suggestions : ['«\xa0', '“']
97 Guillemets typographiques fermants. [[50:51]] => Choisir "Google Play Services" puis "Autorisations" et activez toutes les autorisations. <|> " => suggestions : ['\xa0»', '”']

98 Guillemets typographiques ouvrants. [[25:26]] => Faire la même chose avec "Google Play Store". <|> " => suggestions : ['«\xa0', '“']
98 Mot inconnu : Play [[33:37]] => Faire la même chose avec "Google Play Store". <|> play
98 Guillemets typographiques fermants. [[43:44]] => Faire la même chose avec "Google Play Store". <|> " => suggestions : ['\xa0»', '”']

99 Guillemets typographiques ouvrants. [[7:8]] => Ouvrir "Play Store" et se connecter <|> " => suggestions : ['«\xa0', '“']
99 Mot inconnu : Play [[8:12]] => Ouvrir "Play Store" et se connecter <|> play
99 Guillemets typographiques fermants. [[18:19]] => Ouvrir "Play Store" et se connecter <|> " => suggestions : ['\xa0»', '”']

101 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[24:26]] => ====Installer un fichier .apk, sous Anbox==== <|>  . => suggestions : ['. ', '.']
101 Mot inconnu : apk [[26:29]] => ====Installer un fichier .apk, sous Anbox==== <|> apk
101 Mot inconnu : Anbox [[36:41]] => ====Installer un fichier .apk, sous Anbox==== <|> anbox

102 Guillemets typographiques ouvrants. [[24:25]] => Commencez par installer "adb" : <|> " => suggestions : ['«\xa0', '“']
102 Mot inconnu : adb [[25:28]] => Commencez par installer "adb" : <|> adb
102 Guillemets typographiques fermants. [[28:29]] => Commencez par installer "adb" : <|> " => suggestions : ['\xa0»', '”']

104 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[29:31]] => Puis, installer votre fichier .apk (adapter le chemin en fonction de l'endroit se trouve votre fichier) : <|>  . => suggestions : ['. ', '.']
104 Mot inconnu : apk [[31:34]] => Puis, installer votre fichier .apk (adapter le chemin en fonction de l'endroit se trouve votre fichier) : <|> apk
