
5 Mot inconnu : mbr => ====== Que trouve-t-on comme programme dans le mbr ====== | mbr
40 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - utiliser un désassembleur pour afficher les instructions sous une forme lisibles par un humain (c'est tout relatif - à moins que je ne sois pas humain) au lieu de valeurs hexadécimales (opcodes) | -  => suggestions : ['—\xa0', '–\xa0']
40 Mot inconnu : désassembleur => - utiliser un désassembleur pour afficher les instructions sous une forme lisibles par un humain (c'est tout relatif - à moins que je ne sois pas humain) au lieu de valeurs hexadécimales (opcodes) | désassembleur
40 Accord de nombre erroné avec « une forme » : « lisibles » devrait être au singulier. => - utiliser un désassembleur pour afficher les instructions sous une forme lisibles par un humain (c'est tout relatif - à moins que je ne sois pas humain) au lieu de valeurs hexadécimales (opcodes) | lisibles => suggestions : ['lisible']
40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => - utiliser un désassembleur pour afficher les instructions sous une forme lisibles par un humain (c'est tout relatif - à moins que je ne sois pas humain) au lieu de valeurs hexadécimales (opcodes) |  -  => suggestions : [' – ', ' — ', ' − ']
40 Mot inconnu : opcodes => - utiliser un désassembleur pour afficher les instructions sous une forme lisibles par un humain (c'est tout relatif - à moins que je ne sois pas humain) au lieu de valeurs hexadécimales (opcodes) | opcodes

46 Mot inconnu : opcodes => La deuxième opération transforme le fichier d'instruction hexadécimales en adresses, opcodes, instructions | opcodes

50 Mot inconnu : ndisasm => ndisasm est le désassembleur du paquet nasm, -b16 indique que le code doit être considéré comme de l'assembleur 16 bits. | ndisasm
50 Mot inconnu : désassembleur => ndisasm est le désassembleur du paquet nasm, -b16 indique que le code doit être considéré comme de l'assembleur 16 bits. | désassembleur
50 Mot inconnu : nasm => ndisasm est le désassembleur du paquet nasm, -b16 indique que le code doit être considéré comme de l'assembleur 16 bits. | nasm
50 Mot inconnu : b16 => ndisasm est le désassembleur du paquet nasm, -b16 indique que le code doit être considéré comme de l'assembleur 16 bits. | b16

51 Mot inconnu : mbr_exec => Le résultat est écrit dans le fichier ~/mbr_exec.asm | mbr_exec
51 Mot inconnu : asm => Le résultat est écrit dans le fichier ~/mbr_exec.asm | asm

53 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Le résultat brut pose problème car des chaines de texte ont été considérées comme des instructions et sont donc mal interprétées. Il faut alors procéder par tâtonnement pour les repérer (par exemple avec un éditeur hexa) et les exclure du traitement de désassemblage. |  car => suggestions : [', car']
53 Mot inconnu : hexa => Le résultat brut pose problème car des chaines de texte ont été considérées comme des instructions et sont donc mal interprétées. Il faut alors procéder par tâtonnement pour les repérer (par exemple avec un éditeur hexa) et les exclure du traitement de désassemblage. | hexa

57 Mot inconnu : mbr => ===== Exemple de zone exécutable d'un mbr ===== | mbr

59 Mot inconnu : mbr => L'exemple qui suit concerne un mbr obtenu lors de l'installation de Lucid. Lucid a été installé en mettant grub-pc dans le mbr. | mbr
59 Mot inconnu : Lucid => L'exemple qui suit concerne un mbr obtenu lors de l'installation de Lucid. Lucid a été installé en mettant grub-pc dans le mbr. | lucid
59 Mot inconnu : Lucid => L'exemple qui suit concerne un mbr obtenu lors de l'installation de Lucid. Lucid a été installé en mettant grub-pc dans le mbr. | lucid
59 Mot inconnu : grub-pc => L'exemple qui suit concerne un mbr obtenu lors de l'installation de Lucid. Lucid a été installé en mettant grub-pc dans le mbr. | grub-pc
59 Mot inconnu : mbr => L'exemple qui suit concerne un mbr obtenu lors de l'installation de Lucid. Lucid a été installé en mettant grub-pc dans le mbr. | mbr

63 Accord de nombre erroné : « bios » devrait être au singulier. => Le programme utilise des fonctions du bios (seules fonctions disponibles à ce stade du démarrage du PC) et je me suis servi de la liste des [[http://www.ctyme.com/intr/int.htm|interruptions]] | bios => suggestions : ['bio']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  établies par Ralph Brown. |   => suggestions : ['']

243 Mot inconnu : LBA => <note tip>L'emplacement de la LBA où se trouve core.img est indiquée en 5c (8 octets). | lba
243 Mot inconnu : core => <note tip>L'emplacement de la LBA où se trouve core.img est indiquée en 5c (8 octets). | core
243 Mot inconnu : img => <note tip>L'emplacement de la LBA où se trouve core.img est indiquée en 5c (8 octets). | img

245 Mot inconnu : LBA => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | lba
245 Mot inconnu : mbr => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | mbr
245 Mot inconnu : GPT => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | gpt
245 Mot inconnu : GPT => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | gpt
245 Mot inconnu : core => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | core
245 Mot inconnu : img => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | img
245 Mot inconnu : LBA => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | lba
245 Mot inconnu : bios_boot => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | bios_boot
245 Mot inconnu : boot => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | boot
245 Accord de nombre erroné avec « bios ». => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | mode => suggestions : ['modes']
245 Accord de nombre erroné avec « mode ». => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | bios => suggestions : ['bio']
245 Mot inconnu : GPT => Ici nous avons la LBA qui vaut 1, soit le secteur qui suit le mbr. Dans le cas d'un partitionnement GPT cet emplacement est occupé par l'en-tête GPT et n'est plus disponible pour core.img. Il faudra donc mettre l'adresse LBA de la partition bios_boot pour le boot en mode bios sur un disque GPT</note> | gpt

247 Mot inconnu : c00 => Le programme chargé en mémoire à l'adresse 0000:7c00 commence par l'instruction jmp short 0x65 qui saute directement à l'adresse 065 | c00
247 Mot inconnu : jmp => Le programme chargé en mémoire à l'adresse 0000:7c00 commence par l'instruction jmp short 0x65 qui saute directement à l'adresse 065 | jmp
247 Mot inconnu : x65 => Le programme chargé en mémoire à l'adresse 0000:7c00 commence par l'instruction jmp short 0x65 qui saute directement à l'adresse 065 | x65

253 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 065 à 095 - Routine vérifie que le boot s'effectue à partir du disque dur |  -  => suggestions : [' – ', ' — ', ' − ']
253 Mot inconnu : boot => de 065 à 095 - Routine vérifie que le boot s'effectue à partir du disque dur | boot

255 Mot inconnu : b3 => de 096 à 0b3 - Définit l'emplacement des paramètres de chargement du prochain secteur et le mode CHS ou LBA selon les capacités du bios | b3
255 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 096 à 0b3 - Définit l'emplacement des paramètres de chargement du prochain secteur et le mode CHS ou LBA selon les capacités du bios |  -  => suggestions : [' – ', ' — ', ' − ']
255 Mot inconnu : CHS => de 096 à 0b3 - Définit l'emplacement des paramètres de chargement du prochain secteur et le mode CHS ou LBA selon les capacités du bios | chs
255 Mot inconnu : LBA => de 096 à 0b3 - Définit l'emplacement des paramètres de chargement du prochain secteur et le mode CHS ou LBA selon les capacités du bios | lba
255 Accord de nombre erroné : « bios » devrait être au singulier. => de 096 à 0b3 - Définit l'emplacement des paramètres de chargement du prochain secteur et le mode CHS ou LBA selon les capacités du bios | bios => suggestions : ['bio']

257 Mot inconnu : b4 => de 0b4 à 0e5 - Charge le premier secteur de core.img en mode LBA (interruption bios int13/ah=42h) | b4
257 Mot inconnu : e5 => de 0b4 à 0e5 - Charge le premier secteur de core.img en mode LBA (interruption bios int13/ah=42h) | e5
257 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 0b4 à 0e5 - Charge le premier secteur de core.img en mode LBA (interruption bios int13/ah=42h) |  -  => suggestions : [' – ', ' — ', ' − ']
257 Mot inconnu : core => de 0b4 à 0e5 - Charge le premier secteur de core.img en mode LBA (interruption bios int13/ah=42h) | core
257 Mot inconnu : img => de 0b4 à 0e5 - Charge le premier secteur de core.img en mode LBA (interruption bios int13/ah=42h) | img
257 Mot inconnu : LBA => de 0b4 à 0e5 - Charge le premier secteur de core.img en mode LBA (interruption bios int13/ah=42h) | lba
257 Mot inconnu : int13 => de 0b4 à 0e5 - Charge le premier secteur de core.img en mode LBA (interruption bios int13/ah=42h) | int13

259 Mot inconnu : e6 => de 0e6 à 0f8 - Récupère les paramètres du disque et gère les erreurs | e6
259 Mot inconnu : f8 => de 0e6 à 0f8 - Récupère les paramètres du disque et gère les erreurs | f8
259 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 0e6 à 0f8 - Récupère les paramètres du disque et gère les erreurs |  -  => suggestions : [' – ', ' — ', ' − ']

261 Mot inconnu : f9 => de 0f9 à 124 - Sauvegarde ces paramètres dans la zone des paramètres de chargement | f9
261 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 0f9 à 124 - Sauvegarde ces paramètres dans la zone des paramètres de chargement |  -  => suggestions : [' – ', ' — ', ' − ']

263 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 125 à 15b - Convertit l'adresse LBA de core.img dans le mode CHS et charge ce secteur dans le tampon (interruption bios int13/ah=02h) |  -  => suggestions : [' – ', ' — ', ' − ']
263 Mot inconnu : LBA => de 125 à 15b - Convertit l'adresse LBA de core.img dans le mode CHS et charge ce secteur dans le tampon (interruption bios int13/ah=02h) | lba
263 Mot inconnu : core => de 125 à 15b - Convertit l'adresse LBA de core.img dans le mode CHS et charge ce secteur dans le tampon (interruption bios int13/ah=02h) | core
263 Mot inconnu : img => de 125 à 15b - Convertit l'adresse LBA de core.img dans le mode CHS et charge ce secteur dans le tampon (interruption bios int13/ah=02h) | img
263 Mot inconnu : CHS => de 125 à 15b - Convertit l'adresse LBA de core.img dans le mode CHS et charge ce secteur dans le tampon (interruption bios int13/ah=02h) | chs
263 Mot inconnu : int13 => de 125 à 15b - Convertit l'adresse LBA de core.img dans le mode CHS et charge ce secteur dans le tampon (interruption bios int13/ah=02h) | int13

265 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 15c à 172 - Recopie le secteur chargé à son nouvel emplacement et saute à cet emplacement (première partie de core.img, soit diskboot.img) |  -  => suggestions : [' – ', ' — ', ' − ']
265 Mot inconnu : core => de 15c à 172 - Recopie le secteur chargé à son nouvel emplacement et saute à cet emplacement (première partie de core.img, soit diskboot.img) | core
265 Mot inconnu : img => de 15c à 172 - Recopie le secteur chargé à son nouvel emplacement et saute à cet emplacement (première partie de core.img, soit diskboot.img) | img
265 Mot inconnu : diskboot => de 15c à 172 - Recopie le secteur chargé à son nouvel emplacement et saute à cet emplacement (première partie de core.img, soit diskboot.img) | diskboot
265 Mot inconnu : img => de 15c à 172 - Recopie le secteur chargé à son nouvel emplacement et saute à cet emplacement (première partie de core.img, soit diskboot.img) | img

267 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 173 à 187 - Affichage des messages d'erreur |  -  => suggestions : [' – ', ' — ', ' − ']

269 Mot inconnu : b0 => de 1ab à 1b0 - Affichage de caractères | b0
269 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 1ab à 1b0 - Affichage de caractères |  -  => suggestions : [' – ', ' — ', ' − ']

271 Mot inconnu : b2 => de 1b2 à 1b7 - Affichage des chaînes des messages d'erreurs | b2
271 Mot inconnu : b7 => de 1b2 à 1b7 - Affichage des chaînes des messages d'erreurs | b7
271 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => de 1b2 à 1b7 - Affichage des chaînes des messages d'erreurs |  -  => suggestions : [' – ', ' — ', ' − ']

275 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
