
3 Mot inconnu : xcompmgr => ====== xcompmgr ====== | xcompmgr
54 Mot inconnu : RenderAccel =>     Option        "RenderAccel"        "True" | renderaccel
54 Guillemets typographiques fermants. =>     Option        "RenderAccel"        "True" | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>     Option        "RenderAccel"        "True" | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : True =>     Option        "RenderAccel"        "True" | true
54 Guillemets typographiques fermants. =>     Option        "RenderAccel"        "True" | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option        "NvAGP"            "1" |      => suggestions : ['']
55 Espace(s) surnuméraire(s) à supprimer. =>     Option        "NvAGP"            "1" |          => suggestions : [' ']
55 Guillemets typographiques ouvrants. =>     Option        "NvAGP"            "1" | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : NvAGP =>     Option        "NvAGP"            "1" | nvagp
55 Guillemets typographiques fermants. =>     Option        "NvAGP"            "1" | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>     Option        "NvAGP"            "1" | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. =>     Option        "NvAGP"            "1" | " => suggestions : ['\xa0»', '”']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option        "AllowGLXWithComposite"    "True" |      => suggestions : ['']
56 Espace(s) surnuméraire(s) à supprimer. =>     Option        "AllowGLXWithComposite"    "True" |          => suggestions : [' ']
56 Guillemets typographiques ouvrants. =>     Option        "AllowGLXWithComposite"    "True" | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : AllowGLXWithComposite =>     Option        "AllowGLXWithComposite"    "True" | allowglxwithcomposite
56 Guillemets typographiques fermants. =>     Option        "AllowGLXWithComposite"    "True" | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. =>     Option        "AllowGLXWithComposite"    "True" | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : True =>     Option        "AllowGLXWithComposite"    "True" | true
56 Guillemets typographiques fermants. =>     Option        "AllowGLXWithComposite"    "True" | " => suggestions : ['\xa0»', '”']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # Désactive le logo nvidia au lancement de xorg |      => suggestions : ['']
57 Mot inconnu : nvidia =>     # Désactive le logo nvidia au lancement de xorg | nvidia
57 Mot inconnu : xorg =>     # Désactive le logo nvidia au lancement de xorg | xorg

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option        "NoLogo" |      => suggestions : ['']
58 Espace(s) surnuméraire(s) à supprimer. =>     Option        "NoLogo" |          => suggestions : [' ']
58 Guillemets typographiques ouvrants. =>     Option        "NoLogo" | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : NoLogo =>     Option        "NoLogo" | nologo
58 Guillemets typographiques fermants. =>     Option        "NoLogo" | " => suggestions : ['\xa0»', '”']

59 Mot inconnu : EndSection => EndSection</file> | endsection

62 Mot inconnu : Xorg => Il faut maintenant relancer Xorg. Déconnectez-vous de votre session puis relancez Xorg en appuyant sur **Ctrl + Alt + BackSpace** | xorg
62 Mot inconnu : Xorg => Il faut maintenant relancer Xorg. Déconnectez-vous de votre session puis relancez Xorg en appuyant sur **Ctrl + Alt + BackSpace** | xorg
62 Mot inconnu : BackSpace => Il faut maintenant relancer Xorg. Déconnectez-vous de votre session puis relancez Xorg en appuyant sur **Ctrl + Alt + BackSpace** | backspace

68 S’il s’agit d’un impératif, mettez un trait d’union. => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> | retirez le => suggestions : ['retirez-le']
68 Il manque un espace à côté du tiret. => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> |  - => suggestions : [' – ', ' — ']
68 Pas d’espace avant une virgule. => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> |  , => suggestions : [',']
68 Mot inconnu : xcompmgr => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> | xcompmgr
68 Il manque un espace à côté du tiret. => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> |  - => suggestions : [' – ', ' — ']
68 Pas d’espace avant un point. => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> |  . => suggestions : ['.']
68 Mot inconnu : addon => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> | addon
68 Mot inconnu : xcompmgr => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> | xcompmgr
68 Mot inconnu : help => <note>Si vous n'appréciez pas le fading des menus, retirez le -f , soit xcompmgr -c . Pour aller plus loin dans les options de cette addon, tapez xcompmgr --help .</note> | help

70 Guillemets typographiques ouvrants. => Si tout va bien les ombres apparaîtront instantanément, dépliez le menu "Applications" pour voir à quoi ressemble le fading. | " => suggestions : ['«\xa0', '“']
70 Guillemets typographiques fermants. => Si tout va bien les ombres apparaîtront instantanément, dépliez le menu "Applications" pour voir à quoi ressemble le fading. | " => suggestions : ['\xa0»', '”']

72 Typographie : points de suspension. Utilisez le caractère dédié. => ===== Si cela ne marche pas... ===== | ... => suggestions : ['…']

74 Guillemets typographiques ouvrants. => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : Device => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | device
74 Guillemets typographiques fermants. => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | " => suggestions : ['\xa0»', '”']
74 Espace(s) surnuméraire(s) à supprimer. => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> |         => suggestions : [' ']
74 Guillemets typographiques ouvrants. => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : RenderAccel => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | renderaccel
74 Guillemets typographiques fermants. => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | " => suggestions : ['\xa0»', '”']
74 Guillemets typographiques ouvrants. => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : true => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | true
74 Guillemets typographiques fermants. => Si cela ne marche pas, ajoutez section "Device" : <file>Option       "RenderAccel"           "true"</file> | " => suggestions : ['\xa0»', '”']

76 Guillemets typographiques ouvrants. => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | " => suggestions : ['«\xa0', '“']
76 Guillemets typographiques fermants. => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | " => suggestions : ['\xa0»', '”']
76 Espace(s) surnuméraire(s) à supprimer. => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> |         => suggestions : [' ']
76 Guillemets typographiques ouvrants. => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | " => suggestions : ['«\xa0', '“']
76 Mot inconnu : RENDER => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | render
76 Guillemets typographiques fermants. => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | " => suggestions : ['\xa0»', '”']
76 Guillemets typographiques ouvrants. => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | " => suggestions : ['«\xa0', '“']
76 Mot inconnu : enable => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | enable
76 Guillemets typographiques fermants. => puis section "Extensions" : <file>Option       "RENDER"           "enable"</file> | " => suggestions : ['\xa0»', '”']

77 Mot inconnu : Xorg => Redémarrez ensuite Xorg. Déconnectez-vous de votre session puis relancez Xorg en appuyant sur **Ctrl + Alt + BackSpace** | xorg
77 Mot inconnu : Xorg => Redémarrez ensuite Xorg. Déconnectez-vous de votre session puis relancez Xorg en appuyant sur **Ctrl + Alt + BackSpace** | xorg
77 Mot inconnu : BackSpace => Redémarrez ensuite Xorg. Déconnectez-vous de votre session puis relancez Xorg en appuyant sur **Ctrl + Alt + BackSpace** | backspace

79 Mot inconnu : Ca => Ca devrait marcher, sinon, visitez cette page [[https://forum.ubuntu-fr.org/viewtopic.php?id=21213&p=2]] | ca

85 Forme interrogative ? Mettez un trait d’union. => Déconnectez vous puis reconnectez vous pour tester si ca fonctionne ! | déconnectez vous => suggestions : ['Déconnectez-vous']
85 Forme interrogative ? Mettez un trait d’union. => Déconnectez vous puis reconnectez vous pour tester si ca fonctionne ! | reconnectez vous => suggestions : ['reconnectez-vous']
85 Mot inconnu : ca => Déconnectez vous puis reconnectez vous pour tester si ca fonctionne ! | ca
89 Guillemets typographiques ouvrants. => Attention : l'utilisation de ''xcompmgr'' cache l'affichage de la boîte de dialogue de déconnexion. Pour contourner ce problème, utilisez la flèche vers le bas et la touche "entrée" après avoir cliqué sur "Fermer la session" : | '' => suggestions : ['«\xa0', '“']
89 Mot inconnu : xcompmgr => Attention : l'utilisation de ''xcompmgr'' cache l'affichage de la boîte de dialogue de déconnexion. Pour contourner ce problème, utilisez la flèche vers le bas et la touche "entrée" après avoir cliqué sur "Fermer la session" : | xcompmgr
89 Guillemets typographiques fermants. => Attention : l'utilisation de ''xcompmgr'' cache l'affichage de la boîte de dialogue de déconnexion. Pour contourner ce problème, utilisez la flèche vers le bas et la touche "entrée" après avoir cliqué sur "Fermer la session" : | '' => suggestions : ['\xa0»', '”']
89 Guillemets typographiques ouvrants. => Attention : l'utilisation de ''xcompmgr'' cache l'affichage de la boîte de dialogue de déconnexion. Pour contourner ce problème, utilisez la flèche vers le bas et la touche "entrée" après avoir cliqué sur "Fermer la session" : | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. => Attention : l'utilisation de ''xcompmgr'' cache l'affichage de la boîte de dialogue de déconnexion. Pour contourner ce problème, utilisez la flèche vers le bas et la touche "entrée" après avoir cliqué sur "Fermer la session" : | " => suggestions : ['\xa0»', '”']
89 Guillemets typographiques ouvrants. => Attention : l'utilisation de ''xcompmgr'' cache l'affichage de la boîte de dialogue de déconnexion. Pour contourner ce problème, utilisez la flèche vers le bas et la touche "entrée" après avoir cliqué sur "Fermer la session" : | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. => Attention : l'utilisation de ''xcompmgr'' cache l'affichage de la boîte de dialogue de déconnexion. Pour contourner ce problème, utilisez la flèche vers le bas et la touche "entrée" après avoir cliqué sur "Fermer la session" : | " => suggestions : ['\xa0»', '”']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une fois vers le bas + entrée = fermer la session |    => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * deux fois vers le bas + entrée = éteindre |    => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * trois fois vers le bas + entrée = redémarrer |    => suggestions : ['']
95 Guillemets typographiques ouvrants. => <note>Pour avoir accès à la fenêtre de déconnexion habituelle : Créez un script sur le bureau qui exécute la commande ''killall xcompmgr'' et lancez-le avant de cliquer sur le bouton de déconnexion</note> | '' => suggestions : ['«\xa0', '“']
95 Mot inconnu : killall => <note>Pour avoir accès à la fenêtre de déconnexion habituelle : Créez un script sur le bureau qui exécute la commande ''killall xcompmgr'' et lancez-le avant de cliquer sur le bouton de déconnexion</note> | killall
95 Mot inconnu : xcompmgr => <note>Pour avoir accès à la fenêtre de déconnexion habituelle : Créez un script sur le bureau qui exécute la commande ''killall xcompmgr'' et lancez-le avant de cliquer sur le bouton de déconnexion</note> | xcompmgr
95 Guillemets typographiques fermants. => <note>Pour avoir accès à la fenêtre de déconnexion habituelle : Créez un script sur le bureau qui exécute la commande ''killall xcompmgr'' et lancez-le avant de cliquer sur le bouton de déconnexion</note> | '' => suggestions : ['\xa0»', '”']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Suivre les instructions de configuration de Xorg ci-dessus. |    => suggestions : ['']
99 Mot inconnu : Xorg =>   * Suivre les instructions de configuration de Xorg ci-dessus. | xorg

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer droit sur la barre de titre d'une fenêtre. |    => suggestions : ['']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir " |    => suggestions : ['']
101 Guillemets fermants. =>   * Choisir " |  " => suggestions : ['\xa0»', '”']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir la session, admirer ! |    => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le menu de déconnexion est invisible sous gnome mais est bien présent. (https://bugs.launchpad.net/ubuntu/+source/gnome-session/+bug/80343) |    => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

112 Mot inconnu : gtweakui-session => installer gtweakui-session. | gtweakui-session

116 Mot inconnu : gtweakui-session => aller dans Système -> Préférences -> gtweakui-session et décocher "Afficher le menu à la fin de session" | gtweakui-session
116 Guillemets typographiques ouvrants. => aller dans Système -> Préférences -> gtweakui-session et décocher "Afficher le menu à la fin de session" | " => suggestions : ['«\xa0', '“']
116 Guillemets typographiques fermants. => aller dans Système -> Préférences -> gtweakui-session et décocher "Afficher le menu à la fin de session" | " => suggestions : ['\xa0»', '”']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[compton|Compton]] : un fork de Xcompmgr |    => suggestions : ['']
119 Mot inconnu : compton =>   * [[compton|Compton]] : un fork de Xcompmgr | compton
119 Mot inconnu : Xcompmgr =>   * [[compton|Compton]] : un fork de Xcompmgr | xcompmgr
121 Il manque un espace. => //Contributeur : Rédigé par [[utilisateurs:keyes]].// | keyes => suggestions : [' keyes']
