
4 Mot inconnu : Conky => ====== Conky : affichage des ressources système ====== | conky
54 Guillemets typographiques fermants. => La première partie du fichier ".conkyrc" sert à configurer le logiciel Conky lui-même, il ne faut pas oublier de mettre à la suite la partie TEXT qui comporte ce que va afficher Conky ; sans quoi il ne démarrera pas. | " => suggestions : ['\xa0»', '”']
54 Mot inconnu : Conky => La première partie du fichier ".conkyrc" sert à configurer le logiciel Conky lui-même, il ne faut pas oublier de mettre à la suite la partie TEXT qui comporte ce que va afficher Conky ; sans quoi il ne démarrera pas. | conky
54 Mot inconnu : TEXT => La première partie du fichier ".conkyrc" sert à configurer le logiciel Conky lui-même, il ne faut pas oublier de mettre à la suite la partie TEXT qui comporte ce que va afficher Conky ; sans quoi il ne démarrera pas. | text
54 Mot inconnu : Conky => La première partie du fichier ".conkyrc" sert à configurer le logiciel Conky lui-même, il ne faut pas oublier de mettre à la suite la partie TEXT qui comporte ce que va afficher Conky ; sans quoi il ne démarrera pas. | conky

56 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => # temps pour fermer conky en secondes. 0 = toujours actif  | temps => suggestions : ['Temps']
56 Mot inconnu : conky => # temps pour fermer conky en secondes. 0 = toujours actif  | conky
56 Espace(s) en fin de ligne à supprimer. => # temps pour fermer conky en secondes. 0 = toujours actif  |   => suggestions : ['']

57 Mot inconnu : total_run_times => total_run_times 0 | total_run_times

60 Mot inconnu : out_to_console => out_to_console no | out_to_console

63 Mot inconnu : double_buffer => double_buffer yes | double_buffer
63 Mot inconnu : yes => double_buffer yes | yes

65 Mot inconnu : no_buffers => no_buffers yes | no_buffers
65 Mot inconnu : yes => no_buffers yes | yes

66 Mot inconnu : text_buffer_size => text_buffer_size 2048 | text_buffer_size

69 Mot inconnu : update_interval => update_interval 1 | update_interval

72 Mot inconnu : cpu_avg_samples => cpu_avg_samples 4 | cpu_avg_samples

73 Mot inconnu : net_avg_samples => net_avg_samples 2 | net_avg_samples

76 Mot inconnu : alignment => alignment top_right | alignment
76 Mot inconnu : top_right => alignment top_right | top_right

77 Mot inconnu : minimum_size => minimum_size 320 5 | minimum_size

78 Mot inconnu : maximum_width => maximum_width 320 | maximum_width

81 Mot inconnu : gap_x => gap_x 5 | gap_x

82 Mot inconnu : gap_y => gap_y 100 | gap_y

85 Mot inconnu : draw_shades => draw_shades yes | draw_shades
85 Mot inconnu : yes => draw_shades yes | yes

87 Mot inconnu : draw_outline => draw_outline no | draw_outline

89 Mot inconnu : draw_borders => draw_borders no | draw_borders

91 Mot inconnu : border_width => border_width 1 | border_width

93 Mot inconnu : border_margin => border_margin 4 | border_margin

95 Mot inconnu : conky => #pour que conky tourne en arrière plan background no pour les tests | conky

96 Mot inconnu : yes => background yes | yes

99 Mot inconnu : own_window => own_window yes | own_window
99 Mot inconnu : yes => own_window yes | yes
100 Il manque un espace avant la parenthèse. => #type de fenêtre : normal(avec le cadre) / override / desktop | ( => suggestions : [' (']
100 Mot inconnu : override => #type de fenêtre : normal(avec le cadre) / override / desktop | override
100 Mot inconnu : desktop => #type de fenêtre : normal(avec le cadre) / override / desktop | desktop

101 Mot inconnu : own_window_type => own_window_type override # normal / override / desktop | own_window_type
101 Mot inconnu : override => own_window_type override # normal / override / desktop | override
101 Mot inconnu : override => own_window_type override # normal / override / desktop | override
101 Mot inconnu : desktop => own_window_type override # normal / override / desktop | desktop

102 Si vous voulez évoquer le simulacre de “transparence”, mettez un trait d’union. => #pseudo transparence si vous avez des icones sous le conky elle ne seront plus accessibles une fois Conky activé | pseudo transparence => suggestions : ['pseudo-transparence']
102 Mot inconnu : icones => #pseudo transparence si vous avez des icones sous le conky elle ne seront plus accessibles une fois Conky activé | icones
102 Mot inconnu : conky => #pseudo transparence si vous avez des icones sous le conky elle ne seront plus accessibles une fois Conky activé | conky
102 Accord avec “seront”. => #pseudo transparence si vous avez des icones sous le conky elle ne seront plus accessibles une fois Conky activé | elle => suggestions : ['elles']
102 Conjugaison erronée. Accord avec “elle”. Le verbe devrait être à la 3ᵉ personne du singulier. => #pseudo transparence si vous avez des icones sous le conky elle ne seront plus accessibles une fois Conky activé | seront => suggestions : ['sera']
102 Mot inconnu : Conky => #pseudo transparence si vous avez des icones sous le conky elle ne seront plus accessibles une fois Conky activé | conky

103 Mot inconnu : own_window_transparent => own_window_transparent yes | own_window_transparent
103 Mot inconnu : yes => own_window_transparent yes | yes

105 Mot inconnu : Xft => # Utiliser Xft (polices lissées etc) | xft

106 Mot inconnu : use_xft => use_xft yes | use_xft
106 Mot inconnu : yes => use_xft yes | yes

107 Mot inconnu : xftalpha => xftalpha .1 | xftalpha
107 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => xftalpha .1 |  . => suggestions : ['. ', '.']

108 Mot inconnu : override_utf8_locale => override_utf8_locale yes # force UTF8 | override_utf8_locale
108 Mot inconnu : yes => override_utf8_locale yes # force UTF8 | yes
108 Mot inconnu : UTF8 => override_utf8_locale yes # force UTF8 | utf8

110 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => #police a utiliser : use_xft doit être a "yes" | a => suggestions : ['à']
110 Incohérence probable avec “a” : “utiliser” n’est pas un participe passé. => #police a utiliser : use_xft doit être a "yes" | utiliser => suggestions : ['utilisé']
110 Mot inconnu : use_xft => #police a utiliser : use_xft doit être a "yes" | use_xft
110 Guillemets typographiques ouvrants. => #police a utiliser : use_xft doit être a "yes" | " => suggestions : ['«\xa0', '“']
110 Mot inconnu : yes => #police a utiliser : use_xft doit être a "yes" | yes
110 Guillemets typographiques fermants. => #police a utiliser : use_xft doit être a "yes" | " => suggestions : ['\xa0»', '”']

111 Mot inconnu : xftfont => xftfont Fixed:size=7#OCR A Std:size=6 | xftfont
111 Mot inconnu : Fixed => xftfont Fixed:size=7#OCR A Std:size=6 | fixed
111 Il manque un espace. => xftfont Fixed:size=7#OCR A Std:size=6 | size => suggestions : [' size']
111 Mot inconnu : size => xftfont Fixed:size=7#OCR A Std:size=6 | size
111 Mot inconnu : Std => xftfont Fixed:size=7#OCR A Std:size=6 | std
111 Il manque un espace. => xftfont Fixed:size=7#OCR A Std:size=6 | size => suggestions : [' size']
111 Mot inconnu : size => xftfont Fixed:size=7#OCR A Std:size=6 | size

113 Mot inconnu : uppercase => uppercase no | uppercase

117 Mot inconnu : use_spacer => use_spacer right | use_spacer
117 Mot inconnu : right => use_spacer right | right

120 Mot inconnu : default_color => default_color FFFFFF #blanc | default_color
120 Mot inconnu : FFFFFF => default_color FFFFFF #blanc | ffffff

121 Mot inconnu : default_shade_color => default_shade_color 333333 | default_shade_color
121 Formatage des grands nombres. => default_shade_color 333333 | 333333 => suggestions : ['333\xa0333']

122 Mot inconnu : default_outline_color => default_outline_color black | default_outline_color

124 Mot inconnu : color1 => color1 e49c16  | color1
124 Mot inconnu : e49c16 => color1 e49c16  | e49c16
124 Espace(s) en fin de ligne à supprimer. => color1 e49c16  |   => suggestions : ['']

125 Mot inconnu : color2 => color2 CA0000 #rouge | color2
125 Mot inconnu : CA0000 => color2 CA0000 #rouge | ca0000

127 Mot inconnu : color6 => color6 EEEEEE | color6
127 Mot inconnu : EEEEEE => color6 EEEEEE | eeeeee

128 Mot inconnu : color7 => color7 DDDDDD | color7
128 Mot inconnu : DDDDDD => color7 DDDDDD | dddddd

129 Mot inconnu : color8 => color8 CCCCCC | color8
129 Mot inconnu : CCCCCC => color8 CCCCCC | cccccc

130 Mot inconnu : color9 => color9 BBBBBB | color9
130 Mot inconnu : BBBBBB => color9 BBBBBB | bbbbbb

135 Mot inconnu : Conky => Visuels (et fichiers) sur le [[http://conky.sourceforge.net/screenshots.html|site officiel de Conky]]. | conky
137 Guillemets typographiques ouvrants. => Sur notre **forum** : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1231521|"Conky : Postez vos conkyrc ou certaines parties intéressantes"]]  | " => suggestions : ['«\xa0', '“']
137 Mot inconnu : Conky => Sur notre **forum** : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1231521|"Conky : Postez vos conkyrc ou certaines parties intéressantes"]]  | conky
137 Mot inconnu : conkyrc => Sur notre **forum** : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1231521|"Conky : Postez vos conkyrc ou certaines parties intéressantes"]]  | conkyrc
137 Guillemets typographiques fermants. => Sur notre **forum** : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1231521|"Conky : Postez vos conkyrc ou certaines parties intéressantes"]]  | " => suggestions : ['\xa0»', '”']
137 Espace(s) en fin de ligne à supprimer. => Sur notre **forum** : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1231521|"Conky : Postez vos conkyrc ou certaines parties intéressantes"]]  |   => suggestions : ['']

143 Mot inconnu : xubuntu => Système -> Préférence -> Sessions -> Programmes au démarrage (ou dans xubuntu : paramètres -> session et démarrage -> démarrage automatique ; dans Unity, chercher dans le [[unity#tableau_de_bord_dash|tableau de bord]] : Applications au démarrage). | xubuntu
143 Mot inconnu : Unity => Système -> Préférence -> Sessions -> Programmes au démarrage (ou dans xubuntu : paramètres -> session et démarrage -> démarrage automatique ; dans Unity, chercher dans le [[unity#tableau_de_bord_dash|tableau de bord]] : Applications au démarrage). | unity
143 Mot inconnu : unity => Système -> Préférence -> Sessions -> Programmes au démarrage (ou dans xubuntu : paramètres -> session et démarrage -> démarrage automatique ; dans Unity, chercher dans le [[unity#tableau_de_bord_dash|tableau de bord]] : Applications au démarrage). | unity

145 Guillemets typographiques ouvrants. => Cliquez sur Ajouter et vous tapez "conky". Éventuellement, il faudra retarder son exécution afin que votre bureau (GNOME/KDE/XFCE) soit initialisé : | " => suggestions : ['«\xa0', '“']
145 Mot inconnu : conky => Cliquez sur Ajouter et vous tapez "conky". Éventuellement, il faudra retarder son exécution afin que votre bureau (GNOME/KDE/XFCE) soit initialisé : | conky
145 Guillemets typographiques fermants. => Cliquez sur Ajouter et vous tapez "conky". Éventuellement, il faudra retarder son exécution afin que votre bureau (GNOME/KDE/XFCE) soit initialisé : | " => suggestions : ['\xa0»', '”']
145 Mot inconnu : KDE => Cliquez sur Ajouter et vous tapez "conky". Éventuellement, il faudra retarder son exécution afin que votre bureau (GNOME/KDE/XFCE) soit initialisé : | kde
145 Mot inconnu : XFCE => Cliquez sur Ajouter et vous tapez "conky". Éventuellement, il faudra retarder son exécution afin que votre bureau (GNOME/KDE/XFCE) soit initialisé : | xfce

151 Espace(s) en fin de ligne à supprimer. => ou  |   => suggestions : ['']

157 Mot inconnu : conky => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | conky
157 Mot inconnu : conky => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | conky
157 Mot inconnu : conkyrc => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | conkyrc
157 Mot inconnu : conky => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | conky
157 Il manque un espace à côté du tiret. => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : |  - => suggestions : [' – ', ' — ']
157 Mot inconnu : chemin_répertoires => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | chemin_répertoires
157 Mot inconnu : nom_du_fichier_conky => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | nom_du_fichier_conky
157 Mot inconnu : conky => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | conky
157 Mot inconnu : conkyrc => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | conkyrc
157 Mot inconnu : conky => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | conky
157 Mot inconnu : Gotham => Si on souhaite lancer un conky différent du conky standard défini dans **~/.conkyrc** : **conky -c ~/chemin_répertoires/nom_du_fichier_conky**. L'option **-c** indique de ne **pas** utiliser le conky par défaut (**~/.conkyrc**). Exemple concret pour un conky connu comme Gotham : | gotham

169 Il manque un espace à côté du tiret. => Si la commande de retardement (-d ou -p 10) ne fonctionne pas avec un Conky par dessus les autres fenêtres suite au démarrage de votre session, voir le chapitre 4.4 de cette documentation ou cliquer [[#si_conky_reste_sur_les_fenetres_au_demarrage_de_votre_session|ICI]] pour y accéder directement. |  - => suggestions : [' – ', ' — ']
169 Mot inconnu : Conky => Si la commande de retardement (-d ou -p 10) ne fonctionne pas avec un Conky par dessus les autres fenêtres suite au démarrage de votre session, voir le chapitre 4.4 de cette documentation ou cliquer [[#si_conky_reste_sur_les_fenetres_au_demarrage_de_votre_session|ICI]] pour y accéder directement. | conky
169 Il manque un trait d’union. => Si la commande de retardement (-d ou -p 10) ne fonctionne pas avec un Conky par dessus les autres fenêtres suite au démarrage de votre session, voir le chapitre 4.4 de cette documentation ou cliquer [[#si_conky_reste_sur_les_fenetres_au_demarrage_de_votre_session|ICI]] pour y accéder directement. | par dessus => suggestions : ['par-dessus']

176 Mot inconnu : Conky => ==== Conflit entre Conky et les icônes du bureau ==== | conky

178 Mot inconnu : Conky => Lorsque l'on configure Conky en intégration bureau, il arrive que les icônes soient masquées par l'option "double_buffer" mise à yes. Vous pouvez tester en la mettant à "no" mais le code clignote à chaque réactualisation. | conky
178 Guillemets typographiques ouvrants. => Lorsque l'on configure Conky en intégration bureau, il arrive que les icônes soient masquées par l'option "double_buffer" mise à yes. Vous pouvez tester en la mettant à "no" mais le code clignote à chaque réactualisation. | " => suggestions : ['«\xa0', '“']
178 Mot inconnu : double_buffer => Lorsque l'on configure Conky en intégration bureau, il arrive que les icônes soient masquées par l'option "double_buffer" mise à yes. Vous pouvez tester en la mettant à "no" mais le code clignote à chaque réactualisation. | double_buffer
178 Guillemets typographiques fermants. => Lorsque l'on configure Conky en intégration bureau, il arrive que les icônes soient masquées par l'option "double_buffer" mise à yes. Vous pouvez tester en la mettant à "no" mais le code clignote à chaque réactualisation. | " => suggestions : ['\xa0»', '”']
178 Mot inconnu : yes => Lorsque l'on configure Conky en intégration bureau, il arrive que les icônes soient masquées par l'option "double_buffer" mise à yes. Vous pouvez tester en la mettant à "no" mais le code clignote à chaque réactualisation. | yes
178 Guillemets typographiques ouvrants. => Lorsque l'on configure Conky en intégration bureau, il arrive que les icônes soient masquées par l'option "double_buffer" mise à yes. Vous pouvez tester en la mettant à "no" mais le code clignote à chaque réactualisation. | " => suggestions : ['«\xa0', '“']
178 Guillemets typographiques fermants. => Lorsque l'on configure Conky en intégration bureau, il arrive que les icônes soient masquées par l'option "double_buffer" mise à yes. Vous pouvez tester en la mettant à "no" mais le code clignote à chaque réactualisation. | " => suggestions : ['\xa0»', '”']

180 Mot inconnu : Nautilus => Ce problème est connu avec Nautilus, mais aussi avec xfdesktop (donc affecte à priori Ubuntu et Xubuntu 9.04+ mais pas Kubuntu) | nautilus
180 Mot inconnu : xfdesktop => Ce problème est connu avec Nautilus, mais aussi avec xfdesktop (donc affecte à priori Ubuntu et Xubuntu 9.04+ mais pas Kubuntu) | xfdesktop
180 Mot inconnu : Xubuntu => Ce problème est connu avec Nautilus, mais aussi avec xfdesktop (donc affecte à priori Ubuntu et Xubuntu 9.04+ mais pas Kubuntu) | xubuntu

182 Mot inconnu : Compiz => On peut régler ce problème de différentes façons. Voici une façon simple rapide et ne dépendant pas d'autres applications (On peut classiquement utiliser Compiz pour mettre en œuvre une solution similaire). | compiz

184 Mot inconnu : conkyrc => Éditer le **.conkyrc** pour changer la valeur de **own_window** à **yes** et rajouter deux options : | conkyrc
184 Mot inconnu : own_window => Éditer le **.conkyrc** pour changer la valeur de **own_window** à **yes** et rajouter deux options : | own_window
184 Mot inconnu : yes => Éditer le **.conkyrc** pour changer la valeur de **own_window** à **yes** et rajouter deux options : | yes

191 Mot inconnu : Conky => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. | conky
191 Mot inconnu : override => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. | override
191 Mot inconnu : desktop => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. | desktop
191 Mot inconnu : own_window_type => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. | own_window_type
191 Espace(s) surnuméraire(s) à supprimer. => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. |     => suggestions : [' ']
191 Mot inconnu : override => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. | override
191 Mot inconnu : own_window_type => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. | own_window_type
191 Espace(s) surnuméraire(s) à supprimer. => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. |     => suggestions : [' ']
191 Mot inconnu : desktop => Cette solution provient de la FAQ de Conky, légèrement adaptée (override au lieu de desktop) afin de supprimer l'ombre. Si **own_window_type   override** ne fonctionne pas, vous pouvez essayer **own_window_type   desktop**, cela fonctionne généralement. | desktop

193 Mot inconnu : Compiz => Pour s'en sortir avec Compiz, il s'agit essentiellement de créer une règle grâce au plugin **regexp matching** pour appliquer la décoration et l'ombrage seulement aux fenêtres autres que celle de Conky. | compiz
193 Mot inconnu : regexp => Pour s'en sortir avec Compiz, il s'agit essentiellement de créer une règle grâce au plugin **regexp matching** pour appliquer la décoration et l'ombrage seulement aux fenêtres autres que celle de Conky. | regexp
193 Mot inconnu : matching => Pour s'en sortir avec Compiz, il s'agit essentiellement de créer une règle grâce au plugin **regexp matching** pour appliquer la décoration et l'ombrage seulement aux fenêtres autres que celle de Conky. | matching
193 Mot inconnu : Conky => Pour s'en sortir avec Compiz, il s'agit essentiellement de créer une règle grâce au plugin **regexp matching** pour appliquer la décoration et l'ombrage seulement aux fenêtres autres que celle de Conky. | conky

195 Mot inconnu : Edit => Edit : Essayer le paramètre : | edit

197 Mot inconnu : Conky => ==== Conflit entre Conky et LXDE  ==== | conky
197 Mot inconnu : LXDE => ==== Conflit entre Conky et LXDE  ==== | lxde
197 Espace(s) surnuméraire(s) à supprimer. => ==== Conflit entre Conky et LXDE  ==== |    => suggestions : [' ']

199 Mot inconnu : LXDE => Sous [[LXDE]], lorsque l'on veut intégrer conky au bureau, deux problèmes peuvent apparaître : | lxde
199 Mot inconnu : conky => Sous [[LXDE]], lorsque l'on veut intégrer conky au bureau, deux problèmes peuvent apparaître : | conky

203 Mot inconnu : conkyrc => Pour régler le problème, utilisez les paramètres suivants dans votre conkyrc : | conkyrc

215 Mot inconnu : openBox => Puis, allez dans **Préférences > openBox configuration manager > dock**. | openbox

217 Guillemets typographiques ouvrants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['\xa0»', '”']
217 Guillemets typographiques ouvrants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['\xa0»', '”']
217 Guillemets typographiques ouvrants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['\xa0»', '”']
217 Guillemets typographiques ouvrants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. => Dans "Position", cochez "Permettre aux fenêtres d'être placées dans la zone de Dock". Puis dans "Empilement", choisissez "Gardez les docks en dessous des autres fenêtres". Le tour est joué ! | " => suggestions : ['\xa0»', '”']

219 Mot inconnu : Openbox => ==== Transparence avec Openbox ==== | openbox

220 Mot inconnu : Openbox => On peut émuler une fausse transparence avec Openbox (qui normalement ne gère pas la transparence), permettant d'afficher le fond d'écran sous le Conky. Normalement, cette configuration fonctionne dans votre conkyrc : | openbox
220 Mot inconnu : Conky => On peut émuler une fausse transparence avec Openbox (qui normalement ne gère pas la transparence), permettant d'afficher le fond d'écran sous le Conky. Normalement, cette configuration fonctionne dans votre conkyrc : | conky
220 Mot inconnu : conkyrc => On peut émuler une fausse transparence avec Openbox (qui normalement ne gère pas la transparence), permettant d'afficher le fond d'écran sous le Conky. Normalement, cette configuration fonctionne dans votre conkyrc : | conkyrc

228 Mot inconnu : Conky => ==== Conky ne s’affiche pas au démarrage de votre session ==== | conky

233 Mot inconnu : Xfce => Créez une ligne dans votre gestionnaire de session (sur Xfce, on le trouve dans le panneau //paramétrage//, icone //Session et démarrage//, par exemple). | xfce
233 Mot inconnu : icone => Créez une ligne dans votre gestionnaire de session (sur Xfce, on le trouve dans le panneau //paramétrage//, icone //Session et démarrage//, par exemple). | icone

243 Mot inconnu : Conky => Ce système est plus lourd est n'offre d’intérêt que pour des options de démarrage complexes (comme démarrer plusieurs Conky, par exemple). | conky

265 Guillemets typographiques ouvrants. => Et vous mettez "yes" pour : | " => suggestions : ['«\xa0', '“']
265 Mot inconnu : yes => Et vous mettez "yes" pour : | yes
265 Guillemets typographiques fermants. => Et vous mettez "yes" pour : | " => suggestions : ['\xa0»', '”']

267 Guillemets typographiques ouvrants. => On peut aussi rajouter "yes" pour : | " => suggestions : ['«\xa0', '“']
267 Mot inconnu : yes => On peut aussi rajouter "yes" pour : | yes
267 Guillemets typographiques fermants. => On peut aussi rajouter "yes" pour : | " => suggestions : ['\xa0»', '”']

270 Mot inconnu : double_buffer => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | double_buffer
