
5 Mot inconnu : Loadaverage => ====== Loadaverage : La charge d'une machine sous Ubuntu... ====== | loadaverage
22 Guillemets typographiques ouvrants. => Le pourcentage d'usage du CPU est l'exemple type d'une information difficile à traiter. Lorsque vous lancez un ''top'', vous avez dans le haut de votre écran des informations de ce type : | '' => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => Le pourcentage d'usage du CPU est l'exemple type d'une information difficile à traiter. Lorsque vous lancez un ''top'', vous avez dans le haut de votre écran des informations de ce type : | '' => suggestions : ['\xa0»', '”']

28 Avec une unité de mesure, mettez un espace insécable. => Est-ce que cela signifie pour autant que votre serveur est chargé à 0,3% ??? | 0,3% => suggestions : ['0,3\xa0%']
30 Guillemets typographiques ouvrants. => Le taux d'usage du CPU donne une information extrêmement volatile ; notre petit utilitaire ''top'' se rafraîchit toutes les deux secondes... or, le taux d'usage du CPU change quasi toutes les milli-secondes. | '' => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. => Le taux d'usage du CPU donne une information extrêmement volatile ; notre petit utilitaire ''top'' se rafraîchit toutes les deux secondes... or, le taux d'usage du CPU change quasi toutes les milli-secondes. | '' => suggestions : ['\xa0»', '”']
30 Typographie : points de suspension. Utilisez le caractère dédié. => Le taux d'usage du CPU donne une information extrêmement volatile ; notre petit utilitaire ''top'' se rafraîchit toutes les deux secondes... or, le taux d'usage du CPU change quasi toutes les milli-secondes. | ... => suggestions : ['…']
30 Mot inconnu : milli-secondes => Le taux d'usage du CPU donne une information extrêmement volatile ; notre petit utilitaire ''top'' se rafraîchit toutes les deux secondes... or, le taux d'usage du CPU change quasi toutes les milli-secondes. | milli-secondes

36 Guillemets typographiques ouvrants. => La quantité de mémoire vive disponible peut également donner une information. Voyons un petit ''top'' sur un autre serveur : | '' => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => La quantité de mémoire vive disponible peut également donner une information. Voyons un petit ''top'' sur un autre serveur : | '' => suggestions : ['\xa0»', '”']
42 Avec une unité de mesure, mettez un espace insécable. => Cette information est-elle significative ? Est-ce que mon serveur est chargé à 99% ? | 99% => suggestions : ['99\xa0%']

48 Guillemets typographiques ouvrants. => L'espace disque utilisé est une indication de charge lorsque le serveur est essentiellement un serveur de fichier mais ça nous indique uniquement qu'il faut ajouter des disques. Cette information obtenue par ''df -h'' ne nous est pas utile dans ce contexte : | '' => suggestions : ['«\xa0', '“']
48 Mot inconnu : df => L'espace disque utilisé est une indication de charge lorsque le serveur est essentiellement un serveur de fichier mais ça nous indique uniquement qu'il faut ajouter des disques. Cette information obtenue par ''df -h'' ne nous est pas utile dans ce contexte : | df
48 Il manque un espace à côté du tiret. => L'espace disque utilisé est une indication de charge lorsque le serveur est essentiellement un serveur de fichier mais ça nous indique uniquement qu'il faut ajouter des disques. Cette information obtenue par ''df -h'' ne nous est pas utile dans ce contexte : |  - => suggestions : [' – ', ' — ']
48 Guillemets typographiques fermants. => L'espace disque utilisé est une indication de charge lorsque le serveur est essentiellement un serveur de fichier mais ça nous indique uniquement qu'il faut ajouter des disques. Cette information obtenue par ''df -h'' ne nous est pas utile dans ce contexte : | '' => suggestions : ['\xa0»', '”']

62 Guillemets typographiques ouvrants. => Reprenons notre outil ''top'' pour examiner la mémoire swap utilisée : | '' => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. => Reprenons notre outil ''top'' pour examiner la mémoire swap utilisée : | '' => suggestions : ['\xa0»', '”']
68 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Encore une fois, ça ne nous donne aucune information sur la charge du serveur. Cette donnée nous indique néanmoins quelque chose d'important ; la mémoire vive est suffisante car le noyau ne ressent pas la nécessité de swapper. |  car => suggestions : [', car']
68 Mot inconnu : swapper => Encore une fois, ça ne nous donne aucune information sur la charge du serveur. Cette donnée nous indique néanmoins quelque chose d'important ; la mémoire vive est suffisante car le noyau ne ressent pas la nécessité de swapper. | swapper

72 Guillemets typographiques ouvrants. => ===== Les "load average" ==== | " => suggestions : ['«\xa0', '“']
72 Mot inconnu : load => ===== Les "load average" ==== | load
72 Mot inconnu : average => ===== Les "load average" ==== | average
72 Guillemets typographiques fermants. => ===== Les "load average" ==== | " => suggestions : ['\xa0»', '”']
74 Mot inconnu : load => Après avoir passé en revue les quelques indicateurs de l'introduction, qui ont leurs avantages et leurs inconvénients ; je vais vous parler des **load average**, disponible avec l'utilitaire **uptime**. | load
74 Mot inconnu : average => Après avoir passé en revue les quelques indicateurs de l'introduction, qui ont leurs avantages et leurs inconvénients ; je vais vous parler des **load average**, disponible avec l'utilitaire **uptime**. | average
74 Mot inconnu : uptime => Après avoir passé en revue les quelques indicateurs de l'introduction, qui ont leurs avantages et leurs inconvénients ; je vais vous parler des **load average**, disponible avec l'utilitaire **uptime**. | uptime

76 Mot inconnu : load => Les **load average** existent depuis longtemps sur les systèmes Unix et Linux a hérité de cette notion. Vous trouverez cette information de plusieurs manières (locales ou distantes) et est généralement représentée comme 3 chiffres à 2 décimales. | load
76 Mot inconnu : average => Les **load average** existent depuis longtemps sur les systèmes Unix et Linux a hérité de cette notion. Vous trouverez cette information de plusieurs manières (locales ou distantes) et est généralement représentée comme 3 chiffres à 2 décimales. | average
76 Conjugaison erronée. Accord avec “Unix et Linux”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Les **load average** existent depuis longtemps sur les systèmes Unix et Linux a hérité de cette notion. Vous trouverez cette information de plusieurs manières (locales ou distantes) et est généralement représentée comme 3 chiffres à 2 décimales. | a => suggestions : ['ont']

88 Guillemets typographiques ouvrants. => ==== Que représentent les "load average" ? ==== | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : load => ==== Que représentent les "load average" ? ==== | load
88 Mot inconnu : average => ==== Que représentent les "load average" ? ==== | average
88 Guillemets typographiques fermants. => ==== Que représentent les "load average" ? ==== | " => suggestions : ['\xa0»', '”']

90 Mot inconnu : load => Les **load average** représentent le nombre moyen de processus dans la file d'attente des processus //ready for running// pour, respectivement, la dernière minute, les 5 dernières minutes et les 15 dernières minutes. | load
90 Mot inconnu : average => Les **load average** représentent le nombre moyen de processus dans la file d'attente des processus //ready for running// pour, respectivement, la dernière minute, les 5 dernières minutes et les 15 dernières minutes. | average
90 Mot inconnu : ready => Les **load average** représentent le nombre moyen de processus dans la file d'attente des processus //ready for running// pour, respectivement, la dernière minute, les 5 dernières minutes et les 15 dernières minutes. | ready

92 Guillemets typographiques ouvrants. => Donc, en clair, si vous avez un ''1.00'' dans le deuxième nombre, cela signifie que //durant les 5 dernières minutes, il y avait 1 processus prêt à être exécuté (c'est-à-dire que les I/O sont satisfaits, qu'il a toutes ses ressources...) mais qui est en attente//. | '' => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Donc, en clair, si vous avez un ''1.00'' dans le deuxième nombre, cela signifie que //durant les 5 dernières minutes, il y avait 1 processus prêt à être exécuté (c'est-à-dire que les I/O sont satisfaits, qu'il a toutes ses ressources...) mais qui est en attente//. | '' => suggestions : ['\xa0»', '”']
92 Typographie : points de suspension. Utilisez le caractère dédié. => Donc, en clair, si vous avez un ''1.00'' dans le deuxième nombre, cela signifie que //durant les 5 dernières minutes, il y avait 1 processus prêt à être exécuté (c'est-à-dire que les I/O sont satisfaits, qu'il a toutes ses ressources...) mais qui est en attente//. | ... => suggestions : ['…']

94 Mot inconnu : FIXME => FIXME: Dans le kernel linux, le load-average contient également les processus en attente d'I/O, ce n'est pas uniquement la charge processeur ( | fixme
94 Mot inconnu : kernel => FIXME: Dans le kernel linux, le load-average contient également les processus en attente d'I/O, ce n'est pas uniquement la charge processeur ( | kernel
94 Mot inconnu : linux => FIXME: Dans le kernel linux, le load-average contient également les processus en attente d'I/O, ce n'est pas uniquement la charge processeur ( | linux
94 Mot inconnu : load-average => FIXME: Dans le kernel linux, le load-average contient également les processus en attente d'I/O, ce n'est pas uniquement la charge processeur ( | load-average

97 Typographie : points de suspension. Utilisez le caractère dédié. => ==== On peut voir ça comme une usine... ==== | ... => suggestions : ['…']

99 Espace(s) en fin de ligne à supprimer. => L'usine (qui fait le travail) est le serveur.  |   => suggestions : ['']

100 Espace(s) en fin de ligne à supprimer. => La matière première est en entrée de cette usine (les processus en attente).  |   => suggestions : ['']
106 Mot inconnu : load => En clair, si votre serveur est bien dimensionné ; vous aurez un load average relativement faible. | load
106 Mot inconnu : average => En clair, si votre serveur est bien dimensionné ; vous aurez un load average relativement faible. | average

109 Typographie : points de suspension. Utilisez le caractère dédié. => ==== En bref... ==== | ... => suggestions : ['…']

111 Mot inconnu : load => Les **load average** permettent d'évaluer si le processeur est suffisamment puissant, mais également tout ce qui touche au travail devant être réalisé (la mémoire, la vitesse des contrôleurs, la vitesse des entrées/sorties sur disques...) | load
111 Mot inconnu : average => Les **load average** permettent d'évaluer si le processeur est suffisamment puissant, mais également tout ce qui touche au travail devant être réalisé (la mémoire, la vitesse des contrôleurs, la vitesse des entrées/sorties sur disques...) | average
111 Typographie : points de suspension. Utilisez le caractère dédié. => Les **load average** permettent d'évaluer si le processeur est suffisamment puissant, mais également tout ce qui touche au travail devant être réalisé (la mémoire, la vitesse des contrôleurs, la vitesse des entrées/sorties sur disques...) | ... => suggestions : ['…']

113 Mot inconnu : load => Pour moi (et pour beaucoup d'administrateurs systèmes), les **load average** sont une solution efficace et éprouvée pour évaluer la charge d'un serveur. | load
113 Mot inconnu : average => Pour moi (et pour beaucoup d'administrateurs systèmes), les **load average** sont une solution efficace et éprouvée pour évaluer la charge d'un serveur. | average

115 Mot inconnu : load => ===== Qu'est-ce qu'une bonne valeur de load average ? ===== | load
115 Mot inconnu : average => ===== Qu'est-ce qu'une bonne valeur de load average ? ===== | average

117 Mot inconnu : load => Maintenant que je vous ai vanté les mérites des load averages, vous allez vous empressez de faire un ''uptime'' et d'observer les trois chiffres indicateurs en vous demandant si ces chiffres sont bons ou mauvais. | load
117 Mot inconnu : averages => Maintenant que je vous ai vanté les mérites des load averages, vous allez vous empressez de faire un ''uptime'' et d'observer les trois chiffres indicateurs en vous demandant si ces chiffres sont bons ou mauvais. | averages
117 Guillemets typographiques ouvrants. => Maintenant que je vous ai vanté les mérites des load averages, vous allez vous empressez de faire un ''uptime'' et d'observer les trois chiffres indicateurs en vous demandant si ces chiffres sont bons ou mauvais. | '' => suggestions : ['«\xa0', '“']
117 Mot inconnu : uptime => Maintenant que je vous ai vanté les mérites des load averages, vous allez vous empressez de faire un ''uptime'' et d'observer les trois chiffres indicateurs en vous demandant si ces chiffres sont bons ou mauvais. | uptime
117 Guillemets typographiques fermants. => Maintenant que je vous ai vanté les mérites des load averages, vous allez vous empressez de faire un ''uptime'' et d'observer les trois chiffres indicateurs en vous demandant si ces chiffres sont bons ou mauvais. | '' => suggestions : ['\xa0»', '”']

119 Mot inconnu : load => La bonne valeur de load average n'existe pas. Tout dépend de votre environnement de travail et des tâches assignées au serveur. | load
119 Mot inconnu : average => La bonne valeur de load average n'existe pas. Tout dépend de votre environnement de travail et des tâches assignées au serveur. | average

121 Guillemets typographiques ouvrants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['\xa0»', '”']
121 Guillemets typographiques ouvrants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['\xa0»', '”']
121 Guillemets typographiques ouvrants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['\xa0»', '”']
121 Guillemets typographiques ouvrants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['\xa0»', '”']
121 Guillemets typographiques ouvrants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['\xa0»', '”']
121 Guillemets typographiques ouvrants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. => Dans mon parc, j'ai un serveur de mail qui ne dépasse jamais les ''0.20''. J'ai un serveur de production qui oscille entre ''0.20'' et ''1.50'' et j'ai un serveur de centralisation de sauvegardes et de mise sur bandes qui oscille entre ''6.00'' et ''8.30'' lors de la mise sur bande et qui est à ''0.00'' en heures creuses. | '' => suggestions : ['\xa0»', '”']

125 Accord de nombre erroné : « sauvegarde » devrait être au pluriel. => Que les tâches soient un peu plus lentes sur le serveur de centralisation des sauvegarde m'importe peu. Par contre, je ne veux pas que la production devienne insupportable pour les clients. | sauvegarde => suggestions : ['sauvegardes']

127 Guillemets typographiques ouvrants. => En règle générale (d'après la littérature et quelques expériences personnelles), un taux supérieur à ''3.00'' est un assez mauvais signe. Quand le taux de load average atteint trois sur le serveur de production, on attend plusieurs secondes avant d'obtenir la console en SSH (pour vous donner une petite idée). | '' => suggestions : ['«\xa0', '“']
127 Guillemets typographiques fermants. => En règle générale (d'après la littérature et quelques expériences personnelles), un taux supérieur à ''3.00'' est un assez mauvais signe. Quand le taux de load average atteint trois sur le serveur de production, on attend plusieurs secondes avant d'obtenir la console en SSH (pour vous donner une petite idée). | '' => suggestions : ['\xa0»', '”']
127 Mot inconnu : load => En règle générale (d'après la littérature et quelques expériences personnelles), un taux supérieur à ''3.00'' est un assez mauvais signe. Quand le taux de load average atteint trois sur le serveur de production, on attend plusieurs secondes avant d'obtenir la console en SSH (pour vous donner une petite idée). | load
127 Mot inconnu : average => En règle générale (d'après la littérature et quelques expériences personnelles), un taux supérieur à ''3.00'' est un assez mauvais signe. Quand le taux de load average atteint trois sur le serveur de production, on attend plusieurs secondes avant d'obtenir la console en SSH (pour vous donner une petite idée). | average
127 Mot inconnu : SSH => En règle générale (d'après la littérature et quelques expériences personnelles), un taux supérieur à ''3.00'' est un assez mauvais signe. Quand le taux de load average atteint trois sur le serveur de production, on attend plusieurs secondes avant d'obtenir la console en SSH (pour vous donner une petite idée). | ssh

130 Mot inconnu : load => ===== Comment obtenir les load average ? ===== | load
130 Mot inconnu : average => ===== Comment obtenir les load average ? ===== | average

132 Mot inconnu : load => Il y a deux manières essentielles pour obtenir les load averages ; soit localement sur la machine ; soit de manière distante à des fins de supervisions. | load
132 Mot inconnu : averages => Il y a deux manières essentielles pour obtenir les load averages ; soit localement sur la machine ; soit de manière distante à des fins de supervisions. | averages

137 Mot inconnu : load => Pour obtenir les informations de load average localement ; vous pouvez utiliser les programmes suivants : | load
137 Mot inconnu : average => Pour obtenir les informations de load average localement ; vous pouvez utiliser les programmes suivants : | average

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''[[indicator-applications|indicator-applications]]'' : Graphiquement dans la barre de notification : |    => suggestions : ['']

140 Confusion probable. Dans cette locution, il faut employer “ce”. => Pour se faire il suffit d'installer le paquet Indicator-multiload | se => suggestions : ['ce']
140 Mot inconnu : Indicator-multiload => Pour se faire il suffit d'installer le paquet Indicator-multiload | indicator-multiload

143 Mot inconnu : unity => ensuite pour unity exécuter en ligne de commande : | unity

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''[[tutoriel:console_commandes_de_base#top|top]]'' : un classique... |    => suggestions : ['']
149 Il manque un espace. =>   * ''[[tutoriel:console_commandes_de_base#top|top]]'' : un classique... | console_commandes_de_base => suggestions : [' console_commandes_de_base']
149 Mot inconnu : console_commandes_de_base =>   * ''[[tutoriel:console_commandes_de_base#top|top]]'' : un classique... | console_commandes_de_base
149 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ''[[tutoriel:console_commandes_de_base#top|top]]'' : un classique... | ... => suggestions : ['…']

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''[[tutoriel:console_commandes_de_base#uptime|uptime]]'' : la version "light"... |    => suggestions : ['']
165 Il manque un espace. =>   * ''[[tutoriel:console_commandes_de_base#uptime|uptime]]'' : la version "light"... | console_commandes_de_base => suggestions : [' console_commandes_de_base']
165 Mot inconnu : console_commandes_de_base =>   * ''[[tutoriel:console_commandes_de_base#uptime|uptime]]'' : la version "light"... | console_commandes_de_base
165 Guillemets typographiques ouvrants. =>   * ''[[tutoriel:console_commandes_de_base#uptime|uptime]]'' : la version "light"... | " => suggestions : ['«\xa0', '“']
165 Guillemets typographiques fermants. =>   * ''[[tutoriel:console_commandes_de_base#uptime|uptime]]'' : la version "light"... | " => suggestions : ['\xa0»', '”']
165 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ''[[tutoriel:console_commandes_de_base#uptime|uptime]]'' : la version "light"... | ... => suggestions : ['…']

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''[[tutoriel:console_commandes_de_base#cat|cat]] /proc/loadavg'' : la version parfaite pour les scripts... |    => suggestions : ['']
171 Il manque un espace. =>   * ''[[tutoriel:console_commandes_de_base#cat|cat]] /proc/loadavg'' : la version parfaite pour les scripts... | console_commandes_de_base => suggestions : [' console_commandes_de_base']
171 Mot inconnu : console_commandes_de_base =>   * ''[[tutoriel:console_commandes_de_base#cat|cat]] /proc/loadavg'' : la version parfaite pour les scripts... | console_commandes_de_base
171 Mot inconnu : proc =>   * ''[[tutoriel:console_commandes_de_base#cat|cat]] /proc/loadavg'' : la version parfaite pour les scripts... | proc
171 Mot inconnu : loadavg =>   * ''[[tutoriel:console_commandes_de_base#cat|cat]] /proc/loadavg'' : la version parfaite pour les scripts... | loadavg
171 Guillemets typographiques fermants. =>   * ''[[tutoriel:console_commandes_de_base#cat|cat]] /proc/loadavg'' : la version parfaite pour les scripts... | '' => suggestions : ['\xa0»', '”']
171 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ''[[tutoriel:console_commandes_de_base#cat|cat]] /proc/loadavg'' : la version parfaite pour les scripts... | ... => suggestions : ['…']

177 Accord de genre erroné : « la barre » est féminin, « supérieur » est masculin. => Sinon il est possible d'ajouter dans la barre supérieur (droite) de unity le programme indicator-multiload : | supérieur => suggestions : ['supérieure']
177 Élision de l’article devant un mot commençant par une voyelle. => Sinon il est possible d'ajouter dans la barre supérieur (droite) de unity le programme indicator-multiload : | de  => suggestions : ['d’']
177 Mot inconnu : unity => Sinon il est possible d'ajouter dans la barre supérieur (droite) de unity le programme indicator-multiload : | unity
177 Mot inconnu : indicator-multiload => Sinon il est possible d'ajouter dans la barre supérieur (droite) de unity le programme indicator-multiload : | indicator-multiload

182 Mot inconnu : indicator-multiload => puis relancer la session (ou dans une console lancer la commande indicator-multiload &) | indicator-multiload

183 Guillemets typographiques ouvrants. => Ce programme permet de visualiser directement différents paramètres issus de l'application "moniteur système". | " => suggestions : ['«\xa0', '“']
183 Guillemets typographiques fermants. => Ce programme permet de visualiser directement différents paramètres issus de l'application "moniteur système". | " => suggestions : ['\xa0»', '”']

185 Guillemets typographiques ouvrants. => Pour le paramétrage cliquer droit sur l’icône et sélectionner préférences. Dans l'écran sélectionner la case à cocher "charge" qui de loin est l'indicateur le plus pertinent. Basiquement un load supérieur aux nombres de processeurs indique un système chargé. | " => suggestions : ['«\xa0', '“']
185 Guillemets typographiques fermants. => Pour le paramétrage cliquer droit sur l’icône et sélectionner préférences. Dans l'écran sélectionner la case à cocher "charge" qui de loin est l'indicateur le plus pertinent. Basiquement un load supérieur aux nombres de processeurs indique un système chargé. | " => suggestions : ['\xa0»', '”']
185 Mot inconnu : load => Pour le paramétrage cliquer droit sur l’icône et sélectionner préférences. Dans l'écran sélectionner la case à cocher "charge" qui de loin est l'indicateur le plus pertinent. Basiquement un load supérieur aux nombres de processeurs indique un système chargé. | load

186 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => ==== A distance ==== | a => suggestions : ['À']

188 Mot inconnu : load => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | load
188 Mot inconnu : average => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | average
188 Mot inconnu : SSH => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | ssh
188 Mot inconnu : RPC => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | rpc
188 Guillemets typographiques ouvrants. => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | '' => suggestions : ['«\xa0', '“']
188 Mot inconnu : rstatd => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | rstatd
188 Guillemets typographiques fermants. => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | '' => suggestions : ['\xa0»', '”']
188 Mot inconnu : Sun => Pour obtenir les load average à distance (ce qui est pratique pour la supervision ou plus simplement pour éviter de devoir ouvrir de nombreuses consoles SSH), nous allons utiliser la RPC ''rstatd'' (un standard provenant de chez Sun). | sun

191 Mot inconnu : necessaire => <note important>Dans la version 12.04 d'Ubuntu, il n'est plus necessaire de créer un script init.  | necessaire
191 Mot inconnu : init => <note important>Dans la version 12.04 d'Ubuntu, il n'est plus necessaire de créer un script init.  | init
191 Espace(s) en fin de ligne à supprimer. => <note important>Dans la version 12.04 d'Ubuntu, il n'est plus necessaire de créer un script init.  |   => suggestions : ['']

192 Guillemets typographiques ouvrants. => En effet, l'installation du paquet "rstatd" va automatiquement installer et configurer le démon inetd.</note> | " => suggestions : ['«\xa0', '“']
192 Mot inconnu : rstatd => En effet, l'installation du paquet "rstatd" va automatiquement installer et configurer le démon inetd.</note> | rstatd
192 Guillemets typographiques fermants. => En effet, l'installation du paquet "rstatd" va automatiquement installer et configurer le démon inetd.</note> | " => suggestions : ['\xa0»', '”']
192 Mot inconnu : inetd => En effet, l'installation du paquet "rstatd" va automatiquement installer et configurer le démon inetd.</note> | inetd

