
5 Mot inconnu : Prelink => ====== Prelink ====== | prelink
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. |  -  => suggestions : [' – ', ' — ', ' − ']
26 Guillemets typographiques ouvrants. =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | '' => suggestions : ['«\xa0', '“']
26 Mot inconnu : PRELINKING =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | prelinking
26 Mot inconnu : unknown =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | unknown
26 Guillemets typographiques fermants. =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | '' => suggestions : ['\xa0»', '”']
26 Guillemets typographiques ouvrants. =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | '' => suggestions : ['«\xa0', '“']
26 Mot inconnu : PRELINKING =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | prelinking
26 Mot inconnu : yes =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | yes
26 Guillemets typographiques fermants. =>   -  Modifiez ''PRELINKING=unknown'' par ''PRELINKING=yes''. | '' => suggestions : ['\xa0»', '”']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ajustez les autres options si vous savez ce que vous faites. Les options par défaut marchent bien. |    => suggestions : ['']
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ajustez les autres options si vous savez ce que vous faites. Les options par défaut marchent bien. |  -  => suggestions : [' – ', ' — ', ' − ']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

31 Mot inconnu : prelink => Par la suite, prelink lance un recalcul (généralement de moins d'une minute) chaque jour, généralement à minuit. Tous les 14 jours, un recalcul complet est effectué. Après la mise à jour d'une bibliothèque, prelink est également lancé sur tous les programmes utilisant cette bibliothèque. | prelink
31 Mot inconnu : recalcul => Par la suite, prelink lance un recalcul (généralement de moins d'une minute) chaque jour, généralement à minuit. Tous les 14 jours, un recalcul complet est effectué. Après la mise à jour d'une bibliothèque, prelink est également lancé sur tous les programmes utilisant cette bibliothèque. | recalcul
31 Avec une unité de mesure, mettez un espace insécable. => Par la suite, prelink lance un recalcul (généralement de moins d'une minute) chaque jour, généralement à minuit. Tous les 14 jours, un recalcul complet est effectué. Après la mise à jour d'une bibliothèque, prelink est également lancé sur tous les programmes utilisant cette bibliothèque. | 14 jours => suggestions : ['14\xa0jours']
31 Mot inconnu : recalcul => Par la suite, prelink lance un recalcul (généralement de moins d'une minute) chaque jour, généralement à minuit. Tous les 14 jours, un recalcul complet est effectué. Après la mise à jour d'une bibliothèque, prelink est également lancé sur tous les programmes utilisant cette bibliothèque. | recalcul
31 Mot inconnu : prelink => Par la suite, prelink lance un recalcul (généralement de moins d'une minute) chaque jour, généralement à minuit. Tous les 14 jours, un recalcul complet est effectué. Après la mise à jour d'une bibliothèque, prelink est également lancé sur tous les programmes utilisant cette bibliothèque. | prelink

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

33 Mot inconnu : libc6 => À chaque fois que vous faites une mise à jour majeure incluant des bibliothèques utilisées par tout le système (libc6, glibc, major gnome/X libs, etc etc etc) et que vous rencontrez des erreurs fatales, relancez la dernière étape. | libc6
33 Mot inconnu : glibc => À chaque fois que vous faites une mise à jour majeure incluant des bibliothèques utilisées par tout le système (libc6, glibc, major gnome/X libs, etc etc etc) et que vous rencontrez des erreurs fatales, relancez la dernière étape. | glibc
33 Mot inconnu : libs => À chaque fois que vous faites une mise à jour majeure incluant des bibliothèques utilisées par tout le système (libc6, glibc, major gnome/X libs, etc etc etc) et que vous rencontrez des erreurs fatales, relancez la dernière étape. | libs
33 Doublon. => À chaque fois que vous faites une mise à jour majeure incluant des bibliothèques utilisées par tout le système (libc6, glibc, major gnome/X libs, etc etc etc) et que vous rencontrez des erreurs fatales, relancez la dernière étape. | etc etc => suggestions : ['etc']

37 Mot inconnu : prelink => ===== Automatiser le prelink ===== | prelink

39 Mot inconnu : prelink => Vous pouvez aussi automatiser le lancement de prelink après l'installation d'un nouveau programme, avec les droits administrateur. | prelink
39 Accord de nombre erroné avec « les droits » : « administrateur » devrait être au pluriel. => Vous pouvez aussi automatiser le lancement de prelink après l'installation d'un nouveau programme, avec les droits administrateur. | administrateur => suggestions : ['administrateurs']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sauvegardez |    => suggestions : ['']
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sauvegardez |  -  => suggestions : [' – ', ' — ', ' − ']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

57 Mot inconnu : prelink => ===== Comment désactiver prelink ===== | prelink

58 Mot inconnu : prelinking => Pour retirer le prelinking, changez ''yes'' par ''no'' à l'étape 5 et relancez l'étape 8. | prelinking
58 Guillemets typographiques ouvrants. => Pour retirer le prelinking, changez ''yes'' par ''no'' à l'étape 5 et relancez l'étape 8. | '' => suggestions : ['«\xa0', '“']
58 Mot inconnu : yes => Pour retirer le prelinking, changez ''yes'' par ''no'' à l'étape 5 et relancez l'étape 8. | yes
58 Guillemets typographiques fermants. => Pour retirer le prelinking, changez ''yes'' par ''no'' à l'étape 5 et relancez l'étape 8. | '' => suggestions : ['\xa0»', '”']
58 Guillemets typographiques ouvrants. => Pour retirer le prelinking, changez ''yes'' par ''no'' à l'étape 5 et relancez l'étape 8. | '' => suggestions : ['«\xa0', '“']
58 Guillemets typographiques fermants. => Pour retirer le prelinking, changez ''yes'' par ''no'' à l'étape 5 et relancez l'étape 8. | '' => suggestions : ['\xa0»', '”']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://ubuntuforums.org/showthread.php?t=1971&highlight=prelink|d'après ce sujet du forum anglophone]] |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.gentoo.org/doc/fr/prelink-howto.xml|D'après la doc Gentoo]] |    => suggestions : ['']
65 Mot inconnu : Gentoo =>   * [[http://www.gentoo.org/doc/fr/prelink-howto.xml|D'après la doc Gentoo]] | gentoo
69 Il manque un espace. => //Contributeurs : [[utilisateurs:Futal]].// | futal => suggestions : [' Futal']
