
4 Mot inconnu : Freeplayer => ====== Freeplayer ====== | freeplayer
17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir activé le service Freeplayer sur votre Freebox (plus d'infos sur [[https://www.free.fr/assistance/295.html|le site de free]]) |    => suggestions : ['']
17 Mot inconnu : Freeplayer =>   * Avoir activé le service Freeplayer sur votre Freebox (plus d'infos sur [[https://www.free.fr/assistance/295.html|le site de free]]) | freeplayer
17 Mot inconnu : Freebox =>   * Avoir activé le service Freeplayer sur votre Freebox (plus d'infos sur [[https://www.free.fr/assistance/295.html|le site de free]]) | freebox
17 Mot inconnu : free =>   * Avoir activé le service Freeplayer sur votre Freebox (plus d'infos sur [[https://www.free.fr/assistance/295.html|le site de free]]) | free

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Mot inconnu : VLC => Suite au passage de VLC de la version 0.8.x à 0.9.x dans les dépôts, il faut modifier Freeplayer pour le faire fonctionner. | vlc
25 Mot inconnu : Freeplayer => Suite au passage de VLC de la version 0.8.x à 0.9.x dans les dépôts, il faut modifier Freeplayer pour le faire fonctionner. | freeplayer

26 Mot inconnu : comment_editer_un_fichier => [[/tutoriel/comment_editer_un_fichier|Modifier le fichier]] avec les [[sudo|droits d'administration]] **/usr/bin/vlc-fbx**. | comment_editer_un_fichier
26 Mot inconnu : sudo => [[/tutoriel/comment_editer_un_fichier|Modifier le fichier]] avec les [[sudo|droits d'administration]] **/usr/bin/vlc-fbx**. | sudo

30 Espace(s) surnuméraire(s) à supprimer. => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> |    => suggestions : [' ']
30 Mot inconnu : vlc => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> | vlc
30 Mot inconnu : vlcrc-fbx => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> | vlcrc-fbx
30 Guillemets typographiques fermants. => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> | " => suggestions : ['\xa0»', '”']
30 Espace(s) surnuméraire(s) à supprimer. => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> |    => suggestions : [' ']
30 Mot inconnu : vlc => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> | vlc
30 Mot inconnu : vlcrc => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> | vlcrc
30 Guillemets typographiques fermants. => Remplacer  <file>--config="~/.vlc/vlcrc-fbx"</file>  par  <file>--config="~/.config/vlc/vlcrc"</file> | " => suggestions : ['\xa0»', '”']

40 Mot inconnu : Freeplayer => =====Freeplayer en démon===== | freeplayer

42 Mot inconnu : freeplayer => Ce paragraphe va décrire l'utilisation sur un serveur du freeplayer. On va le lancer en démon, comme n'importe quel autre serveur logiciel (apache ou proftpd par exemple...). | freeplayer
42 Mot inconnu : proftpd => Ce paragraphe va décrire l'utilisation sur un serveur du freeplayer. On va le lancer en démon, comme n'importe quel autre serveur logiciel (apache ou proftpd par exemple...). | proftpd
42 Typographie : points de suspension. Utilisez le caractère dédié. => Ce paragraphe va décrire l'utilisation sur un serveur du freeplayer. On va le lancer en démon, comme n'importe quel autre serveur logiciel (apache ou proftpd par exemple...). | ... => suggestions : ['…']

44 Mot inconnu : comment_modifier_un_fichier => [[tutoriel/comment_modifier_un_fichier|Editez ou créez]] le fichier **/etc/init.d/freeplayer** pour y mettre le contenu suivant : | comment_modifier_un_fichier
44 Mot inconnu : Editez => [[tutoriel/comment_modifier_un_fichier|Editez ou créez]] le fichier **/etc/init.d/freeplayer** pour y mettre le contenu suivant : | editez

49 Mot inconnu : BEGIN => ### BEGIN INIT INFO | begin
49 Mot inconnu : INIT => ### BEGIN INIT INFO | init

50 Mot inconnu : Provides => # Provides:        freeplayer | provides
50 Espace(s) surnuméraire(s) à supprimer. => # Provides:        freeplayer |          => suggestions : [' ']
50 Mot inconnu : freeplayer => # Provides:        freeplayer | freeplayer

51 Mot inconnu : Required-Start => # Required-Start:  $network $remote_fs $syslog | required-start
51 Espace(s) surnuméraire(s) à supprimer. => # Required-Start:  $network $remote_fs $syslog |    => suggestions : [' ']
51 Mot inconnu : network => # Required-Start:  $network $remote_fs $syslog | network
51 Mot inconnu : remote_fs => # Required-Start:  $network $remote_fs $syslog | remote_fs
51 Mot inconnu : syslog => # Required-Start:  $network $remote_fs $syslog | syslog

52 Mot inconnu : Required-Stop => # Required-Stop:   $network $remote_fs $syslog | required-stop
52 Espace(s) surnuméraire(s) à supprimer. => # Required-Stop:   $network $remote_fs $syslog |     => suggestions : [' ']
52 Mot inconnu : network => # Required-Stop:   $network $remote_fs $syslog | network
52 Mot inconnu : remote_fs => # Required-Stop:   $network $remote_fs $syslog | remote_fs
52 Mot inconnu : syslog => # Required-Stop:   $network $remote_fs $syslog | syslog

53 Mot inconnu : Default-Start => # Default-Start:   2 3 4 5 | default-start
53 Espace(s) surnuméraire(s) à supprimer. => # Default-Start:   2 3 4 5 |     => suggestions : [' ']

54 Mot inconnu : Default-Stop => # Default-Stop:    0 1 6 | default-stop
54 Espace(s) surnuméraire(s) à supprimer. => # Default-Stop:    0 1 6 |      => suggestions : [' ']
55 Mot inconnu : Start => # Short-Description: Start freeplayer daemon | start
55 Mot inconnu : freeplayer => # Short-Description: Start freeplayer daemon | freeplayer
55 Mot inconnu : daemon => # Short-Description: Start freeplayer daemon | daemon

56 Mot inconnu : END => ### END INIT INFO | end
56 Mot inconnu : INIT => ### END INIT INFO | init

59 Mot inconnu : PATH => PATH=/sbin:/bin:/usr/sbin:/usr/bin | path

62 Si “in” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => case $1 in | 1 in => suggestions : ['1\xa0in']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         start) |          => suggestions : ['']
63 Mot inconnu : start =>         start) | start

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 log_daemon_msg "Starting freeplayer server as $NOM" |                  => suggestions : ['']
64 Mot inconnu : log_daemon_msg =>                 log_daemon_msg "Starting freeplayer server as $NOM" | log_daemon_msg
64 Guillemets typographiques ouvrants. =>                 log_daemon_msg "Starting freeplayer server as $NOM" | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : Starting =>                 log_daemon_msg "Starting freeplayer server as $NOM" | starting
64 Mot inconnu : freeplayer =>                 log_daemon_msg "Starting freeplayer server as $NOM" | freeplayer
64 Mot inconnu : server =>                 log_daemon_msg "Starting freeplayer server as $NOM" | server
64 Guillemets typographiques fermants. =>                 log_daemon_msg "Starting freeplayer server as $NOM" | " => suggestions : ['\xa0»', '”']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 # c'est cette ligne qui est importante ! |                  => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 # on execute la tache (le serveur vlc) en tant que public parce que c'est son HOME qui contient les medias |                  => suggestions : ['']
66 Mot inconnu : execute =>                 # on execute la tache (le serveur vlc) en tant que public parce que c'est son HOME qui contient les medias | execute
66 Mot inconnu : vlc =>                 # on execute la tache (le serveur vlc) en tant que public parce que c'est son HOME qui contient les medias | vlc
66 Mot inconnu : medias =>                 # on execute la tache (le serveur vlc) en tant que public parce que c'est son HOME qui contient les medias | medias

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 # on execute en demon parce qu'on a pas d'écran et que vlc il aime pas ça ! |                  => suggestions : ['']
67 Mot inconnu : execute =>                 # on execute en demon parce qu'on a pas d'écran et que vlc il aime pas ça ! | execute
67 Mot inconnu : demon =>                 # on execute en demon parce qu'on a pas d'écran et que vlc il aime pas ça ! | demon
67 Mot inconnu : vlc =>                 # on execute en demon parce qu'on a pas d'écran et que vlc il aime pas ça ! | vlc

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 # sinon, le reste, c'est les options du freeplayer |                  => suggestions : ['']
68 Mot inconnu : freeplayer =>                 # sinon, le reste, c'est les options du freeplayer | freeplayer

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 # Vous pouvez rajouter --wx-systray si vous êtes sur une version inférieure à Intrepid Ibex. |                  => suggestions : ['']
69 Mot inconnu : wx-systray =>                 # Vous pouvez rajouter --wx-systray si vous êtes sur une version inférieure à Intrepid Ibex. | wx-systray
69 Mot inconnu : Intrepid =>                 # Vous pouvez rajouter --wx-systray si vous êtes sur une version inférieure à Intrepid Ibex. | intrepid
69 Mot inconnu : Ibex =>                 # Vous pouvez rajouter --wx-systray si vous êtes sur une version inférieure à Intrepid Ibex. | ibex

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & |                  => suggestions : ['']
70 Il manque un espace à côté du tiret. =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & |  - => suggestions : [' – ', ' — ']
70 Guillemets typographiques fermants. =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | ' => suggestions : ['”', '’', '›']
70 Mot inconnu : daemon =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | daemon
70 Mot inconnu : extraintf =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | extraintf
70 Mot inconnu : http-host =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | http-host
70 Mot inconnu : http-charset =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | http-charset
70 Mot inconnu : sout =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout
70 Guillemets typographiques fermants. =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | " => suggestions : ['\xa0»', '”']
70 Mot inconnu : sout-standard-access =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-standard-access
70 Mot inconnu : udp =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | udp
70 Mot inconnu : sout-standard-mux =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-standard-mux
70 Mot inconnu : ts =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | ts
70 Mot inconnu : sout-standard-dst =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-standard-dst
70 Mot inconnu : sout-ts-pid-video =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-ts-pid-video
70 Mot inconnu : sout-ts-pid-audio =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-ts-pid-audio
70 Mot inconnu : sout-ts-pid-spu =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-ts-pid-spu
70 Mot inconnu : sout-ts-pcr =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-ts-pcr
70 Mot inconnu : sout-ts-dts-delay =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-ts-dts-delay
70 Mot inconnu : no-playlist-autostart =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | no-playlist-autostart
70 Mot inconnu : subsdec-encoding =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | subsdec-encoding
70 Mot inconnu : sout-transcode-maxwidth =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-transcode-maxwidth
70 Mot inconnu : sout-transcode-maxheight =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | sout-transcode-maxheight
70 Mot inconnu : play-and-stop =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | play-and-stop
