3 Mot inconnu : xxx [[44:47]] => ====== Liste des portables « Acer » Aspire 5xxx ====== <|> xxx

5 Mot inconnu : xxx [[56:59]] => Voici tous les micro-ordinateurs portables Acer Aspire 5xxx ayant été testés sous Ubuntu, classés par ordre alphabétique. <|> xxx

12 Mot inconnu : WLMI [[14:18]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|> wlmi
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[27:30]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|>  -  => suggestions :  –  —  − 
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[31:34]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|>  -  => suggestions :  –  —  − 
18 Mot inconnu : in1 [[65:68]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> in1
18 Mot inconnu : ok [[69:71]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> ok
18 Mot inconnu : ok [[114:116]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> ok
18 Mot inconnu : Install [[121:128]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> install
18 Mot inconnu : ok [[176:178]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> ok
18 Mot inconnu : madwifi [[191:198]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> madwifi
18 Mot inconnu : ok [[200:202]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> ok
18 Mot inconnu : Swiftfox [[305:313]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> swiftfox
18 Espace(s) en fin de ligne à supprimer. [[339:340]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|>  

27 Mot inconnu : WLMi [[14:18]] => | Aspire 5512 WLMi  | - | - | - | Pilotes fglrx nécessaires |  <|> wlmi
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[21:24]] => | Aspire 5512 WLMi  | - | - | - | Pilotes fglrx nécessaires |  <|>  -  => suggestions :  –  —  − 
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[25:28]] => | Aspire 5512 WLMi  | - | - | - | Pilotes fglrx nécessaires |  <|>  -  => suggestions :  –  —  − 
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[29:32]] => | Aspire 5512 WLMi  | - | - | - | Pilotes fglrx nécessaires |  <|>  -  => suggestions :  –  —  − 
27 Mot inconnu : fglrx [[42:47]] => | Aspire 5512 WLMi  | - | - | - | Pilotes fglrx nécessaires |  <|> fglrx
27 Espace(s) en fin de ligne à supprimer. [[61:62]] => | Aspire 5512 WLMi  | - | - | - | Pilotes fglrx nécessaires |  <|>  

36 Mot inconnu : WLMi_S58 [[14:22]] => | Aspire 5612 WLMi_S58  | - | - | - | Aucun problèmes, Wifi reconnu de suite, carte graphique installée grâce au gestionnaire de pilotes propriétaires. La webcam reconnue. |  <|> wlmi_s58
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[25:28]] => | Aspire 5612 WLMi_S58  | - | - | - | Aucun problèmes, Wifi reconnu de suite, carte graphique installée grâce au gestionnaire de pilotes propriétaires. La webcam reconnue. |  <|>  -  => suggestions :  –  —  − 
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[29:32]] => | Aspire 5612 WLMi_S58  | - | - | - | Aucun problèmes, Wifi reconnu de suite, carte graphique installée grâce au gestionnaire de pilotes propriétaires. La webcam reconnue. |  <|>  -  => suggestions :  –  —  − 
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[33:36]] => | Aspire 5612 WLMi_S58  | - | - | - | Aucun problèmes, Wifi reconnu de suite, carte graphique installée grâce au gestionnaire de pilotes propriétaires. La webcam reconnue. |  <|>  -  => suggestions :  –  —  − 
36 Accord de nombre erroné : « problèmes » devrait être au singulier. [[44:53]] => | Aspire 5612 WLMi_S58  | - | - | - | Aucun problèmes, Wifi reconnu de suite, carte graphique installée grâce au gestionnaire de pilotes propriétaires. La webcam reconnue. |  <|> problèmes => suggestions : problème
36 Espace(s) en fin de ligne à supprimer. [[173:174]] => | Aspire 5612 WLMi_S58  | - | - | - | Aucun problèmes, Wifi reconnu de suite, carte graphique installée grâce au gestionnaire de pilotes propriétaires. La webcam reconnue. |  <|>  

37 Mot inconnu : WLMI [[14:18]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> wlmi
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[27:30]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|>  -  => suggestions :  –  —  − 
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[31:34]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|>  -  => suggestions :  –  —  − 
37 Guillemets typographiques ouvrants. [[47:48]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> " => suggestions : « “
37 Guillemets typographiques fermants. [[52:53]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> " => suggestions :  »”
37 Mot inconnu : res [[124:127]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> res
37 Signe de multiplication typographique. [[128:137]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> 12800x800 => suggestions : 12800 × 800
37 Mot inconnu : x800 [[133:137]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> x800
37 Mot inconnu : Beryl [[167:172]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> beryl
37 Mot inconnu : ACPI [[174:178]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|> acpi
37 Espace(s) en fin de ligne à supprimer. [[190:191]] => | Aspire 5630 WLMI  | :-) | - | - | Sous 6.10 ("Edgy") : Wifi OK. Carte graphique GeForce Go 7300 OK avec pilotes proprio : res 12800x800, quelques clignotements sous Beryl. ACPI à tester. |  <|>  

42 Mot inconnu : WLMI [[14:18]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|> wlmi
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[21:24]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|>  -  => suggestions :  –  —  − 
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[25:28]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|>  -  => suggestions :  –  —  − 
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[29:32]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|>  -  => suggestions :  –  —  − 
42 Il manque un espace. [[42:47]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|> carte => suggestions :  Carte
42 Mot inconnu : res [[99:102]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|> res
42 Signe de multiplication typographique. [[103:111]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|> 1280x800 => suggestions : 1280 × 800
42 Mot inconnu : x800 [[107:111]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|> x800
42 Il manque un espace à côté du tiret. [[139:141]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|> -  => suggestions :  –  — 
42 Pas d’espace avant un point. [[144:146]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|>  . => suggestions : .
42 Espace(s) en fin de ligne à supprimer. [[148:149]] => | Aspire 5650 WLMI  | - | - | - | Wifi OK.Carte graphique GeForce Go 7600 OK avec pilotes nvidia : res 1280x800. lecteur de carte oui, TV T- oui . |  <|>  

46 Mot inconnu : WLMi_CGF2016 [[13:25]] => | Aspire 5683WLMi_CGF2016  | - | - | - | Écran OK , Wifi OK. Non reconnus : Lecteur de cartes, touches multimédia. Non testés : bluetooth, 3G |  <|> wlmi_cgf2016
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[28:31]] => | Aspire 5683WLMi_CGF2016  | - | - | - | Écran OK , Wifi OK. Non reconnus : Lecteur de cartes, touches multimédia. Non testés : bluetooth, 3G |  <|>  -  => suggestions :  –  —  − 
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[32:35]] => | Aspire 5683WLMi_CGF2016  | - | - | - | Écran OK , Wifi OK. Non reconnus : Lecteur de cartes, touches multimédia. Non testés : bluetooth, 3G |  <|>  -  => suggestions :  –  —  − 
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[36:39]] => | Aspire 5683WLMi_CGF2016  | - | - | - | Écran OK , Wifi OK. Non reconnus : Lecteur de cartes, touches multimédia. Non testés : bluetooth, 3G |  <|>  -  => suggestions :  –  —  − 
46 Pas d’espace avant une virgule. [[49:51]] => | Aspire 5683WLMi_CGF2016  | - | - | - | Écran OK , Wifi OK. Non reconnus : Lecteur de cartes, touches multimédia. Non testés : bluetooth, 3G |  <|>  , => suggestions : ,
46 Espace(s) en fin de ligne à supprimer. [[143:144]] => | Aspire 5683WLMi_CGF2016  | - | - | - | Écran OK , Wifi OK. Non reconnus : Lecteur de cartes, touches multimédia. Non testés : bluetooth, 3G |  <|>  
