1 Mot inconnu : xPlanetFX => ====== xPlanetFX ====== | xplanetfx
39 Accord de nombre erroné : « fichiers » devrait être au singulier. => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // | fichiers => suggestions : ['fichier']
39 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // | à => suggestions : ['a']
39 Incohérence : “à” est une préposition. “déverrouillez” est un verbe conjugué. => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // | déverrouillez => suggestions : []

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'onglet vue, sélectionner une ville, **enregistrer et actualiser** |    => suggestions : ['']
41 Accord de genre erroné entre “onglet” et “vue”. =>   * Dans l'onglet vue, sélectionner une ville, **enregistrer et actualiser** | vue => suggestions : ['vu']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ( si on ne peut pas enregistrer... attendre un peu ) |      => suggestions : ['']
42 Pas d’espace après ce signe. =>     ( si on ne peut pas enregistrer... attendre un peu ) | (  => suggestions : ['(']
42 Typographie : points de suspension. Utilisez le caractère dédié. =>     ( si on ne peut pas enregistrer... attendre un peu ) | ... => suggestions : ['…']
42 Pas d’espace avant ce signe. =>     ( si on ne peut pas enregistrer... attendre un peu ) |  ) => suggestions : [')']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

44 Espace(s) surnuméraire(s) à supprimer. => ===== Test  ===== |    => suggestions : [' ']

46 Mot inconnu : xplanetFX => Dans xplanetFX, dans l'onglet Affichage, modifier la taille de la Terre, Enregistrer et Actualiser. | xplanetfx

48 Pas d’espace après ce signe. => Observer les changements sur votre bureau ( le fond d'écran doit changer ) | (  => suggestions : ['(']
48 Pas d’espace avant ce signe. => Observer les changements sur votre bureau ( le fond d'écran doit changer ) |  ) => suggestions : [')']

49 Si “Le changement” est le sujet de “est”, la virgule est superflue (on ne sépare pas le verbe du sujet). Sinon “est” devrait être à l’impératif (à moins d’une inversion verbe-sujet). => Le changement, n'est pas immédiat, attendre quelques minutes. | changement, => suggestions : ['changement']
49 Si “Le changement” est le sujet de “est”, la virgule est superflue (on ne sépare pas le verbe du sujet). Sinon “est” devrait être à l’impératif (à moins d’une inversion verbe-sujet). => Le changement, n'est pas immédiat, attendre quelques minutes. | est => suggestions : ['sois']

53 Pas d’espace après ce signe. => //( ralentissement important, d’où l'importance de remettre le rafraîchissement 10, 20 minutes après vos test, et réglages  )// | (  => suggestions : ['(']
53 Accord de nombre erroné : « test » devrait être au pluriel. => //( ralentissement important, d’où l'importance de remettre le rafraîchissement 10, 20 minutes après vos test, et réglages  )// | test => suggestions : ['tests']
53 Espace(s) surnuméraire(s) à supprimer. => //( ralentissement important, d’où l'importance de remettre le rafraîchissement 10, 20 minutes après vos test, et réglages  )// |    => suggestions : [' ']
53 Pas d’espace avant ce signe. => //( ralentissement important, d’où l'importance de remettre le rafraîchissement 10, 20 minutes après vos test, et réglages  )// |  ) => suggestions : [')']

55 Espace(s) surnuméraire(s) à supprimer. => ===== Encore plus beau  ===== |    => suggestions : [' ']

57 Mot inconnu : templates => Dans l'onglet Outils, mises à jour des templates, téléchargement des thèmes... | templates
57 Typographie : points de suspension. Utilisez le caractère dédié. => Dans l'onglet Outils, mises à jour des templates, téléchargement des thèmes... | ... => suggestions : ['…']

61 Accord de nombre erroné : « images » devrait être au singulier. => Choisissez une images pour agrémenter d'une décoration la planète Terre. ( **enregistrer et actualiser** ) | images => suggestions : ['imagée', 'image']
61 Pas d’espace après ce signe. => Choisissez une images pour agrémenter d'une décoration la planète Terre. ( **enregistrer et actualiser** ) | (  => suggestions : ['(']
61 Pas d’espace avant ce signe. => Choisissez une images pour agrémenter d'une décoration la planète Terre. ( **enregistrer et actualiser** ) |  ) => suggestions : [')']
