
5 Mot inconnu : Brothers => ====== Brothers in Arms ROAD to HILL 30 ====== | brothers
22 Typographie : points de suspension. Utilisez le caractère dédié. => L'installation du jeux sous Wine commence...laisser les choix par défaut, et faire simplement suivant, accepter, suivant..., sauf tout à la fin, ne pas redémarrer , sélectionner ne pas s'enregistrer. | ... => suggestions : ['…']
22 Typographie : points de suspension. Utilisez le caractère dédié. => L'installation du jeux sous Wine commence...laisser les choix par défaut, et faire simplement suivant, accepter, suivant..., sauf tout à la fin, ne pas redémarrer , sélectionner ne pas s'enregistrer. | ... => suggestions : ['…']
22 Pas d’espace avant une virgule. => L'installation du jeux sous Wine commence...laisser les choix par défaut, et faire simplement suivant, accepter, suivant..., sauf tout à la fin, ne pas redémarrer , sélectionner ne pas s'enregistrer. |  , => suggestions : [',']
28 Mot inconnu : program-files => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | program-files
28 Typographie : points de suspension. Utilisez le caractère dédié. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | ... => suggestions : ['…']
28 Pas d’espace après ce signe. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | (  => suggestions : ['(']
28 Accord de nombre erroné : « dossiers » est au pluriel. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | le => suggestions : ['les']
28 Espace(s) surnuméraire(s) à supprimer. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  |    => suggestions : [' ']
28 Accord de nombre erroné : « dossiers » devrait être au singulier. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | dossiers => suggestions : ['dossier']
28 Typographie : points de suspension. Utilisez le caractère dédié. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | ..... => suggestions : ['…']
28 Mot inconnu : system => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | system
28 Mot inconnu : BIA => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | bia
28 Mot inconnu : EXE => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | exe
28 Pas d’espace avant ce signe. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  |  ) => suggestions : [')']
28 Mot inconnu : BIA => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | bia
28 Pas d’espace après ce signe. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | (  => suggestions : ['(']
28 Pas d’espace avant ce signe. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  |  ) => suggestions : [')']
28 Pas d’espace avant une virgule. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  |  , => suggestions : [',']
28 Espace(s) surnuméraire(s) à supprimer. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  |    => suggestions : [' ']
28 Pas d’espace après ce signe. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | (  => suggestions : ['(']
28 Pas d’espace avant ce signe. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  |  ) => suggestions : [')']
28 Guillemets typographiques ouvrants. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | " => suggestions : ['«\xa0', '“']
28 Guillemets typographiques fermants. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  | " => suggestions : ['\xa0»', '”']
28 Espace(s) en fin de ligne à supprimer. => On peut maintenant, Ajouter une application, parcourir pour trouver le programme : program-files... ( dans le  dossiers Ubisoft..... en enfin **system**, choisir le fichier **BIA.EXE** ) on peut enfin faire ouvrir. Remettre les paramètres d'affichage du jeu BIA ( mettre la même chose que le par défaut ) ,  et le son ( clic sur l'onglet, ça suffit ), toujours sur le modèle de "paramètres par défaut".  |   => suggestions : ['']

30 Incohérence probable avec “avez” : “installer” n’est pas un participe passé. => Si vous n'avez pas encore installer de jeux sous wine, il faut faire une seule modification qui permet d'éviter les problèmes de souris qui se bloque sur les cotés. ( sinon impossible de contrôler correctement votre soldat ) | installer => suggestions : ['installé']
30 Mot inconnu : wine => Si vous n'avez pas encore installer de jeux sous wine, il faut faire une seule modification qui permet d'éviter les problèmes de souris qui se bloque sur les cotés. ( sinon impossible de contrôler correctement votre soldat ) | wine
30 Confusion : “coté” est le participe passé du verbe “coter”. => Si vous n'avez pas encore installer de jeux sous wine, il faut faire une seule modification qui permet d'éviter les problèmes de souris qui se bloque sur les cotés. ( sinon impossible de contrôler correctement votre soldat ) | cotés => suggestions : ['côtés']
30 Pas d’espace après ce signe. => Si vous n'avez pas encore installer de jeux sous wine, il faut faire une seule modification qui permet d'éviter les problèmes de souris qui se bloque sur les cotés. ( sinon impossible de contrôler correctement votre soldat ) | (  => suggestions : ['(']
30 Pas d’espace avant ce signe. => Si vous n'avez pas encore installer de jeux sous wine, il faut faire une seule modification qui permet d'éviter les problèmes de souris qui se bloque sur les cotés. ( sinon impossible de contrôler correctement votre soldat ) |  ) => suggestions : [')']

32 Espace(s) surnuméraire(s) à supprimer. => Pour cela,  lancer un terminal, saisir : |    => suggestions : [' ']

36 Mot inconnu : Regedit => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | regedit
36 Espace(s) surnuméraire(s) à supprimer. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" |    => suggestions : [' ']
36 Mot inconnu : HKEY_CURRENT_USER => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | hkey_current_user
36 Mot inconnu : WINE => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | wine
36 Guillemets typographiques ouvrants. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : DirectInput => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | directinput
36 Guillemets typographiques fermants. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | " => suggestions : ['\xa0»', '”']
36 Pas d’espace après ce signe. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | (  => suggestions : ['(']
36 Pas d’espace avant ce signe. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" |  ) => suggestions : [')']
36 Guillemets typographiques ouvrants. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : MouseWarpOverride => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | mousewarpoverride
36 Guillemets typographiques fermants. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | " => suggestions : ['\xa0»', '”']
36 Guillemets typographiques ouvrants. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => Dans l'arborescence de Regedit rechercher :  HKEY_CURRENT_USER/SOFTWARE/WINE ajouter une clé "DirectInput", en faisant clic droite, Nouvelle clé, dans la partie à droite, dans cette même clé ( à l'intérieur ), ajouter une valeur chaine "MouseWarpOverride" et enfin indiquer comme valeur "force" | " => suggestions : ['\xa0»', '”']

38 Mot inconnu : Brothers => ===== Jouer à Brothers in Arms ===== | brothers
38 Mot inconnu : Arms => ===== Jouer à Brothers in Arms ===== | arms

40 Mot inconnu : Wine => Lancer le jeu, par le menu Applications, Wine, Programmes, Ubisoft...une fois trouver le " Jouer à Brothers in Arms" , on peut éventuellement créer un raccourci sur le bureau. | wine
40 Typographie : points de suspension. Utilisez le caractère dédié. => Lancer le jeu, par le menu Applications, Wine, Programmes, Ubisoft...une fois trouver le " Jouer à Brothers in Arms" , on peut éventuellement créer un raccourci sur le bureau. | ... => suggestions : ['…']
40 Guillemets isolés. => Lancer le jeu, par le menu Applications, Wine, Programmes, Ubisoft...une fois trouver le " Jouer à Brothers in Arms" , on peut éventuellement créer un raccourci sur le bureau. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
40 Mot inconnu : Brothers => Lancer le jeu, par le menu Applications, Wine, Programmes, Ubisoft...une fois trouver le " Jouer à Brothers in Arms" , on peut éventuellement créer un raccourci sur le bureau. | brothers
40 Mot inconnu : Arms => Lancer le jeu, par le menu Applications, Wine, Programmes, Ubisoft...une fois trouver le " Jouer à Brothers in Arms" , on peut éventuellement créer un raccourci sur le bureau. | arms
40 Guillemets typographiques fermants. => Lancer le jeu, par le menu Applications, Wine, Programmes, Ubisoft...une fois trouver le " Jouer à Brothers in Arms" , on peut éventuellement créer un raccourci sur le bureau. | " => suggestions : ['\xa0»', '”']
40 Pas d’espace avant une virgule. => Lancer le jeu, par le menu Applications, Wine, Programmes, Ubisoft...une fois trouver le " Jouer à Brothers in Arms" , on peut éventuellement créer un raccourci sur le bureau. |  , => suggestions : [',']

42 Guillemets isolés. => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
42 Guillemets fermants. => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. |  " => suggestions : ['\xa0»', '”']
42 Mot inconnu : Wine => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. | wine
42 Incohérence avec « ne » : « voyer » devrait être un verbe. => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. | voyer => suggestions : []
42 Guillemets isolés. => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
42 Mot inconnu : BIA => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. | bia
42 Guillemets fermants. => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. |  " => suggestions : ['\xa0»', '”']
42 Typographie : points de suspension. Utilisez le caractère dédié. => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. | ... => suggestions : ['…']
42 Mot inconnu : BIA => Si vous avez un message " Insérer le CD-ROM approprier ", aller dans Wine, onglet des lecteurs, il est probable que vous ne voyer pas le CD " BIA ", donc ajouter un lecteur, I ou K ou H ... chemin : parcourir dans le dossier media, choisir BIA. | bia

44 Accord de nombre erroné : « jeux » devrait être au singulier. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. | jeux => suggestions : ['jeu']
44 Pas d’espace après ce signe. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. | (  => suggestions : ['(']
44 Accord de genre erroné : « petit » est masculin. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. | une => suggestions : ['un']
44 Accord de genre erroné : « une » est un déterminant féminin. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. | petit => suggestions : ['petite']
44 Pas d’espace avant ce signe. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. |  ) => suggestions : [')']
44 Mot inconnu : Wine => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. | wine
44 Pas d’espace après ce signe. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. | (  => suggestions : ['(']
44 Pas d’espace avant ce signe. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. |  ) => suggestions : [')']
44 Pas d’espace après ce signe. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. | (  => suggestions : ['(']
44 Pas d’espace avant ce signe. => Configurer ce jeux comme beaucoup d'autre, la résolution vidéo en premier ( sinon le jeu n'occupe qu'une petit partie de l'écran ), pour quelle soit la même que votre bureau, et aussi la même que dans la configuration du jeu adapté dans Wine ( on peut alors jouer en grand écran ), la qualité des graphismes, selon votre matériel, mais aussi les commandes avance, recule, droite et gauche et penser à afficher le viseur ( Cible oui ), plus tard on pourra également se passer du mode apprentissage. |  ) => suggestions : [')']

48 Mot inconnu : Brothers => [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=6335&iTestingId=70841| Brothers in arms sous wine)]]. | brothers
48 Mot inconnu : arms => [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=6335&iTestingId=70841| Brothers in arms sous wine)]]. | arms
48 Mot inconnu : wine => [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=6335&iTestingId=70841| Brothers in arms sous wine)]]. | wine
