1 Mot inconnu : Konqueror => ====== Astuces pour Konqueror ====== | konqueror
57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F9 : masque/affiche le panneau de navigation à gauche |    => suggestions : ['']
57 Mot inconnu : F9 =>   * F9 : masque/affiche le panneau de navigation à gauche | f9

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F11 : mode plein écran |    => suggestions : ['']
58 Mot inconnu : F11 =>   * F11 : mode plein écran | f11

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F2 : Renomme le fichier |    => suggestions : ['']
60 Typographie des composés chimiques. =>   * F2 : Renomme le fichier | f2 => suggestions : ['F₂']
60 Mot inconnu : F2 =>   * F2 : Renomme le fichier | f2

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F7 : Copie le fichier |    => suggestions : ['']
61 Mot inconnu : F7 =>   * F7 : Copie le fichier | f7

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F8 : Déplace le fichier |    => suggestions : ['']
62 Mot inconnu : F8 =>   * F8 : Déplace le fichier | f8

67 Mot inconnu : Konqueror => L'interface graphique ne permet de régler tous les paramètres de Konqueror, il faudra alors passer par un terminal.\\ | konqueror

68 Mot inconnu : kde => Ces commandes modifient directement le contenu dans le fichier **~/.kde/share/config/konquerorrc** | kde
68 Mot inconnu : share => Ces commandes modifient directement le contenu dans le fichier **~/.kde/share/config/konquerorrc** | share
68 Mot inconnu : konquerorrc => Ces commandes modifient directement le contenu dans le fichier **~/.kde/share/config/konquerorrc** | konquerorrc

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cacher les boutons « nouvel onglet » et « fermer l'onglet » de la barre des onglets : |    => suggestions : ['']
69 Accord de nombre erroné avec « les boutons » : « nouvel » devrait être au pluriel. =>   * Cacher les boutons « nouvel onglet » et « fermer l'onglet » de la barre des onglets : | nouvel => suggestions : ['nouvels']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false |    => suggestions : ['']
71 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | kwriteconfig
71 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | konquerorrc
71 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | group
71 Mot inconnu : FMSettings =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | fmsettings
71 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | key
71 Mot inconnu : AddTabButton =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | addtabbutton
71 Mot inconnu : bool =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | bool
71 Mot inconnu : false =>   kwriteconfig --file konquerorrc --group FMSettings --key AddTabButton --type bool false | false

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false |    => suggestions : ['']
72 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | kwriteconfig
72 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | konquerorrc
72 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | group
72 Mot inconnu : FMSettings =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | fmsettings
72 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | key
72 Mot inconnu : CloseTabButton =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | closetabbutton
72 Mot inconnu : bool =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | bool
72 Mot inconnu : false =>   kwriteconfig --file konquerorrc --group FMSettings --key CloseTabButton --type bool false | false

73 Mot inconnu : false => //Remplacer **false** par **true** pour obtenir l'inverse.// | false
73 Mot inconnu : true => //Remplacer **false** par **true** pour obtenir l'inverse.// | true

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Afficher le bouton de fermeture de l'onglet au passage de la souris sur l'icône de l'onglet : |    => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false |    => suggestions : ['']
76 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | kwriteconfig
76 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | konquerorrc
76 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | group
76 Mot inconnu : FMSettings =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | fmsettings
76 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | key
76 Mot inconnu : PermanentCloseButton =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | permanentclosebutton
76 Mot inconnu : bool =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | bool
76 Mot inconnu : false =>   kwriteconfig --file konquerorrc --group FMSettings --key PermanentCloseButton --type bool false | false

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true |    => suggestions : ['']
77 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | kwriteconfig
77 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | konquerorrc
77 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | group
77 Mot inconnu : FMSettings =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | fmsettings
77 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | key
77 Mot inconnu : HoverCloseButton =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | hoverclosebutton
77 Mot inconnu : bool =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | bool
77 Mot inconnu : true =>   kwriteconfig --file konquerorrc --group FMSettings --key HoverCloseButton --type bool true | true

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Désactiver l'affichage de l'icône du site sur l'onglet : |    => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false |    => suggestions : ['']
81 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | kwriteconfig
81 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | konquerorrc
81 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | group
81 Guillemets typographiques ouvrants. =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : Settings =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | settings
81 Guillemets typographiques fermants. =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | key
81 Mot inconnu : EnableFavicon =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | enablefavicon
81 Mot inconnu : bool =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | bool
81 Mot inconnu : false =>   kwriteconfig --file konquerorrc --group "HTML Settings" --key EnableFavicon --type bool false | false

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Afficher les onglets en bas de page : |    => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom |    => suggestions : ['']
85 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | kwriteconfig
85 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | konquerorrc
85 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | group
85 Guillemets typographiques ouvrants. =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : FMSettings =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | fmsettings
85 Guillemets typographiques fermants. =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | " => suggestions : ['\xa0»', '”']
85 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | key
85 Mot inconnu : TabPosition =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | tabposition
85 Mot inconnu : Bottom =>   kwriteconfig --file konquerorrc --group "FMSettings" --key TabPosition Bottom | bottom

86 Mot inconnu : Bottom => //Remplacer **Bottom** par **Top** pour les remettre en haut// | bottom

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changer la taille des onglets : |    => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group General --key MaximumTabLength 30 |    => suggestions : ['']
89 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group General --key MaximumTabLength 30 | kwriteconfig
89 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group General --key MaximumTabLength 30 | konquerorrc
89 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group General --key MaximumTabLength 30 | group
89 Mot inconnu : General =>   kwriteconfig --file konquerorrc --group General --key MaximumTabLength 30 | general
89 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group General --key MaximumTabLength 30 | key
89 Mot inconnu : MaximumTabLength =>   kwriteconfig --file konquerorrc --group General --key MaximumTabLength 30 | maximumtablength

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group General --key MinimumTabLength 3 |    => suggestions : ['']
90 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group General --key MinimumTabLength 3 | kwriteconfig
90 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group General --key MinimumTabLength 3 | konquerorrc
90 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group General --key MinimumTabLength 3 | group
90 Mot inconnu : General =>   kwriteconfig --file konquerorrc --group General --key MinimumTabLength 3 | general
90 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group General --key MinimumTabLength 3 | key
90 Mot inconnu : MinimumTabLength =>   kwriteconfig --file konquerorrc --group General --key MinimumTabLength 3 | minimumtablength

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fermer l'onglet par un clic-milieu : |    => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true |    => suggestions : ['']
94 Mot inconnu : kwriteconfig =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | kwriteconfig
94 Mot inconnu : konquerorrc =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | konquerorrc
94 Mot inconnu : group =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | group
94 Guillemets typographiques ouvrants. =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | " => suggestions : ['«\xa0', '“']
94 Mot inconnu : FMSettings =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | fmsettings
94 Guillemets typographiques fermants. =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | " => suggestions : ['\xa0»', '”']
94 Mot inconnu : key =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | key
94 Mot inconnu : MouseMiddleClickClosesTab =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | mousemiddleclickclosestab
94 Mot inconnu : bool =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | bool
94 Mot inconnu : true =>   kwriteconfig --file konquerorrc --group "FMSettings" --key MouseMiddleClickClosesTab --type bool true | true
100 Mot inconnu : opensuse-bugs => (source: [[http://lists.opensuse.org/opensuse-bugs/2007-08/msg06268.html|Lien opensuse-bugs >> report]][[http://lists.opensuse.org/opensuse-bugs/2007-08/msg07034.html|Lien opensuse-bugs >> soluce]]</note> | opensuse-bugs
100 Mot inconnu : opensuse-bugs => (source: [[http://lists.opensuse.org/opensuse-bugs/2007-08/msg06268.html|Lien opensuse-bugs >> report]][[http://lists.opensuse.org/opensuse-bugs/2007-08/msg07034.html|Lien opensuse-bugs >> soluce]]</note> | opensuse-bugs
100 Mot inconnu : soluce => (source: [[http://lists.opensuse.org/opensuse-bugs/2007-08/msg06268.html|Lien opensuse-bugs >> report]][[http://lists.opensuse.org/opensuse-bugs/2007-08/msg07034.html|Lien opensuse-bugs >> soluce]]</note> | soluce

104 Mot inconnu : konqueror => Assurez-vous que l'affichage des aperçus soit correctement activé dans konqueror (menu "Affichage / Aperçus"). | konqueror
104 Guillemets typographiques ouvrants. => Assurez-vous que l'affichage des aperçus soit correctement activé dans konqueror (menu "Affichage / Aperçus"). | " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. => Assurez-vous que l'affichage des aperçus soit correctement activé dans konqueror (menu "Affichage / Aperçus"). | " => suggestions : ['\xa0»', '”']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   libakode2-mpeg |    => suggestions : ['']
108 Mot inconnu : libakode2-mpeg =>   libakode2-mpeg | libakode2-mpeg

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   libarts1-xine |    => suggestions : ['']
109 Mot inconnu : libarts1-xine =>   libarts1-xine | libarts1-xine

