10 Mot inconnu : Evolution [[22:31]] =>   * Des contacts dans Evolution ou Pidgin, <|> evolution
73 Guillemets typographiques ouvrants. [[20:21]] => Allez dans l'onglet "Greffons" des préférences et cochez les cases que vous souhaitez activer. <|> " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. [[29:30]] => Allez dans l'onglet "Greffons" des préférences et cochez les cases que vous souhaitez activer. <|> " => suggestions : ['\xa0»', '”']

77 Guillemets typographiques ouvrants. [[69:70]] => Pour changer l'apparence allez dans les préférences et dans l'onglet "Apparences", choisissez le thème de votre choix. Ici un exemple des thèmes **mini**: <|> " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. [[80:81]] => Pour changer l'apparence allez dans les préférences et dans l'onglet "Apparences", choisissez le thème de votre choix. Ici un exemple des thèmes **mini**: <|> " => suggestions : ['\xa0»', '”']

81 Mot inconnu : KDE4 [[23:27]] => et **Glass**, adapté à KDE4 et son thème Oxygen:\\ <|> kde4
81 Mot inconnu : Oxygen [[41:47]] => et **Glass**, adapté à KDE4 et son thème Oxygen:\\ <|> oxygen
88 Espace(s) surnuméraire(s) à supprimer. [[59:61]] => Si vous souhaitez que GNOME-Do se lance « silencieusement »  (c'est-à-dire que le programme sera chargé par le système mais ne s'affichera que lorsque vous l'appellerez) cochez la case «Masquer la fenêtre au premier lancement». <|>    => suggestions : [' ']
93 Il manque un espace. [[39:45]] => Solution : Dans Firefox, tapez //about:config// dans la barre d'adresse. Tapez ensuite //browser.bookmarks.autoExportHTML// dans le filtre de recherche. <|> config => suggestions : [' config']

94 Guillemets typographiques ouvrants. [[87:88]] => Double-cliquez ensuite sur la ligne correspondante tel que la valeur à droite passe de "false" à "true". <|> " => suggestions : ['«\xa0', '“']
94 Mot inconnu : false [[88:93]] => Double-cliquez ensuite sur la ligne correspondante tel que la valeur à droite passe de "false" à "true". <|> false
94 Guillemets typographiques fermants. [[93:94]] => Double-cliquez ensuite sur la ligne correspondante tel que la valeur à droite passe de "false" à "true". <|> " => suggestions : ['\xa0»', '”']
94 Guillemets typographiques ouvrants. [[97:98]] => Double-cliquez ensuite sur la ligne correspondante tel que la valeur à droite passe de "false" à "true". <|> " => suggestions : ['«\xa0', '“']
94 Mot inconnu : true [[98:102]] => Double-cliquez ensuite sur la ligne correspondante tel que la valeur à droite passe de "false" à "true". <|> true
94 Guillemets typographiques fermants. [[102:103]] => Double-cliquez ensuite sur la ligne correspondante tel que la valeur à droite passe de "false" à "true". <|> " => suggestions : ['\xa0»', '”']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
