
5 Mot inconnu : Grub => ====== Grub: problème de clavier non fonctionnel ====== | grub
20 Mot inconnu : BootLogo =>   * Désactiver le logo du fabriquant (appelé "BootLogo" en général) peut aussi régler le problème.* | bootlogo
20 Guillemets typographiques fermants. =>   * Désactiver le logo du fabriquant (appelé "BootLogo" en général) peut aussi régler le problème.* | " => suggestions : ['\xa0»', '”']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" |    => suggestions : ['']
23 Mot inconnu : BD7 =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | bd7
23 Mot inconnu : Abit =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | abit
23 Guillemets typographiques ouvrants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['«\xa0', '“']
23 Mot inconnu : Integrated =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | integrated
23 Mot inconnu : Peripherals =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | peripherals
23 Guillemets typographiques fermants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['\xa0»', '”']
23 Guillemets typographiques ouvrants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['«\xa0', '“']
23 Mot inconnu : controller =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | controller
23 Guillemets typographiques fermants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['\xa0»', '”']
23 Guillemets typographiques ouvrants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['\xa0»', '”']
23 Mot inconnu : ald =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | ald
23 Guillemets typographiques ouvrants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['\xa0»', '”']
23 Confusion probable. Écrivez “là” si vous voulez dire “ici”. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | la => suggestions : ['là']
23 Accord de genre erroné : « la » est un déterminant féminin. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | sous => suggestions : ['soue']
23 Guillemets typographiques ouvrants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['«\xa0', '“']
23 Mot inconnu : Keyboard =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | keyboard
23 Guillemets typographiques fermants. =>   * sur une carte mère BD7 de chez Abit, l'option se trouve dans le menu "Menu Integrated Peripherals" rubrique "USB controller", mettre l'option "BIOS" ald "OS" dans la sous rubrique "USB Keyboard Support" | " => suggestions : ['\xa0»', '”']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sur un ACER plutôt récent (récent de quand ??), il suffit de bouger la souris USB entre chaque touche pour qu'il tienne compte du clavier, louche mais bon... |    => suggestions : ['']
24 Typographie : points de suspension. Utilisez le caractère dédié. =>   * sur un ACER plutôt récent (récent de quand ??), il suffit de bouger la souris USB entre chaque touche pour qu'il tienne compte du clavier, louche mais bon... | ... => suggestions : ['…']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sur un PC EeeTop Asus, j'ai modifié la priorité des périphériques de démarrage, j'ai mis en première position [Périph. Amovible], plus de fonctionnement aléatoire du clavier usb avec grub. |    => suggestions : ['']
25 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * sur un PC EeeTop Asus, j'ai modifié la priorité des périphériques de démarrage, j'ai mis en première position [Périph. Amovible], plus de fonctionnement aléatoire du clavier usb avec grub. | sur => suggestions : ['Sur']
25 Mot inconnu : EeeTop =>   * sur un PC EeeTop Asus, j'ai modifié la priorité des périphériques de démarrage, j'ai mis en première position [Périph. Amovible], plus de fonctionnement aléatoire du clavier usb avec grub. | eeetop
25 Mot inconnu : usb =>   * sur un PC EeeTop Asus, j'ai modifié la priorité des périphériques de démarrage, j'ai mis en première position [Périph. Amovible], plus de fonctionnement aléatoire du clavier usb avec grub. | usb
25 Mot inconnu : grub =>   * sur un PC EeeTop Asus, j'ai modifié la priorité des périphériques de démarrage, j'ai mis en première position [Périph. Amovible], plus de fonctionnement aléatoire du clavier usb avec grub. | grub
