
4 Mot inconnu : MT7630e => ====== Carte Wifi et Bluetooth MT7630e ====== | mt7630e
22 Guillemets typographiques ouvrants. => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | " => suggestions : ['«\xa0', '“']
22 Mot inconnu : Secure => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | secure
22 Mot inconnu : boot => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | boot
22 Guillemets typographiques fermants. => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | " => suggestions : ['\xa0»', '”']
22 Guillemets typographiques ouvrants. => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | " => suggestions : ['«\xa0', '“']
22 Mot inconnu : Disabled => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | disabled
22 Guillemets typographiques fermants. => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | " => suggestions : ['\xa0»', '”']
22 Guillemets typographiques ouvrants. => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | " => suggestions : ['«\xa0', '“']
22 Mot inconnu : System => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | system
22 Mot inconnu : setup => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | setup
22 Guillemets typographiques fermants. => On commence par désactiver le secure boot qui bloque le wifi et le bluetooth : redémarrer le PC, rentrer dans le mode "System setup" avant qu'ubuntu se lance, naviguer dans les onglets pour trouver le "Secure boot" et le passer en "Disabled", sauvegarder, quitter le mode "System setup" et lancer ubuntu. | " => suggestions : ['\xa0»', '”']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install git build-essential |    => suggestions : ['']
25 Mot inconnu : sudo =>   sudo apt-get install git build-essential | sudo
25 Mot inconnu : apt-get =>   sudo apt-get install git build-essential | apt-get
25 Mot inconnu : install =>   sudo apt-get install git build-essential | install
25 Mot inconnu : build-essential =>   sudo apt-get install git build-essential | build-essential

26 Mot inconnu : github => On télécharge le code disponible sur github : | github

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone https://github.com/neurobin/MT7630E.git |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd MT7630E/ |    => suggestions : ['']
28 Mot inconnu : MT7630E =>   cd MT7630E/ | mt7630e

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x install test uninstall |    => suggestions : ['']
30 Mot inconnu : chmod =>   chmod +x install test uninstall | chmod
30 Mot inconnu : install =>   chmod +x install test uninstall | install
30 Mot inconnu : uninstall =>   chmod +x install test uninstall | uninstall

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./install |    => suggestions : ['']
32 Mot inconnu : sudo =>   sudo ./install | sudo
32 Mot inconnu : install =>   sudo ./install | install

33 Mot inconnu : root => (il vous faudra renseigner votre mot de passe root) | root

36 Mot inconnu : bluetooth => Avant d'installer le bluetooth, vous devez avoir installé le wifi avec la méthode ci-dessus | bluetooth

40 Mot inconnu : dkms => On installe le paquet dkms : | dkms

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install dkms |    => suggestions : ['']
41 Mot inconnu : sudo =>   sudo apt-get install dkms | sudo
41 Mot inconnu : apt-get =>   sudo apt-get install dkms | apt-get
41 Mot inconnu : install =>   sudo apt-get install dkms | install
41 Mot inconnu : dkms =>   sudo apt-get install dkms | dkms

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd MT7630E/ |    => suggestions : ['']
43 Mot inconnu : MT7630E =>   cd MT7630E/ | mt7630e

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x bpatch |    => suggestions : ['']
44 Mot inconnu : chmod =>   chmod +x bpatch | chmod
44 Mot inconnu : bpatch =>   chmod +x bpatch | bpatch

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./bpatch |    => suggestions : ['']
46 Mot inconnu : sudo =>   sudo ./bpatch | sudo
46 Mot inconnu : bpatch =>   sudo ./bpatch | bpatch

47 Mot inconnu : root => (il vous faudra renseigner votre mot de passe root) | root

53 Espace(s) surnuméraire(s) à supprimer. => ==== Réinstallation après mise à jour des paquets d'Ubuntu  ==== |    => suggestions : [' ']

54 Mot inconnu : kernel => Lorsque le noyau (kernel) évolue lors d'une mise à jour des paquets d'Ubuntu, le wifi et le bluetooth ne fonctionnent plus.  | kernel
54 Mot inconnu : bluetooth => Lorsque le noyau (kernel) évolue lors d'une mise à jour des paquets d'Ubuntu, le wifi et le bluetooth ne fonctionnent plus.  | bluetooth
54 Espace(s) en fin de ligne à supprimer. => Lorsque le noyau (kernel) évolue lors d'une mise à jour des paquets d'Ubuntu, le wifi et le bluetooth ne fonctionnent plus.  |   => suggestions : ['']

58 Guillemets typographiques ouvrants. => Créer un fichier "wifi.sh" dans le dossier utilisateur "home/nom_d_utilisateur".  | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : sh => Créer un fichier "wifi.sh" dans le dossier utilisateur "home/nom_d_utilisateur".  | sh
58 Guillemets typographiques fermants. => Créer un fichier "wifi.sh" dans le dossier utilisateur "home/nom_d_utilisateur".  | " => suggestions : ['\xa0»', '”']
58 Guillemets typographiques ouvrants. => Créer un fichier "wifi.sh" dans le dossier utilisateur "home/nom_d_utilisateur".  | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : nom_d_utilisateur => Créer un fichier "wifi.sh" dans le dossier utilisateur "home/nom_d_utilisateur".  | nom_d_utilisateur
58 Guillemets typographiques fermants. => Créer un fichier "wifi.sh" dans le dossier utilisateur "home/nom_d_utilisateur".  | " => suggestions : ['\xa0»', '”']
58 Espace(s) en fin de ligne à supprimer. => Créer un fichier "wifi.sh" dans le dossier utilisateur "home/nom_d_utilisateur".  |   => suggestions : ['']

59 Guillemets typographiques ouvrants. => Accédez aux propriétés du fichier (clic droit, propriétés), allez à l'onglet "Droits d'accès" et cochez "Est exécutable". | " => suggestions : ['«\xa0', '“']
59 Accord de nombre erroné avec “onglet” : “Droits” devrait être au singulier. => Accédez aux propriétés du fichier (clic droit, propriétés), allez à l'onglet "Droits d'accès" et cochez "Est exécutable". | droits => suggestions : ['Droit']
59 Guillemets typographiques fermants. => Accédez aux propriétés du fichier (clic droit, propriétés), allez à l'onglet "Droits d'accès" et cochez "Est exécutable". | " => suggestions : ['\xa0»', '”']
59 Guillemets typographiques ouvrants. => Accédez aux propriétés du fichier (clic droit, propriétés), allez à l'onglet "Droits d'accès" et cochez "Est exécutable". | " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. => Accédez aux propriétés du fichier (clic droit, propriétés), allez à l'onglet "Droits d'accès" et cochez "Est exécutable". | " => suggestions : ['\xa0»', '”']

60 Guillemets typographiques ouvrants. => Ouvrir le fichier "wifi.sh" avec un éditeur de texte (Gedit, kate) et copier les lignes suivantes : | " => suggestions : ['«\xa0', '“']
60 Mot inconnu : sh => Ouvrir le fichier "wifi.sh" avec un éditeur de texte (Gedit, kate) et copier les lignes suivantes : | sh
60 Guillemets typographiques fermants. => Ouvrir le fichier "wifi.sh" avec un éditeur de texte (Gedit, kate) et copier les lignes suivantes : | " => suggestions : ['\xa0»', '”']
60 Mot inconnu : Gedit => Ouvrir le fichier "wifi.sh" avec un éditeur de texte (Gedit, kate) et copier les lignes suivantes : | gedit
60 Mot inconnu : kate => Ouvrir le fichier "wifi.sh" avec un éditeur de texte (Gedit, kate) et copier les lignes suivantes : | kate

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd MT7630E/ |    => suggestions : ['']
61 Mot inconnu : MT7630E =>   cd MT7630E/ | mt7630e

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./uninstall |    => suggestions : ['']
62 Mot inconnu : sudo =>   sudo ./uninstall | sudo
62 Mot inconnu : uninstall =>   sudo ./uninstall | uninstall

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./bpatch -u |    => suggestions : ['']
63 Mot inconnu : sudo =>   sudo ./bpatch -u | sudo
63 Mot inconnu : bpatch =>   sudo ./bpatch -u | bpatch
63 Il manque un espace à côté du tiret. =>   sudo ./bpatch -u |  - => suggestions : [' – ', ' — ']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo make clean |    => suggestions : ['']
64 Mot inconnu : sudo =>   sudo make clean | sudo
64 Mot inconnu : make =>   sudo make clean | make

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./install |    => suggestions : ['']
65 Mot inconnu : sudo =>   sudo ./install | sudo
65 Mot inconnu : install =>   sudo ./install | install

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./bpatch |    => suggestions : ['']
66 Mot inconnu : sudo =>   sudo ./bpatch | sudo
66 Mot inconnu : bpatch =>   sudo ./bpatch | bpatch

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./wifi.sh |    => suggestions : ['']
69 Mot inconnu : sudo =>   sudo ./wifi.sh | sudo
69 Mot inconnu : sh =>   sudo ./wifi.sh | sh

71 Mot inconnu : DKMS => ===== Installation complète avec DKMS (moins automatisé) ===== | dkms

73 Mot inconnu : DKMS => Il est important de noter que cette méthode utilise DKMS et ainsi doit être renouvelée en partie à chaque changement de noyaux. Pour éviter ce problème préférez le script plus haut qui charge les modules avec insmod au démarrage. | dkms
73 Mot inconnu : insmod => Il est important de noter que cette méthode utilise DKMS et ainsi doit être renouvelée en partie à chaque changement de noyaux. Pour éviter ce problème préférez le script plus haut qui charge les modules avec insmod au démarrage. | insmod

75 Mot inconnu : email => Commencez par aller chercher les sources sur la page http://www.mediatek.com/en/downloads/mt7630-pcie/ (vous devez donner une adresse mail, mais vous pouvez mettre une adresse quelconque il n'y a aucune vérification d'email). Décompressez la et allez dans le dossier nouvellement créé en console. | email
75 S’il s’agit d’un impératif, mettez un trait d’union. => Commencez par aller chercher les sources sur la page http://www.mediatek.com/en/downloads/mt7630-pcie/ (vous devez donner une adresse mail, mais vous pouvez mettre une adresse quelconque il n'y a aucune vérification d'email). Décompressez la et allez dans le dossier nouvellement créé en console. | décompressez la => suggestions : ['Décompressez-la']

77 Accord de nombre erroné avec « les paquets » : « nécessaire » devrait être au pluriel. => Commencez par installer les paquets nécessaire à la compilation et à l'installation : | nécessaire => suggestions : ['nécessaires']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install build-essential dkms |    => suggestions : ['']
78 Mot inconnu : sudo =>   sudo apt-get install build-essential dkms | sudo
78 Mot inconnu : apt-get =>   sudo apt-get install build-essential dkms | apt-get
78 Mot inconnu : install =>   sudo apt-get install build-essential dkms | install
78 Mot inconnu : build-essential =>   sudo apt-get install build-essential dkms | build-essential
78 Mot inconnu : dkms =>   sudo apt-get install build-essential dkms | dkms

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

81 Mot inconnu : ReadMe => Lancez ensuite, comme spécifié dans le ReadMe : | readme

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo su |    => suggestions : ['']
82 Mot inconnu : sudo =>   sudo su | sudo

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo cp firmware/Wi-FI/MT7650E234.bin /lib/firmware |    => suggestions : ['']
83 Mot inconnu : sudo =>   sudo cp firmware/Wi-FI/MT7650E234.bin /lib/firmware | sudo
83 Mot inconnu : cp =>   sudo cp firmware/Wi-FI/MT7650E234.bin /lib/firmware | cp
83 Mot inconnu : Wi-FI =>   sudo cp firmware/Wi-FI/MT7650E234.bin /lib/firmware | wi-fi
83 Mot inconnu : MT7650E234 =>   sudo cp firmware/Wi-FI/MT7650E234.bin /lib/firmware | mt7650e234
83 Mot inconnu : bin =>   sudo cp firmware/Wi-FI/MT7650E234.bin /lib/firmware | bin

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd rt2x00/ |    => suggestions : ['']
84 Mot inconnu : rt2x00 =>   cd rt2x00/ | rt2x00
84 Signe de multiplication typographique. =>   cd rt2x00/ | 2x00 => suggestions : ['2\xa0×\xa000']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make clean |    => suggestions : ['']
85 Mot inconnu : make =>   make clean | make

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
86 Mot inconnu : make =>   make | make

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x load.sh |    => suggestions : ['']
89 Mot inconnu : chmod =>   chmod +x load.sh | chmod
89 Mot inconnu : load =>   chmod +x load.sh | load
89 Mot inconnu : sh =>   chmod +x load.sh | sh

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./load.sh |    => suggestions : ['']
90 Mot inconnu : load =>   ./load.sh | load
90 Mot inconnu : sh =>   ./load.sh | sh

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

92 Si “la méthode…” est bien le COD du participe passé “trouvé”, celui-ci devrait être au féminin singulier. => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | trouvé => suggestions : ['trouvée']
92 Mot inconnu : dkms => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | dkms
92 Typographie : points de suspension. Utilisez le caractère dédié. => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | ... => suggestions : ['…']
92 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | a => suggestions : ['À']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd .. |    => suggestions : ['']
94 Typographie : un ou trois points ? =>   cd .. | .. => suggestions : ['…', '.']

95 Mot inconnu : rt2x00 => Puis copier rt2x00 dans un nouveau dossier portant le nom du noyau : | rt2x00
95 Signe de multiplication typographique. => Puis copier rt2x00 dans un nouveau dossier portant le nom du noyau : | 2x00 => suggestions : ['2\xa0×\xa000']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r |    => suggestions : ['']
96 Mot inconnu : cp =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | cp
96 Mot inconnu : rt2x00 =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | rt2x00
96 Signe de multiplication typographique. =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | 2x00 => suggestions : ['2\xa0×\xa000']
96 Guillemets typographiques ouvrants. =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | " => suggestions : ['«\xa0', '“']
96 Mot inconnu : rt2x00 =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | rt2x00
96 Signe de multiplication typographique. =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | 2x00 => suggestions : ['2\xa0×\xa000']
96 Mot inconnu : uname =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | uname
96 Il manque un espace à côté du tiret. =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r |  - => suggestions : [' – ', ' — ']
96 Mot inconnu : egrep =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | egrep
96 Il manque un espace à côté du tiret. =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r |  - => suggestions : [' – ', ' — ']
96 Mot inconnu : head =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | head
96 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   cp rt2x00 "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | -1 => suggestions : ['−1', '– 1', '— 1']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" |    => suggestions : ['']
