
9 Mot inconnu : superutilisateur => Le présent document est dédié aux programmes et outils en ligne de commandes permettant d'obtenir des informations à propos de son ordinateur. Certains nécessitent des [[superutilisateur|droits d'administration]] ou doivent être installés séparément. La plupart de ces programmes s'utilisent en mode [[console]]. | superutilisateur

17 Mot inconnu : ca => Pour ca il suffit d'installer **[[apt>hw-probe]]**\\ | ca
293 Mot inconnu : iostat => ==== iostat ==== | iostat

295 Mot inconnu : sysstat => Affiche des statistiques d'entrées-sorties sur les disques ou partitions. Fourni avec le paquet **sysstat**. | sysstat

302 Mot inconnu : vmstat => ==== vmstat ==== | vmstat

304 Mot inconnu : procps => Affiche des statistiques sur la mémoire virtuelle. (Fourni avec le paquet **procps**, et non pas **sysstat**) | procps
304 Mot inconnu : sysstat => Affiche des statistiques sur la mémoire virtuelle. (Fourni avec le paquet **procps**, et non pas **sysstat**) | sysstat

310 Mot inconnu : netstat => ==== netstat ==== | netstat

315 Mot inconnu : iptraf => ==== iptraf ==== | iptraf

320 Mot inconnu : lsof => ==== lsof ==== | lsof

328 Espace(s) en fin de ligne à supprimer. => Via des tests qui mettent vos composants au maximum de leurs performances.  |   => suggestions : ['']

329 Mot inconnu : hardinfo => ==== hardinfo ==== | hardinfo

331 Mot inconnu : ZLib => ZLib, Fibonacci, MD5, Sha1, Blowfish, FPU Raytracing. | zlib
331 Mot inconnu : MD5 => ZLib, Fibonacci, MD5, Sha1, Blowfish, FPU Raytracing. | md5
331 Mot inconnu : Sha1 => ZLib, Fibonacci, MD5, Sha1, Blowfish, FPU Raytracing. | sha1
331 Mot inconnu : Blowfish => ZLib, Fibonacci, MD5, Sha1, Blowfish, FPU Raytracing. | blowfish
331 Mot inconnu : FPU => ZLib, Fibonacci, MD5, Sha1, Blowfish, FPU Raytracing. | fpu
331 Mot inconnu : Raytracing => ZLib, Fibonacci, MD5, Sha1, Blowfish, FPU Raytracing. | raytracing

334 Mot inconnu : systester => ==== systester ==== | systester

341 Mot inconnu : glxgears => ==== glxgears ==== | glxgears

343 Mot inconnu : frames => Pour tester l'accélération graphique. Affiche dans la console le nombre d'images (frames) par secondes. | frames

347 Mot inconnu : glxgears => Par défaut glxgears tourne en mode de synchronisation verticale (V_sync), il doit donc afficher 60 FPS (pour un écran ordinaire ayant une fréquence de rafraîchissement de 60 Hz). | glxgears
347 Mot inconnu : V_sync => Par défaut glxgears tourne en mode de synchronisation verticale (V_sync), il doit donc afficher 60 FPS (pour un écran ordinaire ayant une fréquence de rafraîchissement de 60 Hz). | v_sync
347 Mot inconnu : FPS => Par défaut glxgears tourne en mode de synchronisation verticale (V_sync), il doit donc afficher 60 FPS (pour un écran ordinaire ayant une fréquence de rafraîchissement de 60 Hz). | fps

357 Mot inconnu : gtkperf => ==== gtkperf ==== | gtkperf

359 Accord de nombre erroné : « performances » devrait être au singulier. => Teste la performances graphique des affichages "de bureau" : contrôles, dessins dans des fenêtres, texte. | performances => suggestions : ['performance']
359 Guillemets typographiques ouvrants. => Teste la performances graphique des affichages "de bureau" : contrôles, dessins dans des fenêtres, texte. | " => suggestions : ['«\xa0', '“']
359 Guillemets typographiques fermants. => Teste la performances graphique des affichages "de bureau" : contrôles, dessins dans des fenêtres, texte. | " => suggestions : ['\xa0»', '”']
