5 Mot inconnu : Averatec [[29:37]] => ====== Liste des portables « Averatec » ====== <|> averatec

8 Mot inconnu : AV2460-FY1 [[1:11]] => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> av2460-fy1
9 Mot inconnu : blacklist [[158:167]] => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> blacklist
9 Mot inconnu : yes [[168:171]] => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> yes
9 Pas d’espace avant un point. [[173:175]] => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|>  . => suggestions : ['.']
9 Mot inconnu : SD [[197:199]] => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> sd
9 Mot inconnu : éthernet [[230:238]] => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> éthernet
9 Mot inconnu : VGA [[276:279]] => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> vga

10 Mot inconnu : AV2460-FY1 [[1:11]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> av2460-fy1
10 Pas d’espace avant une virgule. [[142:144]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|>  , => suggestions : [',']
10 Mot inconnu : ethernet [[166:174]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> ethernet
10 Mot inconnu : kernel [[257:263]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> kernel
10 Mot inconnu : too [[322:325]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> too
10 Il manque un espace. [[326:328]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> ko => suggestions : [' ko']
10 Mot inconnu : sdhci [[332:337]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> sdhci
10 Il manque un espace. [[338:340]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> ko => suggestions : [' ko']
10 Mot inconnu : Feisty [[372:378]] => |AV2460-FY1 | oui | oui | Toujours le même problème. Utiliser un CD d'installation alternatif: http://www.fitzenreiter.de/averatec/index-e.htm , avec lequel la carte ethernet fonctionne ! Le site propose aussi un patch pour arriver au même résultat avec le kernel 2.6.20-16 d'une Ubuntu déjà installée (ne pas effacer 8139too.ko et sdhci.ko avant d'appliquer le patch). | Feisty | <|> feisty

11 Mot inconnu : AV2460-FY1 [[1:11]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> av2460-fy1
11 Mot inconnu : bugé [[90:94]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> bugé
11 Mot inconnu : Feisty [[215:221]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> feisty
11 Mot inconnu : ethernet [[456:464]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> ethernet
11 Mot inconnu : kernel [[511:517]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> kernel
11 Espace(s) surnuméraire(s) à supprimer. [[686:689]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|>     => suggestions : [' ']
11 Mot inconnu : too [[693:696]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> too
11 Il manque un espace. [[697:699]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> ko => suggestions : [' ko']
11 Mot inconnu : sdhci [[703:708]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> sdhci
11 Il manque un espace. [[709:711]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> ko => suggestions : [' ko']
11 Mot inconnu : find [[724:728]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> find
11 Signe de multiplication typographique. [[801:809]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> 1024*768 => suggestions : ['1024\xa0×\xa0768']
11 Signe de multiplication typographique. [[822:830]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> 1280*800 => suggestions : ['1280\xa0×\xa0800']
