
10 Il manque un espace. => Rédigé par [[utilisateurs:gale|gale]] | gale => suggestions : [' gale']

12 Mot inconnu : SSL-Explorer => ====== SSL-Explorer Community Edition ====== | ssl-explorer
29 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Connexion Internet configurée et activée (si non voir la section : accueil Modem RTC et ADSL).  |  -  => suggestions : [' – ', ' — ', ' − ']
29 Mot inconnu : RTC =>   - Connexion Internet configurée et activée (si non voir la section : accueil Modem RTC et ADSL).  | rtc
29 Espace(s) en fin de ligne à supprimer. =>   - Connexion Internet configurée et activée (si non voir la section : accueil Modem RTC et ADSL).  |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  |  -  => suggestions : [' – ', ' — ', ' − ']
30 Mot inconnu : multiverse =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  | multiverse
30 Mot inconnu : deb =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  | deb
30 Mot inconnu : dapper =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  | dapper
30 Mot inconnu : multiverse =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  | multiverse
30 Mot inconnu : depots =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  | depots
30 Espace(s) en fin de ligne à supprimer. =>   - Dépôts pour les multiverse : deb http://fr.archive.ubuntu.com/ubuntu dapper multiverse (si non voir depots).  |   => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - SSL Explorer Community Edition https://sourceforge.net/projects/sslexplorer/ |    => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - SSL Explorer Community Edition https://sourceforge.net/projects/sslexplorer/ |  -  => suggestions : [' – ', ' — ', ' − ']
31 Mot inconnu : SSL =>   - SSL Explorer Community Edition https://sourceforge.net/projects/sslexplorer/ | ssl
31 Mot inconnu : Community =>   - SSL Explorer Community Edition https://sourceforge.net/projects/sslexplorer/ | community
31 Mot inconnu : Edition =>   - SSL Explorer Community Edition https://sourceforge.net/projects/sslexplorer/ | edition

35 Mot inconnu : superutilisateur => Entrer en mode superutilisateur: | superutilisateur

42 Mot inconnu : Developpement => ==== Installation de Java Developpement Kit (JDK) et Ant ====  | developpement
42 Mot inconnu : JDK => ==== Installation de Java Developpement Kit (JDK) et Ant ====  | jdk
42 Mot inconnu : Ant => ==== Installation de Java Developpement Kit (JDK) et Ant ====  | ant
42 Espace(s) en fin de ligne à supprimer. => ==== Installation de Java Developpement Kit (JDK) et Ant ====  |   => suggestions : ['']

43 Mot inconnu : SSL-Explorer => SSL-Explorer est dépendant de Apache ANT (http://ant.apache.org) et avec Java Developpement Kit (JDK) (http://java.sun.com/j2se/1.5.0/download.jsp). Il est donc nécessaire d’effectuer l’installation de ces deux modules en premier et dans l’ordre suivant. | ssl-explorer
43 Mot inconnu : ANT => SSL-Explorer est dépendant de Apache ANT (http://ant.apache.org) et avec Java Developpement Kit (JDK) (http://java.sun.com/j2se/1.5.0/download.jsp). Il est donc nécessaire d’effectuer l’installation de ces deux modules en premier et dans l’ordre suivant. | ant
43 Mot inconnu : Developpement => SSL-Explorer est dépendant de Apache ANT (http://ant.apache.org) et avec Java Developpement Kit (JDK) (http://java.sun.com/j2se/1.5.0/download.jsp). Il est donc nécessaire d’effectuer l’installation de ces deux modules en premier et dans l’ordre suivant. | developpement
43 Mot inconnu : JDK => SSL-Explorer est dépendant de Apache ANT (http://ant.apache.org) et avec Java Developpement Kit (JDK) (http://java.sun.com/j2se/1.5.0/download.jsp). Il est donc nécessaire d’effectuer l’installation de ces deux modules en premier et dans l’ordre suivant. | jdk

45 Mot inconnu : __Java => Installation de __Java Developpement Kit__  | __java
45 Mot inconnu : Developpement => Installation de __Java Developpement Kit__  | developpement
45 Mot inconnu : Kit__ => Installation de __Java Developpement Kit__  | kit__
45 Espace(s) en fin de ligne à supprimer. => Installation de __Java Developpement Kit__  |   => suggestions : ['']

49 Mot inconnu : ca => <note important>** Cette méthode pour installer Java est correcte, mais ca ne fonctionne pas avec ssl-explorer. | ca
49 Mot inconnu : ssl-explorer => <note important>** Cette méthode pour installer Java est correcte, mais ca ne fonctionne pas avec ssl-explorer. | ssl-explorer

50 Mot inconnu : bin => Téléchargez le fichier bin de java dans /opt et exécutez-le pour qu'il s'installe. | bin

51 Mot inconnu : cà => Ce n'est pas la meilleure façon d'installer un logiciel dans Ubuntu, mais cà a fonctionné pour moi.**</note> | cà

54 Mot inconnu : __Ant__ => Installation de __Ant__ | __ant__

60 Mot inconnu : SSL-Explorer => Puisque SSL-Explorer est dépendant de Ant et JDK, il est nécessaire de définir les environnements de variable de ceux-ci avant l’installation. | ssl-explorer
60 Mot inconnu : Ant => Puisque SSL-Explorer est dépendant de Ant et JDK, il est nécessaire de définir les environnements de variable de ceux-ci avant l’installation. | ant
60 Mot inconnu : JDK => Puisque SSL-Explorer est dépendant de Ant et JDK, il est nécessaire de définir les environnements de variable de ceux-ci avant l’installation. | jdk

68 Mot inconnu : Xubuntu => Voici ce que donnent ces commandes sur mon Xubuntu Dapper avec une installation par défaut des modules Ant et JDK: | xubuntu
68 Mot inconnu : Dapper => Voici ce que donnent ces commandes sur mon Xubuntu Dapper avec une installation par défaut des modules Ant et JDK: | dapper
68 Mot inconnu : Ant => Voici ce que donnent ces commandes sur mon Xubuntu Dapper avec une installation par défaut des modules Ant et JDK: | ant
68 Mot inconnu : JDK => Voici ce que donnent ces commandes sur mon Xubuntu Dapper avec une installation par défaut des modules Ant et JDK: | jdk

78 Mot inconnu : SSL-Explorer => ==== Téléchargement et installation de SSL-Explorer Community (sslexplorer-0.2.7--src.tar.gz).  ==== | ssl-explorer
78 Mot inconnu : Community => ==== Téléchargement et installation de SSL-Explorer Community (sslexplorer-0.2.7--src.tar.gz).  ==== | community
78 Mot inconnu : sslexplorer-0 => ==== Téléchargement et installation de SSL-Explorer Community (sslexplorer-0.2.7--src.tar.gz).  ==== | sslexplorer-0
78 Espace(s) surnuméraire(s) à supprimer. => ==== Téléchargement et installation de SSL-Explorer Community (sslexplorer-0.2.7--src.tar.gz).  ==== |    => suggestions : [' ']

79 Espace(s) en fin de ligne à supprimer. => Dans mon cas, j’ai déposé le fichier dans le répertoire /opt.  |   => suggestions : ['']

84 Typographie : points de suspension. Utilisez le caractère dédié. => Profitez de l’occasion pour télécharger la documentation, elle sera nécessaire plus tard... (//Access_Control_Guide.pdf, Configuration_Guide.pdf, Getting_Started_Guide.pdf et Resource_Management_Guide.pdf//). Ensuite, effectuer l’installation: | ... => suggestions : ['…']
84 Mot inconnu : Access_Control_Guide => Profitez de l’occasion pour télécharger la documentation, elle sera nécessaire plus tard... (//Access_Control_Guide.pdf, Configuration_Guide.pdf, Getting_Started_Guide.pdf et Resource_Management_Guide.pdf//). Ensuite, effectuer l’installation: | access_control_guide
84 Mot inconnu : Configuration_Guide => Profitez de l’occasion pour télécharger la documentation, elle sera nécessaire plus tard... (//Access_Control_Guide.pdf, Configuration_Guide.pdf, Getting_Started_Guide.pdf et Resource_Management_Guide.pdf//). Ensuite, effectuer l’installation: | configuration_guide
84 Mot inconnu : Getting_Started_Guide => Profitez de l’occasion pour télécharger la documentation, elle sera nécessaire plus tard... (//Access_Control_Guide.pdf, Configuration_Guide.pdf, Getting_Started_Guide.pdf et Resource_Management_Guide.pdf//). Ensuite, effectuer l’installation: | getting_started_guide
84 Mot inconnu : Resource_Management_Guide => Profitez de l’occasion pour télécharger la documentation, elle sera nécessaire plus tard... (//Access_Control_Guide.pdf, Configuration_Guide.pdf, Getting_Started_Guide.pdf et Resource_Management_Guide.pdf//). Ensuite, effectuer l’installation: | resource_management_guide

91 Typographie : points de suspension. Utilisez le caractère dédié. => Prendre un café... | ... => suggestions : ['…']

93 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la fin de l’installation, vous aurez à votre console, un message: | a => suggestions : ['À']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * "Point your browser to http://localhost:28080". |    => suggestions : ['']
94 Guillemets typographiques ouvrants. =>   * "Point your browser to http://localhost:28080". | " => suggestions : ['«\xa0', '“']
94 Mot inconnu : your =>   * "Point your browser to http://localhost:28080". | your
94 Mot inconnu : browser =>   * "Point your browser to http://localhost:28080". | browser
94 Mot inconnu : to =>   * "Point your browser to http://localhost:28080". | to
94 Formatage des grands nombres. =>   * "Point your browser to http://localhost:28080". | 28080 => suggestions : ['28\xa0080']
94 Guillemets typographiques fermants. =>   * "Point your browser to http://localhost:28080". | " => suggestions : ['\xa0»', '”']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Configure Certificate". Vous pouvez créer un certificat bidon, vous aurez un message d’erreur, mais l’encryption sera présente. |    => suggestions : ['']
100 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Configure Certificate". Vous pouvez créer un certificat bidon, vous aurez un message d’erreur, mais l’encryption sera présente. |  -  => suggestions : [' – ', ' — ', ' − ']
100 Guillemets typographiques ouvrants. =>   - "Configure Certificate". Vous pouvez créer un certificat bidon, vous aurez un message d’erreur, mais l’encryption sera présente. | " => suggestions : ['«\xa0', '“']
100 Mot inconnu : Certificate =>   - "Configure Certificate". Vous pouvez créer un certificat bidon, vous aurez un message d’erreur, mais l’encryption sera présente. | certificate
100 Guillemets typographiques fermants. =>   - "Configure Certificate". Vous pouvez créer un certificat bidon, vous aurez un message d’erreur, mais l’encryption sera présente. | " => suggestions : ['\xa0»', '”']
100 Mot inconnu : encryption =>   - "Configure Certificate". Vous pouvez créer un certificat bidon, vous aurez un message d’erreur, mais l’encryption sera présente. | encryption

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Configure User Database". Sélection d’Active Directory, utilisateur de SSL-Explorer ou utilisation des comptes Unix. |    => suggestions : ['']
101 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Configure User Database". Sélection d’Active Directory, utilisateur de SSL-Explorer ou utilisation des comptes Unix. |  -  => suggestions : [' – ', ' — ', ' − ']
101 Guillemets typographiques ouvrants. =>   - "Configure User Database". Sélection d’Active Directory, utilisateur de SSL-Explorer ou utilisation des comptes Unix. | " => suggestions : ['«\xa0', '“']
101 Mot inconnu : Database =>   - "Configure User Database". Sélection d’Active Directory, utilisateur de SSL-Explorer ou utilisation des comptes Unix. | database
101 Guillemets typographiques fermants. =>   - "Configure User Database". Sélection d’Active Directory, utilisateur de SSL-Explorer ou utilisation des comptes Unix. | " => suggestions : ['\xa0»', '”']
101 Mot inconnu : Directory =>   - "Configure User Database". Sélection d’Active Directory, utilisateur de SSL-Explorer ou utilisation des comptes Unix. | directory
101 Mot inconnu : SSL-Explorer =>   - "Configure User Database". Sélection d’Active Directory, utilisateur de SSL-Explorer ou utilisation des comptes Unix. | ssl-explorer

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Configure Super User". Rien à ajouter. |    => suggestions : ['']
102 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Configure Super User". Rien à ajouter. |  -  => suggestions : [' – ', ' — ', ' − ']
102 Guillemets typographiques ouvrants. =>   - "Configure Super User". Rien à ajouter. | " => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>   - "Configure Super User". Rien à ajouter. | " => suggestions : ['\xa0»', '”']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Configure Web Server". Si vous ne savez pas quoi choisir, juste à laisser par défaut. |    => suggestions : ['']
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Configure Web Server". Si vous ne savez pas quoi choisir, juste à laisser par défaut. |  -  => suggestions : [' – ', ' — ', ' − ']
103 Guillemets typographiques ouvrants. =>   - "Configure Web Server". Si vous ne savez pas quoi choisir, juste à laisser par défaut. | " => suggestions : ['«\xa0', '“']
103 Mot inconnu : Server =>   - "Configure Web Server". Si vous ne savez pas quoi choisir, juste à laisser par défaut. | server
103 Guillemets typographiques fermants. =>   - "Configure Web Server". Si vous ne savez pas quoi choisir, juste à laisser par défaut. | " => suggestions : ['\xa0»', '”']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Configure Proxies". Est-il nécessaire d’utiliser un proxy pour naviguer sur Internet depuis la station qui héberge le portail ? Si oui, c’est ici qu’il est nécessaire de le configurer. |    => suggestions : ['']
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Configure Proxies". Est-il nécessaire d’utiliser un proxy pour naviguer sur Internet depuis la station qui héberge le portail ? Si oui, c’est ici qu’il est nécessaire de le configurer. |  -  => suggestions : [' – ', ' — ', ' − ']
104 Guillemets typographiques ouvrants. =>   - "Configure Proxies". Est-il nécessaire d’utiliser un proxy pour naviguer sur Internet depuis la station qui héberge le portail ? Si oui, c’est ici qu’il est nécessaire de le configurer. | " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. =>   - "Configure Proxies". Est-il nécessaire d’utiliser un proxy pour naviguer sur Internet depuis la station qui héberge le portail ? Si oui, c’est ici qu’il est nécessaire de le configurer. | " => suggestions : ['\xa0»', '”']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. |    => suggestions : ['']
105 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. |  -  => suggestions : [' – ', ' — ', ' − ']
105 Guillemets typographiques ouvrants. =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : Install =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. | install
105 Mot inconnu : Enterprise =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. | enterprise
105 Mot inconnu : Edition =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. | edition
105 Guillemets typographiques fermants. =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. | " => suggestions : ['\xa0»', '”']
105 Mot inconnu : Community =>   - "Install Enterprise Edition". Si vous souhaitez garder la version “Community”, gratuite, désélectionnez la case. | community

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Install Extensions". Je vous conseille d’installer tous ceux sous licence GPL. |    => suggestions : ['']
106 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Install Extensions". Je vous conseille d’installer tous ceux sous licence GPL. |  -  => suggestions : [' – ', ' — ', ' − ']
106 Guillemets typographiques ouvrants. =>   - "Install Extensions". Je vous conseille d’installer tous ceux sous licence GPL. | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : Install =>   - "Install Extensions". Je vous conseille d’installer tous ceux sous licence GPL. | install
106 Guillemets typographiques fermants. =>   - "Install Extensions". Je vous conseille d’installer tous ceux sous licence GPL. | " => suggestions : ['\xa0»', '”']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Summary". Clic sur Finish |    => suggestions : ['']
107 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Summary". Clic sur Finish |  -  => suggestions : [' – ', ' — ', ' − ']
107 Guillemets typographiques ouvrants. =>   - "Summary". Clic sur Finish | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : Summary =>   - "Summary". Clic sur Finish | summary
107 Guillemets typographiques fermants. =>   - "Summary". Clic sur Finish | " => suggestions : ['\xa0»', '”']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Exit install. |    => suggestions : ['']
108 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Exit install. |  -  => suggestions : [' – ', ' — ', ' − ']
108 Mot inconnu : install =>   - Exit install. | install

113 Mot inconnu : install-service => Installation des services avec l’utilitaire “install-service” dans | install-service

115 Mot inconnu : sslexplorer => <SSL-Explorer install directory>/sslexplorer/install/platforms/linux | sslexplorer
115 Mot inconnu : install => <SSL-Explorer install directory>/sslexplorer/install/platforms/linux | install
115 Mot inconnu : platforms => <SSL-Explorer install directory>/sslexplorer/install/platforms/linux | platforms
115 Mot inconnu : linux => <SSL-Explorer install directory>/sslexplorer/install/platforms/linux | linux

124 Mot inconnu : Remote => Il est maintenant temps de lire un peu la documentation. Néanmoins, l’interface web est très intuitive. Il vous est possible de créer des tunnels avec n’importe quelle application, d’accéder à un serveur Windows avec Remote Desktop, d’utiliser UltraVNC, d’accéder à des ressources web, … | remote
124 Mot inconnu : Desktop => Il est maintenant temps de lire un peu la documentation. Néanmoins, l’interface web est très intuitive. Il vous est possible de créer des tunnels avec n’importe quelle application, d’accéder à un serveur Windows avec Remote Desktop, d’utiliser UltraVNC, d’accéder à des ressources web, … | desktop
124 Mot inconnu : UltraVNC => Il est maintenant temps de lire un peu la documentation. Néanmoins, l’interface web est très intuitive. Il vous est possible de créer des tunnels avec n’importe quelle application, d’accéder à un serveur Windows avec Remote Desktop, d’utiliser UltraVNC, d’accéder à des ressources web, … | ultravnc
124 Typographie : pas de virgule avant les points de suspension. => Il est maintenant temps de lire un peu la documentation. Néanmoins, l’interface web est très intuitive. Il vous est possible de créer des tunnels avec n’importe quelle application, d’accéder à un serveur Windows avec Remote Desktop, d’utiliser UltraVNC, d’accéder à des ressources web, … | , … => suggestions : ['…']

131 Mot inconnu : UltraVNC => == Tunnel pour UltraVNC == | ultravnc

133 Guillemets typographiques ouvrants. => Dans la section "SSL Tunnels" | " => suggestions : ['«\xa0', '“']
133 Mot inconnu : SSL => Dans la section "SSL Tunnels" | ssl
133 Guillemets typographiques fermants. => Dans la section "SSL Tunnels" | " => suggestions : ['\xa0»', '”']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner "Create Tunnel" |    => suggestions : ['']
134 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner "Create Tunnel" |  -  => suggestions : [' – ', ' — ', ' − ']
134 Guillemets typographiques ouvrants. =>   - Sélectionner "Create Tunnel" | " => suggestions : ['«\xa0', '“']
134 Mot inconnu : Create =>   - Sélectionner "Create Tunnel" | create
134 Guillemets typographiques fermants. =>   - Sélectionner "Create Tunnel" | " => suggestions : ['\xa0»', '”']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Inscrire un nom et une description |    => suggestions : ['']
135 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Inscrire un nom et une description |  -  => suggestions : [' – ', ' — ', ' − ']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Inscrire le port source (Ex.:5901), destination (Ex.: serveur), port de destination (Ex.:5901) |    => suggestions : ['']
136 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Inscrire le port source (Ex.:5901), destination (Ex.: serveur), port de destination (Ex.:5901) |  -  => suggestions : [' – ', ' — ', ' − ']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ensuite, la politique que vous souhaitez attacher à cet accès |    => suggestions : ['']
137 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ensuite, la politique que vous souhaitez attacher à cet accès |  -  => suggestions : [' – ', ' — ', ' − ']

141 Guillemets typographiques ouvrants. => Dans la section "Network Place" | " => suggestions : ['«\xa0', '“']
141 Mot inconnu : Network => Dans la section "Network Place" | network
141 Guillemets typographiques fermants. => Dans la section "Network Place" | " => suggestions : ['\xa0»', '”']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner "Create Network Place" |    => suggestions : ['']
142 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner "Create Network Place" |  -  => suggestions : [' – ', ' — ', ' − ']
142 Guillemets typographiques ouvrants. =>   - Sélectionner "Create Network Place" | " => suggestions : ['«\xa0', '“']
142 Mot inconnu : Create =>   - Sélectionner "Create Network Place" | create
142 Mot inconnu : Network =>   - Sélectionner "Create Network Place" | network
142 Guillemets typographiques fermants. =>   - Sélectionner "Create Network Place" | " => suggestions : ['\xa0»', '”']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Inscrire un nom et une description |    => suggestions : ['']
143 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Inscrire un nom et une description |  -  => suggestions : [' – ', ' — ', ' − ']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Le chemin d’accès et quelques privilèges. |    => suggestions : ['']
144 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Le chemin d’accès et quelques privilèges. |  -  => suggestions : [' – ', ' — ', ' − ']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ensuite, la politique que vous souhaitez attacher à cet accès |    => suggestions : ['']
145 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ensuite, la politique que vous souhaitez attacher à cet accès |  -  => suggestions : [' – ', ' — ', ' − ']

147 Mot inconnu : Remote => == Tunnel pour Remote Desktop == | remote
147 Mot inconnu : Desktop => == Tunnel pour Remote Desktop == | desktop

149 Mot inconnu : Remote => Remote Desktop est un peu différent. Pour effectuer un tunnel en "localhost", il est nécessaire de faire un transfert sur un autre port. | remote
149 Mot inconnu : Desktop => Remote Desktop est un peu différent. Pour effectuer un tunnel en "localhost", il est nécessaire de faire un transfert sur un autre port. | desktop
149 Guillemets typographiques ouvrants. => Remote Desktop est un peu différent. Pour effectuer un tunnel en "localhost", il est nécessaire de faire un transfert sur un autre port. | " => suggestions : ['«\xa0', '“']
149 Mot inconnu : localhost => Remote Desktop est un peu différent. Pour effectuer un tunnel en "localhost", il est nécessaire de faire un transfert sur un autre port. | localhost
149 Guillemets typographiques fermants. => Remote Desktop est un peu différent. Pour effectuer un tunnel en "localhost", il est nécessaire de faire un transfert sur un autre port. | " => suggestions : ['\xa0»', '”']

150 Guillemets typographiques ouvrants. => Dans la section "SSL Tunnels" | " => suggestions : ['«\xa0', '“']
150 Mot inconnu : SSL => Dans la section "SSL Tunnels" | ssl
150 Guillemets typographiques fermants. => Dans la section "SSL Tunnels" | " => suggestions : ['\xa0»', '”']

