
4 Mot inconnu : Jellyfin => ====== Jellyfin  ====== | jellyfin
22 Mot inconnu : armhf => L'équipe de Jellyfin fournit un dépôt pour l'installation sur Ubuntu Xenial / Bionic / Cosmic / Disco. Les architectures prises en charge sont amd64 , arm64 et armhf. | armhf
24 Mot inconnu : amd64 => <note important>Sur Ubuntu Xenial seul amd64 est pris en charge .</note> | amd64

25 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note>Microsoft ne fournit pas de .NET pour les systèmes Linux x86 32 bits. Jellyfin n'est donc pas pris en charge sur l'architecture i386 .</note>  |  . => suggestions : ['. ', '.']
25 Mot inconnu : x86 => <note>Microsoft ne fournit pas de .NET pour les systèmes Linux x86 32 bits. Jellyfin n'est donc pas pris en charge sur l'architecture i386 .</note>  | x86
25 Mot inconnu : Jellyfin => <note>Microsoft ne fournit pas de .NET pour les systèmes Linux x86 32 bits. Jellyfin n'est donc pas pris en charge sur l'architecture i386 .</note>  | jellyfin
25 Mot inconnu : i386 => <note>Microsoft ne fournit pas de .NET pour les systèmes Linux x86 32 bits. Jellyfin n'est donc pas pris en charge sur l'architecture i386 .</note>  | i386
25 Espace(s) en fin de ligne à supprimer. => <note>Microsoft ne fournit pas de .NET pour les systèmes Linux x86 32 bits. Jellyfin n'est donc pas pris en charge sur l'architecture i386 .</note>  |   => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activez HTTPS pour APT : |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activez le dépôt Univers pour certaines dépendances : |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Importez la clé signée par l’équipe Jellyfin : |    => suggestions : ['']
33 Mot inconnu : Jellyfin =>   * Importez la clé signée par l’équipe Jellyfin : | jellyfin

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ajoutez le dépôt dans /etc/apt/sources.list.d/jellyfin.list : |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mettre à jour les dépôts : |    => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installez Jellyfin : |    => suggestions : ['']
42 Mot inconnu : Jellyfin =>   * Installez Jellyfin : | jellyfin

48 Mot inconnu : Jellyfin => **Jellyfin** est disponible sur [[https://hub.docker.com/r/jellyfin/jellyfin/|Docker Hub]]. | jellyfin

52 Guillemets typographiques ouvrants. => Pour commencer [[#comment_ouvrir_un_terminal|ouvrez un nouveau terminal]] et assurez-vous d'être placé dans votre répertoire ''home'' : | '' => suggestions : ['«\xa0', '“']
52 Guillemets typographiques fermants. => Pour commencer [[#comment_ouvrir_un_terminal|ouvrez un nouveau terminal]] et assurez-vous d'être placé dans votre répertoire ''home'' : | '' => suggestions : ['\xa0»', '”']

58 Mot inconnu : Jellyfin => Puis créez un répertoire qui contiendra la configuration et la base de données de Jellyfin : | jellyfin

64 Guillemets typographiques ouvrants. => Ce fichier contiendra la configuration du container ''jellyfin'' pour Docker : | '' => suggestions : ['«\xa0', '“']
64 Mot inconnu : jellyfin => Ce fichier contiendra la configuration du container ''jellyfin'' pour Docker : | jellyfin
64 Guillemets typographiques fermants. => Ce fichier contiendra la configuration du container ''jellyfin'' pour Docker : | '' => suggestions : ['\xa0»', '”']
65 Guillemets typographiques ouvrants. => <file - docker-compose.yml>version: '3' | ' => suggestions : ['“', '‘', '‹']
65 Guillemets typographiques fermants. => <file - docker-compose.yml>version: '3' | ' => suggestions : ['”', '’', '›']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   jellyfin: |    => suggestions : ['']
67 Mot inconnu : jellyfin =>   jellyfin: | jellyfin

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     image: jellyfin/jellyfin |      => suggestions : ['']
68 Mot inconnu : jellyfin =>     image: jellyfin/jellyfin | jellyfin
68 Mot inconnu : jellyfin =>     image: jellyfin/jellyfin | jellyfin

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ports: |      => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - '8096:8096' |      => suggestions : ['']
70 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - '8096:8096' |  -  => suggestions : [' – ', ' — ', ' − ']
70 Guillemets typographiques ouvrants. =>     - '8096:8096' | ' => suggestions : ['“', '‘', '‹']
70 Guillemets typographiques fermants. =>     - '8096:8096' | ' => suggestions : ['”', '’', '›']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     network_mode: "host" |      => suggestions : ['']
71 Mot inconnu : network_mode =>     network_mode: "host" | network_mode
71 Guillemets typographiques ouvrants. =>     network_mode: "host" | " => suggestions : ['«\xa0', '“']
71 Mot inconnu : host =>     network_mode: "host" | host
71 Guillemets typographiques fermants. =>     network_mode: "host" | " => suggestions : ['\xa0»', '”']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     volumes: |      => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - /home/utilisateur_courant/jellyfin:/config |      => suggestions : ['']
73 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - /home/utilisateur_courant/jellyfin:/config |  -  => suggestions : [' – ', ' — ', ' − ']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - /home/utilisateur_courant/Vidéos:/media |      => suggestions : ['']
74 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - /home/utilisateur_courant/Vidéos:/media |  -  => suggestions : [' – ', ' — ', ' − ']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     environment: |      => suggestions : ['']
75 Mot inconnu : environment =>     environment: | environment

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - UID=1000 |      => suggestions : ['']
76 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - UID=1000 |  -  => suggestions : [' – ', ' — ', ' − ']
76 Mot inconnu : UID =>     - UID=1000 | uid

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - GID=1000 |      => suggestions : ['']
77 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - GID=1000 |  -  => suggestions : [' – ', ' — ', ' − ']
77 Mot inconnu : GID =>     - GID=1000 | gid

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     restart: always</file> |      => suggestions : ['']
78 Mot inconnu : restart =>     restart: always</file> | restart
78 Mot inconnu : always =>     restart: always</file> | always

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * remplacez ''utilisateur_courant'' par votre nom d'utilisateur |    => suggestions : ['']
80 Guillemets typographiques ouvrants. =>   * remplacez ''utilisateur_courant'' par votre nom d'utilisateur | '' => suggestions : ['«\xa0', '“']
80 Mot inconnu : utilisateur_courant =>   * remplacez ''utilisateur_courant'' par votre nom d'utilisateur | utilisateur_courant
80 Guillemets typographiques fermants. =>   * remplacez ''utilisateur_courant'' par votre nom d'utilisateur | '' => suggestions : ['\xa0»', '”']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * et éventuellement ''/home/utilisateur_courant/Vidéos'' par le chemin de votre médiathèque. |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * on peut aussi choisir un autre port que le port 8096, il suffit de remplacer le premier numéro de la ligne ''- '8096:8096%%'%%''. |    => suggestions : ['']
82 Guillemets typographiques ouvrants. =>   * on peut aussi choisir un autre port que le port 8096, il suffit de remplacer le premier numéro de la ligne ''- '8096:8096%%'%%''. | ' => suggestions : ['“', '‘', '‹']
82 Avec une unité de mesure, mettez un espace insécable. =>   * on peut aussi choisir un autre port que le port 8096, il suffit de remplacer le premier numéro de la ligne ''- '8096:8096%%'%%''. | 8096% => suggestions : ['8\xa0096\xa0%']

84 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <file>- '80:8096'</file> | >-  => suggestions : [' – ', ' — ', ' − ']
84 Guillemets typographiques ouvrants. => <file>- '80:8096'</file> | ' => suggestions : ['“', '‘', '‹']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : |    => suggestions : ['']
85 Guillemets typographiques ouvrants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['«\xa0', '“']
85 Mot inconnu : UID =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | uid
85 Guillemets typographiques fermants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['\xa0»', '”']
85 Guillemets typographiques ouvrants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['«\xa0', '“']
85 Mot inconnu : GID =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | gid
85 Guillemets typographiques fermants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['\xa0»', '”']
85 Guillemets typographiques ouvrants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['\xa0»', '”']
85 Guillemets typographiques ouvrants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. =>   * ''UID'' et ''GID'' correspondent respectivement aux ID de l'utilisateur courant et de son groupe principal. Sur Ubuntu si vous n'avez qu'un utilisateur il s'agit très probablement de ''1000'' / ''1000''. Vous pouvez vous assurer de cela avec la commande : | '' => suggestions : ['\xa0»', '”']

88 Guillemets typographiques ouvrants. => <note tip>D'une manière générale avec Docker pour les ''ports'', ''volumes'' et ''devices'', on spécifie à gauche l'élément de la machine hôte (par ex. le port ou le chemin local qu'on souhaite utiliser), puis '':'', puis à droite l'élément qui lui correspondra dans le container (en général on n'y touche pas, cela dépend de l'image Docker qu'on utilise).</note> | '' => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. => <note tip>D'une manière générale avec Docker pour les ''ports'', ''volumes'' et ''devices'', on spécifie à gauche l'élément de la machine hôte (par ex. le port ou le chemin local qu'on souhaite utiliser), puis '':'', puis à droite l'élément qui lui correspondra dans le container (en général on n'y touche pas, cela dépend de l'image Docker qu'on utilise).</note> | '' => suggestions : ['\xa0»', '”']
88 Guillemets typographiques ouvrants. => <note tip>D'une manière générale avec Docker pour les ''ports'', ''volumes'' et ''devices'', on spécifie à gauche l'élément de la machine hôte (par ex. le port ou le chemin local qu'on souhaite utiliser), puis '':'', puis à droite l'élément qui lui correspondra dans le container (en général on n'y touche pas, cela dépend de l'image Docker qu'on utilise).</note> | '' => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. => <note tip>D'une manière générale avec Docker pour les ''ports'', ''volumes'' et ''devices'', on spécifie à gauche l'élément de la machine hôte (par ex. le port ou le chemin local qu'on souhaite utiliser), puis '':'', puis à droite l'élément qui lui correspondra dans le container (en général on n'y touche pas, cela dépend de l'image Docker qu'on utilise).</note> | '' => suggestions : ['\xa0»', '”']
88 Guillemets typographiques ouvrants. => <note tip>D'une manière générale avec Docker pour les ''ports'', ''volumes'' et ''devices'', on spécifie à gauche l'élément de la machine hôte (par ex. le port ou le chemin local qu'on souhaite utiliser), puis '':'', puis à droite l'élément qui lui correspondra dans le container (en général on n'y touche pas, cela dépend de l'image Docker qu'on utilise).</note> | '' => suggestions : ['«\xa0', '“']
88 Mot inconnu : devices => <note tip>D'une manière générale avec Docker pour les ''ports'', ''volumes'' et ''devices'', on spécifie à gauche l'élément de la machine hôte (par ex. le port ou le chemin local qu'on souhaite utiliser), puis '':'', puis à droite l'élément qui lui correspondra dans le container (en général on n'y touche pas, cela dépend de l'image Docker qu'on utilise).</note> | devices
88 Guillemets typographiques fermants. => <note tip>D'une manière générale avec Docker pour les ''ports'', ''volumes'' et ''devices'', on spécifie à gauche l'élément de la machine hôte (par ex. le port ou le chemin local qu'on souhaite utiliser), puis '':'', puis à droite l'élément qui lui correspondra dans le container (en général on n'y touche pas, cela dépend de l'image Docker qu'on utilise).</note> | '' => suggestions : ['\xa0»', '”']

92 Mot inconnu : Jellyfin => Vous pouvez dès lors installer Jellyfin et le lancer en une commande : | jellyfin

95 Mot inconnu : Jellyfin => Jellyfin est alors disponible à l'adresse [[http://localhost:8096]]. | jellyfin

97 Mot inconnu : wizard => Lors du premier accès, un guide d'installation (//wizard//) s'affiche, grâce auquel vous pouvez paramétrer votre serveur pas à pas : | wizard

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * choisissez par exemple //French// comme //Preferred display language//, puis cliquez sur //Next// |    => suggestions : ['']
98 Mot inconnu : Preferred =>   * choisissez par exemple //French// comme //Preferred display language//, puis cliquez sur //Next// | preferred
98 Mot inconnu : display =>   * choisissez par exemple //French// comme //Preferred display language//, puis cliquez sur //Next// | display
98 Mot inconnu : language =>   * choisissez par exemple //French// comme //Preferred display language//, puis cliquez sur //Next// | language
98 Mot inconnu : Next =>   * choisissez par exemple //French// comme //Preferred display language//, puis cliquez sur //Next// | next

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * choisissez ensuite un nom d'utilisateur |    => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * puis ajoutez une nouvelle bibliothèque par ex. //Movies// pour des films, dans laquelle vous pouvez ajouter le //Folder// ''/media'' (tel que défini dans la colonne de droite du volume correspondant dans le fichier ''docker-compose.yml'' créé précédemment) |    => suggestions : ['']
100 Mot inconnu : Movies =>   * puis ajoutez une nouvelle bibliothèque par ex. //Movies// pour des films, dans laquelle vous pouvez ajouter le //Folder// ''/media'' (tel que défini dans la colonne de droite du volume correspondant dans le fichier ''docker-compose.yml'' créé précédemment) | movies
100 Mot inconnu : Folder =>   * puis ajoutez une nouvelle bibliothèque par ex. //Movies// pour des films, dans laquelle vous pouvez ajouter le //Folder// ''/media'' (tel que défini dans la colonne de droite du volume correspondant dans le fichier ''docker-compose.yml'' créé précédemment) | folder
100 Guillemets typographiques fermants. =>   * puis ajoutez une nouvelle bibliothèque par ex. //Movies// pour des films, dans laquelle vous pouvez ajouter le //Folder// ''/media'' (tel que défini dans la colonne de droite du volume correspondant dans le fichier ''docker-compose.yml'' créé précédemment) | '' => suggestions : ['\xa0»', '”']
100 Guillemets typographiques ouvrants. =>   * puis ajoutez une nouvelle bibliothèque par ex. //Movies// pour des films, dans laquelle vous pouvez ajouter le //Folder// ''/media'' (tel que défini dans la colonne de droite du volume correspondant dans le fichier ''docker-compose.yml'' créé précédemment) | '' => suggestions : ['«\xa0', '“']
100 Mot inconnu : yml =>   * puis ajoutez une nouvelle bibliothèque par ex. //Movies// pour des films, dans laquelle vous pouvez ajouter le //Folder// ''/media'' (tel que défini dans la colonne de droite du volume correspondant dans le fichier ''docker-compose.yml'' créé précédemment) | yml
100 Guillemets typographiques fermants. =>   * puis ajoutez une nouvelle bibliothèque par ex. //Movies// pour des films, dans laquelle vous pouvez ajouter le //Folder// ''/media'' (tel que défini dans la colonne de droite du volume correspondant dans le fichier ''docker-compose.yml'' créé précédemment) | '' => suggestions : ['\xa0»', '”']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * choisissez d'obtenir les //metadata// en //French// dans //Preferred metadata language//. |    => suggestions : ['']
101 Mot inconnu : metadata =>   * choisissez d'obtenir les //metadata// en //French// dans //Preferred metadata language//. | metadata
101 Mot inconnu : Preferred =>   * choisissez d'obtenir les //metadata// en //French// dans //Preferred metadata language//. | preferred
101 Mot inconnu : metadata =>   * choisissez d'obtenir les //metadata// en //French// dans //Preferred metadata language//. | metadata
101 Mot inconnu : language =>   * choisissez d'obtenir les //metadata// en //French// dans //Preferred metadata language//. | language

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //ok// puis //Next//, choisissez les langues et pays préférés par défaut pour les //metadata//. |    => suggestions : ['']
102 Mot inconnu : ok =>   * //ok// puis //Next//, choisissez les langues et pays préférés par défaut pour les //metadata//. | ok
102 Mot inconnu : Next =>   * //ok// puis //Next//, choisissez les langues et pays préférés par défaut pour les //metadata//. | next
102 Mot inconnu : metadata =>   * //ok// puis //Next//, choisissez les langues et pays préférés par défaut pour les //metadata//. | metadata

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mieux vaut désactiver l'UPnP dans un premier temps. |    => suggestions : ['']
103 Mot inconnu : UPnP =>   * Mieux vaut désactiver l'UPnP dans un premier temps. | upnp

108 Guillemets typographiques ouvrants. => ==== Méthode "normale" ==== | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => ==== Méthode "normale" ==== | " => suggestions : ['\xa0»', '”']

109 Mot inconnu : Jellyfin => Jellyfin est accessible par son Interface Web à l'adresse http://locahost:8096. | jellyfin

111 La locution “entre autres”, toujours au pluriel. => Suivez l'assistant de configuration initiale. Il vous permettra, entre autre, de choisir la langue par défaut des métadonnées et d'importer votre bibliothèque.  | autre => suggestions : ['autres']
111 Espace(s) en fin de ligne à supprimer. => Suivez l'assistant de configuration initiale. Il vous permettra, entre autre, de choisir la langue par défaut des métadonnées et d'importer votre bibliothèque.  |   => suggestions : ['']

112 Accord de nombre erroné : « nombres » est au pluriel. => Selon le nombres de fichiers à scanner, cela peut prendre du temps la première fois pour que Jellyfin rapatrie toutes les metadonnées. | le => suggestions : ['les']
112 Accord de nombre erroné : « nombres » devrait être au singulier. => Selon le nombres de fichiers à scanner, cela peut prendre du temps la première fois pour que Jellyfin rapatrie toutes les metadonnées. | nombres => suggestions : ['nombré', 'nombre']
112 Mot inconnu : Jellyfin => Selon le nombres de fichiers à scanner, cela peut prendre du temps la première fois pour que Jellyfin rapatrie toutes les metadonnées. | jellyfin
112 Mot inconnu : metadonnées => Selon le nombres de fichiers à scanner, cela peut prendre du temps la première fois pour que Jellyfin rapatrie toutes les metadonnées. | metadonnées

114 Mot inconnu : DLNA => Le DLNA est activé par défaut et votre bibliothèque devrait être vu sur votre réseau. | dlna

116 Mot inconnu : Jellyfin => Jellyfin est installé en tant que service système. Vous n'avez rien à lancer manuellement. Les commandes suivantes peuvent toutefois vous être utiles dans certains cas : | jellyfin

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

124 Guillemets typographiques ouvrants. => ==== Méthode "Docker" ==== | " => suggestions : ['«\xa0', '“']
124 Guillemets typographiques fermants. => ==== Méthode "Docker" ==== | " => suggestions : ['\xa0»', '”']

125 Mot inconnu : Jellyfin => Jellyfin est disponible à l'adresse [[http://localhost:8096]]. | jellyfin

127 Guillemets typographiques ouvrants. => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | '' => suggestions : ['«\xa0', '“']
127 Mot inconnu : sudo => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | sudo
127 Mot inconnu : start => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | start
127 Mot inconnu : jellyfin => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | jellyfin
127 Guillemets typographiques fermants. => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | '' => suggestions : ['\xa0»', '”']
127 Guillemets typographiques ouvrants. => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | '' => suggestions : ['«\xa0', '“']
127 Mot inconnu : sudo => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | sudo
127 Mot inconnu : jellyfin => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | jellyfin
127 Guillemets typographiques fermants. => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  | '' => suggestions : ['\xa0»', '”']
127 Espace(s) en fin de ligne à supprimer. => Après l'installation vous pouvez démarrer ou arrêter le service avec ''sudo docker-compose start jellyfin'' et ''sudo docker-compose stop jellyfin''.\\  |   => suggestions : ['']

128 Guillemets typographiques ouvrants. => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | '' => suggestions : ['«\xa0', '“']
128 Mot inconnu : yml => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | yml
128 Guillemets typographiques fermants. => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | '' => suggestions : ['\xa0»', '”']
128 Guillemets typographiques ouvrants. => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | '' => suggestions : ['«\xa0', '“']
128 Mot inconnu : sudo => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | sudo
