
6 Mot inconnu : CVS => ====== CVS : utilisation en tant que client ====== | cvs
21 Mot inconnu : repository => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | repository
21 Mot inconnu : CVS => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | cvs
21 Mot inconnu : repository => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | repository
21 Mot inconnu : repository => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | repository
21 Mot inconnu : CVS => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | cvs
21 Mot inconnu : repository => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | repository
21 Mot inconnu : CVS => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | cvs
21 Mot inconnu : CVSROOT => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  | cvsroot
21 Espace(s) en fin de ligne à supprimer. => Ce logiciel peut fonctionner en local (repository CVS local) ou en mode client-serveur (repository CVS distant). Dans les deux cas, un repository de travail, toujours situé localement, contient un ou plusieurs modules qui est le reflet du repository CVS. Un module est constitué d'une hiérarchie de fichiers versionnés. La localisation du repository CVS est définie dans la variable d'environnement $CVSROOT.  |   => suggestions : ['']

23 Mot inconnu : CVS => CVS offre principalement les opérations suivantes :\\ | cvs
24 Mot inconnu : repository => * admin : Administrer le repository (dans le cas d'une utilisation multi-utilisateurs)\\ | repository

25 Mot inconnu : checkout => * checkout : Obtenir une copie locale des fichiers\\ | checkout

27 Mot inconnu : update => * update : Mettre à jour le repository de travail par rapport au repository CVS\\ | update
27 Mot inconnu : repository => * update : Mettre à jour le repository de travail par rapport au repository CVS\\ | repository
27 Mot inconnu : repository => * update : Mettre à jour le repository de travail par rapport au repository CVS\\ | repository
27 Mot inconnu : CVS => * update : Mettre à jour le repository de travail par rapport au repository CVS\\ | cvs

28 Mot inconnu : diff => * diff : Voir les modifications entre les versions\\ | diff
30 Mot inconnu : repository => * import : Créer un nouveau module dans le repository CVS à partir d'un répertoire local\\ | repository
30 Mot inconnu : CVS => * import : Créer un nouveau module dans le repository CVS à partir d'un répertoire local\\ | cvs

33 Mot inconnu : add => * add/remove : Ajouter/Supprimer un fichier ou un module\\ | add
33 Mot inconnu : remove => * add/remove : Ajouter/Supprimer un fichier ou un module\\ | remove
35 Mot inconnu : cvs => L'aide en ligne de chaque commande est accessible au moyen de la commande : $ cvs ---help <commande> | cvs
35 Mot inconnu : help => L'aide en ligne de chaque commande est accessible au moyen de la commande : $ cvs ---help <commande> | help

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cvs --help checkout |    => suggestions : ['']
36 Mot inconnu : cvs =>   cvs --help checkout | cvs
36 Mot inconnu : help =>   cvs --help checkout | help
36 Mot inconnu : checkout =>   cvs --help checkout | checkout

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cvs checkout [-ANPRcflnps] [-r rev] [-D date] [-d dir] |    => suggestions : ['']
39 Mot inconnu : cvs =>   cvs checkout [-ANPRcflnps] [-r rev] [-D date] [-d dir] | cvs
39 Mot inconnu : checkout =>   cvs checkout [-ANPRcflnps] [-r rev] [-D date] [-d dir] | checkout
39 Mot inconnu : ANPRcflnps =>   cvs checkout [-ANPRcflnps] [-r rev] [-D date] [-d dir] | anprcflnps
39 Mot inconnu : rev =>   cvs checkout [-ANPRcflnps] [-r rev] [-D date] [-d dir] | rev
39 Mot inconnu : dir =>   cvs checkout [-ANPRcflnps] [-r rev] [-D date] [-d dir] | dir

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     [-j rev1] [-j rev2] [-k kopt] modules... |      => suggestions : ['']
40 Mot inconnu : rev1 =>     [-j rev1] [-j rev2] [-k kopt] modules... | rev1
40 Mot inconnu : rev2 =>     [-j rev1] [-j rev2] [-k kopt] modules... | rev2
40 Mot inconnu : kopt =>     [-j rev1] [-j rev2] [-k kopt] modules... | kopt
40 Typographie : points de suspension. Utilisez le caractère dédié. =>     [-j rev1] [-j rev2] [-k kopt] modules... | ... => suggestions : ['…']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -A      Reset any sticky tags/date/kopts. |          => suggestions : ['']
41 Espace(s) surnuméraire(s) à supprimer. =>         -A      Reset any sticky tags/date/kopts. |        => suggestions : [' ']
41 Mot inconnu : Reset =>         -A      Reset any sticky tags/date/kopts. | reset
41 Mot inconnu : any =>         -A      Reset any sticky tags/date/kopts. | any
41 Mot inconnu : sticky =>         -A      Reset any sticky tags/date/kopts. | sticky
41 Mot inconnu : kopts =>         -A      Reset any sticky tags/date/kopts. | kopts

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -N      Don't shorten module paths if -d specified. |          => suggestions : ['']
42 Espace(s) surnuméraire(s) à supprimer. =>         -N      Don't shorten module paths if -d specified. |        => suggestions : [' ']
42 Mot inconnu : Don't =>         -N      Don't shorten module paths if -d specified. | don't
42 Mot inconnu : shorten =>         -N      Don't shorten module paths if -d specified. | shorten
42 Mot inconnu : paths =>         -N      Don't shorten module paths if -d specified. | paths
42 Il manque un espace à côté du tiret. =>         -N      Don't shorten module paths if -d specified. |  - => suggestions : [' – ', ' — ']
42 Mot inconnu : specified =>         -N      Don't shorten module paths if -d specified. | specified

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -P      Prune empty directories. |          => suggestions : ['']
43 Espace(s) surnuméraire(s) à supprimer. =>         -P      Prune empty directories. |        => suggestions : [' ']
43 Mot inconnu : empty =>         -P      Prune empty directories. | empty
43 Mot inconnu : directories =>         -P      Prune empty directories. | directories

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -R      Process directories recursively. |          => suggestions : ['']
44 Espace(s) surnuméraire(s) à supprimer. =>         -R      Process directories recursively. |        => suggestions : [' ']
44 Mot inconnu : directories =>         -R      Process directories recursively. | directories
44 Mot inconnu : recursively =>         -R      Process directories recursively. | recursively

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -c      "cat" the module database. |          => suggestions : ['']
45 Espace(s) surnuméraire(s) à supprimer. =>         -c      "cat" the module database. |        => suggestions : [' ']
45 Guillemets typographiques ouvrants. =>         -c      "cat" the module database. | " => suggestions : ['«\xa0', '“']
45 Mot inconnu : cat =>         -c      "cat" the module database. | cat
45 Guillemets typographiques fermants. =>         -c      "cat" the module database. | " => suggestions : ['\xa0»', '”']
45 Mot inconnu : the =>         -c      "cat" the module database. | the
45 Mot inconnu : database =>         -c      "cat" the module database. | database

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -f      Force a head revision match if tag/date not found. |          => suggestions : ['']
46 Espace(s) surnuméraire(s) à supprimer. =>         -f      Force a head revision match if tag/date not found. |        => suggestions : [' ']
46 Mot inconnu : head =>         -f      Force a head revision match if tag/date not found. | head
46 Mot inconnu : revision =>         -f      Force a head revision match if tag/date not found. | revision
46 Mot inconnu : not =>         -f      Force a head revision match if tag/date not found. | not
46 Mot inconnu : found =>         -f      Force a head revision match if tag/date not found. | found

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -l      Local directory only, not recursive |          => suggestions : ['']
47 Espace(s) surnuméraire(s) à supprimer. =>         -l      Local directory only, not recursive |        => suggestions : [' ']
47 Mot inconnu : directory =>         -l      Local directory only, not recursive | directory
47 Mot inconnu : only =>         -l      Local directory only, not recursive | only
47 Mot inconnu : not =>         -l      Local directory only, not recursive | not
47 Mot inconnu : recursive =>         -l      Local directory only, not recursive | recursive

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -n      Do not run module program (if any). |          => suggestions : ['']
48 Espace(s) surnuméraire(s) à supprimer. =>         -n      Do not run module program (if any). |        => suggestions : [' ']
48 Mot inconnu : not =>         -n      Do not run module program (if any). | not
48 Mot inconnu : run =>         -n      Do not run module program (if any). | run
48 Mot inconnu : program =>         -n      Do not run module program (if any). | program
48 Mot inconnu : any =>         -n      Do not run module program (if any). | any

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -p      Check out files to standard output (avoids stickiness). |          => suggestions : ['']
49 Espace(s) surnuméraire(s) à supprimer. =>         -p      Check out files to standard output (avoids stickiness). |        => suggestions : [' ']
49 Mot inconnu : Check =>         -p      Check out files to standard output (avoids stickiness). | check
49 Mot inconnu : to =>         -p      Check out files to standard output (avoids stickiness). | to
49 Mot inconnu : avoids =>         -p      Check out files to standard output (avoids stickiness). | avoids
49 Mot inconnu : stickiness =>         -p      Check out files to standard output (avoids stickiness). | stickiness

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -s      Like -c, but include module status. |          => suggestions : ['']
50 Espace(s) surnuméraire(s) à supprimer. =>         -s      Like -c, but include module status. |        => suggestions : [' ']
50 Il manque un espace à côté du tiret. =>         -s      Like -c, but include module status. |  - => suggestions : [' – ', ' — ']
50 Mot inconnu : include =>         -s      Like -c, but include module status. | include

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -r rev  Check out revision or tag. (implies -P) (is sticky) |          => suggestions : ['']
51 Mot inconnu : rev =>         -r rev  Check out revision or tag. (implies -P) (is sticky) | rev
51 Espace(s) surnuméraire(s) à supprimer. =>         -r rev  Check out revision or tag. (implies -P) (is sticky) |    => suggestions : [' ']
51 Mot inconnu : Check =>         -r rev  Check out revision or tag. (implies -P) (is sticky) | check
51 Mot inconnu : revision =>         -r rev  Check out revision or tag. (implies -P) (is sticky) | revision
51 Mot inconnu : implies =>         -r rev  Check out revision or tag. (implies -P) (is sticky) | implies
51 Il manque un espace à côté du tiret. =>         -r rev  Check out revision or tag. (implies -P) (is sticky) |  - => suggestions : [' – ', ' — ']
51 Mot inconnu : is =>         -r rev  Check out revision or tag. (implies -P) (is sticky) | is
51 Mot inconnu : sticky =>         -r rev  Check out revision or tag. (implies -P) (is sticky) | sticky

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -D date Check out revisions as of date. (implies -P) (is sticky) |          => suggestions : ['']
52 Mot inconnu : Check =>         -D date Check out revisions as of date. (implies -P) (is sticky) | check
52 Mot inconnu : revisions =>         -D date Check out revisions as of date. (implies -P) (is sticky) | revisions
52 Mot inconnu : of =>         -D date Check out revisions as of date. (implies -P) (is sticky) | of
52 Mot inconnu : implies =>         -D date Check out revisions as of date. (implies -P) (is sticky) | implies
52 Il manque un espace à côté du tiret. =>         -D date Check out revisions as of date. (implies -P) (is sticky) |  - => suggestions : [' – ', ' — ']
52 Mot inconnu : is =>         -D date Check out revisions as of date. (implies -P) (is sticky) | is
52 Mot inconnu : sticky =>         -D date Check out revisions as of date. (implies -P) (is sticky) | sticky

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -d dir  Check out into dir instead of module name. |          => suggestions : ['']
53 Mot inconnu : dir =>         -d dir  Check out into dir instead of module name. | dir
53 Espace(s) surnuméraire(s) à supprimer. =>         -d dir  Check out into dir instead of module name. |    => suggestions : [' ']
53 Mot inconnu : Check =>         -d dir  Check out into dir instead of module name. | check
53 Mot inconnu : into =>         -d dir  Check out into dir instead of module name. | into
53 Mot inconnu : dir =>         -d dir  Check out into dir instead of module name. | dir
53 Mot inconnu : instead =>         -d dir  Check out into dir instead of module name. | instead
53 Mot inconnu : of =>         -d dir  Check out into dir instead of module name. | of
53 Mot inconnu : name =>         -d dir  Check out into dir instead of module name. | name

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) |          => suggestions : ['']
54 Mot inconnu : kopt =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) | kopt
54 Mot inconnu : RCS =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) | rcs
54 Mot inconnu : kopt =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) | kopt
54 Il manque un espace à côté du tiret. =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) |  - => suggestions : [' – ', ' — ']
54 Mot inconnu : checkout =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) | checkout
54 Mot inconnu : is =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) | is
54 Mot inconnu : sticky =>         -k kopt Use RCS kopt -k option on checkout. (is sticky) | sticky

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         -j rev  Merge in changes made between current revision and rev. |          => suggestions : ['']
55 Mot inconnu : rev =>         -j rev  Merge in changes made between current revision and rev. | rev
55 Espace(s) surnuméraire(s) à supprimer. =>         -j rev  Merge in changes made between current revision and rev. |    => suggestions : [' ']
55 Mot inconnu : Merge =>         -j rev  Merge in changes made between current revision and rev. | merge
55 Mot inconnu : between =>         -j rev  Merge in changes made between current revision and rev. | between
55 Mot inconnu : current =>         -j rev  Merge in changes made between current revision and rev. | current
55 Mot inconnu : revision =>         -j rev  Merge in changes made between current revision and rev. | revision
55 Mot inconnu : and =>         -j rev  Merge in changes made between current revision and rev. | and
55 Mot inconnu : rev =>         -j rev  Merge in changes made between current revision and rev. | rev

56 Mot inconnu : Specify => (Specify the ---help global option for a list of other help options) | specify
56 Mot inconnu : the => (Specify the ---help global option for a list of other help options) | the
56 Mot inconnu : help => (Specify the ---help global option for a list of other help options) | help
56 Mot inconnu : list => (Specify the ---help global option for a list of other help options) | list
56 Mot inconnu : of => (Specify the ---help global option for a list of other help options) | of
56 Mot inconnu : other => (Specify the ---help global option for a list of other help options) | other
56 Mot inconnu : help => (Specify the ---help global option for a list of other help options) | help

59 Mot inconnu : Checkout => ==== Checkout ==== | checkout

61 Mot inconnu : checkout => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | checkout
61 Mot inconnu : repository => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | repository
61 Mot inconnu : CVS => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | cvs
61 Mot inconnu : repository => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | repository
61 Mot inconnu : CVS => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | cvs
61 Guillemets typographiques ouvrants. => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | " => suggestions : ['\xa0»', '”']
61 Guillemets typographiques ouvrants. => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | " => suggestions : ['\xa0»', '”']
61 Mot inconnu : CVS => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). | cvs
61 Il manque un espace à côté du tiret. => Le checkout est l'opération qui consiste à extraire les fichiers à partir du repository CVS et à les recopier dans le repository de travail. CVS extrait par défaut la dernière version du fichier de la branche principale appelée encore "tronc". Si plusieurs branches de développement sont en cours ou que vous voulez une version plus ancienne du "tronc", vous devez le spécifier à CVS au moyen du nom du tag de branche ou de révision (option -r). |  - => suggestions : [' – ', ' — ']

66 Mot inconnu : checkout => Notez que l'utilisation de checkout est récursive. | checkout

68 Mot inconnu : CVS => Si tout se passe bien, CVS fournit une sortie qui ressemble à : | cvs

70 Mot inconnu : htdocs => U htdocs/actions/ldd/index.wml | htdocs
70 Mot inconnu : ldd => U htdocs/actions/ldd/index.wml | ldd
70 Mot inconnu : wml => U htdocs/actions/ldd/index.wml | wml

72 Mot inconnu : htdocs => et crée un répertoire htdocs/actions/ldd contenant le fichier index.wml ainsi qu'un répertoire CVS qui contient des fichiers administratifs et qu'il convient d'ignorer (mais de ne pas effacer). Vous pouvez maintenant travailler sur le fichier index.wml. | htdocs
72 Mot inconnu : ldd => et crée un répertoire htdocs/actions/ldd contenant le fichier index.wml ainsi qu'un répertoire CVS qui contient des fichiers administratifs et qu'il convient d'ignorer (mais de ne pas effacer). Vous pouvez maintenant travailler sur le fichier index.wml. | ldd
72 Mot inconnu : wml => et crée un répertoire htdocs/actions/ldd contenant le fichier index.wml ainsi qu'un répertoire CVS qui contient des fichiers administratifs et qu'il convient d'ignorer (mais de ne pas effacer). Vous pouvez maintenant travailler sur le fichier index.wml. | wml
72 Mot inconnu : CVS => et crée un répertoire htdocs/actions/ldd contenant le fichier index.wml ainsi qu'un répertoire CVS qui contient des fichiers administratifs et qu'il convient d'ignorer (mais de ne pas effacer). Vous pouvez maintenant travailler sur le fichier index.wml. | cvs
72 Mot inconnu : wml => et crée un répertoire htdocs/actions/ldd contenant le fichier index.wml ainsi qu'un répertoire CVS qui contient des fichiers administratifs et qu'il convient d'ignorer (mais de ne pas effacer). Vous pouvez maintenant travailler sur le fichier index.wml. | wml

77 Mot inconnu : repository => Le commit est l'opération inverse. Le but du jeu est de mettre à jour dans le repository CVS et à partir du repository local le(s) fichier(s) ou le module complet que vous avez modifiés. Par exemple : | repository
77 Mot inconnu : CVS => Le commit est l'opération inverse. Le but du jeu est de mettre à jour dans le repository CVS et à partir du repository local le(s) fichier(s) ou le module complet que vous avez modifiés. Par exemple : | cvs
77 Mot inconnu : repository => Le commit est l'opération inverse. Le but du jeu est de mettre à jour dans le repository CVS et à partir du repository local le(s) fichier(s) ou le module complet que vous avez modifiés. Par exemple : | repository
77 Écriture invariable. Utilisez un point médian. => Le commit est l'opération inverse. Le but du jeu est de mettre à jour dans le repository CVS et à partir du repository local le(s) fichier(s) ou le module complet que vous avez modifiés. Par exemple : | fichier(s) => suggestions : ['fichier·s']
77 Si “le module…” est bien le COD du participe passé “modifiés”, celui-ci devrait être au masculin singulier. => Le commit est l'opération inverse. Le but du jeu est de mettre à jour dans le repository CVS et à partir du repository local le(s) fichier(s) ou le module complet que vous avez modifiés. Par exemple : | modifiés => suggestions : ['modifié']

81 Mot inconnu : CVS => CVS demande ensuite de rentrer des informations sur la nature des modifications effectuées (afin d'archiver leur trace dans un format facilement compréhensible par des humains). Par défaut, CVS exécute la commande vi, mais cette commande peut être modifiée au besoin en affectant le nom d'un éditeur de texte quelconque à la variable $EDITOR (par exemple emacs). | cvs
81 Mot inconnu : CVS => CVS demande ensuite de rentrer des informations sur la nature des modifications effectuées (afin d'archiver leur trace dans un format facilement compréhensible par des humains). Par défaut, CVS exécute la commande vi, mais cette commande peut être modifiée au besoin en affectant le nom d'un éditeur de texte quelconque à la variable $EDITOR (par exemple emacs). | cvs
81 Mot inconnu : vi => CVS demande ensuite de rentrer des informations sur la nature des modifications effectuées (afin d'archiver leur trace dans un format facilement compréhensible par des humains). Par défaut, CVS exécute la commande vi, mais cette commande peut être modifiée au besoin en affectant le nom d'un éditeur de texte quelconque à la variable $EDITOR (par exemple emacs). | vi
81 Mot inconnu : EDITOR => CVS demande ensuite de rentrer des informations sur la nature des modifications effectuées (afin d'archiver leur trace dans un format facilement compréhensible par des humains). Par défaut, CVS exécute la commande vi, mais cette commande peut être modifiée au besoin en affectant le nom d'un éditeur de texte quelconque à la variable $EDITOR (par exemple emacs). | editor
81 Mot inconnu : emacs => CVS demande ensuite de rentrer des informations sur la nature des modifications effectuées (afin d'archiver leur trace dans un format facilement compréhensible par des humains). Par défaut, CVS exécute la commande vi, mais cette commande peut être modifiée au besoin en affectant le nom d'un éditeur de texte quelconque à la variable $EDITOR (par exemple emacs). | emacs

83 Mot inconnu : vi => Enregistrez le texte de vos descriptions que vous venez de saisir (sous vi, ESC :x), et ensuite CVS mettra à jour vos modifications dans le repository. Notez que si vous mettez à jour plusieurs fichiers en même temps, CVS vous demandera certainement plusieurs descriptions pour vos modifications (vous pouvez mettre les mêmes). | vi
