
4 Mot inconnu : Asterisk => ====== Asterisk (For VoIP) ====== | asterisk
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => 2 - Exécuter la ligne 6 en étant dans le répertoire /usr/src/asterisk/asterisk-18.6.0 (car configure est un fichier exécutable du répertoire asterisk-18.6.0) |  -  => suggestions : [' – ', ' — ', ' − ']
30 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => 2 - Exécuter la ligne 6 en étant dans le répertoire /usr/src/asterisk/asterisk-18.6.0 (car configure est un fichier exécutable du répertoire asterisk-18.6.0) | -18 => suggestions : ['−18', '– 18', '— 18']
30 Mot inconnu : asterisk-18 => 2 - Exécuter la ligne 6 en étant dans le répertoire /usr/src/asterisk/asterisk-18.6.0 (car configure est un fichier exécutable du répertoire asterisk-18.6.0) | asterisk-18
41 Mot inconnu : dev => Lorsque vous faites le ./configure, il est possible qu'il manque des paquets; dans ce cas, installez la version dev de ce paquet (par exemple, s'il manque le paquet libedit, exécutez la commande sudo apt-get install libedit-dev) puis relancez le ./configure. | dev
41 Mot inconnu : libedit => Lorsque vous faites le ./configure, il est possible qu'il manque des paquets; dans ce cas, installez la version dev de ce paquet (par exemple, s'il manque le paquet libedit, exécutez la commande sudo apt-get install libedit-dev) puis relancez le ./configure. | libedit
41 Mot inconnu : sudo => Lorsque vous faites le ./configure, il est possible qu'il manque des paquets; dans ce cas, installez la version dev de ce paquet (par exemple, s'il manque le paquet libedit, exécutez la commande sudo apt-get install libedit-dev) puis relancez le ./configure. | sudo
41 Mot inconnu : apt-get => Lorsque vous faites le ./configure, il est possible qu'il manque des paquets; dans ce cas, installez la version dev de ce paquet (par exemple, s'il manque le paquet libedit, exécutez la commande sudo apt-get install libedit-dev) puis relancez le ./configure. | apt-get
41 Mot inconnu : install => Lorsque vous faites le ./configure, il est possible qu'il manque des paquets; dans ce cas, installez la version dev de ce paquet (par exemple, s'il manque le paquet libedit, exécutez la commande sudo apt-get install libedit-dev) puis relancez le ./configure. | install
41 Mot inconnu : libedit-dev => Lorsque vous faites le ./configure, il est possible qu'il manque des paquets; dans ce cas, installez la version dev de ce paquet (par exemple, s'il manque le paquet libedit, exécutez la commande sudo apt-get install libedit-dev) puis relancez le ./configure. | libedit-dev
41 S’il s’agit d’un impératif, mettez un trait d’union. => Lorsque vous faites le ./configure, il est possible qu'il manque des paquets; dans ce cas, installez la version dev de ce paquet (par exemple, s'il manque le paquet libedit, exécutez la commande sudo apt-get install libedit-dev) puis relancez le ./configure. | relancez le => suggestions : ['relancez-le']

43 Mot inconnu : Core => Dans le menu qui s'affiche, allez dans **Core Sound Package** et cochez à l'aide de la touche Espace **CORE-SOUNDS-FR-ULAW**. Quittez en pressant la touche Echap. | core
43 Mot inconnu : Sound => Dans le menu qui s'affiche, allez dans **Core Sound Package** et cochez à l'aide de la touche Espace **CORE-SOUNDS-FR-ULAW**. Quittez en pressant la touche Echap. | sound
43 Mot inconnu : CORE-SOUNDS-FR-ULAW => Dans le menu qui s'affiche, allez dans **Core Sound Package** et cochez à l'aide de la touche Espace **CORE-SOUNDS-FR-ULAW**. Quittez en pressant la touche Echap. | core-sounds-fr-ulaw
43 Mot inconnu : Echap => Dans le menu qui s'affiche, allez dans **Core Sound Package** et cochez à l'aide de la touche Espace **CORE-SOUNDS-FR-ULAW**. Quittez en pressant la touche Echap. | echap

44 Mot inconnu : Music => Allez ensuite dans **Music On Hold File Packages**, décochez **MOH-OPSOUND-WAV** et cochez **MOH-OPSOUND-ULAW**. Enfin, allez dans **Extras Sound Packages** et cochez **EXTRA-SOUNDS-FR-ULAW**. | music
44 Mot inconnu : Hold => Allez ensuite dans **Music On Hold File Packages**, décochez **MOH-OPSOUND-WAV** et cochez **MOH-OPSOUND-ULAW**. Enfin, allez dans **Extras Sound Packages** et cochez **EXTRA-SOUNDS-FR-ULAW**. | hold
44 Mot inconnu : MOH-OPSOUND-WAV => Allez ensuite dans **Music On Hold File Packages**, décochez **MOH-OPSOUND-WAV** et cochez **MOH-OPSOUND-ULAW**. Enfin, allez dans **Extras Sound Packages** et cochez **EXTRA-SOUNDS-FR-ULAW**. | moh-opsound-wav
44 Mot inconnu : MOH-OPSOUND-ULAW => Allez ensuite dans **Music On Hold File Packages**, décochez **MOH-OPSOUND-WAV** et cochez **MOH-OPSOUND-ULAW**. Enfin, allez dans **Extras Sound Packages** et cochez **EXTRA-SOUNDS-FR-ULAW**. | moh-opsound-ulaw
44 Mot inconnu : Sound => Allez ensuite dans **Music On Hold File Packages**, décochez **MOH-OPSOUND-WAV** et cochez **MOH-OPSOUND-ULAW**. Enfin, allez dans **Extras Sound Packages** et cochez **EXTRA-SOUNDS-FR-ULAW**. | sound
44 Mot inconnu : EXTRA-SOUNDS-FR-ULAW => Allez ensuite dans **Music On Hold File Packages**, décochez **MOH-OPSOUND-WAV** et cochez **MOH-OPSOUND-ULAW**. Enfin, allez dans **Extras Sound Packages** et cochez **EXTRA-SOUNDS-FR-ULAW**. | extra-sounds-fr-ulaw

46 Mot inconnu : Echap => Revenez à l'écran principal et appuyez sur Echap pour terminer et pressez S pour sauvegarder. | echap

50 Forme interrogative ? Mettez un trait d’union. => <note important>Avant d'effectuer ces commandes, assurez vous que vous avez une connexion Internet configurée et active.</note> | assurez vous => suggestions : ['assurez-vous']

55 Mot inconnu : make => make config</code> | make

57 Mot inconnu : Asterisk => Enfin, lancez Asterisk avec la commande suivante :  | asterisk
57 Espace(s) en fin de ligne à supprimer. => Enfin, lancez Asterisk avec la commande suivante :  |   => suggestions : ['']

61 Mot inconnu : Asterisk => Lancez la console Asterisk avec la commande suivante :  | asterisk
61 Espace(s) en fin de ligne à supprimer. => Lancez la console Asterisk avec la commande suivante :  |   => suggestions : ['']

65 Guillemets typographiques ouvrants. => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : Unable => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | unable
65 Mot inconnu : to => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | to
65 Mot inconnu : connect => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | connect
65 Mot inconnu : to => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | to
65 Mot inconnu : remote => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | remote
65 Mot inconnu : asterisk => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | asterisk
65 Mot inconnu : does => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | does
65 Mot inconnu : exist => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | exist
65 Mot inconnu : Asterisk => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | asterisk
65 Mot inconnu : root => Si vous avez l'erreur "Unable to connect to remote asterisk (does /var/run/asterisk.ctl exist?)", assurez-vous que vous avez bien démarré la console Asterisk en root. | root

68 Mot inconnu : LTS => L'installation qui suit a été effectuée avec Ubuntu 6.06.1 LTS depuis des paquets debian. Tout d'abord, il faut installer les pilotes Zaptel qui vous permettront ensuite d'ajouter des cartes analogique, T0... de marque Digium. | lts
68 Mot inconnu : debian => L'installation qui suit a été effectuée avec Ubuntu 6.06.1 LTS depuis des paquets debian. Tout d'abord, il faut installer les pilotes Zaptel qui vous permettront ensuite d'ajouter des cartes analogique, T0... de marque Digium. | debian
68 Mot inconnu : Zaptel => L'installation qui suit a été effectuée avec Ubuntu 6.06.1 LTS depuis des paquets debian. Tout d'abord, il faut installer les pilotes Zaptel qui vous permettront ensuite d'ajouter des cartes analogique, T0... de marque Digium. | zaptel
68 Accord de nombre erroné avec « des cartes » : « analogique » devrait être au pluriel. => L'installation qui suit a été effectuée avec Ubuntu 6.06.1 LTS depuis des paquets debian. Tout d'abord, il faut installer les pilotes Zaptel qui vous permettront ensuite d'ajouter des cartes analogique, T0... de marque Digium. | analogique => suggestions : ['analogiques']
68 Mot inconnu : T0 => L'installation qui suit a été effectuée avec Ubuntu 6.06.1 LTS depuis des paquets debian. Tout d'abord, il faut installer les pilotes Zaptel qui vous permettront ensuite d'ajouter des cartes analogique, T0... de marque Digium. | t0
68 Typographie : points de suspension. Utilisez le caractère dédié. => L'installation qui suit a été effectuée avec Ubuntu 6.06.1 LTS depuis des paquets debian. Tout d'abord, il faut installer les pilotes Zaptel qui vous permettront ensuite d'ajouter des cartes analogique, T0... de marque Digium. | ... => suggestions : ['…']
68 Mot inconnu : Digium => L'installation qui suit a été effectuée avec Ubuntu 6.06.1 LTS depuis des paquets debian. Tout d'abord, il faut installer les pilotes Zaptel qui vous permettront ensuite d'ajouter des cartes analogique, T0... de marque Digium. | digium

77 Mot inconnu : KERNEL => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | kernel
77 Guillemets typographiques ouvrants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : zap => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | zap
77 Mot inconnu : NAME => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | name
77 Guillemets typographiques ouvrants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : zap => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | zap
77 Il manque un espace. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | n => suggestions : [' n']
77 Guillemets typographiques fermants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['\xa0»', '”']
77 Mot inconnu : OWNER => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | owner
77 Guillemets typographiques ouvrants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : asterisk => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | asterisk
77 Guillemets typographiques fermants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['\xa0»', '”']
77 Mot inconnu : GROUP => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | group
77 Guillemets typographiques ouvrants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : asterisk => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | asterisk
77 Guillemets typographiques fermants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['\xa0»', '”']
77 Guillemets typographiques ouvrants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. => KERNEL=="zap[0-9]*", NAME="zap/%n", OWNER="asterisk", GROUP="asterisk", MODE="0660"</code> | " => suggestions : ['\xa0»', '”']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  sudo module-assistant auto-install zaptel</code> |   => suggestions : ['']
81 Mot inconnu : sudo =>  sudo module-assistant auto-install zaptel</code> | sudo
81 Mot inconnu : auto-install =>  sudo module-assistant auto-install zaptel</code> | auto-install
81 Mot inconnu : zaptel =>  sudo module-assistant auto-install zaptel</code> | zaptel

83 Mot inconnu : Zaptel => Fin de l'installation des pilotes Zaptel, redémarrez maintenant votre ordinateur a l'aide de la commande : | zaptel

86 Mot inconnu : Asterisk => Ensuite nous allons procéder à l'installation de Asterisk : | asterisk

89 Accord de genre erroné : « fois » est féminin. => Un fois installé, modifiez ces paramètres pour que Asterisk demarre au démarrage de l'ordinateur : | un => suggestions : ['Une']
89 Accord de genre erroné : « Un » est un déterminant masculin. => Un fois installé, modifiez ces paramètres pour que Asterisk demarre au démarrage de l'ordinateur : | fois => suggestions : ['foie']
89 Mot inconnu : Asterisk => Un fois installé, modifiez ces paramètres pour que Asterisk demarre au démarrage de l'ordinateur : | asterisk
89 Mot inconnu : demarre => Un fois installé, modifiez ces paramètres pour que Asterisk demarre au démarrage de l'ordinateur : | demarre

92 Mot inconnu : RUNASTSAFE => RUNASTSAFE=no</code> | runastsafe

94 Mot inconnu : Asterisk => Pour installer les paquets français de Asterisk, vous devez lancer cette commande : | asterisk

98 Mot inconnu : Asterisk => La configuration d'Asterisk s'articule sur les fichiers de configuration suivants :  | asterisk
98 Espace(s) en fin de ligne à supprimer. => La configuration d'Asterisk s'articule sur les fichiers de configuration suivants :  |   => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''/etc/asterisk/sip.conf''** : Configuration globale d'Asterisk |    => suggestions : ['']
100 Mot inconnu : Asterisk =>   * **''/etc/asterisk/sip.conf''** : Configuration globale d'Asterisk | asterisk

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''/etc/asterisk/users.conf''** : Configuration des utilisateurs |    => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''/etc/asterisk/extensions.conf''** : Configuration du Dialplan |    => suggestions : ['']
102 Mot inconnu : Dialplan =>   * **''/etc/asterisk/extensions.conf''** : Configuration du Dialplan | dialplan

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''/etc/asterisk/voicemail.conf''** : Configuration des messageries |    => suggestions : ['']

108 Mot inconnu : Asterisk => saisie dans la console d'Asterisk</note> | asterisk

112 Mot inconnu : language => language=en                     ; Default language setting for all users/peers</code> | language
112 Espace(s) surnuméraire(s) à supprimer. => language=en                     ; Default language setting for all users/peers</code> |                       => suggestions : [' ']
112 Mot inconnu : Default => language=en                     ; Default language setting for all users/peers</code> | default
112 Mot inconnu : language => language=en                     ; Default language setting for all users/peers</code> | language
112 Mot inconnu : setting => language=en                     ; Default language setting for all users/peers</code> | setting
112 Mot inconnu : all => language=en                     ; Default language setting for all users/peers</code> | all
112 Mot inconnu : users => language=en                     ; Default language setting for all users/peers</code> | users
112 Mot inconnu : peers => language=en                     ; Default language setting for all users/peers</code> | peers
114 Espace(s) en fin de ligne à supprimer. => en :  |   => suggestions : ['']

116 Mot inconnu : language => language=fr                     ; Default language setting for all users/peers</code> | language
116 Espace(s) surnuméraire(s) à supprimer. => language=fr                     ; Default language setting for all users/peers</code> |                       => suggestions : [' ']
116 Mot inconnu : Default => language=fr                     ; Default language setting for all users/peers</code> | default
116 Mot inconnu : language => language=fr                     ; Default language setting for all users/peers</code> | language
116 Mot inconnu : setting => language=fr                     ; Default language setting for all users/peers</code> | setting
116 Mot inconnu : all => language=fr                     ; Default language setting for all users/peers</code> | all
116 Mot inconnu : users => language=fr                     ; Default language setting for all users/peers</code> | users
116 Mot inconnu : peers => language=fr                     ; Default language setting for all users/peers</code> | peers

134 Mot inconnu : nat => nat = yes</code> | nat
134 Mot inconnu : yes => nat = yes</code> | yes

136 Mot inconnu : template => === Méthode sans template === | template
137 Espace(s) en fin de ligne à supprimer. => Pour chaque utilisateur, ajoutez le code suivant (avec les modifications nécessaires) :  |   => suggestions : ['']

148 Mot inconnu : context => context = work			; Contexte (exploité par le fichier extensions.conf)</code> | context
148 Mot inconnu : work => context = work			; Contexte (exploité par le fichier extensions.conf)</code> | work
148 Il manque un espace. => context = work			; Contexte (exploité par le fichier extensions.conf)</code> | conf => suggestions : [' conf']

150 Mot inconnu : template => === Méthode avec template === | template

151 Mot inconnu : template => Pour chaque template, ajoutez le code suivant (avec les modifications nécessaires) :  | template
151 Espace(s) en fin de ligne à supprimer. => Pour chaque template, ajoutez le code suivant (avec les modifications nécessaires) :  |   => suggestions : ['']
162 Espace(s) en fin de ligne à supprimer. => Pour chaque utilisateur, ajoutez le code suivant (avec les modifications nécessaires) :  |   => suggestions : ['']

168 Mot inconnu : Dialplan => ==== Configuration du Dialplan ==== | dialplan

173 Mot inconnu : exten => exten => _6XXX,2,Hangup()</code> | exten
173 Mot inconnu : _6XXX => exten => _6XXX,2,Hangup()</code> | _6xxx
173 Il manque un espace. => exten => _6XXX,2,Hangup()</code> | 2 => suggestions : [' 2']
173 Mot inconnu : Hangup => exten => _6XXX,2,Hangup()</code> | hangup

176 Mot inconnu : work => **[work]** est le contexte c’est une sorte de conteneur dans lequel les utilisateurs faisant partis de ce contexte pourrons communiquer entre eux. | work
176 Confusion. On écrit « faire partie ». => **[work]** est le contexte c’est une sorte de conteneur dans lequel les utilisateurs faisant partis de ce contexte pourrons communiquer entre eux. | partis => suggestions : ['partie']
176 Ceci est un verbe à la 1ʳᵉ personne du pluriel. Sujet (“nous” ou équivalent) introuvable. => **[work]** est le contexte c’est une sorte de conteneur dans lequel les utilisateurs faisant partis de ce contexte pourrons communiquer entre eux. | pourrons => suggestions : ['pourront']

177 Mot inconnu : work => Lors de la création de nos deux utilisateurs nous avons spécifié le contexte work. | work

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * exten => : déclare l’extension (on peut aussi simplement dire numéros) |    => suggestions : ['']
179 Mot inconnu : exten =>   * exten => : déclare l’extension (on peut aussi simplement dire numéros) | exten

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * _6XXX : Prend les extensions (ou numéros) de 6000 a 6999 le « _ » permet d’utiliser des regex |    => suggestions : ['']
180 Mot inconnu : _6XXX =>   * _6XXX : Prend les extensions (ou numéros) de 6000 a 6999 le « _ » permet d’utiliser des regex | _6xxx
180 S’il s’agit d’un impératif, ajoutez un “s”. =>   * _6XXX : Prend les extensions (ou numéros) de 6000 a 6999 le « _ » permet d’utiliser des regex | prend => suggestions : ['Prends']
180 Mot inconnu : regex =>   * _6XXX : Prend les extensions (ou numéros) de 6000 a 6999 le « _ » permet d’utiliser des regex | regex

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 1 : Ordre de l’extension |    => suggestions : ['']

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dial : application qui va être utilisé |    => suggestions : ['']
182 Mot inconnu : Dial =>   * Dial : application qui va être utilisé | dial

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * SIP: Protocol qui va être utilisé |    => suggestions : ['']
183 Mot inconnu : SIP =>   * SIP: Protocol qui va être utilisé | sip
183 Mot inconnu : Protocol =>   * SIP: Protocol qui va être utilisé | protocol

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ${EXTEN} : variable de l’extension composé, si on appelle le 6001 la variable ${EXTEN} prendra comme valeur 6001 |    => suggestions : ['']
184 Mot inconnu : EXTEN =>   * ${EXTEN} : variable de l’extension composé, si on appelle le 6001 la variable ${EXTEN} prendra comme valeur 6001 | exten
184 Mot inconnu : EXTEN =>   * ${EXTEN} : variable de l’extension composé, si on appelle le 6001 la variable ${EXTEN} prendra comme valeur 6001 | exten

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 20: temps d’attente avant de passer a l’étape suivante. |    => suggestions : ['']

187 Guillemets typographiques ouvrants. => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | '' => suggestions : ['«\xa0', '“']
187 Mot inconnu : exten => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | exten
187 Mot inconnu : _6XXX => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | _6xxx
187 Il manque un espace. => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | 1 => suggestions : [' 1']
187 Mot inconnu : Dial => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | dial
187 Il manque un espace avant la parenthèse. => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | ( => suggestions : [' (']
187 Mot inconnu : SIP => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | sip
187 Mot inconnu : EXTEN => Donc la ligne ''exten => _6XXX,1,Dial(SIP/${EXTEN},20)'' se traduit par: | exten
190 Guillemets typographiques ouvrants. => La seconde ligne : ''exten => _6XXX,2,Hangup()'' permet de raccrocher si il n’y a pas de réponses au bout des 20 secondes. | '' => suggestions : ['«\xa0', '“']
190 Mot inconnu : exten => La seconde ligne : ''exten => _6XXX,2,Hangup()'' permet de raccrocher si il n’y a pas de réponses au bout des 20 secondes. | exten
190 Mot inconnu : _6XXX => La seconde ligne : ''exten => _6XXX,2,Hangup()'' permet de raccrocher si il n’y a pas de réponses au bout des 20 secondes. | _6xxx
190 Il manque un espace. => La seconde ligne : ''exten => _6XXX,2,Hangup()'' permet de raccrocher si il n’y a pas de réponses au bout des 20 secondes. | 2 => suggestions : [' 2']
190 Mot inconnu : Hangup => La seconde ligne : ''exten => _6XXX,2,Hangup()'' permet de raccrocher si il n’y a pas de réponses au bout des 20 secondes. | hangup
190 Il faut élider “si” et l’accoler au pronom. => La seconde ligne : ''exten => _6XXX,2,Hangup()'' permet de raccrocher si il n’y a pas de réponses au bout des 20 secondes. | si  => suggestions : ['s’']

194 Guillemets typographiques ouvrants. => Les clients "logiciels" n'ont généralement besoin que de quelques infos : Un nom (qui apparaitra en clair sur le client de destination lors d'un appel) , un login et son mot de passe associé, et l'adresse du serveur VOIP. Leur configuration étant assez simple et disponible sur beaucoup de pages internet, elle ne sera pas détaillée ici. | " => suggestions : ['«\xa0', '“']
194 Guillemets typographiques fermants. => Les clients "logiciels" n'ont généralement besoin que de quelques infos : Un nom (qui apparaitra en clair sur le client de destination lors d'un appel) , un login et son mot de passe associé, et l'adresse du serveur VOIP. Leur configuration étant assez simple et disponible sur beaucoup de pages internet, elle ne sera pas détaillée ici. | " => suggestions : ['\xa0»', '”']
194 Pas d’espace avant une virgule. => Les clients "logiciels" n'ont généralement besoin que de quelques infos : Un nom (qui apparaitra en clair sur le client de destination lors d'un appel) , un login et son mot de passe associé, et l'adresse du serveur VOIP. Leur configuration étant assez simple et disponible sur beaucoup de pages internet, elle ne sera pas détaillée ici. |  , => suggestions : [',']
194 Mot inconnu : VOIP => Les clients "logiciels" n'ont généralement besoin que de quelques infos : Un nom (qui apparaitra en clair sur le client de destination lors d'un appel) , un login et son mot de passe associé, et l'adresse du serveur VOIP. Leur configuration étant assez simple et disponible sur beaucoup de pages internet, elle ne sera pas détaillée ici. | voip

