
5 Mot inconnu : TiMiDiTy => ====== TiMiDiTy ====== | timidity
76 Mot inconnu : Os1l => en la remplaçant par : <file>TIM_ALSASEQPARAMS="-iA -B2,8 -Os1l -s 44100"</file> | os1l
76 Formatage des grands nombres. => en la remplaçant par : <file>TIM_ALSASEQPARAMS="-iA -B2,8 -Os1l -s 44100"</file> | 44100 => suggestions : ['44\xa0100']
76 Guillemets typographiques fermants. => en la remplaçant par : <file>TIM_ALSASEQPARAMS="-iA -B2,8 -Os1l -s 44100"</file> | " => suggestions : ['\xa0»', '”']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

81 Mot inconnu : unity => Le lancement au démarrage d'une session peut dépendre de votre [[environnements|environnement de bureau]]. Cette méthode fonctionne au moins sous [[unity|Unity]]. | unity

85 Guillemets typographiques ouvrants. => description "Desktop Open Task" | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : Desktop => description "Desktop Open Task" | desktop
85 Mot inconnu : Task => description "Desktop Open Task" | task
85 Guillemets typographiques fermants. => description "Desktop Open Task" | " => suggestions : ['\xa0»', '”']

86 Mot inconnu : start => start on desktop-start | start
86 Mot inconnu : desktop-start => start on desktop-start | desktop-start

87 Mot inconnu : task => task | task

89 Mot inconnu : timidity => 	# Démarrer le serveur timidity | timidity

90 Il manque un espace à côté du tiret. => 	/usr/bin/timidity -iA -Os |  - => suggestions : [' – ', ' — ']
90 Mot inconnu : iA => 	/usr/bin/timidity -iA -Os | ia

91 Mot inconnu : end => end script | end

94 Mot inconnu : timidity => <note>Adapter les options du serveur timidity en fonction de ce qui marche chez vous. J'ai enlevé des options par rapport à la section ci-dessus car sinon le son "crachote" chez moi.</note> | timidity
94 Guillemets typographiques ouvrants. => <note>Adapter les options du serveur timidity en fonction de ce qui marche chez vous. J'ai enlevé des options par rapport à la section ci-dessus car sinon le son "crachote" chez moi.</note> | " => suggestions : ['«\xa0', '“']
94 Guillemets typographiques fermants. => <note>Adapter les options du serveur timidity en fonction de ce qui marche chez vous. J'ai enlevé des options par rapport à la section ci-dessus car sinon le son "crachote" chez moi.</note> | " => suggestions : ['\xa0»', '”']

98 Guillemets typographiques ouvrants. => description "Desktop Close Task" | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : Desktop => description "Desktop Close Task" | desktop
98 Mot inconnu : Task => description "Desktop Close Task" | task
98 Guillemets typographiques fermants. => description "Desktop Close Task" | " => suggestions : ['\xa0»', '”']

99 Mot inconnu : start => start on session-end | start
99 Mot inconnu : session-end => start on session-end | session-end

100 Mot inconnu : task => task | task

102 Mot inconnu : timidity => 	# Arrêter les serveurs timidity | timidity

103 Mot inconnu : timidity => 	/usr/bin/killall timidity | timidity

104 Mot inconnu : end => end script | end

118 Typographie : points de suspension. Utilisez le caractère dédié. => **Note:** Gardez à l'esprit que cette modification détériore le son ... | ... => suggestions : ['…']

122 Mot inconnu : soundfont => ==== Trouver et mettre en place une soundfont ==== | soundfont

124 Mot inconnu : soundfont => Que ce soit dans le cadre d'une synthèse matérielle ou logicielle, vous aurez besoin d'un //soundfont//. Wikipédia nous apprend que : | soundfont

128 Mot inconnu : Timidity => Si vous utilisez Timidity pour jouer des fichiers MIDI, vous pouvez installer le paquet **freepats** qui propose des sons de base. Toutefois, il existe d'excellentes soundfonts gratuites que vous pouvez utiliser pour améliorer la qualité du son midi. | timidity
128 Mot inconnu : freepats => Si vous utilisez Timidity pour jouer des fichiers MIDI, vous pouvez installer le paquet **freepats** qui propose des sons de base. Toutefois, il existe d'excellentes soundfonts gratuites que vous pouvez utiliser pour améliorer la qualité du son midi. | freepats
128 Mot inconnu : soundfonts => Si vous utilisez Timidity pour jouer des fichiers MIDI, vous pouvez installer le paquet **freepats** qui propose des sons de base. Toutefois, il existe d'excellentes soundfonts gratuites que vous pouvez utiliser pour améliorer la qualité du son midi. | soundfonts

130 Mot inconnu : soundfonts => Exemples de soundfonts à télécharger : | soundfonts

138 Mettez des guillemets fermants plutôt qu’ouvrants. => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: |  « => suggestions : ['\xa0»', '”']
138 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: |  . => suggestions : ['. ', '.']
138 Mot inconnu : sfArk => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: | sfark
138 Mot inconnu : soundfont => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: | soundfont
138 Mot inconnu : linux => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: | linux
138 Mot inconnu : Melody => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: | melody
138 Mot inconnu : linux => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: | linux
138 Guillemets typographiques ouvrants. => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: | " => suggestions : ['«\xa0', '“']
138 Guillemets typographiques fermants. => //Si// vous vous retrouvez avec un fichier se terminant par « .sfArk », sachez qu'il s'agit d'une //soundfont// compressée dans un format //propriétaire//. Un outil pour linux permettant de décompresser ces fichiers est disponible chez [[http://melodymachine.com/sfark.htm|Melody Machine]]. Pour l'utiliser, téléchargez le fichier dans la colonne linux, clique droit "extraire" sur le fichier téléchargé puis dans un terminal lancez: | " => suggestions : ['\xa0»', '”']

142 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => et vous obtiendrez votre .sf2! |  . => suggestions : ['. ', '.']
142 Mot inconnu : sf2 => et vous obtiendrez votre .sf2! | sf2

143 Mot inconnu : soundfonts => Il est conseillé d'utiliser les soundfonts de ce site [[http://sonimusicae.free.fr/matshelgesson-maestro.html]] qui sont certes volumineuses mais d'une très grande qualité (jettez un oeil aux clavecins par exemple...)   | soundfonts
143 Mot inconnu : jettez => Il est conseillé d'utiliser les soundfonts de ce site [[http://sonimusicae.free.fr/matshelgesson-maestro.html]] qui sont certes volumineuses mais d'une très grande qualité (jettez un oeil aux clavecins par exemple...)   | jettez
143 Mot inconnu : oeil => Il est conseillé d'utiliser les soundfonts de ce site [[http://sonimusicae.free.fr/matshelgesson-maestro.html]] qui sont certes volumineuses mais d'une très grande qualité (jettez un oeil aux clavecins par exemple...)   | oeil
143 Typographie : points de suspension. Utilisez le caractère dédié. => Il est conseillé d'utiliser les soundfonts de ce site [[http://sonimusicae.free.fr/matshelgesson-maestro.html]] qui sont certes volumineuses mais d'une très grande qualité (jettez un oeil aux clavecins par exemple...)   | ... => suggestions : ['…']
143 Espace(s) en fin de ligne à supprimer. => Il est conseillé d'utiliser les soundfonts de ce site [[http://sonimusicae.free.fr/matshelgesson-maestro.html]] qui sont certes volumineuses mais d'une très grande qualité (jettez un oeil aux clavecins par exemple...)   |    => suggestions : ['']
149 Mot inconnu : soundfont => <note importante>Attention, une ligne commençant par « source » est certainement déjà présente à la fin du fichier. Vous devriez la commenter, en ajoutant un « # » devant la ligne ; par ailleurs, notez bien que le mot clé de la ligne à ajouter est « soundfont », pas « source ».</note> | soundfont

156 Mot inconnu : Timidity => Timidity permet également de convertir un fichier midi en fichier audio, grâce à l'option -O. Ainsi, la commande | timidity
156 Il manque un espace à côté du tiret. => Timidity permet également de convertir un fichier midi en fichier audio, grâce à l'option -O. Ainsi, la commande |  - => suggestions : [' – ', ' — ']

158 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. => convertit fichier.mid en fichier.ogg. | convertit => suggestions : ['convertis']
158 Mot inconnu : mid => convertit fichier.mid en fichier.ogg. | mid
168 Mot inconnu : timidity => Tapez « man timidity » pour plus d'informations.  | timidity
168 Espace(s) en fin de ligne à supprimer. => Tapez « man timidity » pour plus d'informations.  |   => suggestions : ['']

173 Mot inconnu : timidity => Le paquet **timidity** que vous avez installé ne crée malheureusement pas (encore) de raccourci dans le menu Applications sauf si vous avez installé le paquet **timidity-interfaces-extra** | timidity
173 Mot inconnu : timidity-interfaces-extra => Le paquet **timidity** que vous avez installé ne crée malheureusement pas (encore) de raccourci dans le menu Applications sauf si vous avez installé le paquet **timidity-interfaces-extra** | timidity-interfaces-extra

180 Mot inconnu : Timidity => ==== Timidity en serveur/synthétiseur ==== | timidity

202 Mot inconnu : timidity => N'oubliez pas de tuer timidity quand vous l'avez fermé : | timidity

267 Guillemets typographiques ouvrants. => Recopier le contenu dans un fichier "timserver", rendez-le exécutable, double-cliquez dessus et faites "Lancer dans un terminal". Vous pouvez aussi le copier dans /usr/local/bin  : | " => suggestions : ['«\xa0', '“']
267 Mot inconnu : timserver => Recopier le contenu dans un fichier "timserver", rendez-le exécutable, double-cliquez dessus et faites "Lancer dans un terminal". Vous pouvez aussi le copier dans /usr/local/bin  : | timserver
267 Guillemets typographiques fermants. => Recopier le contenu dans un fichier "timserver", rendez-le exécutable, double-cliquez dessus et faites "Lancer dans un terminal". Vous pouvez aussi le copier dans /usr/local/bin  : | " => suggestions : ['\xa0»', '”']
267 Guillemets typographiques ouvrants. => Recopier le contenu dans un fichier "timserver", rendez-le exécutable, double-cliquez dessus et faites "Lancer dans un terminal". Vous pouvez aussi le copier dans /usr/local/bin  : | " => suggestions : ['«\xa0', '“']
267 Guillemets typographiques fermants. => Recopier le contenu dans un fichier "timserver", rendez-le exécutable, double-cliquez dessus et faites "Lancer dans un terminal". Vous pouvez aussi le copier dans /usr/local/bin  : | " => suggestions : ['\xa0»', '”']
267 Espace(s) surnuméraire(s) à supprimer. => Recopier le contenu dans un fichier "timserver", rendez-le exécutable, double-cliquez dessus et faites "Lancer dans un terminal". Vous pouvez aussi le copier dans /usr/local/bin  : |    => suggestions : [' ']

276 Mot inconnu : Timidity => ==== Améliorer le rendu sonore de Timidity ==== | timidity

277 Mot inconnu : Timidity => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | timidity
277 Mot inconnu : soundfont => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | soundfont
277 Mot inconnu : soundfont => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | soundfont
277 Mot inconnu : Timidity => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | timidity
277 Mot inconnu : Timidity => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | timidity
