
3 Mot inconnu : ATIV [[25:29]] => ======  Portable Samsung ATIV book9 lite  -  NP905S3G ====== <|> ativ
86 Guillemets typographiques ouvrants. [[19:20]] => Aller dans le menu "boot" \\ <|> " => suggestions : « “
86 Guillemets typographiques fermants. [[24:25]] => Aller dans le menu "boot" \\ <|> " => suggestions :  »”

87 Mot inconnu : secure [[14:20]] => désactiver le secure boot \\ <|> secure

88 Mot inconnu : fast [[14:18]] => désactiver le fast boot \\ <|> fast
89 Mot inconnu : order [[29:34]] => aller dans le sous-menu boot order et désactiver l'option "windows loader" et activer l'option lecteur DVD s'il est visible.\\ <|> order
89 Guillemets typographiques ouvrants. [[58:59]] => aller dans le sous-menu boot order et désactiver l'option "windows loader" et activer l'option lecteur DVD s'il est visible.\\ <|> " => suggestions : « “
89 Guillemets typographiques fermants. [[73:74]] => aller dans le sous-menu boot order et désactiver l'option "windows loader" et activer l'option lecteur DVD s'il est visible.\\ <|> " => suggestions :  »”

90 Mot inconnu : set-up [[39:45]] => sauver ces modifications et quitter le set-up <|> set-up

92 Mot inconnu : Booter [[5:11]] => ==== Booter sur le DVD Ubuntu 13.04 Secure 64 bits et partitionner ==== <|> booter
92 Mot inconnu : Secure [[36:42]] => ==== Booter sur le DVD Ubuntu 13.04 Secure 64 bits et partitionner ==== <|> secure

94 Mot inconnu : secure [[22:28]] => le DVD d'Ubuntu 13.04 secure remix doit démerrer at afficher un menu graphique.\\ <|> secure
94 Mot inconnu : démerrer [[40:48]] => le DVD d'Ubuntu 13.04 secure remix doit démerrer at afficher un menu graphique.\\ <|> démerrer
94 Mot inconnu : at [[49:51]] => le DVD d'Ubuntu 13.04 secure remix doit démerrer at afficher un menu graphique.\\ <|> at

96 Mot inconnu : wi-fi [[30:35]] => il propose de se connecter en wi-fi à la box et demande la clé du wi-fi \\ <|> wi-fi
96 Mot inconnu : wi-fi [[66:71]] => il propose de se connecter en wi-fi à la box et demande la clé du wi-fi \\ <|> wi-fi

97 Guillemets typographiques ouvrants. [[103:104]] => Au moment où il propose d'installer Ubuntu à côté de Windows ou sur les partitions existantes, choisir "autre" de manière à accéder au partitionnement manuel \\ <|> " => suggestions : « “
97 Guillemets typographiques fermants. [[109:110]] => Au moment où il propose d'installer Ubuntu à côté de Windows ou sur les partitions existantes, choisir "autre" de manière à accéder au partitionnement manuel \\ <|> " => suggestions :  »”

101 Guillemets typographiques ouvrants. [[65:66]] => quand l'installation est terminée vérifier le tout en lançant le "boot repair" \\ <|> " => suggestions : « “
101 Mot inconnu : repair [[71:77]] => quand l'installation est terminée vérifier le tout en lançant le "boot repair" \\ <|> repair
101 Guillemets typographiques fermants. [[77:78]] => quand l'installation est terminée vérifier le tout en lançant le "boot repair" \\ <|> " => suggestions :  »”

103 Mot inconnu : rebooter [[5:13]] => ==== rebooter ==== <|> rebooter

105 Typographie des composés chimiques. [[25:27]] => rallumer en appuyant sur F2 pour entrer dans le set-up du PC \\ <|> f2 => suggestions : F₂
105 Mot inconnu : F2 [[25:27]] => rallumer en appuyant sur F2 pour entrer dans le set-up du PC \\ <|> f2
105 Mot inconnu : set-up [[48:54]] => rallumer en appuyant sur F2 pour entrer dans le set-up du PC \\ <|> set-up
106 Guillemets typographiques ouvrants. [[67:68]] => changer l'ordre du boot en commençant par la nouvelle entrée créée "P0 : SAMSUNG..." et laisser le lecteur de DVD en second. \\ <|> " => suggestions : « “
106 Mot inconnu : P0 [[68:70]] => changer l'ordre du boot en commençant par la nouvelle entrée créée "P0 : SAMSUNG..." et laisser le lecteur de DVD en second. \\ <|> p0
106 Typographie : points de suspension. Utilisez le caractère dédié. [[80:83]] => changer l'ordre du boot en commençant par la nouvelle entrée créée "P0 : SAMSUNG..." et laisser le lecteur de DVD en second. \\ <|> ... => suggestions : …
106 Guillemets typographiques fermants. [[83:84]] => changer l'ordre du boot en commençant par la nouvelle entrée créée "P0 : SAMSUNG..." et laisser le lecteur de DVD en second. \\ <|> " => suggestions :  »”

107 Mot inconnu : set-up [[31:37]] => sauvegarder et quitter le mode set-up. \\ <|> set-up

114 Guillemets typographiques ouvrants. [[57:58]] => Icône paramètres système, souris et pavé tactile, cocher "défilement à deux doigts"  <|> " => suggestions : « “
114 Guillemets typographiques fermants. [[82:83]] => Icône paramètres système, souris et pavé tactile, cocher "défilement à deux doigts"  <|> " => suggestions :  »”
114 Espace(s) en fin de ligne à supprimer. [[83:84]] => Icône paramètres système, souris et pavé tactile, cocher "défilement à deux doigts"  <|>  
118 Mot inconnu : K400 [[45:49]] => Un modèle comme le clavier sans fil Logitech K400 est immédiatement reconnu par Ubuntu et ne nécessite l'installation d'aucun driver supplémentaire.  <|> k400
118 Espace(s) en fin de ligne à supprimer. [[148:149]] => Un modèle comme le clavier sans fil Logitech K400 est immédiatement reconnu par Ubuntu et ne nécessite l'installation d'aucun driver supplémentaire.  <|>  

121 Typographie des composés chimiques. [[12:14]] => les touches F2 et F3 doivent permettre de réduire / augmenter la luminosité de l'écran. <|> f2 => suggestions : F₂
121 Mot inconnu : F2 [[12:14]] => les touches F2 et F3 doivent permettre de réduire / augmenter la luminosité de l'écran. <|> f2
121 Mot inconnu : F3 [[18:20]] => les touches F2 et F3 doivent permettre de réduire / augmenter la luminosité de l'écran. <|> f3

123 Mot inconnu : GRUB_CMDLINE_LINUX_DEFAULT [[0:26]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash"  en:\\ <|> grub_cmdline_linux_default
123 Guillemets typographiques ouvrants. [[27:28]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash"  en:\\ <|> " => suggestions : « “
123 Guillemets typographiques fermants. [[40:41]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash"  en:\\ <|> " => suggestions :  »”

124 Mot inconnu : GRUB_CMDLINE_LINUX_DEFAULT [[0:26]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash **acpi_osi=Linux acpi_backlight=vendor**" \\ <|> grub_cmdline_linux_default
124 Guillemets typographiques ouvrants. [[27:28]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash **acpi_osi=Linux acpi_backlight=vendor**" \\ <|> " => suggestions : « “
124 Mot inconnu : acpi_osi [[43:51]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash **acpi_osi=Linux acpi_backlight=vendor**" \\ <|> acpi_osi
124 Mot inconnu : acpi_backlight [[58:72]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash **acpi_osi=Linux acpi_backlight=vendor**" \\ <|> acpi_backlight
124 Mot inconnu : vendor [[73:79]] => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash **acpi_osi=Linux acpi_backlight=vendor**" \\ <|> vendor
125 Mot inconnu : rebooter [[30:38]] => Puis mettre à jour le GRUB et rebooter le système  \\ <|> rebooter
125 Espace(s) surnuméraire(s) à supprimer. [[49:51]] => Puis mettre à jour le GRUB et rebooter le système  \\ <|>    => suggestions :  

126 Mot inconnu : sudo [[0:4]] => sudo update-grub \\ <|> sudo
126 Mot inconnu : update-grub [[5:16]] => sudo update-grub \\ <|> update-grub

127 Mot inconnu : sudo [[0:4]] => sudo reboot \\ <|> sudo
127 Mot inconnu : reboot [[5:11]] => sudo reboot \\ <|> reboot

129 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[68:72]] => <note important> Il reste encore à modifier la luminosité réellement car cette manipulation ne fait qu'activer les touches de fonctions mais pas encore leur effet. Une façon de contourner le problème est d'utiliser CATALYST, comme expliqué plus loin. </note> <|>  car => suggestions : , car
129 Mot inconnu : CATALYST [[215:223]] => <note important> Il reste encore à modifier la luminosité réellement car cette manipulation ne fait qu'activer les touches de fonctions mais pas encore leur effet. Une façon de contourner le problème est d'utiliser CATALYST, comme expliqué plus loin. </note> <|> catalyst

132 Mot inconnu : Voux [[0:4]] => Voux pouvez facilement visualiser les touches de raccourci clavier proposées par UNITY \\ <|> voux
132 Ceci est un verbe à la 2ᵉ personne du pluriel. Sujet (“vous” ou équivalent) introuvable. [[5:11]] => Voux pouvez facilement visualiser les touches de raccourci clavier proposées par UNITY \\ <|> pouvez => suggestions : peuvent

133 Guillemets typographiques ouvrants. [[52:53]] => Il suffit d'appuyer quelques secondes sur la touche "super" (4 petits carrés sont dessinés sur cette touche située sur la dernière ligne du clavier, en troisième position) \\ \\ <|> " => suggestions : « “
133 Guillemets typographiques fermants. [[58:59]] => Il suffit d'appuyer quelques secondes sur la touche "super" (4 petits carrés sont dessinés sur cette touche située sur la dernière ligne du clavier, en troisième position) \\ \\ <|> " => suggestions :  »”

136 Mot inconnu : Saucy [[99:104]] => Le gestionnaire de mise à jour va vous proposer de passer à la version suivante, par exemple 13.10 Saucy Salamander. \\ <|> saucy
136 Mot inconnu : Salamander [[105:115]] => Le gestionnaire de mise à jour va vous proposer de passer à la version suivante, par exemple 13.10 Saucy Salamander. \\ <|> salamander

137 Accord de nombre erroné : « problème » devrait être au pluriel. [[78:86]] => Il est recommandé de faire cette mise à niveau de version Ubuntu car certains problème de gestion d'écran ont été résolus en 13.10 <|> problème => suggestions : problèmes

138 Mot inconnu : Rebooter [[86:94]] => La mise à niveau dure environ une demi-heure mais ne pose aucun problème particulier. Rebooter le système à la fin. <|> rebooter
148 Mot inconnu : Radéon [[47:53]] => Par défaut Ubuntu installe le pilote libre ATI Radéon parce que ce PC est équipé d'une carte graphique AMD à savoir la Radéon HD 8250. Ce driver fonctionne bien mais ne permet pas d'exploiter toutes les fonctions de cette carte notamment au niveau de l'accélération graphique et de la gestion du multi-écran.  Nous allons donc installer le driver propriétaire de notre carte graphique. <|> radéon
148 Mot inconnu : Radéon [[119:125]] => Par défaut Ubuntu installe le pilote libre ATI Radéon parce que ce PC est équipé d'une carte graphique AMD à savoir la Radéon HD 8250. Ce driver fonctionne bien mais ne permet pas d'exploiter toutes les fonctions de cette carte notamment au niveau de l'accélération graphique et de la gestion du multi-écran.  Nous allons donc installer le driver propriétaire de notre carte graphique. <|> radéon
148 Espace(s) surnuméraire(s) à supprimer. [[308:310]] => Par défaut Ubuntu installe le pilote libre ATI Radéon parce que ce PC est équipé d'une carte graphique AMD à savoir la Radéon HD 8250. Ce driver fonctionne bien mais ne permet pas d'exploiter toutes les fonctions de cette carte notamment au niveau de l'accélération graphique et de la gestion du multi-écran.  Nous allons donc installer le driver propriétaire de notre carte graphique. <|>    => suggestions :  

151 Guillemets typographiques ouvrants. [[7:8]] => Lancer "paramètres systèmes" (icône roue dentée),  <|> " => suggestions : « “
151 Conjugaison erronée. Accord avec “Lancer”. Le verbe devrait être à la 3ᵉ personne du singulier. [[8:18]] => Lancer "paramètres systèmes" (icône roue dentée),  <|> paramètres => suggestions : paramètre
151 Guillemets typographiques fermants. [[27:28]] => Lancer "paramètres systèmes" (icône roue dentée),  <|> " => suggestions :  »”
151 Espace(s) en fin de ligne à supprimer. [[49:50]] => Lancer "paramètres systèmes" (icône roue dentée),  <|>  

152 Guillemets typographiques ouvrants. [[12:13]] => cliquer sur "logiciels et mises à jour", cocher "pilotes propriétaires de périphériques restricted" <|> " => suggestions : « “
152 Guillemets typographiques fermants. [[38:39]] => cliquer sur "logiciels et mises à jour", cocher "pilotes propriétaires de périphériques restricted" <|> " => suggestions :  »”
152 Guillemets typographiques ouvrants. [[48:49]] => cliquer sur "logiciels et mises à jour", cocher "pilotes propriétaires de périphériques restricted" <|> " => suggestions : « “
152 Conjugaison erronée. Accord avec “cocher”. Le verbe devrait être à la 3ᵉ personne du singulier. [[49:56]] => cliquer sur "logiciels et mises à jour", cocher "pilotes propriétaires de périphériques restricted" <|> pilotes => suggestions : pilote
152 Mot inconnu : restricted [[88:98]] => cliquer sur "logiciels et mises à jour", cocher "pilotes propriétaires de périphériques restricted" <|> restricted
152 Guillemets typographiques fermants. [[98:99]] => cliquer sur "logiciels et mises à jour", cocher "pilotes propriétaires de périphériques restricted" <|> " => suggestions :  »”

153 Guillemets typographiques ouvrants. [[20:21]] => aller dans l'onglet "pilotes additionnels" et attendre le rafraîchissement de l'écran <|> " => suggestions : « “
153 Guillemets typographiques fermants. [[41:42]] => aller dans l'onglet "pilotes additionnels" et attendre le rafraîchissement de l'écran <|> " => suggestions :  »”

154 Guillemets typographiques ouvrants. [[15:16]] => cocher la case "utilisation du pilote vidéo pour les accélérateurs graphiques depuis fglrx-updates propriétaires)\\ \\ \\ <|> " => suggestions : « “
154 Mot inconnu : fglrx-updates [[85:98]] => cocher la case "utilisation du pilote vidéo pour les accélérateurs graphiques depuis fglrx-updates propriétaires)\\ \\ \\ <|> fglrx-updates

157 Mot inconnu : rebooter [[29:37]] => Appliquer les changements et rebooter. \\ <|> rebooter

159 Mot inconnu : FPS [[57:60]] => #fgl_glxgears qui vous retourne une mesure d'environ 300 FPS (au lieu de 60 FPS sans l'accélération) \\ <|> fps
159 Mot inconnu : FPS [[76:79]] => #fgl_glxgears qui vous retourne une mesure d'environ 300 FPS (au lieu de 60 FPS sans l'accélération) \\ <|> fps

160 Mot inconnu : FPS [[31:34]] => #glxgears retourne environ 860 FPS ce qui correspond à une moyenne honorable par rapport aux autres cartes graphique, surtout pour un portable! <|> fps

164 Guillemets typographiques ouvrants. [[16:17]] => L'outil système "affichage" ne montre bien les deux écrans après avoir cliqué sur "détecter les écrans" <|> " => suggestions : « “
164 Guillemets typographiques fermants. [[26:27]] => L'outil système "affichage" ne montre bien les deux écrans après avoir cliqué sur "détecter les écrans" <|> " => suggestions :  »”
164 Guillemets typographiques ouvrants. [[82:83]] => L'outil système "affichage" ne montre bien les deux écrans après avoir cliqué sur "détecter les écrans" <|> " => suggestions : « “
164 Guillemets typographiques fermants. [[102:103]] => L'outil système "affichage" ne montre bien les deux écrans après avoir cliqué sur "détecter les écrans" <|> " => suggestions :  »”

165 Signe de multiplication typographique. [[40:48]] => L'écran du portable a une résolution de 1280x768 mais lorsqu'on paramètre l'affichage du second écran sur une résolution plus élevée comme 1920x1080 l'activation de ce changement affiche une erreur \\ "taille virtuelle non adaptée à la demande (3200,1080). \\ \\ <|> 1280x768 => suggestions : 1280 × 768
165 Mot inconnu : x768 [[44:48]] => L'écran du portable a une résolution de 1280x768 mais lorsqu'on paramètre l'affichage du second écran sur une résolution plus élevée comme 1920x1080 l'activation de ce changement affiche une erreur \\ "taille virtuelle non adaptée à la demande (3200,1080). \\ \\ <|> x768
