1 Mot inconnu : Namespaces => ====== Namespaces ====== | namespaces
33 Mot inconnu : at => One can use them to split content about the same subject from other unrelated content. This split occurs at two levels: storage and linking. | at
33 Mot inconnu : two => One can use them to split content about the same subject from other unrelated content. This split occurs at two levels: storage and linking. | two
33 Mot inconnu : levels => One can use them to split content about the same subject from other unrelated content. This split occurs at two levels: storage and linking. | levels
33 Mot inconnu : storage => One can use them to split content about the same subject from other unrelated content. This split occurs at two levels: storage and linking. | storage
33 Mot inconnu : and => One can use them to split content about the same subject from other unrelated content. This split occurs at two levels: storage and linking. | and
33 Mot inconnu : linking => One can use them to split content about the same subject from other unrelated content. This split occurs at two levels: storage and linking. | linking

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt |      => suggestions : ['']
35 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | storage => suggestions : ['Storage']
35 Mot inconnu : storage =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | storage
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt |  -  => suggestions : [' – ', ' — ', ' − ']
35 Mot inconnu : namespaces =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | namespaces
35 Mot inconnu : stored =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | stored
35 Mot inconnu : folders =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | folders
35 Mot inconnu : directories =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | directories
35 Mot inconnu : the =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | the
35 Mot inconnu : host =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | host
35 Mot inconnu : system =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | system
35 Mot inconnu : This =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | this
35 Mot inconnu : helps =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | helps
35 Mot inconnu : keeping =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | keeping
35 Mot inconnu : the =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | the
35 Mot inconnu : subject =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | subject
35 Mot inconnu : inside =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | inside
35 Mot inconnu : one =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | one
35 Mot inconnu : folder =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | folder
35 Mot inconnu : where =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | where
35 Mot inconnu : all =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | all
35 Mot inconnu : raw =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | raw
35 Mot inconnu : text =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | text
35 Mot inconnu : from =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | from
35 Mot inconnu : the =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | the
35 Mot inconnu : with =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | with
35 Mot inconnu : that =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | that
35 Mot inconnu : contained =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | contained
35 Mot inconnu : Very =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | very
35 Mot inconnu : handy =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | handy
35 Mot inconnu : to =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | to
35 Mot inconnu : administrators =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | administrators
35 Mot inconnu : to =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | to
35 Mot inconnu : work =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | work
35 Mot inconnu : with =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | with
35 Mot inconnu : the =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | the
35 Mot inconnu : raw =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | raw
35 Mot inconnu : text =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | text
35 Mot inconnu : Example =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | example
35 Mot inconnu : backup =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | backup
35 Mot inconnu : all =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | all
35 Mot inconnu : project =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | project
35 Mot inconnu : XYZ =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | xyz
35 Espace(s) surnuméraire(s) à supprimer. =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt |    => suggestions : [' ']
35 Mot inconnu : backup =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | backup
35 Mot inconnu : folder =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | folder
35 Mot inconnu : projectXYZ =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | projectxyz
35 Mot inconnu : txt =>     * storage - namespaces are stored as folders (directories) on the host file system. This helps keeping content about the same subject inside one folder, where all raw text files from the documents with that content are contained. Very handy to administrators, to work with the raw text files. Example: backup all project XYZ documents  => backup folder projectXYZ/*.txt | txt

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. |      => suggestions : ['']
36 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | linking => suggestions : ['Linking']
36 Mot inconnu : linking =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | linking
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. |  -  => suggestions : [' – ', ' — ', ' − ']
36 Mot inconnu : namespaces =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | namespaces
36 Mot inconnu : the =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | the
36 Mot inconnu : prefix =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | prefix
36 Mot inconnu : before =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | before
36 Mot inconnu : each =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | each
36 Mot inconnu : name =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | name
36 Mot inconnu : The =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | the
36 Mot inconnu : raw =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | raw
36 Mot inconnu : text =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | text
36 Mot inconnu : with =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | with
36 Mot inconnu : the =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | the
36 Mot inconnu : that =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | that
36 Mot inconnu : will =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | will
36 Mot inconnu : stored =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | stored
36 Mot inconnu : inside =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | inside
36 Mot inconnu : the =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | the
36 Mot inconnu : folder =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | folder
36 Mot inconnu : and =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | and
36 Mot inconnu : while =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | while
36 Mot inconnu : viewing =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | viewing
36 Mot inconnu : belonging =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | belonging
36 Mot inconnu : to =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | to
36 Mot inconnu : that =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | that
36 Mot inconnu : namespace =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | namespace
36 Mot inconnu : one =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | one
36 Mot inconnu : can =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | can
36 Mot inconnu : refer =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | refer
36 Mot inconnu : to =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | to
36 Mot inconnu : all =>     * linking - namespaces are the prefix <name:> before each page name. The raw text file with the content for that page will be stored inside the folder <name>, and while viewing documents belonging to that namespace, one can refer to all other documents of that namespace without having to prefix it with <name:>. That prefix is only necessary when linking pages outside this namespace <name> to pages inside it. | all
