2 Mot inconnu : hamradio => {{tag>hamradio radio rtl-sdr navigation_maritime}}
2 Mot inconnu : rtl-sdr => {{tag>hamradio radio rtl-sdr navigation_maritime}}
2 Mot inconnu : navigation_maritime => {{tag>hamradio radio rtl-sdr navigation_maritime}}

5 Mot inconnu : HamRadio => ====== HamRadio : la RadioAmateur sur Ubuntu  ======
15 Mot inconnu : CW =>   * La radiotélégraphie (CW, abréviation de Continuous Wave) qui utilise le **code Morse** est une activité qui date des tout premiers temps de la radio et marque le début de la **[[hamradio#communications_numériques|communication numérique]]**. L'apparition des ordinateurs personnels a permis de développer de nombreux modes de transmission numériques en les rendant accessibles aux radioamateurs.
15 Mot inconnu : Continuous =>   * La radiotélégraphie (CW, abréviation de Continuous Wave) qui utilise le **code Morse** est une activité qui date des tout premiers temps de la radio et marque le début de la **[[hamradio#communications_numériques|communication numérique]]**. L'apparition des ordinateurs personnels a permis de développer de nombreux modes de transmission numériques en les rendant accessibles aux radioamateurs.
15 Mot inconnu : Wave =>   * La radiotélégraphie (CW, abréviation de Continuous Wave) qui utilise le **code Morse** est une activité qui date des tout premiers temps de la radio et marque le début de la **[[hamradio#communications_numériques|communication numérique]]**. L'apparition des ordinateurs personnels a permis de développer de nombreux modes de transmission numériques en les rendant accessibles aux radioamateurs.
15 Mot inconnu : hamradio =>   * La radiotélégraphie (CW, abréviation de Continuous Wave) qui utilise le **code Morse** est une activité qui date des tout premiers temps de la radio et marque le début de la **[[hamradio#communications_numériques|communication numérique]]**. L'apparition des ordinateurs personnels a permis de développer de nombreux modes de transmission numériques en les rendant accessibles aux radioamateurs.

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].
17 Mot inconnu : SDR =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].
17 Mot inconnu : Sofware =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].
17 Mot inconnu : Definied =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].
17 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].
17 Mot inconnu : utilisation_première =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].
17 Mot inconnu : SDR =>   * Par ailleurs, le PC a pris une place de plus en plus importante dans le traitement des signaux radio, en donnant naissance à ce que l'on appelle **Radio Logicielle** (//SDR - Sofware Definied Radio//). Ce domaine consiste à remplacer le matériel radio traditionnel (oscillateurs, filtres...) par des traitements informatiques, en limitant ainsi le recours à des appareils externes à son minimum. Il est alors fréquent d'utiliser la **carte son** des PC pour acquérir/générer des signaux radios sous différents modes, mais également du [[#Matériel_dédié|matériel dédié]], [[#Matériel_détourné_de_son utilisation_première|détourné]] ou [[#Solutions_DIY|fabriqué par ses propres moyens]], voir même des serveurs SDR [[http://f8bdx.free.fr/les_recepteurs_websdr._1965.htm|en ligne]].

23 Mot inconnu : SDR => ==== SDR : La Radio Définie par Logiciel ====
23 Il manque un espace insécable. => ==== SDR : La Radio Définie par Logiciel ====

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://gnuradio.org|GnuRadio]]** : Solution de référence pour traiter tout type de signal radio, analogique comme numérique
24 Mot inconnu : GnuRadio =>   * **[[http://gnuradio.org|GnuRadio]]** : Solution de référence pour traiter tout type de signal radio, analogique comme numérique
24 Il manque un espace insécable. =>   * **[[http://gnuradio.org|GnuRadio]]** : Solution de référence pour traiter tout type de signal radio, analogique comme numérique

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[RTL-SDR]]** : Librairies permettant d'utiliser les clés USB TNT [[rtl2832u]] comme récepteur radio SDR
26 Mot inconnu : RTL-SDR =>   * **[[RTL-SDR]]** : Librairies permettant d'utiliser les clés USB TNT [[rtl2832u]] comme récepteur radio SDR
26 Il manque un espace insécable. =>   * **[[RTL-SDR]]** : Librairies permettant d'utiliser les clés USB TNT [[rtl2832u]] comme récepteur radio SDR
26 Mot inconnu : rtl2832u =>   * **[[RTL-SDR]]** : Librairies permettant d'utiliser les clés USB TNT [[rtl2832u]] comme récepteur radio SDR
26 Mot inconnu : SDR =>   * **[[RTL-SDR]]** : Librairies permettant d'utiliser les clés USB TNT [[rtl2832u]] comme récepteur radio SDR

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[Gqrx-sdr]]** : Interface graphique permettant d'effectuer des enregistrements et divers traitements de signaux radio.
28 Mot inconnu : Gqrx-sdr =>   * **[[Gqrx-sdr]]** : Interface graphique permettant d'effectuer des enregistrements et divers traitements de signaux radio.
28 Il manque un espace insécable. =>   * **[[Gqrx-sdr]]** : Interface graphique permettant d'effectuer des enregistrements et divers traitements de signaux radio.

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[https://github.com/f4exb/sdrangel|Sdrangel]]**
30 Mot inconnu : Sdrangel =>   * **[[https://github.com/f4exb/sdrangel|Sdrangel]]**

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)
35 Mot inconnu : Fldigi =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)
35 Il manque un espace insécable. =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)
35 Mot inconnu : navtex =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)
35 Mot inconnu : FMFSK16 =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)
35 Mot inconnu : PSK31 =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)
35 Mot inconnu : RTTY =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)
35 Typographie : points de suspension. Utilisez le caractère dédié. =>   * **[[Fldigi]]** : Application agissant comme un modem en permettant de coder/décoder de nombreux modes numériques (fax, morse, navtex, FMFSK16, PSK31, RTTY ...)

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[Xastir]]** : Localisation et cartographie par d’émetteurs APRS
37 Mot inconnu : Xastir =>   * **[[Xastir]]** : Localisation et cartographie par d’émetteurs APRS
37 Il manque un espace insécable. =>   * **[[Xastir]]** : Localisation et cartographie par d’émetteurs APRS
37 Mot inconnu : APRS =>   * **[[Xastir]]** : Localisation et cartographie par d’émetteurs APRS

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Mot inconnu : AcFax =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Il manque un espace insécable. =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Il manque un espace. =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Mot inconnu : comment_installer_un_paquet =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Mot inconnu : apt =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Mot inconnu : acfax =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Mot inconnu : acfax =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 
39 Espace(s) en fin de ligne à supprimer. =>   * **[[AcFax]]** : Un programme assez ancien utilisant la carte son pour recevoir les fax - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>acfax|acfax]]**. 

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : HamFax =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Il manque un espace insécable. =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : controleur =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : SCS =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : PTC-II =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Il manque un espace. =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : comment_installer_un_paquet =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : apt =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : hamfax =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**
41 Mot inconnu : hamfax =>   * **[[http://hamfax.sourceforge.net/|HamFax]]** : Réception de fax par la carte son ou un controleur SCS PTC-II - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>hamfax|hamfax]]**

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Mot inconnu : glfer =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Il manque un espace insécable. =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Mot inconnu : QRSS =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Mot inconnu : DFCW =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Il manque un espace. =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Mot inconnu : comment_installer_un_paquet =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Mot inconnu : apt =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Mot inconnu : glfer =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.
43 Mot inconnu : glfer =>   * **[[glfer]]** : Réception des signaux [[http://www.qsl.net/on7yd/136narro.htm#QRSS|QRSS]]/[[http://www.qsl.net/on7yd/136narro.htm#DFCW|DFCW]] - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>glfer|glfer]]**.

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Mot inconnu : gpsk31 =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Il manque un espace insécable. =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Mot inconnu : psk31 =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Il manque un espace. =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Mot inconnu : comment_installer_un_paquet =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Mot inconnu : apt =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Mot inconnu : gpsk31 =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**
45 Mot inconnu : gpsk31 =>   * **[[http://www.qsl.net/pg4i/linux/gpsk31.html|gpsk31]]** : Réception de messages texte en mode psk31 avec votre carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>gpsk31|gpsk31]]**

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[QSSTV]]** : Programme de réception télévision et fax à balayage lent (//slow-scan television and fax//) via la carte son
47 Mot inconnu : QSSTV =>   * **[[QSSTV]]** : Programme de réception télévision et fax à balayage lent (//slow-scan television and fax//) via la carte son
47 Il manque un espace insécable. =>   * **[[QSSTV]]** : Programme de réception télévision et fax à balayage lent (//slow-scan television and fax//) via la carte son
47 Mot inconnu : television =>   * **[[QSSTV]]** : Programme de réception télévision et fax à balayage lent (//slow-scan television and fax//) via la carte son
47 Mot inconnu : and =>   * **[[QSSTV]]** : Programme de réception télévision et fax à balayage lent (//slow-scan television and fax//) via la carte son

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : Multimon =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Il manque un espace insécable. =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : AFSK =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : FSK =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : POCSAG =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
