10 Mot inconnu : YouTuber => Il existe des logiciels pour **tous les niveaux d'utilisation**, du parfait débutant au producteur de cinéma, en passant par le //YouTuber// : personne n'est délaissé.
10 Il manque un espace insécable. => Il existe des logiciels pour **tous les niveaux d'utilisation**, du parfait débutant au producteur de cinéma, en passant par le //YouTuber// : personne n'est délaissé.

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:PiTiVi]] : logiciel GNOME de montage vidéo simple et accessible à tous.
20 Il manque un espace insécable. =>   * [[:KDEnLive]] : éditeur de vidéos multi-pistes intuitif et puissant, qui inclut les technologies de vidéo les plus récentes.

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Lives]] : logiciel libre disposant des fonctionnalités d'édition vidéo / son classique, un mode multi-pistes, de nombreux filtres ainsi que des effets en temps réels.
21 Il manque un espace insécable. =>   * [[Lives]] : logiciel libre disposant des fonctionnalités d'édition vidéo / son classique, un mode multi-pistes, de nombreux filtres ainsi que des effets en temps réels.

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:EKD]] : logiciel libre qui se propose de faire des opérations de post-production aussi bien pour des vidéos, que pour des images.
22 Mot inconnu : EKD =>   * [[:EKD]] : logiciel libre qui se propose de faire des opérations de post-production aussi bien pour des vidéos, que pour des images.
22 Il manque un espace insécable. =>   * [[:EKD]] : logiciel libre qui se propose de faire des opérations de post-production aussi bien pour des vidéos, que pour des images.

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[shotcut|Shotcut]] : un éditeur de vidéos gratuit, open source et multi-plate-formes.
23 Mot inconnu : shotcut =>   * [[shotcut|Shotcut]] : un éditeur de vidéos gratuit, open source et multi-plate-formes.
23 Mot inconnu : Shotcut =>   * [[shotcut|Shotcut]] : un éditeur de vidéos gratuit, open source et multi-plate-formes.
23 Il manque un espace insécable. =>   * [[shotcut|Shotcut]] : un éditeur de vidéos gratuit, open source et multi-plate-formes.

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:SlowMoVideo]] (**Slow** **Mo**tion) : logiciel open source permettant d'obtenir des ralentis fluides par la création d'images intermédiaires.
24 Mot inconnu : SlowMoVideo =>   * [[:SlowMoVideo]] (**Slow** **Mo**tion) : logiciel open source permettant d'obtenir des ralentis fluides par la création d'images intermédiaires.
24 Mot inconnu : tion =>   * [[:SlowMoVideo]] (**Slow** **Mo**tion) : logiciel open source permettant d'obtenir des ralentis fluides par la création d'images intermédiaires.
24 Il manque un espace insécable. =>   * [[:SlowMoVideo]] (**Slow** **Mo**tion) : logiciel open source permettant d'obtenir des ralentis fluides par la création d'images intermédiaires.

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://jliljebl.github.io/flowblade/|Flowblade]] : logiciel de montage video multi-piste performant.
25 Mot inconnu : Flowblade =>   * [[https://jliljebl.github.io/flowblade/|Flowblade]] : logiciel de montage video multi-piste performant.
25 Il manque un espace insécable. =>   * [[https://jliljebl.github.io/flowblade/|Flowblade]] : logiciel de montage video multi-piste performant.
25 Mot inconnu : video =>   * [[https://jliljebl.github.io/flowblade/|Flowblade]] : logiciel de montage video multi-piste performant.

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:Blender]] : logiciel libre disposant d'un outil de montage vidéo (video sequence editor). Bien que Blender soit surtout connu pour ses outils de création et de modélisation 3D, il est très performant dans le montage vidéo et représente une réelle alternative aux logiciels propriétaires comme Sony Vegas ou Adobe Premiere.
29 Il manque un espace insécable. =>   * [[:Blender]] : logiciel libre disposant d'un outil de montage vidéo (video sequence editor). Bien que Blender soit surtout connu pour ses outils de création et de modélisation 3D, il est très performant dans le montage vidéo et représente une réelle alternative aux logiciels propriétaires comme Sony Vegas ou Adobe Premiere.
29 Mot inconnu : video =>   * [[:Blender]] : logiciel libre disposant d'un outil de montage vidéo (video sequence editor). Bien que Blender soit surtout connu pour ses outils de création et de modélisation 3D, il est très performant dans le montage vidéo et représente une réelle alternative aux logiciels propriétaires comme Sony Vegas ou Adobe Premiere.
29 Mot inconnu : sequence =>   * [[:Blender]] : logiciel libre disposant d'un outil de montage vidéo (video sequence editor). Bien que Blender soit surtout connu pour ses outils de création et de modélisation 3D, il est très performant dans le montage vidéo et représente une réelle alternative aux logiciels propriétaires comme Sony Vegas ou Adobe Premiere.
29 Mot inconnu : editor =>   * [[:Blender]] : logiciel libre disposant d'un outil de montage vidéo (video sequence editor). Bien que Blender soit surtout connu pour ses outils de création et de modélisation 3D, il est très performant dans le montage vidéo et représente une réelle alternative aux logiciels propriétaires comme Sony Vegas ou Adobe Premiere.
29 Mot inconnu : Premiere =>   * [[:Blender]] : logiciel libre disposant d'un outil de montage vidéo (video sequence editor). Bien que Blender soit surtout connu pour ses outils de création et de modélisation 3D, il est très performant dans le montage vidéo et représente une réelle alternative aux logiciels propriétaires comme Sony Vegas ou Adobe Premiere.

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:Cinelerra]] (Version GG) : logiciel professionnel se présentant comme une alternative à//[[https://www.adobe.com/products/premiere.html|Adobe Premiere]]//, de //[[https://www.apple.com/finalcutpro/|Final Cut]]// et de //[[http://www.sonycreativesoftware.com/vegassoftware|Sony Vegas]]//. l'année 2019 est marquée par une convergence des versions vers une version communautaire stabilisée, facile à installer, évolutive.
30 Mot inconnu : Cinelerra =>   * [[:Cinelerra]] (Version GG) : logiciel professionnel se présentant comme une alternative à//[[https://www.adobe.com/products/premiere.html|Adobe Premiere]]//, de //[[https://www.apple.com/finalcutpro/|Final Cut]]// et de //[[http://www.sonycreativesoftware.com/vegassoftware|Sony Vegas]]//. l'année 2019 est marquée par une convergence des versions vers une version communautaire stabilisée, facile à installer, évolutive.
30 Il manque un espace insécable. =>   * [[:Cinelerra]] (Version GG) : logiciel professionnel se présentant comme une alternative à//[[https://www.adobe.com/products/premiere.html|Adobe Premiere]]//, de //[[https://www.apple.com/finalcutpro/|Final Cut]]// et de //[[http://www.sonycreativesoftware.com/vegassoftware|Sony Vegas]]//. l'année 2019 est marquée par une convergence des versions vers une version communautaire stabilisée, facile à installer, évolutive.
30 Mot inconnu : Premiere =>   * [[:Cinelerra]] (Version GG) : logiciel professionnel se présentant comme une alternative à//[[https://www.adobe.com/products/premiere.html|Adobe Premiere]]//, de //[[https://www.apple.com/finalcutpro/|Final Cut]]// et de //[[http://www.sonycreativesoftware.com/vegassoftware|Sony Vegas]]//. l'année 2019 est marquée par une convergence des versions vers une version communautaire stabilisée, facile à installer, évolutive.
30 Mot inconnu : Cut =>   * [[:Cinelerra]] (Version GG) : logiciel professionnel se présentant comme une alternative à//[[https://www.adobe.com/products/premiere.html|Adobe Premiere]]//, de //[[https://www.apple.com/finalcutpro/|Final Cut]]// et de //[[http://www.sonycreativesoftware.com/vegassoftware|Sony Vegas]]//. l'année 2019 est marquée par une convergence des versions vers une version communautaire stabilisée, facile à installer, évolutive.

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:Cinepaint]] : logiciel libre de retouche vidéo professionnelle.
31 Mot inconnu : Cinepaint =>   * [[:Cinepaint]] : logiciel libre de retouche vidéo professionnelle.
31 Il manque un espace insécable. =>   * [[:Cinepaint]] : logiciel libre de retouche vidéo professionnelle.

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:Natron]] : logiciel professionnel, multi-plate-forme et open source de compositing vidéo nodal. Il se veut clone de //[[http://www.thefoundry.co.uk/products/nuke/|Nuke]]// (également disponible sous Linux, mais propriétaire), alternative plus performante que //[[http://www.adobe.com/fr/products/aftereffects.html|Adobe AfterEffects]]//.  //[[https://natron.fr/|Site officiel de Natron]]//
32 Il manque un espace insécable. =>   * [[:Natron]] : logiciel professionnel, multi-plate-forme et open source de compositing vidéo nodal. Il se veut clone de //[[http://www.thefoundry.co.uk/products/nuke/|Nuke]]// (également disponible sous Linux, mais propriétaire), alternative plus performante que //[[http://www.adobe.com/fr/products/aftereffects.html|Adobe AfterEffects]]//.  //[[https://natron.fr/|Site officiel de Natron]]//
32 Mot inconnu : compositing =>   * [[:Natron]] : logiciel professionnel, multi-plate-forme et open source de compositing vidéo nodal. Il se veut clone de //[[http://www.thefoundry.co.uk/products/nuke/|Nuke]]// (également disponible sous Linux, mais propriétaire), alternative plus performante que //[[http://www.adobe.com/fr/products/aftereffects.html|Adobe AfterEffects]]//.  //[[https://natron.fr/|Site officiel de Natron]]//
32 Mot inconnu : Nuke =>   * [[:Natron]] : logiciel professionnel, multi-plate-forme et open source de compositing vidéo nodal. Il se veut clone de //[[http://www.thefoundry.co.uk/products/nuke/|Nuke]]// (également disponible sous Linux, mais propriétaire), alternative plus performante que //[[http://www.adobe.com/fr/products/aftereffects.html|Adobe AfterEffects]]//.  //[[https://natron.fr/|Site officiel de Natron]]//
32 Mot inconnu : AfterEffects =>   * [[:Natron]] : logiciel professionnel, multi-plate-forme et open source de compositing vidéo nodal. Il se veut clone de //[[http://www.thefoundry.co.uk/products/nuke/|Nuke]]// (également disponible sous Linux, mais propriétaire), alternative plus performante que //[[http://www.adobe.com/fr/products/aftereffects.html|Adobe AfterEffects]]//.  //[[https://natron.fr/|Site officiel de Natron]]//
32 Espace(s) surnuméraire(s) à supprimer. =>   * [[:Natron]] : logiciel professionnel, multi-plate-forme et open source de compositing vidéo nodal. Il se veut clone de //[[http://www.thefoundry.co.uk/products/nuke/|Nuke]]// (également disponible sous Linux, mais propriétaire), alternative plus performante que //[[http://www.adobe.com/fr/products/aftereffects.html|Adobe AfterEffects]]//.  //[[https://natron.fr/|Site officiel de Natron]]//

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:LightWorks]] : logiciel professionnel propriétaire (par //[[http://www.editshare.com/|EditShare]]//), disponible pour GNU/Linux, Windows et Mac OSX [[http://www.lwks.com/index.php?option=com_lwks&view=download&Itemid=206&tab=1|ici]].
33 Mot inconnu : LightWorks =>   * [[:LightWorks]] : logiciel professionnel propriétaire (par //[[http://www.editshare.com/|EditShare]]//), disponible pour GNU/Linux, Windows et Mac OSX [[http://www.lwks.com/index.php?option=com_lwks&view=download&Itemid=206&tab=1|ici]].
33 Il manque un espace insécable. =>   * [[:LightWorks]] : logiciel professionnel propriétaire (par //[[http://www.editshare.com/|EditShare]]//), disponible pour GNU/Linux, Windows et Mac OSX [[http://www.lwks.com/index.php?option=com_lwks&view=download&Itemid=206&tab=1|ici]].
33 Mot inconnu : EditShare =>   * [[:LightWorks]] : logiciel professionnel propriétaire (par //[[http://www.editshare.com/|EditShare]]//), disponible pour GNU/Linux, Windows et Mac OSX [[http://www.lwks.com/index.php?option=com_lwks&view=download&Itemid=206&tab=1|ici]].
33 Mot inconnu : OSX =>   * [[:LightWorks]] : logiciel professionnel propriétaire (par //[[http://www.editshare.com/|EditShare]]//), disponible pour GNU/Linux, Windows et Mac OSX [[http://www.lwks.com/index.php?option=com_lwks&view=download&Itemid=206&tab=1|ici]].

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Mot inconnu : da_vinci_resolve =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Mot inconnu : Resolve =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Il manque un espace insécable. =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Mot inconnu : BlackMagicDesign =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Mot inconnu : OSX =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 S’il s’agit d’un impératif, mettez un trait d’union. =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Mot inconnu : da_vinci_resolve =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Mot inconnu : Resolve =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)
34 Mot inconnu : lprod =>   * [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|Da Vinci Resolve]] : logiciel professionnel propriétaire (par //[[https://www.blackmagicdesign.com/fr/products/davinciresolve//|BlackMagicDesign]]//), disponible pour GNU/Linux, Windows(c) et Mac OSX(c). Pour en savoir plus et l'installer sous GNU/Linux Ubuntu, lisez la [[https://lprod.org/wiki/doku.php/video:da_vinci_resolve|page Da Vinci Resolve sur lprod.org]] (FR)

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:sony_vegas|Sony Vegas]] logiciel propriétaire de Sony connu comme étant une des références du genre aux côtés d'Adobe Premiere et Final Cut, peut s'utiliser sur Ubuntu avec [[:Wine]].
35 Mot inconnu : sony_vegas =>   * [[:sony_vegas|Sony Vegas]] logiciel propriétaire de Sony connu comme étant une des références du genre aux côtés d'Adobe Premiere et Final Cut, peut s'utiliser sur Ubuntu avec [[:Wine]].
35 Mot inconnu : Premiere =>   * [[:sony_vegas|Sony Vegas]] logiciel propriétaire de Sony connu comme étant une des références du genre aux côtés d'Adobe Premiere et Final Cut, peut s'utiliser sur Ubuntu avec [[:Wine]].
35 Mot inconnu : Cut =>   * [[:sony_vegas|Sony Vegas]] logiciel propriétaire de Sony connu comme étant une des références du genre aux côtés d'Adobe Premiere et Final Cut, peut s'utiliser sur Ubuntu avec [[:Wine]].
35 Mot inconnu : Wine =>   * [[:sony_vegas|Sony Vegas]] logiciel propriétaire de Sony connu comme étant une des références du genre aux côtés d'Adobe Premiere et Final Cut, peut s'utiliser sur Ubuntu avec [[:Wine]].

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Kazam]] : enregistre les vidéos en **[[WebM]]** et **[[x264]]**, propose d'éditer la vidéo via **[[Pitivi]]** ou **[[OpenShot]]**
39 Mot inconnu : Kazam =>   * [[Kazam]] : enregistre les vidéos en **[[WebM]]** et **[[x264]]**, propose d'éditer la vidéo via **[[Pitivi]]** ou **[[OpenShot]]**
39 Il manque un espace insécable. =>   * [[Kazam]] : enregistre les vidéos en **[[WebM]]** et **[[x264]]**, propose d'éditer la vidéo via **[[Pitivi]]** ou **[[OpenShot]]**
39 Mot inconnu : WebM =>   * [[Kazam]] : enregistre les vidéos en **[[WebM]]** et **[[x264]]**, propose d'éditer la vidéo via **[[Pitivi]]** ou **[[OpenShot]]**
39 Mot inconnu : x264 =>   * [[Kazam]] : enregistre les vidéos en **[[WebM]]** et **[[x264]]**, propose d'éditer la vidéo via **[[Pitivi]]** ou **[[OpenShot]]**
39 Mot inconnu : Pitivi =>   * [[Kazam]] : enregistre les vidéos en **[[WebM]]** et **[[x264]]**, propose d'éditer la vidéo via **[[Pitivi]]** ou **[[OpenShot]]**
39 Mot inconnu : OpenShot =>   * [[Kazam]] : enregistre les vidéos en **[[WebM]]** et **[[x264]]**, propose d'éditer la vidéo via **[[Pitivi]]** ou **[[OpenShot]]**

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[SimpleScreenRecorder]] : application récente dans un PPA. Semble plus rapide que les solutions faisant directement appel à ffmpeg/avconv.
40 Mot inconnu : SimpleScreenRecorder =>   * [[SimpleScreenRecorder]] : application récente dans un PPA. Semble plus rapide que les solutions faisant directement appel à ffmpeg/avconv.
40 Il manque un espace insécable. =>   * [[SimpleScreenRecorder]] : application récente dans un PPA. Semble plus rapide que les solutions faisant directement appel à ffmpeg/avconv.
40 Mot inconnu : PPA =>   * [[SimpleScreenRecorder]] : application récente dans un PPA. Semble plus rapide que les solutions faisant directement appel à ffmpeg/avconv.
40 Mot inconnu : ffmpeg =>   * [[SimpleScreenRecorder]] : application récente dans un PPA. Semble plus rapide que les solutions faisant directement appel à ffmpeg/avconv.
40 Mot inconnu : avconv =>   * [[SimpleScreenRecorder]] : application récente dans un PPA. Semble plus rapide que les solutions faisant directement appel à ffmpeg/avconv.

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : VokoScreen =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Il manque un espace insécable. =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : FFMPEG =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : wpfr =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : Audio_Video_Interleave =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : AVI =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : wpfr =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : MKV =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : wpfr =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : MPEG4 =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : wpfr =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.
41 Mot inconnu : PulseAudio =>   * [[VokoScreen]] : utilise **[[FFMPEG]]**, fichiers **[[wpfr>Audio_Video_Interleave|AVI]]** ou **[[wpfr>MKV]]**, codecs **[[wpfr>MPEG4]]** ou **[[wpfr>H.264]]**, détecte automatiquement **[[PulseAudio]]**.

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[obs|OBS Studio]] : Permet de faire des live (streaming) ou peut servir d'enregistreur video en 1080p
